global_model,k,full_arm,arm,mae,n_ligands
GEN9_X_MULTI_d2,5,GEN9_X_MULTI_d2 | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.5191199199517904,99
GEN9_X_MULTI_d8c,0,GEN9_X_MULTI_d8c | ZERO_SHOT,ZERO_SHOT,1.2799708696858028,99
GEN9_X_MULTI_d8c,1,GEN9_X_MULTI_d8c | NO_MODEL@CENTRAL_THEN_SPREAD,NO_MODEL@CENTRAL_THEN_SPREAD,0.8252974768084728,99
GEN9_X_MULTI_d8c,2,GEN9_X_MULTI_d8c | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.6950799164142283,99
GEN9_X_MULTI_d8c,3,GEN9_X_MULTI_d8c | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.6004034513413431,99
GEN9_X_MULTI_d8c,5,GEN9_X_MULTI_d8c | NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,0.5191199199517904,99
REC_ecfp_plus_recovered,0,REC_ecfp_plus_recovered | ZERO_SHOT,ZERO_SHOT,1.0605303772612389,99
REC_ecfp_plus_recovered,1,REC_ecfp_plus_recovered | SLOPE_L_s1_K3@MEDOID,SLOPE_L_s1_K3@MEDOID,0.6751828667813538,99
REC_ecfp_plus_recovered,2,REC_ecfp_plus_recovered | SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.5879150010234774,99
REC_ecfp_plus_recovered,3,REC_ecfp_plus_recovered | SLOPE_L_s1_K3@LEARNED_BLEND,SLOPE_L_s1_K3@LEARNED_BLEND,0.5207802054894238,99
REC_ecfp_plus_recovered,5,REC_ecfp_plus_recovered | SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3@D_OPTIMAL,0.47429956979762583,99
