model,split_seed,extractant,n_rows,mae,offset_abs,bias,shape_mae,y_sd,rank_spearman,nn_train_tanimoto,nn_base_tanimoto,n_metals,n_conditions,n_series,ecfp_cluster,tanimoto_cluster,y_mean,prediction_mean,n_batches,n_publications,frac_name_mismatch,frac_aqueous_complexant,donor__n_total,DENTATE,coreCN,mechanism,mean_mae_over_seeds,is_worst
TREE_MC_lig2d_ext_massaction,130363,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,2.61798043745551,2.61798043745551,-2.61798043745551,0.8126057381912651,1.2710004765845633,0.92879698954084,0.5454545454545454,0.5454545454545454,1,11,2,5ba4ad363617d4ee,tan055,1.598709354691089,-1.0192710827644211,2,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.7517324056804933,True
TREE_MC_lig2d_ext_massaction,155921,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,3.294362040849468,3.294362040849468,-3.294362040849468,0.9693317617901599,1.2710004765845633,0.92879698954084,0.5454545454545454,0.5454545454545454,1,11,2,5ba4ad363617d4ee,tan055,1.598709354691089,-1.6956526861583792,2,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.7517324056804933,True
TREE_MC_lig2d_ext_massaction,196613,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,2.458480814929445,2.4440058784669922,-2.4440058784669922,0.8622849625777437,1.2710004765845633,0.7540728033895928,0.5454545454545454,0.5454545454545454,1,11,2,5ba4ad363617d4ee,tan055,1.598709354691089,-0.845296523775903,2,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.7517324056804933,True
TREE_MC_lig2d_ext_massaction,262147,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,11,2.64465468263922,2.64465468263922,-2.64465468263922,0.728516013921595,1.2710004765845633,0.92879698954084,0.5348837209302325,0.5217391304347826,1,11,2,5ba4ad363617d4ee,tan055,1.598709354691089,-1.0459453279481303,2,1,0.0,0.0,3.0,3.0,9.0,LEVEL_ONLY,2.7517324056804933,True
TREE_MC_lig2d_ext_massaction,104729,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,3,2.8943912567217676,2.8943912567217676,-2.8943912567217676,0.29113189193978867,0.3754503690349617,0.5,0.47058823529411764,0.23404255319148937,1,3,1,d9a6d49abdc313d0,tan014,2.2006866636666667,-0.6937045930551008,1,1,0.0,0.0,4.0,4.0,9.0,SPARSE,2.697303799699335,True
TREE_MC_lig2d_ext_massaction,130363,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,3,2.5692380408290827,2.5692380408290827,-2.5692380408290827,0.29504820185009284,0.3754503690349617,0.5,0.47058823529411764,0.23404255319148937,1,3,1,d9a6d49abdc313d0,tan014,2.2006866636666667,-0.3685513771624162,1,1,0.0,0.0,4.0,4.0,9.0,SPARSE,2.697303799699335,True
TREE_MC_lig2d_ext_massaction,155921,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,3,2.495435572442294,2.495435572442294,-2.495435572442294,0.3185230792316031,0.3754503690349617,0.5,0.47058823529411764,0.2558139534883721,1,3,1,d9a6d49abdc313d0,tan014,2.2006866636666667,-0.29474890877562726,1,1,0.0,0.0,4.0,4.0,9.0,SPARSE,2.697303799699335,True
TREE_MC_lig2d_ext_massaction,196613,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,3,2.7072643639238856,2.7072643639238856,-2.7072643639238856,0.3076524207544898,0.3754503690349617,0.5,0.47058823529411764,0.2558139534883721,1,3,1,d9a6d49abdc313d0,tan014,2.2006866636666667,-0.506577700257219,1,1,0.0,0.0,4.0,4.0,9.0,SPARSE,2.697303799699335,True
TREE_MC_lig2d_ext_massaction,262147,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,3,2.8201897645796437,2.8201897645796437,-2.8201897645796437,0.3370580779092007,0.3754503690349617,-0.5,0.28888888888888886,0.2558139534883721,1,3,1,d9a6d49abdc313d0,tan014,2.2006866636666667,-0.6195031009129769,1,1,0.0,0.0,4.0,4.0,9.0,SPARSE,2.697303799699335,True
TREE_MC_lig2d_ext_massaction,104729,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,2.63595664946559,2.63595664946559,2.63595664946559,0.388703323105747,0.3466509986299608,-0.3318681318681319,0.65625,0.65625,14,1,1,db04e144e1ea83eb,tan069,-2.612219409492279,0.023737239973310637,1,1,0.0,0.0,3.0,3.0,8.5,SINGLE_BATCH,2.5968474791429372,True
