extractant,extractant_name,n_rows_bundle,n_lanthanides_bundle,n_lanthanides_after_quarantine,n_rows_todga_quarantined,n_rows_sentinel,n_missing_publication_id,n_publications,in_chem_map,chemotype,chem_family,n_cells_frozen,n_cells_no_pub_in_key,n_cells_key_relaxed,n_cells_key_series,n_cells_key_none,n_cells_no_quarantine,exclusion_rule,kept,n_cells_frozen_gt0
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2-hexyl-N-N-dimethyl-N-N-dioctylpropanediamide,9,9,9,0,0,0,1,True,sc030,malonamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2-(2-hexoxyethyl)-N-N-dimethyl-N-N-dioctylpropanediamide,52,14,14,0,0,0,2,True,sc030,malonamide,1,1,1,1,2,1,kept,True,True
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,N-N-dimethyl-N-N-dioctylpropanediamide,9,9,9,0,0,0,1,True,sc031,malonamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,N-methyl-2-[2-[methyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,449,14,14,0,0,0,7,True,sc009,diglycolamide,74,74,74,77,5,74,kept,True,True
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,MMTODGA,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,DIBDODGA,8,8,8,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,D2EHDODGA,8,8,8,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,DEDODGA,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,DODHtDGA,14,14,14,0,0,0,1,True,sc033,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,DPDODGA,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,N-(4-butyldecyl)-2-[2-[4-butyldecyl(octyl)amino]-2-oxoethoxy]-N-octylacetamide,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,DODDmDGA,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2-[1-(dioctylamino)-1-oxopropan-2-yl]oxy-N-N-dioctylpropanamide,46,14,14,0,0,0,5,True,sc027,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,N-N-N-N-tetraoctylpropanediamide,9,9,9,0,0,0,1,True,sc036,malonamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,NTAamide(C8),26,14,14,0,0,0,3,True,sc032,amide_other,5,5,1,5,1,5,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,DMDOaDGA,7,7,7,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,CITAM,1714,14,14,129,0,0,43,True,sc009,diglycolamide,171,171,174,200,21,171,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,DOODA (C8),70,14,14,0,0,0,1,True,sc009,amide_other,2,2,1,11,1,2,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,cMe2-TODGA,14,14,14,0,0,0,1,True,sc027,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,Et-Me-TODGA-Anti,13,13,13,0,0,0,1,True,sc027,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,tMe2-TODGA,14,14,14,0,0,0,1,True,sc027,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,p-TODGA-Syn,14,14,14,0,0,0,1,True,sc028,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,T8-PHEN-CAM,35,14,14,0,0,0,2,True,sc029,n_heterocyclic_polydentate,2,2,2,2,1,2,kept,True,True
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,N-N-bis(2-methylpropyl)-2-[octyl(phenyl)phosphoryl]acetamide,17,14,14,0,0,0,3,True,sc008,phosphoryl,2,2,2,2,2,2,kept,True,True
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2-6-bis(dioctylphosphorylmethyl)-1-oxidopyridin-1-ium,28,14,14,0,0,0,1,True,sc055,phosphoryl,2,2,2,2,1,2,kept,True,True
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,N-N-dihexyl-N-N-dimethylpropanediamide,9,9,9,0,0,0,1,True,sc031,malonamide,1,1,1,1,1,1,kept,True,True
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,N-(3-7-dimethyloct-6-enyl)-2-[2-[3-7-dimethyloct-6-enyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,14,14,14,0,0,0,1,True,sc057,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,N-(3-7-dimethyloctyl)-2-[2-[3-7-dimethyloctyl(hexyl)amino]-2-oxoethoxy]-N-hexylacetamide,14,14,14,0,0,0,1,True,sc009,diglycolamide,1,1,1,1,1,1,kept,True,True
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,N-N-N-N-tetrahexylpropanediamide,9,9,9,0,0,0,1,True,sc036,malonamide,1,1,1,1,1,1,kept,True,True
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,THDGA,43,8,8,0,0,0,5,True,sc009,diglycolamide,3,3,9,10,3,3,kept,True,True
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,N-N-dibutyl-2-(2-hexoxyethyl)-N-N-dimethylpropanediamide,6,3,3,0,0,0,2,True,sc030,malonamide,2,2,2,2,1,2,kept,True,True
CCCCCCOP(=O)(O)OCCCCCC,dihexyl hydrogen phosphate,10,10,10,0,0,0,1,True,sc058,phosphoryl,1,1,1,1,1,1,kept,True,True
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,N-ethyl-6-[6-[ethyl-(4-hexylphenyl)carbamoyl]-2-pyridinyl]-N-(4-hexylphenyl)pyridine-2-carboxamide,14,14,14,0,0,0,1,True,sc059,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,6-19-dihexyl-7-8-17-18-tetraphenyl-3-6-19-22-tetrazapentacyclo[12.8.0.02-11.04-9.016-21]docosa-1(22)-2-4(9)-7-10-12-14-16(21)-17-nonaene-5-20-dione,28,14,14,0,0,0,1,True,sc060,n_heterocyclic_polydentate,2,2,2,2,1,2,kept,True,True
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,C5BTBP,250,13,13,0,0,0,3,True,sc061,n_heterocyclic_polydentate,16,16,16,16,2,16,kept,True,True
CCCCN(C)C(=O)CC(=O)N(C)CCCC,N-N-dibutyl-N-N-dimethylpropanediamide,9,3,3,0,0,0,2,True,sc031,malonamide,3,3,3,3,1,3,kept,True,True
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,N-N-N-N-tetrabutyl-2-[[2-[3-(dibutylamino)-2-(dibutylcarbamoyl)-3-oxopropyl]phenyl]methyl]propanediamide,4,4,4,0,0,0,1,True,sc062,malonamide,1,1,1,1,1,1,kept,True,True
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylpropanediamide,9,9,9,0,0,0,1,True,sc036,malonamide,1,1,1,1,1,1,kept,True,True
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,N-N-N-N-tetrabutylbutanediamide,5,5,5,0,0,0,1,True,sc036,amide_other,1,1,1,1,1,1,kept,True,True
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,TBDGA,240,11,11,0,0,0,6,True,sc009,diglycolamide,33,33,33,31,4,33,kept,True,True
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,2-N-2-N-9-N-9-N-tetrabutyl-1-10-phenanthroline-2-9-dicarboxamide,14,14,14,0,0,0,1,True,sc029,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,2-(dibutylcarbamoyl)benzoic acid,3,3,3,0,0,0,1,True,sc063,amide_other,1,1,1,1,1,1,kept,True,True
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,TPrDGA,61,14,14,0,0,0,2,True,sc009,diglycolamide,9,9,5,9,1,9,kept,True,True
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,3-[6-(5-6-dipropyl-1-2-4-triazin-3-yl)-2-pyridinyl]-5-6-dipropyl-1-2-4-triazine,14,14,14,0,0,0,1,True,sc061,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-methylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,3,3,3,0,0,0,1,True,sc068,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,N-(3-5-dimethylphenyl)-6-[6-[(3-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,14,14,14,0,0,0,1,True,sc068,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,N-(2-5-dimethylphenyl)-6-[6-[(2-5-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,14,14,14,0,0,0,1,True,sc069,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,N-(2-4-dimethylphenyl)-6-[6-[(2-4-dimethylphenyl)-ethylcarbamoyl]-2-pyridinyl]-N-ethylpyridine-2-carboxamide,14,14,14,0,0,0,1,True,sc069,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,N-ethyl-6-[6-[ethyl(phenyl)carbamoyl]-2-pyridinyl]-N-phenylpyridine-2-carboxamide,14,14,14,0,0,0,1,True,sc068,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,2-N-6-N-diethyl-2-N-6-N-bis(4-methylphenyl)pyridine-2-6-dicarboxamide,14,14,14,0,0,0,1,True,sc068,amide_other,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,2-N-6-N-diethyl-2-N-6-N-bis(3-methylphenyl)pyridine-2-6-dicarboxamide,14,14,14,0,0,0,1,True,sc068,amide_other,1,1,1,1,1,1,kept,True,True
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,2-N-6-N-diethyl-2-N-6-N-bis(2-methylphenyl)pyridine-2-6-dicarboxamide,14,14,14,0,0,0,1,True,sc070,amide_other,1,1,1,1,1,1,kept,True,True
CCN(CC)C(=O)COCC(=O)N(CC)CC,TEDGA,84,14,14,0,0,0,1,True,sc071,diglycolamide,12,12,6,12,1,12,kept,True,True
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,2-N-9-N-diethyl-2-N-9-N-bis(4-ethylphenyl)-1-10-phenanthroline-2-9-dicarboxamide,14,14,14,0,0,0,1,True,sc068,n_heterocyclic_polydentate,1,1,1,1,1,1,kept,True,True
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,N-N-dimethyl-N-N-diphenylpropanediamide,14,14,14,0,0,0,1,True,sc075,malonamide,1,1,1,1,1,1,kept,True,True
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,DMDPDGA,78,14,14,0,0,0,3,True,sc076,diglycolamide,11,11,6,11,3,11,kept,True,True
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,2-N-6-N-dimethyl-2-N-6-N-diphenylpyridine-2-6-dicarboxamide,140,14,14,0,0,0,1,True,sc077,amide_other,10,10,10,11,1,10,kept,True,True
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,TEtOMeDGA,14,14,14,0,0,0,1,True,sc078,diglycolamide,1,1,1,1,1,1,kept,True,True
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,DPiperidineDGA,14,14,14,0,0,0,1,True,sc083,diglycolamide,1,1,1,1,1,1,kept,True,True
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,2-[[2-[bis(carboxymethyl)amino]cyclohexyl]-(carboxymethyl)amino]acetic acid,8,8,8,0,0,0,1,True,sc084,hydroxyl_acid,1,1,1,1,1,1,kept,True,True
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,2-[2-[bis(carboxymethyl)amino]ethyl-(2-hydroxyethyl)amino]acetic acid,8,8,8,0,0,0,1,True,sc085,hydroxyl_acid,1,1,1,1,1,1,kept,True,True
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,[4-7-dichloro-9-(pyrrolidine-1-carbonyl)-1-10-phenanthrolin-2-yl]-pyrrolidin-1-ylmethanone,28,14,14,0,0,0,1,True,sc086,n_heterocyclic_polydentate,2,2,2,2,1,2,kept,True,True
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,2-(3-4-dihydroxyphenyl)-3-5-7-trihydroxychromen-4-one,3,3,3,0,0,0,1,True,sc092,hydroxyl_acid,1,1,1,1,1,1,kept,True,True
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,3-10-13-16-23-pentaoxa-29-azatetracyclo[23.3.1.04-9.017-22]nonacosa-1(29)-4-6-8-17-19-21-25-27-nonaene,5,5,5,0,0,0,1,True,sc096,podand_ether,1,1,1,1,1,1,kept,True,True
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2-5-8-15-18-21-hexaoxatricyclo[20.4.0.09-14]hexacosa-1(26)-9-11-13-22-24-hexaene,5,5,5,0,0,0,1,True,sc097,podand_ether,1,1,1,1,1,1,kept,True,True
CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,C5-BPP,7,1,1,0,0,0,1,True,sc002,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,tBu-CyMe4-BTBP,15,1,1,0,0,0,1,True,sc003,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,DPhen-PyranDGA,3,1,1,0,0,0,1,True,sc004,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC(C)(C)c1ccc(NC(=O)c2cnccn2)cc1,TBAPYR,1,1,1,0,0,0,1,True,sc005,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC(C)(C)c1ccc(NCC(=O)c2cccc(C(=O)CNc3ccc(C(C)(C)C)cc3)n2)cc1,TBADIPIC,1,1,1,0,0,0,1,True,sc006,other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC(C)CCN(CCC(C)C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCC(C)C)CCC(C)C)c1,L1f,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,CyMe4-BTPhen,6,1,1,0,0,0,1,True,sc011,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,CyMe4-BTTP,11,1,1,0,0,0,1,True,sc012,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5ccccn5)n4)n3)nnc21,CyMe4-hemi-BTBP,2,1,1,0,0,0,1,True,sc012,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,Cy5-O-Me4-BTBP,5,1,1,0,0,0,1,True,sc013,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,Cy5S-Me4-BTBP,11,1,1,0,0,0,1,True,sc014,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,CA-BTBP,14,1,1,0,0,0,1,True,sc015,n_heterocyclic_polydentate,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,TWE-2,2,1,1,0,0,0,1,True,sc009,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,18b,12,1,1,0,0,0,2,True,sc016,amide_other,0,0,0,0,0,0,single_metal_in_bundle,False,False
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,L2c,1,1,1,0,0,0,1,True,sc009,diglycolamide,0,0,0,0,0,0,single_metal_in_bundle,False,False
