split_seed,model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows
104729,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.0025401459922392,0.8558620960808557,0.49088948376397257,0.21348134998353607,1.0182486349089972,1.1910884429944555,0.20246986370290043,0.5132359935020784,0.9054279214704755,1.9810501641705527,0.5043037768998471,0.6391258927552707,0.27915396341463417,0.4851371951219512,0.4981249193409234,5248,152,131,79,6.256051615740402,131,0.9078222891065411,0.7777541628347197,0.3516787358943257,396,1.080697441418377,0.9547903569680247,0.5033987978938002,1282
130363,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9485945753262343,0.7968295620510543,0.48288416058054257,0.3026506562950112,0.9641213289362779,1.0795031825507633,0.3208564895901648,0.49318976589728025,0.8639121832424981,1.8910343898943551,0.48386671004132353,0.6883220335612129,0.3022103658536585,0.546875,0.5502846849837941,5248,152,131,79,6.256051615740402,131,0.796653056694883,0.6825714410468755,0.35455402928944296,433,0.9979956864963878,0.8528515414411306,0.4774387237626415,1372
155921,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9374818260840659,0.7826673868749985,0.47508723297349376,0.31648844821758093,0.9510987818277079,1.0743429625520675,0.34873744616328206,0.48198028859424513,0.8754379880503695,1.8302696191455756,0.46994940323556317,0.6953421282092347,0.29535060975609756,0.5209603658536586,0.5368229463208248,5248,152,131,79,6.256051615740402,131,0.8273936129086658,0.6823855819950936,0.42103961080487506,397,1.0568123176381368,0.8780637613028068,0.5184353432344591,1829
196613,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,0.9747696192151505,0.8084998260930829,0.4744169153904658,0.30034599741072987,0.9687582194755153,1.1033247314758685,0.26426401838181,0.5306272616926939,0.8602175288309998,1.9254251004354193,0.47861056318946105,0.6971839020902747,0.3081173780487805,0.5354420731707317,0.5083579333724124,5248,152,131,79,6.256051615740402,131,0.8845560968040569,0.7317645681105983,0.40216402084158437,406,1.1016267564035693,0.9459724384621859,0.5152193406152449,1159
262147,A_GEN10_CONTROL|JOINT|GENERAL|ANNOTATION_SAFE|HIERARCHICAL|lam1,1.0028362564720952,0.870889113900087,0.4933481592665323,0.2811769140737208,1.0332686151674513,1.1465506933953062,0.24863343173934527,0.5277992376751893,0.93109544116974,2.060278650201223,0.4136831210232069,0.6818525345718596,0.2839176829268293,0.5062881097560976,0.5016669626944954,5248,152,131,79,6.256051615740402,131,0.9006324763796646,0.7366190825090707,0.4129360011942212,406,1.145627018589281,0.9900730469609049,0.5490437539958893,1273
104729,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.9844196430859331,0.8367943812167635,0.4920021725919017,0.21259439756146015,0.9987498839974628,1.1814230027953616,0.2173604320342063,0.5034154145741473,0.9118008146893591,1.9478368773267996,0.49961443523553806,0.6382900550490983,0.28277439024390244,0.48208841463414637,0.49336251137357034,5248,152,131,79,6.256051615740402,131,0.8830179848826004,0.7688039021682426,0.3567150624740218,396,1.058392330434029,0.9342817897393895,0.5058758080773357,1282
130363,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.9462998012803857,0.7981424877268246,0.48243920282036995,0.29183471863964994,0.9609173000090392,1.0868071799525476,0.31066015470681296,0.49294183142130743,0.8462104091534979,1.8936676293532955,0.48642349712653066,0.6833876078293446,0.3006859756097561,0.5463033536585366,0.5490891320653911,5248,152,131,79,6.256051615740402,131,0.7802253364506214,0.6698792136484858,0.35543907908025824,433,0.9988574672533265,0.8540152516617949,0.4772823622867617,1372
155921,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.9423398486719363,0.7947785273128408,0.4718470639951275,0.3134328362228743,0.9582312352274106,1.0873354477107011,0.3336830601188553,0.4914206658499288,0.8838299482181564,1.8394999456771008,0.47313553586114965,0.6933040868643159,0.29039634146341464,0.5154344512195121,0.5306195085051205,5248,152,131,79,6.256051615740402,131,0.8480255393417915,0.7133550781508091,0.4125426970866257,397,1.0626461015254927,0.8849192601068412,0.5164239900050329,1829
196613,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.9750706581765503,0.8143260530223744,0.4720129269276363,0.3052487100009368,0.9720546827259945,1.1202572621799682,0.2507101504886835,0.5423472807161269,0.8644468308711234,1.9198940172993482,0.4759324649115217,0.6978930818597572,0.3016387195121951,0.5226753048780488,0.5052838885796055,5248,152,131,79,6.256051615740402,131,0.8804119420115071,0.7226065798038757,0.4035907679900217,406,1.0905180717500915,0.9354729205853809,0.512149811673656,1159
262147,A_GEN10_CONTROL|JOINT|GENERAL|FROZEN_8|HIERARCHICAL|lam1,0.997844548740537,0.8686899603578534,0.48928203485496485,0.2780956601201724,1.027659253963977,1.1470959397488927,0.2535777920517869,0.5226338333961734,0.9127766815187912,2.031877124229263,0.43305809737921436,0.6763088946321111,0.27477134146341464,0.5043826219512195,0.5018217800075913,5248,152,131,79,6.256051615740402,131,0.9145646476675274,0.7615324319233854,0.4116763334791333,406,1.1330787357126444,0.9835805309614992,0.5461375744338847,1273
