arm,subset,gain,macro_mae,pooled_mae,n_pairs
C_DIRECT_ROW,far(gap>=7),0.85,0.756363910853662,0.9897734329850558,17410
C_DIRECT_ROW,far(gap>=7),0.9,0.751745077787817,0.980799494754323,17410
C_DIRECT_ROW,far(gap>=7),0.95,0.7479286551763307,0.9724556278724072,17410
C_DIRECT_ROW,far(gap>=7),1.0,0.7449809663487132,0.9648168749288737,17410
C_DIRECT_ROW,far(gap>=7),1.05,0.7430076620286885,0.9580027163888843,17410
C_DIRECT_ROW,far(gap>=7),1.1,0.7421344006812258,0.9521298576151964,17410
C_DIRECT_ROW,far(gap>=7),1.15,0.7423043725814672,0.9471977382780359,17410
C_DIRECT_ROW,far(gap>=7),1.2,0.7436080245332439,0.943166407041537,17410
C_DIRECT_ROW,far(gap>=7),1.25,0.7459403139223719,0.940021064769931,17410
C_DIRECT_ROW,far(gap>=7),1.3,0.7492640553100899,0.9377548848434756,17410
C_DIRECT_ROW,far(gap>=7),1.35,0.7531799184176939,0.936137419749222,17410
C_DIRECT_ROW,far(gap>=7),1.4,0.7576569327316134,0.9351671565911333,17410
C_DIRECT_ROW,far(gap>=7),1.45,0.7627009146115856,0.9348808639504547,17410
C_DIRECT_ROW,far(gap>=7),1.5,0.7681692240409606,0.9351482306621592,17410
C_DIRECT_ROW,far(gap>=7),1.55,0.7740240588773822,0.9359656281809984,17410
C_DIRECT_ROW,far(gap>=7),1.6,0.7802715185837472,0.9374372126937776,17410
C_DIRECT_ROW,far(gap>=7),1.65,0.7869932939205663,0.9395985320709036,17410
C_DIRECT_ROW,far(gap>=7),1.7,0.7940823993599445,0.942404832541347,17410
C_DIRECT_ROW,far(gap>=7),1.75,0.8014759054038627,0.9458313431758257,17410
C_DIRECT_ROW,far(gap>=7),1.8,0.8091903176148358,0.949924427536166,17410
C_DIRECT_ROW,far(gap>=7),1.85,0.8172589410410762,0.9546955226005391,17410
C_DIRECT_ROW,far(gap>=7),1.9,0.8258024689571262,0.9600939205400023,17410
C_DIRECT_ROW,far(gap>=7),1.95,0.8350121630899439,0.9662283810173764,17410
C_DIRECT_ROW,far(gap>=7),2.0,0.8447416626013226,0.9729797460797399,17410
M_SELECTED,all,0.8,0.5033874977294183,0.5157880819207494,70750
M_SELECTED,all,0.85,0.502267545122457,0.5117911154379896,70750
M_SELECTED,all,0.9,0.5015643445013886,0.5082868650193987,70750
M_SELECTED,all,0.95,0.5012890775490246,0.5053188988061136,70750
M_SELECTED,all,1.0,0.5014269541262518,0.5028568024785267,70750
M_SELECTED,all,1.05,0.5019993664081883,0.500903350049889,70750
M_SELECTED,all,1.1,0.502938790010431,0.49948148082526317,70750
M_SELECTED,all,1.15,0.5043096181748045,0.4986179951042579,70750
M_SELECTED,all,1.2,0.5060745136592522,0.4982768953130384,70750
M_SELECTED,all,1.25,0.508211393131735,0.4984888976696704,70750
M_SELECTED,all,1.3,0.510727620156056,0.4992985375130947,70750
M_SELECTED,all,1.35,0.5136882423167503,0.5007691676213439,70750
M_SELECTED,all,1.4,0.5171005062840204,0.5028530298563182,70750
M_SELECTED,all,1.45,0.5209528678616878,0.5055037140932934,70750
M_SELECTED,all,1.5,0.5252157256156804,0.508671814623453,70750
M_SELECTED,all,1.55,0.5299188712842121,0.5123620709405605,70750
M_SELECTED,all,1.6,0.5350405142142153,0.5165420044997969,70750
M_SELECTED,all,1.65,0.5405858125558145,0.5212427915095547,70750
M_SELECTED,all,1.7,0.5465647356120572,0.5264618234826205,70750
M_SELECTED,all,1.75,0.552920852568972,0.5321233096729121,70750
M_SELECTED,all,1.8,0.5596211598640235,0.5382007759821983,70750
M_SELECTED,all,1.85,0.5666815181269239,0.5447080566796685,70750
M_SELECTED,all,1.9,0.5740466931910714,0.551606252836679,70750
M_SELECTED,all,1.95,0.5816947779492319,0.5588534114367033,70750
M_SELECTED,all,2.0,0.589641405414591,0.5664209302456186,70750
M_SELECTED,adjacent(gap=1),0.8,0.1895369182239189,0.16871391402770622,11740
M_SELECTED,adjacent(gap=1),0.85,0.18939374337208403,0.16846313513599268,11740
M_SELECTED,adjacent(gap=1),0.9,0.18932726364924138,0.16832898373477287,11740
M_SELECTED,adjacent(gap=1),0.95,0.1893703975244127,0.1683261561803642,11740
M_SELECTED,adjacent(gap=1),1.0,0.1895681207852038,0.1684485894632529,11740
M_SELECTED,adjacent(gap=1),1.05,0.18986882226263396,0.1686875318781947,11740
M_SELECTED,adjacent(gap=1),1.1,0.19025166649543707,0.1690359603962191,11740
M_SELECTED,adjacent(gap=1),1.15,0.19070133545739193,0.16946400167514736,11740
M_SELECTED,adjacent(gap=1),1.2,0.19123920545013823,0.1699752279385135,11740
M_SELECTED,adjacent(gap=1),1.25,0.19188762153235267,0.17059624373894922,11740
M_SELECTED,adjacent(gap=1),1.3,0.19262441742783548,0.1713081216596804,11740
M_SELECTED,adjacent(gap=1),1.35,0.19344842988832955,0.1720951816735152,11740
M_SELECTED,adjacent(gap=1),1.4,0.1943994302826918,0.17298205572612896,11740
M_SELECTED,adjacent(gap=1),1.45,0.19542324405420208,0.1739567652279123,11740
M_SELECTED,adjacent(gap=1),1.5,0.19653652636152777,0.17502184502919974,11740
M_SELECTED,adjacent(gap=1),1.55,0.19771948270321804,0.17616509410113568,11740
M_SELECTED,adjacent(gap=1),1.6,0.19900409566405647,0.1774158320899741,11740
M_SELECTED,adjacent(gap=1),1.65,0.20036943226642395,0.17875877150530972,11740
M_SELECTED,adjacent(gap=1),1.7,0.2018352365926158,0.180189786088439,11740
M_SELECTED,adjacent(gap=1),1.75,0.20336200708689942,0.18171786368639312,11740
M_SELECTED,adjacent(gap=1),1.8,0.20495104915649115,0.18334836896889958,11740
M_SELECTED,adjacent(gap=1),1.85,0.20662615302692017,0.18507881255739284,11740
M_SELECTED,adjacent(gap=1),1.9,0.2083761378854828,0.18688818108022462,11740
M_SELECTED,adjacent(gap=1),1.95,0.21020264238925734,0.18877541242314266,11740
M_SELECTED,adjacent(gap=1),2.0,0.2121244614040434,0.19073770254762193,11740
M_SELECTED,far(gap>=7),0.8,0.7726970313882572,0.9338322428754323,17410
M_SELECTED,far(gap>=7),0.85,0.770505196197022,0.9235160244664841,17410
M_SELECTED,far(gap>=7),0.9,0.7688333731942143,0.9140355835556044,17410
M_SELECTED,far(gap>=7),0.95,0.7677099713385599,0.9054918052736087,17410
M_SELECTED,far(gap>=7),1.0,0.7671390868956391,0.8978217625887486,17410
M_SELECTED,far(gap>=7),1.05,0.7673370703128605,0.891105711929161,17410
M_SELECTED,far(gap>=7),1.1,0.7681250018411563,0.8853909671284346,17410
M_SELECTED,far(gap>=7),1.15,0.7696524853449744,0.8807707212369227,17410
M_SELECTED,far(gap>=7),1.2,0.7718398068128265,0.8771343872824504,17410
M_SELECTED,far(gap>=7),1.25,0.7746204506934734,0.8745927730000757,17410
M_SELECTED,far(gap>=7),1.3,0.7780705232508176,0.8732968713299444,17410
M_SELECTED,far(gap>=7),1.35,0.7824385666047713,0.8734835175083003,17410
M_SELECTED,far(gap>=7),1.4,0.7877811391691628,0.8750027698061802,17410
M_SELECTED,far(gap>=7),1.45,0.7938973332730442,0.8777113346251801,17410
M_SELECTED,far(gap>=7),1.5,0.8008132267764679,0.8815524886127108,17410
M_SELECTED,far(gap>=7),1.55,0.808674370890621,0.8865719612362124,17410
M_SELECTED,far(gap>=7),1.6,0.817393721475989,0.8926407526999787,17410
M_SELECTED,far(gap>=7),1.65,0.8269965939732551,0.8998654884708209,17410
M_SELECTED,far(gap>=7),1.7,0.8373737033205748,0.9081970140411874,17410
M_SELECTED,far(gap>=7),1.75,0.8485003275259798,0.9174457182816935,17410
M_SELECTED,far(gap>=7),1.8,0.8602622444589973,0.9275127779552099,17410
M_SELECTED,far(gap>=7),1.85,0.872624168020584,0.9384751407471936,17410
M_SELECTED,far(gap>=7),1.9,0.8855569895111512,0.9503027324987843,17410
M_SELECTED,far(gap>=7),1.95,0.8990043692879246,0.9628236379755487,17410
M_SELECTED,far(gap>=7),2.0,0.9130023160977446,0.9759716608081829,17410
M_PHYSICS_radius+radius_sq,all,0.8,0.5009106466896349,0.5047490025589517,70750
M_PHYSICS_radius+radius_sq,all,0.85,0.49948960902813394,0.5004874218613535,70750
M_PHYSICS_radius+radius_sq,all,0.9,0.4985244109806942,0.49678670122647983,70750
M_PHYSICS_radius+radius_sq,all,0.95,0.4980195347262681,0.49370293417783395,70750
M_PHYSICS_radius+radius_sq,all,1.0,0.49792999555684175,0.4911850928941966,70750
M_PHYSICS_radius+radius_sq,all,1.05,0.498306296383641,0.4892548621072562,70750
M_PHYSICS_radius+radius_sq,all,1.1,0.4991124244671773,0.487953481371253,70750
M_PHYSICS_radius+radius_sq,all,1.15,0.5002768278012423,0.48730836411270434,70750
M_PHYSICS_radius+radius_sq,all,1.2,0.5017757824077191,0.48729049669033947,70750
M_PHYSICS_radius+radius_sq,all,1.25,0.5036492355610022,0.48788210435111595,70750
M_PHYSICS_radius+radius_sq,all,1.3,0.5059088708295996,0.48909408704608914,70750
M_PHYSICS_radius+radius_sq,all,1.35,0.5085811024126715,0.49104693319409215,70750
M_PHYSICS_radius+radius_sq,all,1.4,0.5116569056739635,0.4936781006218399,70750
M_PHYSICS_radius+radius_sq,all,1.45,0.5151131967949653,0.4969442256567236,70750
M_PHYSICS_radius+radius_sq,all,1.5,0.5189857657372211,0.5007829430308391,70750
M_PHYSICS_radius+radius_sq,all,1.55,0.5232981590071809,0.5052191532358944,70750
