regime,split_seed,fold,n_train_ligands,n_design_columns,model,lambda_fixed,lambda_ligand,inner_macro_mae,n_grid_points
unseen_series,104729,2,134,129,C1_HIER_RIDGE,10.0,0.1,1.0916476845341923,15
unseen_series,104729,2,134,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,104729,3,131,129,MONO_RIDGE,100.0,,1.1275789305531416,3
unseen_series,104729,3,131,129,C1_HIER_RIDGE,10.0,0.1,1.0738706703854015,15
unseen_series,104729,3,131,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,104729,4,134,129,MONO_RIDGE,100.0,,1.0468220948096418,3
unseen_series,104729,4,134,129,C1_HIER_RIDGE,10.0,1.0,1.018618491985766,15
unseen_series,104729,4,134,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_series,130363,0,129,129,MONO_RIDGE,100.0,,1.0946244644498282,3
unseen_series,130363,0,129,129,C1_HIER_RIDGE,10.0,0.1,1.0497064546624644,15
unseen_series,130363,0,129,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,130363,1,134,129,MONO_RIDGE,100.0,,1.142824597108991,3
unseen_series,130363,1,134,129,C1_HIER_RIDGE,100.0,1.0,1.1112346908599862,15
unseen_series,130363,1,134,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_series,130363,2,132,129,MONO_RIDGE,100.0,,1.082482181988233,3
unseen_series,130363,2,132,129,C1_HIER_RIDGE,10.0,0.1,1.0489639430241322,15
unseen_series,130363,2,132,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,130363,3,129,129,MONO_RIDGE,10.0,,1.0598523328780824,3
unseen_series,130363,3,129,129,C1_HIER_RIDGE,10.0,1.0,1.0375701180277845,15
unseen_series,130363,3,129,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_series,130363,4,134,129,MONO_RIDGE,100.0,,1.0864470251689424,3
unseen_series,130363,4,134,129,C1_HIER_RIDGE,10.0,0.1,1.007161409681469,15
unseen_series,130363,4,134,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,155921,0,124,129,MONO_RIDGE,10.0,,1.0810603583443807,3
unseen_series,155921,0,124,129,C1_HIER_RIDGE,10.0,0.1,1.0247427147522268,15
unseen_series,155921,0,124,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,155921,1,132,129,MONO_RIDGE,100.0,,1.0831609680973058,3
unseen_series,155921,1,132,129,C1_HIER_RIDGE,10.0,0.1,1.0577152337595157,15
unseen_series,155921,1,132,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,155921,2,131,129,MONO_RIDGE,100.0,,1.115955173813724,3
unseen_series,155921,2,131,129,C1_HIER_RIDGE,10.0,0.1,1.0959427471828829,15
unseen_series,155921,2,131,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,155921,3,133,129,MONO_RIDGE,100.0,,1.115704399583741,3
unseen_series,155921,3,133,129,C1_HIER_RIDGE,10.0,0.1,1.0614658210038568,15
unseen_series,155921,3,133,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,155921,4,137,129,MONO_RIDGE,100.0,,1.0716358542606146,3
unseen_series,155921,4,137,129,C1_HIER_RIDGE,100.0,1.0,1.0393683209205598,15
unseen_series,155921,4,137,129,C3_SHARED_RIDGE,100.0,1.0,,0
unseen_series,196613,0,131,129,MONO_RIDGE,100.0,,1.150436150915553,3
unseen_series,196613,0,131,129,C1_HIER_RIDGE,10.0,1.0,1.125132018896294,15
unseen_series,196613,0,131,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_series,196613,1,130,129,MONO_RIDGE,100.0,,1.0667093626555608,3
unseen_series,196613,1,130,129,C1_HIER_RIDGE,10.0,1.0,1.0345138362804465,15
unseen_series,196613,1,130,129,C3_SHARED_RIDGE,10.0,1.0,,0
unseen_series,196613,2,132,129,MONO_RIDGE,100.0,,1.1432827628515352,3
unseen_series,196613,2,132,129,C1_HIER_RIDGE,10.0,0.1,1.1160411007185214,15
unseen_series,196613,2,132,129,C3_SHARED_RIDGE,10.0,0.1,,0
unseen_series,196613,3,125,129,MONO_RIDGE,100.0,,1.0797231110388927,3
unseen_series,196613,3,125,129,C1_HIER_RIDGE,10.0,0.1,1.0482056889683402,15
