design,unit,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
B,extractant,AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,-0.010205815608446214,-0.05203294347306902,0.03649679270560595,-0.07093522804960867,0.03005225883415034,0.7956,0.02618473091685438,0.07331724656719225,0.018697098438628126,90,50,2,5,-0.014411169832331277,0.024802811285858956,False,0.02,False,False
B,extractant,BIGGEST_vs_RANDOM,mae_all,RANDOM,BIGGEST,0.030428630761554665,0.013450977895859424,0.04663316904753447,0.012545246742470225,0.04579295641823988,0.0018,0.00823595534437252,0.023060674964243053,0.03176231687564071,90,74,5,5,0.02731885847984656,0.034290313744234004,True,0.02,True,True
B,extractant,AOPTR_vs_BIGGEST,mae_all,BIGGEST,AOPT_R,-0.040634446370000875,-0.08272455578294612,0.012915893893565978,-0.09996208209212948,0.0017809132198991174,0.2122,0.026509241358340697,0.07422587580335395,-0.013065218437012582,90,30,1,5,-0.04831154568568346,-0.006738285972132141,True,0.02,False,False
B,extractant,AOPTR_vs_RANDCM,mae_all,RANDCM,AOPT_R,-0.03682611614224114,-0.07165229219761078,0.004406656228765893,-0.08713254394615572,-0.00245138910693297,0.1354,0.021936641608507744,0.06142259650382168,-0.008973599857621277,90,30,1,5,-0.03994407856422708,-0.007953894445850741,True,0.02,False,False
B,extractant,RANDCM_vs_RANDOM,mae_all,RANDOM,RANDCM,0.02662030053379493,0.015374691005738229,0.04235229822893425,0.014380099572881562,0.04103905083868635,0.0,0.007065454668131595,0.019783273070768465,0.0276706982962494,90,74,5,5,0.022759845717615336,0.03275670573170968,True,0.02,True,True
B,chemotype,AOPTR_vs_RANDOM,mae_all,RANDOM,AOPT_R,0.018697098438628126,-0.0006588870873875458,0.03783604236987526,-0.0009513245705797746,0.03772112907706574,0.058,0.009903039337513717,0.027728510145038406,0.018697098438628126,45,30,4,5,0.01439111618947307,0.022171925337261308,True,0.02,False,False
B,chemotype,BIGGEST_vs_RANDOM,mae_all,RANDOM,BIGGEST,0.03176231687564071,0.009341343577696113,0.0535103955161282,0.007837492355321284,0.05229218466277195,0.0082,0.011295953526712194,0.03162866987479414,0.03176231687564071,45,37,5,5,0.028143408809492076,0.036052802243803604,True,0.02,True,True
B,chemotype,AOPTR_vs_BIGGEST,mae_all,BIGGEST,AOPT_R,-0.013065218437012582,-0.03562283152912928,0.01242374276402353,-0.03276952108072809,0.016615246494124554,0.2892,0.012203995786669489,0.03417118820267456,-0.013065218437012582,45,18,1,5,-0.0201157443905818,-0.00989361074872904,True,0.02,False,False
B,chemotype,AOPTR_vs_RANDCM,mae_all,RANDCM,AOPT_R,-0.008973599857621278,-0.02697596840068826,0.007262948457519072,-0.02964210218776592,0.005616825582339254,0.3112,0.008761899988344335,0.024533319967364138,-0.008973599857621278,45,17,1,5,-0.01155852843074799,-0.0033453939849510807,True,0.02,False,False
B,chemotype,RANDCM_vs_RANDOM,mae_all,RANDOM,RANDCM,0.0276706982962494,0.01532756657147769,0.039881529533957266,0.015070103102063486,0.039610580056654375,0.0,0.006341843737273376,0.017757162464365452,0.0276706982962494,45,36,5,5,0.025517319322212382,0.030521046187452307,True,0.02,True,True
