design,comparison,value,reference,candidate,point_mine,ci95_low_mine,ci95_high_mine,bca_low_mine,bca_high,p_two_sided_mine,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive_mine,n_seeds,loco_min,loco_max,loco_sign_stable_mine,margin,passes_intervals,passes_P1_mine,point_lead,ci95_low_lead,ci95_high_lead,bca_low_lead,p_two_sided_lead,seeds_positive_lead,loco_sign_stable_lead,passes_P1_lead,d_point
BQ,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,0.003460481622222099,-0.029781360705914337,0.02753668363224937,-0.028627416468673644,0.028729534329566507,0.8032,0.01460025567245332,0.040880715882869297,0.0006425237015836724,90,41,4,5,-0.004108037524142764,0.009377769031565097,False,0.02,False,False,0.003460481622222,-0.0297813607059143,0.0275366836322493,-0.0286274164686736,0.8032,4,False,False,9.8879238130678e-17
BQ,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,0.01710519089095982,-0.0316807541353729,0.04696830250577932,-0.023180239827634955,0.05155523142013138,0.4582,0.020446330712751603,0.057249725995704485,0.006822052164000543,90,48,4,5,-0.0010809348272316707,0.026096291781841485,False,0.02,False,False,0.0171051908909598,-0.0316807541353728,0.0469683025057793,-0.0231802398276349,0.4582,4,False,False,2.0816681711721685e-17
A,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.03674649425775374,0.020355966225097003,0.050365596569392726,0.021284963559232765,0.051085403820013975,0.0,0.007497158628333921,0.020992044159334977,0.0351510448235346,90,73,5,5,0.034109983434106476,0.03864288902065143,True,0.02,True,True,0.0367464942577537,0.020355966225097,0.0503655965693927,0.0212849635592327,0.0,5,True,True,4.163336342344337e-17
A,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.05302624707012112,0.018826055618105,0.0769539507619964,0.026286906029486547,0.08436267973378543,0.0008,0.015450239982417638,0.04326067195076938,0.04097301823601036,90,66,5,5,0.03598521556510096,0.0563134203537737,True,0.02,True,True,0.0530262470701211,0.018826055618105,0.0769539507619964,0.0262869060294865,0.0008,5,True,True,2.0816681711721685e-17
A,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.018016861657223583,-0.03674635796299183,-0.001355927912319391,-0.03476239576897044,0.0006179365946314976,0.0358,0.008807773954246123,0.02466176707188914,-0.0232799498344672,90,34,0,5,-0.023283648447061638,-0.015764130586624944,True,0.02,False,False,-0.0180168616572235,-0.0367463579629918,-0.0013559279123193,-0.0347623957689704,0.0358,0,True,False,-8.326672684688674e-17
A,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,-0.001737108844856198,-0.038501884376995074,0.021725357620258567,-0.029480271455828284,0.02826280316821547,0.837,0.01564086306243486,0.043794416574817606,-0.01745797642199145,90,37,2,5,-0.0176643107992346,0.0016499195934072638,False,0.02,False,False,-0.0017371088448561,-0.038501884376995,0.0217253576202585,-0.0294802714558282,0.837,2,False,False,-9.80118763926896e-17
BP,AOPT_vs_RANDOM,mae_all,RANDOM,AOPT,0.05006531841752166,0.027153594953636187,0.06622523398987341,0.032506850034337634,0.07182392163458212,0.0,0.010443605401855387,0.029242095125195083,0.03932145106448544,90,75,5,5,0.038014627979416245,0.05206667380227326,True,0.02,True,True,0.0500653184175216,0.0271535949536361,0.0662252339898734,0.0325068500343376,0.0,5,True,True,6.245004513516506e-17
BP,AOPT_vs_MAXMIN,mae_all,MAXMIN,AOPT,0.058208610152098945,0.015120142253150228,0.09199248364084982,0.02343694365101235,0.10398560896773283,0.0002,0.021121411425971057,0.05913995199271895,0.042079152959157116,90,69,5,5,0.03236157987655435,0.06447473956938178,True,0.02,True,True,0.0582086101520989,0.0151201422531502,0.0919924836408498,0.0234369436510123,0.0002,5,True,True,4.85722573273506e-17
BP,UNCERT_vs_RANDOM,mae_all,RANDOM,UNCERT,-0.010893824373663525,-0.04080594906813531,0.031821781210646924,-0.046642220659363395,0.02478558435270132,0.6496,0.019193837867716074,0.05374274602960501,0.004243926684689506,90,42,2,5,-0.02081001715719502,0.00783901003676222,False,0.02,False,False,-0.0108938243736635,-0.0408059490681353,0.0318217812106469,-0.0466422206593633,0.6496,2,False,False,-2.6020852139652106e-17
BP,UNCERT_vs_MAXMIN,mae_all,MAXMIN,UNCERT,-0.0027505326390862435,-0.027916005135469404,0.024754808533293614,-0.03038449797789112,0.02238099138373364,0.8486,0.01324713607248219,0.03709198100295013,0.007001628579361188,90,35,3,5,-0.0068460244633207976,0.004208899030918491,False,0.02,False,False,-0.0027505326390862,-0.0279160051354693,0.0247548085332936,-0.0303844979778911,0.8486,3,False,False,-4.336808689942018e-17
