scope,scheme,feature,is_informative,rows,rows_missing,frac_missing
archive,GENERAL,<ANY informative missing>,False,16770,4106,0.244842
archive,NO_RADIUS,metal_atomic_number,True,16770,1918,0.114371
archive,NO_RADIUS,metal_oxidation_state,True,16770,3286,0.195945
archive,NO_RADIUS,metal_effective_charge,True,16770,3286,0.195945
archive,NO_RADIUS,metal_is_oxo_species,True,16770,3286,0.195945
archive,NO_RADIUS,metal_f_electron_count,True,16770,3094,0.184496
archive,NO_RADIUS,metal_is_lanthanide,True,16770,1918,0.114371
archive,NO_RADIUS,metal_is_actinide,True,16770,1918,0.114371
archive,NO_RADIUS,metal_period,True,16770,1918,0.114371
archive,NO_RADIUS,metal_group,True,16770,1918,0.114371
archive,NO_RADIUS,metal_block_is_s,True,16770,1918,0.114371
archive,NO_RADIUS,metal_block_is_d,True,16770,1918,0.114371
archive,NO_RADIUS,metal_block_is_p,True,16770,1918,0.114371
archive,NO_RADIUS,metal_block_is_f,True,16770,1918,0.114371
archive,NO_RADIUS,metal_oxidation_state_is_missing,False,16770,0,0.0
archive,NO_RADIUS,metal_f_electron_count_is_missing,False,16770,0,0.0
archive,NO_RADIUS,metal_symbol_is_unknown,False,16770,0,0.0
archive,NO_RADIUS,<ALL informative missing>,False,16770,1918,0.114371
archive,NO_RADIUS,<ANY informative missing>,False,16770,3286,0.195945
