design,order,budget,macro_mae,flat,beats_flat
BR,MAXMIN,20,0.5476271747948707,0.5885062528901843,True
BR,MAXMIN,24,0.526321887584451,0.5885062528901843,True
BR,RANDOM,6,0.6016278224945306,0.5885062528901843,False
BR,RANDOM,9,0.5740757901908011,0.5885062528901843,True
BR,RANDOM,12,0.5495346795864953,0.5885062528901843,True
BR,RANDOM,16,0.5307417754687652,0.5885062528901843,True
BR,RANDOM,20,0.5123836786621119,0.5885062528901843,True
BR,RANDOM,24,0.503289597981046,0.5885062528901843,True
BR,UNCERT,6,0.595696195288377,0.5885062528901843,False
BR,UNCERT,9,0.60175319088092,0.5885062528901843,False
BR,UNCERT,12,0.5673855140319597,0.5885062528901843,True
BR,UNCERT,16,0.5163674519349439,0.5885062528901843,True
BR,UNCERT,20,0.5133140632334792,0.5885062528901843,True
BR,UNCERT,24,0.5016221604749879,0.5885062528901843,True
BQ,AOPT,6,0.5890920751619371,0.5885062528901843,False
BQ,AOPT,9,0.5654876662973687,0.5885062528901843,True
BQ,AOPT,12,0.5823756273601035,0.5885062528901843,True
BQ,AOPT,16,0.5459018177599093,0.5885062528901843,True
BQ,AOPT,20,0.5149549715472855,0.5885062528901843,True
BQ,AOPT,24,0.5249174085862846,0.5885062528901843,True
BQ,MAXMIN,6,0.5868137842474911,0.5885062528901843,True
BQ,MAXMIN,9,0.5922054603220296,0.5885062528901843,False
BQ,MAXMIN,12,0.5914990867427692,0.5885062528901843,False
BQ,MAXMIN,16,0.5543850953079423,0.5885062528901843,True
BQ,MAXMIN,20,0.5296139960141918,0.5885062528901843,True
BQ,MAXMIN,24,0.5298500789656752,0.5885062528901843,True
BQ,RANDOM,6,0.6042182624196111,0.5885062528901843,False
BQ,RANDOM,9,0.5816942791340332,0.5885062528901843,True
BQ,RANDOM,12,0.5539190776128173,0.5885062528901843,True
BQ,RANDOM,16,0.531518130854154,0.5885062528901843,True
BQ,RANDOM,20,0.5227744477405475,0.5885062528901843,True
BQ,RANDOM,24,0.5083750482265099,0.5885062528901843,True
BQ,UNCERT,6,0.5780241455712577,0.5885062528901843,True
BQ,UNCERT,9,0.5741371227947318,0.5885062528901843,True
BQ,UNCERT,12,0.5528209011861243,0.5885062528901843,True
BQ,UNCERT,16,0.5508716458174409,0.5885062528901843,True
BQ,UNCERT,20,0.5220789742789931,0.5885062528901843,True
BQ,UNCERT,24,0.5038035666057923,0.5885062528901843,True
A,AOPT,6,0.5331601766296297,0.5885062528901843,True
A,AOPT,9,0.509945255753849,0.5885062528901843,True
A,AOPT,12,0.5112670907813028,0.5885062528901843,True
A,AOPT,16,0.5061413295443493,0.5885062528901843,True
A,AOPT,20,0.4938201384178858,0.5885062528901843,True
A,AOPT,24,0.4987050358149242,0.5885062528901843,True
A,MAXMIN,6,0.591041900026275,0.5885062528901843,False
A,MAXMIN,9,0.5890337431560765,0.5885062528901843,False
A,MAXMIN,12,0.5715507145553428,0.5885062528901843,True
A,MAXMIN,16,0.5567369675900543,0.5885062528901843,True
A,MAXMIN,20,0.5381353854509177,0.5885062528901843,True
A,MAXMIN,24,0.5246977985840013,0.5885062528901843,True
A,RANDOM,6,0.5967451446568506,0.5885062528901843,False
A,RANDOM,9,0.566089675398163,0.5885062528901843,True
A,RANDOM,12,0.5495326899841582,0.5885062528901843,True
A,RANDOM,16,0.5309516983178253,0.5885062528901843,True
A,RANDOM,20,0.5198215220853311,0.5885062528901843,True
A,RANDOM,24,0.510377262046135,0.5885062528901843,True
A,UNCERT,6,0.6110972372300411,0.5885062528901843,False
A,UNCERT,9,0.611725012955024,0.5885062528901843,False
A,UNCERT,12,0.571824885685607,0.5885062528901843,True
A,UNCERT,16,0.5444584835951212,0.5885062528901843,True
A,UNCERT,20,0.5245330839852766,0.5885062528901843,True
A,UNCERT,24,0.5179804589807349,0.5885062528901843,True
BP,AOPT,6,0.5697893667771213,0.5885062528901843,True
BP,AOPT,9,0.5229821977582275,0.5885062528901843,True
BP,AOPT,12,0.5089522778258624,0.5885062528901843,True
BP,AOPT,16,0.49231860818305984,0.5885062528901843,True
BP,AOPT,20,0.5033477155391515,0.5885062528901843,True
BP,AOPT,24,0.5025663224782961,0.5885062528901843,True
BP,MAXMIN,6,0.5989165518986617,0.5885062528901843,False
BP,MAXMIN,9,0.6125514245000181,0.5885062528901843,False
BP,MAXMIN,12,0.6086223443941734,0.5885062528901843,False
BP,MAXMIN,16,0.5908899381988395,0.5885062528901843,False
BP,MAXMIN,20,0.5261637499649573,0.5885062528901843,True
BP,MAXMIN,24,0.512064140517662,0.5885062528901843,True
BP,RANDOM,6,0.626377931845348,0.5885062528901843,False
BP,RANDOM,9,0.6081656849240824,0.5885062528901843,False
BP,RANDOM,12,0.5780645037530586,0.5885062528901843,True
BP,RANDOM,16,0.5525012508576485,0.5885062528901843,True
BP,RANDOM,20,0.5241937323459265,0.5885062528901843,True
BP,RANDOM,24,0.5110452953407846,0.5885062528901843,True
BP,UNCERT,6,0.6629598652166737,0.5885062528901843,False
BP,UNCERT,9,0.6363775142328875,0.5885062528901843,False
BP,UNCERT,12,0.6058773241337179,0.5885062528901843,False
BP,UNCERT,16,0.5236403722049726,0.5885062528901843,True
BP,UNCERT,20,0.5199602145674336,0.5885062528901843,True
BP,UNCERT,24,0.5168960549531443,0.5885062528901843,True
