design,seed,fold,order,draw,k,cells_at_k,cell_share_at_k,overlap_top_k_by_cells,overlap_top_k_by_richcells
B,130363,2,RANDOM,0,12,27.0,0.054989816700611,0.3333333333333333,0.25
B,130363,2,RANDOM,0,16,82.0,0.1670061099796334,0.625,0.5625
B,130363,2,RANDOM,0,20,88.0,0.17922606924643583,0.55,0.5
B,130363,2,RANDOM,0,24,95.0,0.1934826883910387,0.6666666666666666,0.5833333333333334
B,130363,2,UNCERT,0,6,28.0,0.05702647657841141,0.16666666666666666,0.16666666666666666
B,130363,2,UNCERT,0,9,47.0,0.09572301425661914,0.2222222222222222,0.3333333333333333
B,130363,2,UNCERT,0,12,61.0,0.12423625254582485,0.4166666666666667,0.5
B,130363,2,UNCERT,0,16,443.0,0.9022403258655805,0.5,0.4375
B,130363,2,UNCERT,0,20,448.0,0.9124236252545825,0.6,0.6
B,130363,2,UNCERT,0,24,470.0,0.9572301425661914,0.7083333333333334,0.7083333333333334
B,130363,3,AOPT,0,6,28.0,0.2204724409448819,0.16666666666666666,0.16666666666666666
B,130363,3,AOPT,0,9,33.0,0.25984251968503935,0.1111111111111111,0.2222222222222222
B,130363,3,AOPT,0,12,57.0,0.44881889763779526,0.4166666666666667,0.5
B,130363,3,AOPT,0,16,79.0,0.6220472440944882,0.6875,0.6875
B,130363,3,AOPT,0,20,96.0,0.7559055118110236,0.75,0.75
B,130363,3,AOPT,0,24,110.0,0.8661417322834646,0.75,0.8333333333333334
B,130363,3,MAXMIN,0,6,9.0,0.07086614173228346,0.0,0.0
B,130363,3,MAXMIN,0,9,13.0,0.10236220472440945,0.0,0.1111111111111111
B,130363,3,MAXMIN,0,12,17.0,0.13385826771653545,0.0,0.08333333333333333
B,130363,3,MAXMIN,0,16,21.0,0.16535433070866143,0.1875,0.25
B,130363,3,MAXMIN,0,20,39.0,0.30708661417322836,0.45,0.5
B,130363,3,MAXMIN,0,24,79.0,0.6220472440944882,0.6666666666666666,0.6666666666666666
B,130363,3,RANDOM,0,6,11.0,0.08661417322834646,0.0,0.0
B,130363,3,RANDOM,0,9,15.0,0.11811023622047244,0.0,0.0
B,130363,3,RANDOM,0,12,45.0,0.3543307086614173,0.3333333333333333,0.3333333333333333
B,130363,3,RANDOM,0,16,52.0,0.4094488188976378,0.4375,0.5
B,130363,3,RANDOM,0,20,61.0,0.48031496062992124,0.55,0.55
B,130363,3,RANDOM,0,24,90.0,0.7086614173228346,0.6666666666666666,0.6666666666666666
B,130363,3,UNCERT,0,6,29.0,0.2283464566929134,0.16666666666666666,0.16666666666666666
B,130363,3,UNCERT,0,9,33.0,0.25984251968503935,0.1111111111111111,0.2222222222222222
B,130363,3,UNCERT,0,12,40.0,0.31496062992125984,0.3333333333333333,0.25
B,130363,3,UNCERT,0,16,71.0,0.5590551181102362,0.5,0.5
B,130363,3,UNCERT,0,20,80.0,0.6299212598425197,0.65,0.6
B,130363,3,UNCERT,0,24,88.0,0.6929133858267716,0.7916666666666666,0.7083333333333334
B,130363,4,AOPT,0,6,403.0,0.7964426877470355,0.3333333333333333,0.3333333333333333
B,130363,4,AOPT,0,9,407.0,0.8043478260869565,0.2222222222222222,0.3333333333333333
B,130363,4,AOPT,0,12,412.0,0.8142292490118577,0.3333333333333333,0.4166666666666667
B,130363,4,AOPT,0,16,421.0,0.8320158102766798,0.5,0.5
B,130363,4,AOPT,0,20,441.0,0.8715415019762845,0.65,0.65
B,130363,4,AOPT,0,24,489.0,0.9664031620553359,0.7916666666666666,0.7916666666666666
B,130363,4,MAXMIN,0,6,18.0,0.03557312252964427,0.16666666666666666,0.16666666666666666
B,130363,4,MAXMIN,0,9,32.0,0.06324110671936758,0.2222222222222222,0.2222222222222222
B,130363,4,MAXMIN,0,12,36.0,0.07114624505928854,0.16666666666666666,0.25
B,130363,4,MAXMIN,0,16,40.0,0.07905138339920949,0.3125,0.3125
B,130363,4,MAXMIN,0,20,52.0,0.10276679841897234,0.5,0.45
B,130363,4,MAXMIN,0,24,88.0,0.17391304347826086,0.6666666666666666,0.625
B,130363,4,RANDOM,0,6,18.0,0.03557312252964427,0.0,0.0
B,130363,4,RANDOM,0,9,38.0,0.07509881422924901,0.1111111111111111,0.2222222222222222
B,130363,4,RANDOM,0,12,55.0,0.10869565217391304,0.5,0.4166666666666667
B,130363,4,RANDOM,0,16,59.0,0.116600790513834,0.5,0.5
B,130363,4,RANDOM,0,20,63.0,0.12450592885375494,0.55,0.55
B,130363,4,RANDOM,0,24,442.0,0.8735177865612648,0.6666666666666666,0.6666666666666666
B,130363,4,UNCERT,0,6,400.0,0.7905138339920948,0.3333333333333333,0.3333333333333333
B,130363,4,UNCERT,0,9,407.0,0.8043478260869565,0.2222222222222222,0.2222222222222222
B,130363,4,UNCERT,0,12,437.0,0.8636363636363636,0.5,0.5
B,130363,4,UNCERT,0,16,453.0,0.8952569169960475,0.625,0.5625
B,130363,4,UNCERT,0,20,481.0,0.950592885375494,0.75,0.75
B,130363,4,UNCERT,0,24,486.0,0.9604743083003953,0.75,0.75
B,155921,0,AOPT,0,6,402.0,0.8137651821862348,0.3333333333333333,0.3333333333333333
B,155921,0,AOPT,0,9,406.0,0.8218623481781376,0.3333333333333333,0.3333333333333333
B,155921,0,AOPT,0,12,413.0,0.8360323886639676,0.5,0.5
B,155921,0,AOPT,0,16,422.0,0.854251012145749,0.5625,0.625
B,155921,0,AOPT,0,20,427.0,0.8643724696356275,0.55,0.6
B,155921,0,AOPT,0,24,442.0,0.8947368421052632,0.6666666666666666,0.6666666666666666
B,155921,0,MAXMIN,0,6,8.0,0.016194331983805668,0.0,0.0
B,155921,0,MAXMIN,0,9,17.0,0.03441295546558704,0.1111111111111111,0.2222222222222222
B,155921,0,MAXMIN,0,12,20.0,0.04048582995951417,0.16666666666666666,0.16666666666666666
B,155921,0,MAXMIN,0,16,33.0,0.06680161943319839,0.3125,0.3125
B,155921,0,MAXMIN,0,20,53.0,0.10728744939271255,0.45,0.45
B,155921,0,MAXMIN,0,24,83.0,0.1680161943319838,0.6666666666666666,0.625
B,155921,0,RANDOM,0,6,21.0,0.04251012145748988,0.16666666666666666,0.16666666666666666
B,155921,0,RANDOM,0,9,399.0,0.8076923076923077,0.3333333333333333,0.2222222222222222
B,155921,0,RANDOM,0,12,416.0,0.8421052631578947,0.4166666666666667,0.3333333333333333
B,155921,0,RANDOM,0,16,420.0,0.8502024291497976,0.5,0.4375
B,155921,0,RANDOM,0,20,441.0,0.8927125506072875,0.7,0.65
B,155921,0,RANDOM,0,24,446.0,0.902834008097166,0.75,0.7083333333333334
B,155921,0,UNCERT,0,6,25.0,0.05060728744939271,0.16666666666666666,0.16666666666666666
B,155921,0,UNCERT,0,9,28.0,0.05668016194331984,0.1111111111111111,0.1111111111111111
B,155921,0,UNCERT,0,12,36.0,0.0728744939271255,0.25,0.16666666666666666
B,155921,0,UNCERT,0,16,432.0,0.8744939271255061,0.5,0.5
B,155921,0,UNCERT,0,20,446.0,0.902834008097166,0.65,0.65
B,155921,0,UNCERT,0,24,471.0,0.9534412955465587,0.75,0.75
B,155921,1,AOPT,0,6,403.0,0.7948717948717948,0.3333333333333333,0.3333333333333333
B,155921,1,AOPT,0,9,407.0,0.8027613412228797,0.2222222222222222,0.3333333333333333
B,155921,1,AOPT,0,12,415.0,0.8185404339250493,0.4166666666666667,0.4166666666666667
B,155921,1,AOPT,0,16,426.0,0.8402366863905325,0.5625,0.625
B,155921,1,AOPT,0,20,467.0,0.9211045364891519,0.75,0.8
B,155921,1,AOPT,0,24,490.0,0.9664694280078896,0.8333333333333334,0.875
B,155921,1,MAXMIN,0,6,39.0,0.07692307692307693,0.3333333333333333,0.3333333333333333
B,155921,1,MAXMIN,0,9,53.0,0.10453648915187377,0.3333333333333333,0.3333333333333333
B,155921,1,MAXMIN,0,12,56.0,0.11045364891518737,0.25,0.25
B,155921,1,MAXMIN,0,16,65.0,0.1282051282051282,0.375,0.4375
B,155921,1,MAXMIN,0,20,74.0,0.14595660749506903,0.55,0.5
B,155921,1,MAXMIN,0,24,81.0,0.15976331360946747,0.625,0.625
B,155921,1,RANDOM,0,6,12.0,0.023668639053254437,0.0,0.0
B,155921,1,RANDOM,0,9,16.0,0.03155818540433925,0.0,0.1111111111111111
B,155921,1,RANDOM,0,12,22.0,0.04339250493096647,0.16666666666666666,0.3333333333333333
B,155921,1,RANDOM,0,16,40.0,0.07889546351084813,0.375,0.375
B,155921,1,RANDOM,0,20,55.0,0.10848126232741617,0.5,0.55
B,155921,1,RANDOM,0,24,73.0,0.14398422090729784,0.625,0.6666666666666666
B,155921,1,UNCERT,0,6,400.0,0.7889546351084813,0.3333333333333333,0.3333333333333333
B,155921,1,UNCERT,0,9,407.0,0.8027613412228797,0.3333333333333333,0.2222222222222222
B,155921,1,UNCERT,0,12,428.0,0.8441814595660749,0.4166666666666667,0.3333333333333333
B,155921,1,UNCERT,0,16,442.0,0.8717948717948718,0.5,0.5
B,155921,1,UNCERT,0,20,476.0,0.9388560157790927,0.6,0.6
B,155921,1,UNCERT,0,24,485.0,0.9566074950690335,0.75,0.75
B,155921,2,AOPT,0,6,403.0,0.8395833333333333,0.3333333333333333,0.3333333333333333
B,155921,2,AOPT,0,9,406.0,0.8458333333333333,0.3333333333333333,0.4444444444444444
B,155921,2,AOPT,0,12,415.0,0.8645833333333334,0.5,0.5833333333333334
B,155921,2,AOPT,0,16,440.0,0.9166666666666666,0.625,0.625
B,155921,2,AOPT,0,20,458.0,0.9541666666666667,0.7,0.75
B,155921,2,AOPT,0,24,464.0,0.9666666666666667,0.75,0.7916666666666666
B,155921,2,MAXMIN,0,6,10.0,0.020833333333333332,0.0,0.0
B,155921,2,MAXMIN,0,9,15.0,0.03125,0.0,0.1111111111111111
B,155921,2,MAXMIN,0,12,18.0,0.0375,0.16666666666666666,0.25
B,155921,2,MAXMIN,0,16,33.0,0.06875,0.375,0.4375
B,155921,2,MAXMIN,0,20,56.0,0.11666666666666667,0.5,0.55
B,155921,2,MAXMIN,0,24,61.0,0.12708333333333333,0.5833333333333334,0.625
B,155921,2,RANDOM,0,6,405.0,0.84375,0.5,0.5
B,155921,2,RANDOM,0,9,418.0,0.8708333333333333,0.4444444444444444,0.4444444444444444
B,155921,2,RANDOM,0,12,421.0,0.8770833333333333,0.3333333333333333,0.3333333333333333
B,155921,2,RANDOM,0,16,434.0,0.9041666666666667,0.375,0.3125
B,155921,2,RANDOM,0,20,443.0,0.9229166666666667,0.45,0.4
B,155921,2,RANDOM,0,24,448.0,0.9333333333333333,0.625,0.625
B,155921,2,UNCERT,0,6,401.0,0.8354166666666667,0.3333333333333333,0.3333333333333333
B,155921,2,UNCERT,0,9,404.0,0.8416666666666667,0.3333333333333333,0.3333333333333333
B,155921,2,UNCERT,0,12,407.0,0.8479166666666667,0.25,0.3333333333333333
B,155921,2,UNCERT,0,16,412.0,0.8583333333333333,0.4375,0.5
B,155921,2,UNCERT,0,20,437.0,0.9104166666666667,0.55,0.55
B,155921,2,UNCERT,0,24,450.0,0.9375,0.625,0.6666666666666666
