model,set,target,value,rho,p,n,loco_min,loco_max,loco_sign_stable,n_loco,partial_rho_n_metals,ci95_low,ci95_high,n_boot,ci_excludes_zero,rho_chemotype_means,n_chemotypes,clears_familywise_bar
ELEM,S8,abs_a,quad,0.14809498627584297,0.2506725523530971,62,0.097676008202324,0.22123225611597705,True,40,0.09001743934387216,-0.0958942327969412,0.4514656470166524,2000,False,0.17931034482758618,29,False
ELEM,S8,b,quad,-0.053360529828007354,0.6804096359473962,62,-0.1082754454847478,-0.008937070333157058,True,40,0.01275318915218022,-0.3820863230679076,0.13337507736673135,2000,False,-0.32807881773399006,29,False
ELEM,S14,a,quad,0.101417004048583,0.5389973279002604,39,0.03424882372250793,0.14235693183061604,True,40,0.10480618439603477,-0.23114503253876076,0.4320174094784102,1895,False,-0.01547987616099071,18,False
ELEM,S14,abs_a,quad,0.1291497975708502,0.4332812603948851,39,0.05182072829131653,0.33076923076923076,True,40,0.10535907765230876,-0.23233572193594387,0.6281495592489925,1895,False,0.36429308565531476,18,False
ELEM,S14,b,quad,0.0771255060728745,0.640733029821194,39,0.01312741312741313,0.14323230112703797,True,40,0.12311070469302625,-0.27536778551136537,0.3765214276356201,1895,False,-0.15789473684210525,18,False
ELEM,S3,a,quad,0.1294060370009737,0.25568888255992794,79,0.10048747377514503,0.1785845733214154,True,40,0.13794775120575342,-0.1344158820864622,0.32774519486926484,2000,False,0.0832695043221359,38,False
ELEM,S3,abs_a,quad,-0.0512414800389484,0.6538070823569636,79,-0.09014669540985329,0.007450444292549555,False,40,-0.07536291703339854,-0.23204552939939907,0.21287767359004292,2000,False,0.00032826348615822297,38,False
ELEM,S3,b,quad,-0.09518013631937682,0.40406017585484955,79,-0.15570745044429257,-0.06245653081096119,True,40,-0.08970608159522056,-0.39058395049796557,0.09903599369332314,2000,False,-0.35704125177809387,38,False
SPECIES,S8,a,quad,0.26559391604341365,0.03694599568820689,62,0.21987315010570824,0.3043892120571126,True,40,0.26150302935206554,-0.04119901733305734,0.45768473784989,2000,False,0.17487684729064035,29,False
SPECIES,S8,abs_a,quad,-0.026415854549117376,0.8385088671885457,62,-0.12638414217361585,0.15554213228631833,False,40,-0.008075146244387876,-0.29388422154224564,0.3680627967079052,2000,False,0.10443349753694578,29,False
SPECIES,S8,b,quad,0.05255470776359195,0.6849812931785323,62,0.00011689070718877851,0.09095716552088841,True,40,0.03553866984828556,-0.24880971068362776,0.23671501594424618,2000,False,-0.10591133004926105,29,False
SPECIES,S14,a,quad,0.28238866396761136,0.08154580954364461,39,0.14153846153846153,0.3528832476200897,True,40,0.28070601958447866,-0.18948322736946005,0.5253163324647718,1895,False,0.11661506707946334,18,False
SPECIES,S14,abs_a,quad,-0.10809716599190285,0.5124506439966786,39,-0.22549019607843138,0.13384615384615384,False,40,-0.08334650594242907,-0.4452067216014727,0.44051592467043077,1895,False,-0.01547987616099071,18,False
SPECIES,S14,b,quad,0.17206477732793524,0.29490569801381744,39,0.08545688545688547,0.23470839260312942,True,40,0.1507770755798617,-0.15414738497789437,0.43939588489022735,1895,False,0.005159958720330237,18,False
SPECIES,S3,a,quad,0.27689873417721517,0.013495772839744083,79,0.23260423786739576,0.3105628548666523,True,40,0.26582653860938454,0.019350339494973126,0.4418251535941189,2000,True,0.18218623481781376,38,False
