term,coef,se,model
series::CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1||nitrate,2.853187927265048,2.3843935492867385,NAIVE
series::CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C||nitrate,0.999341891984157,0.8851427753288573,NAIVE
series::CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC||nitrate,0.8652560343255042,0.8851427753288573,NAIVE
series::CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC||water,4.694492882943981,0.6865730041844584,NAIVE
series::CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C||water,4.296437004587718,0.6865730041844584,NAIVE
series::CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC||water,4.6453511687995555,0.6865730041844582,NAIVE
series::CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC||water,5.97848800946512,0.6865730041844583,NAIVE
series::CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C||water,5.299701056885182,0.6865730041844584,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1||nitrate,1.8566127289414123,2.384393549286738,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1||water,3.5079728391738367,2.384393549286739,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC||nitrate,1.0625829472189419,0.6865730041844584,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC||water,2.3226818333587422,2.3843935492867394,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1||nitrate,2.921579404261151,2.3843935492867394,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1||water,2.653630694081599,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,3.468654756380629,0.9400285283485209,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,4.198898952998236,2.384393549286739,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC||water,2.957535072422643,2.3843935492867394,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,1.2025766637536461,1.0981422996751797,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1||nitrate,3.3512424506716396,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC||nitrate,2.8660307514892533,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC||water,1.0535185237732005,2.384393549286738,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC||nitrate,4.699887398983289,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC||water,2.9791880377706894,2.3843935492867367,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC||nitrate,-8.324161410781105,2.38439354928674,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC||water,6.915863743388424,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1||nitrate,3.4107387929561845,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1||water,4.124176152870886,2.3843935492867385,NAIVE
series::CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC||water,3.5259273282900185,2.3843935492867385,NAIVE
