extractant,a,b,abs_a,n_metals,n_cells,chemotype,slope__NAIVE__S8,slope__NAIVE__S14,slope__NAIVE__S3,slope__ELEM__S8,slope__ELEM__S14,slope__ELEM__S3,slope__SPECIES__S8,slope__SPECIES__S14,slope__SPECIES__S3,slope__SPECIES_CONST__S8,slope__SPECIES_CONST__S14,slope__SPECIES_CONST__S3,slope__SPECIES_NFILLCOL__S8,slope__SPECIES_NFILLCOL__S14,slope__SPECIES_NFILLCOL__S3
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,-0.46063267360784843,0.1401303860221489,0.46063267360784843,5.7272727272727275,11,sc018,,,-485.2687452874666,,,-1.8876866720665952,,,-0.5984913726967489,,,,,,-0.707827032165967
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,-0.7847921858795874,-0.10437334281597316,0.7847921858795874,14.0,1,sc009,-642.6053628927849,-642.6053628927849,-642.6053628927849,-1.6368430413093575,-1.6368430413093575,-1.6368430413093575,0.1122007734351713,0.1122007734351713,0.1122007734351713,,,,0.03745966501435696,0.03745966501435696,0.03745966501435696
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,-0.569600970402105,-0.09861878784918293,0.569600970402105,14.0,1,sc019,-861.6913456017376,-861.6913456017376,-861.6913456017376,0.06941980256074809,0.06941980256074809,0.06941980256074809,0.04499091008868106,0.04499091008868106,0.04499091008868106,,,,-0.02975019833033432,-0.02975019833033432,-0.02975019833033432
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.029087123427637352,-0.4690365346128549,0.029087123427637352,7.0,3,sc020,,,40.58758670534357,,,-0.09192745253408452,,,0.35202796994996605,,,0.8114715661244383,,,-0.5724245776238174
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,-1.2616648349370063,-0.10111352330586142,1.2616648349370063,13.0,1,sc009,-1051.8427921483913,,-1051.8427921483913,-2.415206903793003,,-2.415206903793003,0.22821280566400012,,0.22821280566400012,,,,0.14784960690301754,,0.14784960690301754
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,-1.0989182138161144,-0.09950622864584704,1.0989182138161144,14.0,1,sc021,-681.789636607719,-681.789636607719,-681.789636607719,1.173440687941976,1.173440687941976,1.173440687941976,-0.1485543426568725,-0.1485543426568725,-0.1485543426568725,,,,-0.22329545109361867,-0.22329545109361867,-0.22329545109361867
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,-0.05578616328538173,-0.11153818975655101,0.05578616328538173,6.7272727272727275,11,sc009,,,-3009.1754041108693,,,0.6112083023018672,,,1.2506865227256065,,,,,,0.929343343949913
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.07325366982190169,0.025548324705261766,0.07325366982190169,7.2,10,sc009,1165.0024808923563,1165.0024808923563,1165.0024808923563,-0.457360688818419,-0.457360688818419,-0.457360688818419,-1.1714482096407566,-1.1714482096407566,-1.1714482096407566,,,,-1.0686465551086428,-1.0686465551086428,-1.0686465551086428
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.20480419002779032,-0.18495142442585483,0.20480419002779032,8.0,5,sc027,-2330.6456874834157,,-2330.6456874834157,0.888104295003453,,0.888104295003453,0.22234235227934676,,0.22234235227934676,,,,0.21168983093866753,,0.21168983093866753
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-0.08144215954670339,0.007402979123800198,0.08144215954670339,6.4,20,sc009,-655.604491610078,-655.604491610078,-655.604491610078,-0.12442055016102366,-0.12442055016102366,-0.12442055016102366,-0.5349592827564237,-0.5349592827564237,-0.5349592827564237,,,,-0.609700391191933,-0.609700391191933,-0.609700391191933
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.3037287353869552,0.045045909590600695,0.3037287353869552,8.0,1,sc009,,,-1518.3547088098303,,,1.242728939307252,,,-0.4546888138496845,,,,,,-0.7739369294741235
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.06633072708891824,-0.20675673490621135,0.06633072708891824,14.0,1,sc027,-1100.4120279449357,-1100.4120279449357,-1100.4120279449357,0.13907283270598808,0.13907283270598808,0.13907283270598808,-0.09086946439339738,-0.09086946439339738,-0.09086946439339738,,,,-0.1656105728303692,-0.1656105728303692,-0.1656105728303692
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.35530751853699627,-0.24873810458277856,0.35530751853699627,13.0,1,sc028,-1315.7236256071758,,-1315.7236256071758,0.27011377479774246,,0.27011377479774246,0.04938574855313521,,0.04938574855313521,,,,-0.0666219397395984,,-0.0666219397395984
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,0.05677265550773193,0.07445454333299406,0.05677265550773193,14.0,1,sc029,-99.82681269672943,-99.82681269672943,-99.82681269672943,-0.2080705549868683,-0.2080705549868683,-0.2080705549868683,-0.17252491317893057,-0.17252491317893057,-0.17252491317893057,,,,-0.24726602161459954,-0.24726602161459954,-0.24726602161459954
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,0.15999421231466016,-0.006910759980945884,0.15999421231466016,9.0,1,sc030,,,1016.8326673262852,,,0.8079565588162096,,,0.7284994704268731,,,0.7405869504641907,,,2.821380351262647
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,0.3467328148760595,-0.18375897577768446,0.3467328148760595,14.0,1,sc030,-340.7375447138228,,-340.7375447138228,2.0217395016292263,,2.0217395016292263,-0.06975571773385802,,-0.06975571773385802,,,,-0.15688709110239674,,-0.15688709110239674
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,0.36221010057175657,0.03768674494564828,0.36221010057175657,9.0,1,sc031,1122.287401754162,,1122.287401754162,0.12584838433704942,,0.12584838433704942,0.01403702956184244,,0.01403702956184244,0.030147070130206094,,0.030147070130206094,2.3858239876059266,,2.3858239876059266
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,-0.6453826421271318,-0.00476060643880139,0.6453826421271318,9.11111111111111,27,sc009,-156.25165068638725,-156.25165068638725,-156.25165068638725,-0.8151632542479977,-0.8151632542479977,-0.8151632542479977,-0.04313114858188981,-0.04313114858188981,-0.04313114858188981,,,,-0.11787225700199848,-0.11787225700199848,-0.11787225700199848
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.8244015014148325,-0.2372365649028476,0.8244015014148325,14.0,1,sc009,-439.80562674526425,-439.80562674526425,-439.80562674526425,-1.1421204018455087,-1.1421204018455087,-1.1421204018455087,-0.008421778657682288,-0.008421778657682288,-0.008421778657682288,,,,-0.08316288707880047,-0.08316288707880047,-0.08316288707880047
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,-0.22633407470931466,-0.022587341031049077,0.22633407470931466,8.0,1,sc009,-346.0104765063958,,-346.0104765063958,2.1469799926479776,,2.1469799926479776,0.05560942134204901,,0.05560942134204901,,,,-0.10156403628833233,,-0.10156403628833233
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,-0.2521014826249013,-0.03219809901232894,0.2521014826249013,8.0,1,sc009,-681.0478077352689,,-681.0478077352689,1.4726307751244514,,1.4726307751244514,0.06311043259455004,,0.06311043259455004,,,,-0.09406302503502124,,-0.09406302503502124
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,-0.7292481827765358,-0.29238195007435935,0.7292481827765358,14.0,1,sc009,-237.38866821687176,-237.38866821687176,-237.38866821687176,-1.0301753815097208,-1.0301753815097208,-1.0301753815097208,0.04508116434309663,0.04508116434309663,0.04508116434309663,,,,-0.02965994408012987,-0.02965994408012987,-0.02965994408012987
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,-0.7170884578157906,-0.15690949852024416,0.7170884578157906,14.0,1,sc033,-804.9307352303126,-804.9307352303126,-804.9307352303126,-2.118204572391683,-2.118204572391683,-2.118204572391683,-0.08446673809016181,-0.08446673809016181,-0.08446673809016181,,,,-0.1592078465127772,-0.1592078465127772,-0.1592078465127772
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,-0.7940811776094859,-0.2985258743493042,0.7940811776094859,14.0,1,sc009,-318.58269950361097,-318.58269950361097,-318.58269950361097,-1.3022012650262986,-1.3022012650262986,-1.3022012650262986,0.012502431896376134,0.012502431896376134,0.012502431896376134,,,,-0.06223867652776097,-0.06223867652776097,-0.06223867652776097
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,-0.8867915164656944,-0.12649247502408864,0.8867915164656944,13.0,1,sc009,-1209.6281060771908,-1209.6281060771908,-1209.6281060771908,-2.205548403156163,-2.205548403156163,-2.205548403156163,0.09426302354904526,0.09426302354904526,0.09426302354904526,,,,0.01952191512669066,0.01952191512669066,0.01952191512669066
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,-0.9992745864042203,-0.17784724730344387,0.9992745864042203,14.0,1,sc009,-1047.0972619847068,-1047.0972619847068,-1047.0972619847068,-1.5187151171178068,-1.5187151171178068,-1.5187151171178068,-0.010636901920386244,-0.010636901920386244,-0.010636901920386244,,,,-0.08537801034023651,-0.08537801034023651,-0.08537801034023651
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,-0.22427103249718483,-0.20273156355578997,0.22427103249718483,14.0,1,sc027,-735.0597487281635,-735.0597487281635,-735.0597487281635,1.342327734976285,1.342327734976285,1.342327734976285,0.109378372451094,0.109378372451094,0.109378372451094,,,,0.034637264014956454,0.034637264014956454,0.034637264014956454
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,0.07767791537411164,0.07923142927827162,0.07767791537411164,9.0,1,sc036,,,1122.045646837562,,,-0.15305693662819003,,,-0.25179374254158726,,,-0.21673673111480002,,,2.1122009626491605
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,0.008022171823822402,-0.785336214012229,0.008022171823822402,7.0,1,sc009,,,-224.79725712533153,,,-1.3395310674436822,,,0.1081587017405787,,,,,,-0.014863469804199142
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.3255745912705604,-0.07822069944820567,0.3255745912705604,9.984126984126984,63,sc009,-654.3110804205594,-654.3110804205594,-654.3110804205594,1.1689906393575662,1.1689906393575662,1.1689906393575662,-0.00819685285607924,-0.00819685285607924,-0.00819685285607924,,,,-0.08293796129225195,-0.08293796129225195,-0.08293796129225195
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,-0.0007708247149778961,0.08773932512607294,0.0007708247149778961,7.0,2,sc009,772.4844993031852,772.4844993031852,772.4844993031852,0.18988818341645558,0.18988818341645558,0.18988818341645558,-0.004109294750755027,-0.004109294750755027,-0.004109294750755027,-0.07974859850291077,-0.07974859850291077,-0.07974859850291077,1.533705147052891,1.533705147052891,1.533705147052891
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-0.3587201508417729,-0.31008639404587396,0.3587201508417729,14.0,1,sc027,-735.676014667878,-735.676014667878,-735.676014667878,0.7260617952614308,0.7260617952614308,0.7260617952614308,-0.10204127364403424,-0.10204127364403424,-0.10204127364403424,,,,-0.17678238207714939,-0.17678238207714939,-0.17678238207714939
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,-0.1344018887022944,-0.08222453155566446,0.1344018887022944,13.0,1,sc027,-724.5034194849192,,-724.5034194849192,1.9175484641783835,,1.9175484641783835,0.2167232418287547,,0.2167232418287547,,,,0.1258524881625982,,0.1258524881625982
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,-0.06436545424974306,-0.08489687761980698,0.06436545424974306,14.0,1,sc027,-735.2905653608177,-735.2905653608177,-735.2905653608177,1.1115111023218798,1.1115111023218798,1.1115111023218798,0.10309335905277739,0.10309335905277739,0.10309335905277739,,,,0.028352250615311242,0.028352250615311242,0.028352250615311242
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,0.30492576817424943,-0.1443408376652124,0.30492576817424943,14.0,1,sc028,-898.002520820872,-898.002520820872,-898.002520820872,0.2435664487129573,0.2435664487129573,0.2435664487129573,-0.33462742427182984,-0.33462742427182984,-0.33462742427182984,,,,-0.40936853270660756,-0.40936853270660756,-0.40936853270660756
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,0.05523910660636944,0.023956566968087185,0.05523910660636944,11.5,2,sc029,1090.277606718156,1090.277606718156,1090.277606718156,1.154889528048097,1.154889528048097,1.154889528048097,0.12447090626865391,0.12447090626865391,0.12447090626865391,,,,0.2336727414737017,0.2336727414737017,0.2336727414737017
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.0804098188497249,-0.15704413138577816,0.0804098188497249,13.0,1,sc008,774.3817358777552,,774.3817358777552,-0.20280157881397906,,-0.20280157881397906,-0.391613473714385,,-0.391613473714385,-0.45724153304516113,,-0.45724153304516113,1.1536625268276266,,1.1536625268276266
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],0.2811611168792546,-0.2219101300475188,0.2811611168792546,14.0,2,sc055,-826.8770110804016,,-826.8770110804016,-1.3022525816579191,,-1.3022525816579191,0.12551717838084198,,0.12551717838084198,,,,0.037212314982430106,,0.037212314982430106
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,0.0847260190546904,0.007507944947351539,0.0847260190546904,9.0,1,sc031,1121.8309360181256,,1121.8309360181256,-0.3306173516992656,,-0.3306173516992656,-0.44242870647448285,,-0.44242870647448285,-0.426318665906102,,-0.426318665906102,1.9293582515696315,,1.9293582515696315
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,-0.8569266354753365,-0.20916645452008065,0.8569266354753365,14.0,1,sc057,-696.2271191503462,-696.2271191503462,-696.2271191503462,-0.29258682738299663,-0.29258682738299663,-0.29258682738299663,0.21840819456859517,0.21840819456859517,0.21840819456859517,,,,0.14366708614716056,0.14366708614716056,0.14366708614716056
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,-0.9088900787833218,-0.18632234614240195,0.9088900787833218,14.0,1,sc009,-723.4202570614584,-723.4202570614584,-723.4202570614584,-1.5297318067601688,-1.5297318067601688,-1.5297318067601688,0.08834356691057867,0.08834356691057867,0.08834356691057867,,,,0.013602458488142205,0.013602458488142205,0.013602458488142205
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,0.09450184366406067,0.07059332345030415,0.09450184366406067,9.0,1,sc036,1122.263350189061,,1122.263350189061,0.10179681923609271,,0.10179681923609271,-0.010014535539183578,,-0.010014535539183578,0.006095505029249437,,0.006095505029249437,2.361772422504921,,2.361772422504921
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,-0.22956325896989577,-0.06888889022977193,0.22956325896989577,8.0,2,sc009,,,-307.3836901917887,,,1.482430423786668,,,-0.014122155341394105,,,,,,-0.20990765204086237
CCCCCCOP(=O)(O)OCCCCCC,-0.6727596782605673,-0.13556048833794881,0.6727596782605673,10.0,1,sc058,,,,,,,,,,,,,,,
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,0.23276708074116695,-0.06903078882046128,0.23276708074116695,14.0,1,sc059,772.9500952860444,772.9500952860444,772.9500952860444,0.6554841662755195,0.6554841662755195,0.6554841662755195,0.46148668810831905,0.46148668810831905,0.46148668810831905,0.3858473843561596,0.3858473843561596,0.3858473843561596,1.9993011299119616,1.9993011299119616,1.9993011299119616
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,0.9141468586952404,0.2796385176780678,0.9141468586952404,14.0,2,sc060,838.0679785275802,838.0679785275802,838.0679785275802,-1.3095619275419252,-1.3095619275419252,-1.3095619275419252,0.17903402694292028,0.17903402694292028,0.17903402694292028,0.12181580796891149,0.12181580796891149,0.12181580796891149,-2.6966093797937303,-2.6966093797937303,-2.6966093797937303
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,-0.6836791670144733,-0.0055817475540192105,0.6836791670144733,12.9375,16,sc061,840.0978977325065,,840.0978977325065,-1.5136685202093605,,-1.5136685202093605,-0.028714754796367162,,-0.028714754796367162,-0.11183894988623998,,-0.11183894988623998,-2.906026329096612,,-2.906026329096612
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,0.10803147995248544,0.09085568699785203,0.10803147995248544,9.0,1,sc036,1122.1354291918813,,1122.1354291918813,-0.026124177943920718,,-0.026124177943920718,-0.13793553271913794,,-0.13793553271913794,-0.12182549215076399,,-0.12182549215076399,2.233851425324977,,2.233851425324977
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,0.04815178807087685,0.020942722618112,0.04815178807087685,5.0,1,sc036,,,2700.962514594427,,,-4.02353852731354,,,0.10671163831372354,,,-0.014477313545654196,,,-4.565598245845407
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,-0.4749290822009562,-0.12004942670096741,0.4749290822009562,7.8,5,sc009,-6.544985253873539,,-6.544985253873539,2.3916960285341395,,2.3916960285341395,0.09973574878906895,,0.09973574878906895,,,,0.0014977735574010775,,0.0014977735574010775
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,0.09671049187916156,-0.007156034837850184,0.09671049187916156,14.0,1,sc029,772.6144800773541,772.6144800773541,772.6144800773541,0.3198689575851679,0.3198689575851679,0.3198689575851679,0.12587147941796764,0.12587147941796764,0.12587147941796764,0.050232175665812624,0.050232175665812624,0.050232175665812624,1.6636859212216153,1.6636859212216153,1.6636859212216153
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,0.01737381896998138,-0.12316736083100942,0.01737381896998138,7.0,8,sc009,158.40181708714064,,158.40181708714064,2.7414110604611674,,2.7414110604611674,0.02195668079344297,,0.02195668079344297,,,,-0.08081282472667398,,-0.08081282472667398
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,-1.1402076412697881,-0.4569091689987956,1.1402076412697881,14.0,1,sc061,1121.6449981385915,,1121.6449981385915,-2.298143540392148,,-2.298143540392148,-0.19624346369165835,,-0.19624346369165835,,,,-3.288758712886877,,-3.288758712886877
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,0.09121649837900109,-0.05574079364471141,0.09121649837900109,14.0,1,sc068,772.6041820074893,772.6041820074893,772.6041820074893,0.30957088772011926,0.30957088772011926,0.30957088772011926,0.11557340955291909,0.11557340955291909,0.11557340955291909,0.03993410580075528,0.03993410580075528,0.03993410580075528,1.6533878513565554,1.6533878513565554,1.6533878513565554
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,-0.1649673920867853,0.04711814360556551,0.1649673920867853,14.0,1,sc069,772.406605787847,772.406605787847,772.406605787847,0.11199466807818007,0.11199466807818007,0.11199466807818007,-0.0820028100890203,-0.0820028100890203,-0.0820028100890203,-0.15764211384117524,-0.15764211384117524,-0.15764211384117524,1.4558116317146172,1.4558116317146172,1.4558116317146172
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,-0.050458278756047345,-0.037260424753369915,0.050458278756047345,14.0,1,sc069,772.8469437929623,772.8469437929623,772.8469437929623,0.5523326731936959,0.5523326731936959,0.5523326731936959,0.35833519502649563,0.35833519502649563,0.35833519502649563,0.2826958912743408,0.2826958912743408,0.2826958912743408,1.8961496368301431,1.8961496368301431,1.8961496368301431
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,0.22356360041157794,-0.039472726890211106,0.22356360041157794,14.0,1,sc068,772.4491833434757,772.4491833434757,772.4491833434757,0.1545722237067409,0.1545722237067409,0.1545722237067409,-0.039425254460467955,-0.039425254460467955,-0.039425254460467955,-0.11506455821263498,-0.11506455821263498,-0.11506455821263498,1.4983891873431794,1.4983891873431794,1.4983891873431794
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,-0.33120046212908366,0.2068169051811004,0.33120046212908366,14.0,1,sc068,-56.78862353690352,,-56.78862353690352,2.1792704607237785,,2.1792704607237785,0.05732557880544875,,0.05732557880544875,,,,-0.06046019801517061,,-0.06046019801517061
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,-0.13312663901329763,0.2504519856963187,0.13312663901329763,14.0,1,sc068,,,-27.337084344986952,,,-0.6903409562578517,,,-0.39849359145143964,,,-0.2455516906445638,,,-1.211614753749593
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,-0.29319801230815806,0.03944119440434355,0.29319801230815806,14.0,1,sc070,,,-27.882958692239633,,,-1.2362153035105423,,,-0.9443679387041302,,,-0.7914260378972545,,,-1.7574891010022842
CCN(CC)C(=O)COCC(=O)N(CC)CC,0.01940773275716319,-0.060086286364075724,0.01940773275716319,7.0,12,sc071,318.533724400933,318.533724400933,318.533724400933,2.9497306221775053,2.9497306221775053,2.9497306221775053,0.03842588668594011,0.03842588668594011,0.03842588668594011,,,,-0.03631522174972149,-0.03631522174972149,-0.03631522174972149
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,0.7983757096683257,0.03807480069795167,0.7983757096683257,14.0,1,sc068,771.8915681937609,771.8915681937609,771.8915681937609,-0.4030429260076235,-0.4030429260076235,-0.4030429260076235,-0.5970404041748237,-0.5970404041748237,-0.5970404041748237,-0.6726797079269831,-0.6726797079269831,-0.6726797079269831,0.9407740376288236,0.9407740376288236,0.9407740376288236
