comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds
LEARNED_SCALAR[geometry] vs MIN_GP_DESIGN_VAR,0.018836209556732295,-0.003243765382972687,0.03809055923359984,-0.0035795858151820826,0.037522654696892706,0.02496509979646858,143,90,5,5
LEARNED_BLEND[geometry+prediction] vs MEDOID,-0.008117785667473093,-0.02337225606962524,0.014215078351771384,-0.026290762729366552,0.0093013720194237,-0.004007679601757598,143,57,0,5
LEARNED_BLEND[geometry+prediction] vs CENTRAL,-0.004200498080740437,-0.010937341640938361,0.0031901260953228487,-0.013640086451212946,0.0022229698209431433,0.0006092656745326219,143,48,1,5
LEARNED_BLEND[geometry+prediction] vs RANDOM,0.0670685054113003,0.02841106755256169,0.09347814155253606,0.036458697544345456,0.10162132499079382,0.04377134022819056,143,98,5,5
LEARNED_BLEND[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.018756527413185866,-0.005681978342385498,0.03507408654494216,-0.004715927204732019,0.03570656735516126,0.010084596713009862,143,74,5,5
LEARNED_BLEND[full_shuffled] vs MEDOID,-0.009966965258282454,-0.024544258617230513,0.011182884699788545,-0.02758418881842653,0.006779720779964811,-0.005454621033373981,143,58,0,5
LEARNED_BLEND[full_shuffled] vs CENTRAL,-0.0060496776715498,-0.012293236583793821,0.0022289143110218955,-0.01481020140241939,0.0007210789950702997,-0.0008376757570837636,143,53,2,5
LEARNED_BLEND[full_shuffled] vs RANDOM,0.06521932582049093,0.02660720838823357,0.09214582306039808,0.034769231341786944,0.10047403306355814,0.04232439879657418,143,96,5,5
LEARNED_BLEND[full_shuffled] vs MIN_GP_DESIGN_VAR,0.016907347822376507,-0.007551656194179427,0.03333167738076727,-0.006453895601835878,0.03414860240225683,0.008637655281393474,143,77,5,5
LEARNED_SCALAR[full] vs MEDOID,-0.012064509779698245,-0.03553756009073498,0.02403899913237811,-0.04151543332267975,0.018242151463170934,-0.0039008739085946184,143,77,1,5
LEARNED_SCALAR[full] vs CENTRAL,-0.008147222192965585,-0.02634640183631796,0.01930290741405884,-0.0298301174678557,0.01506854170222886,0.0007160713676955964,143,76,1,5
LEARNED_SCALAR[full] vs RANDOM,0.06312178129907516,0.023702308176813826,0.08943364641434527,0.030601761608619667,0.09602072279673717,0.04387814592135355,143,98,5,5
LEARNED_SCALAR[full] vs MIN_GP_DESIGN_VAR,0.014809803300960713,-0.010523381207453206,0.03657404694212242,-0.01116957066597977,0.035991181673306526,0.01019140240617284,143,89,4,5
LEARNED_RANK[full_shuffled] vs MEDOID,-0.016034332353006886,-0.03730950642223167,0.012451429943046818,-0.04392907561834784,0.006948542983060862,-0.006114822693956868,143,68,0,5
LEARNED_RANK[full_shuffled] vs CENTRAL,-0.012117044766274229,-0.02727108545396578,0.01067534400908803,-0.030848385117502215,0.0058421449000028115,-0.001497877417666651,143,61,1,5
LEARNED_RANK[full_shuffled] vs RANDOM,0.0591519587257665,0.02565671330925404,0.0810362556752313,0.032707585101565996,0.08616734011665145,0.041664197135991295,143,98,5,5
LEARNED_RANK[full_shuffled] vs MIN_GP_DESIGN_VAR,0.010839980727652073,-0.007417895574924948,0.027635991990929105,-0.007443639100807151,0.027588505624594896,0.007977453620810588,143,81,5,5
LEARNED_RANK[geometry+prediction] vs MEDOID,-0.018083904068227706,-0.03916741212040875,0.010877969335715653,-0.045458625018012344,0.005021480591494526,-0.007778743280658983,143,66,0,5
LEARNED_RANK[geometry+prediction] vs CENTRAL,-0.014166616481495052,-0.029242606704017345,0.008566946090563516,-0.032771758054538004,0.003747482727104667,-0.003161798004368767,143,61,0,5
LEARNED_RANK[geometry+prediction] vs RANDOM,0.05710238701054567,0.02257141850335152,0.07976898901793528,0.029400391213749405,0.08452842618192159,0.04000027654928918,143,95,5,5
LEARNED_RANK[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.008790409012431251,-0.011247449185194552,0.026264092765762134,-0.011960362021521708,0.025857894464714426,0.006313533034108472,143,79,5,5
LEARNED_RANK[geometry] vs MEDOID,-0.018418153399188137,-0.04439039651599587,0.015404076350211116,-0.052511287534319,0.009021286541628686,-0.0044182101218413535,143,72,0,5
LEARNED_RANK[geometry] vs CENTRAL,-0.014500865812455488,-0.03367634878210904,0.010980499146194034,-0.03947503679591415,0.00604658783765502,0.00019873515444886482,143,68,0,5
LEARNED_RANK[geometry] vs RANDOM,0.05676813767958526,0.026043371158482948,0.07686722403084163,0.030283805396459428,0.07933315175785342,0.043360809708106816,143,98,5,5
LEARNED_RANK[geometry] vs MIN_GP_DESIGN_VAR,0.008456159681470819,-0.011176399446729835,0.030822265490538178,-0.01141556472825365,0.030337182206402545,0.009674066192926104,143,81,4,5
LEARNED_SCALAR[full_shuffled] vs MEDOID,-0.01944541513397462,-0.045016976819171786,0.01934972537261201,-0.05213509794857449,0.010751066038949717,-8.679676099412737e-05,143,65,0,5
LEARNED_SCALAR[full_shuffled] vs CENTRAL,-0.015528127547241961,-0.035376496929241816,0.016555162386083146,-0.03913194370896055,0.010180332009273643,0.00453014851529609,143,65,0,5
LEARNED_SCALAR[full_shuffled] vs RANDOM,0.05574087594479876,0.020677108364173247,0.0804841954270863,0.026764358798509254,0.08570902401020598,0.047692223068954036,143,93,5,5
LEARNED_SCALAR[full_shuffled] vs MIN_GP_DESIGN_VAR,0.007428897946684338,-0.01340380791223383,0.03057980724702327,-0.013522092140316595,0.03056203001494558,0.014005479553773327,143,82,4,5
LEARNED_SCALAR[geometry+prediction] vs MEDOID,-0.0194517664255667,-0.04226541660688812,0.015168394212583631,-0.04798747503832948,0.007977219065643667,-0.003959945315490014,143,66,0,5
LEARNED_SCALAR[geometry+prediction] vs CENTRAL,-0.015534478838834041,-0.032468284870174294,0.011805895893116185,-0.035884716660625454,0.006578316237152893,0.0006569999608002056,143,64,0,5
LEARNED_SCALAR[geometry+prediction] vs RANDOM,0.05573452465320669,0.020065676548356677,0.08020071078621588,0.026883562090458047,0.08744386728409757,0.04381907451445814,143,91,5,5
LEARNED_SCALAR[geometry+prediction] vs MIN_GP_DESIGN_VAR,0.007422546655092257,-0.014312458677294112,0.02818149971989765,-0.015292469692497977,0.027768292255526097,0.010132330999277444,143,78,3,5
LEARNED_RANK[full] vs MEDOID,-0.021714732291096522,-0.04596284825957189,0.008072377987254542,-0.05374992660104294,0.003088141036022031,-0.012068002791072667,143,67,0,5
LEARNED_RANK[full] vs CENTRAL,-0.017797444704363872,-0.03554393583590945,0.00725763040500353,-0.04066663133753702,0.0020604968865855226,-0.00745105751478245,143,65,1,5
LEARNED_RANK[full] vs RANDOM,0.053471558787676864,0.02509005890830499,0.07205088929285425,0.03099477501466713,0.07672673064823732,0.0357110170388755,143,93,5,5
LEARNED_RANK[full] vs MIN_GP_DESIGN_VAR,0.005159580789562433,-0.01012844106612574,0.022305607831182742,-0.009114660112736213,0.023373010710796404,0.002024273523694788,143,77,3,5
ORACLE vs LEARNED_BLEND[geometry],0.16930660684866985,0.13100488482138975,0.20097789508081895,0.1354167279671079,0.20489028527852338,0.15783990386323551,143,143,5,5
