split_seed,extractant,n_axes,axes,n_rows
104729,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,2,cond__acid_concentration_M|cond__extractant_concentration_M,21
104729,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__metal_concentration_mM,16
104729,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,metal_Z,13
104729,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,1,metal_Z,14
104729,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__metal_concentration_mM,35
104729,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,151
104729,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,74
104729,CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,1,cond__extractant_concentration_M,3
104729,CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,2,cond__acid_concentration_M|cond__extractant_concentration_M,6
104729,CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,3,cond__acid_concentration_M|metal_Z|cond__metal_concentration_mM,45
104729,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,203
104729,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,59
104729,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,metal_Z,14
104729,CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1,metal_Z,13
104729,CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,1,metal_Z,14
104729,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,1,metal_Z,9
104729,CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,52
104729,CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,1,metal_Z,9
104729,CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,425
104729,CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,1,metal_Z,8
104729,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,1,metal_Z,8
104729,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1,metal_Z,14
104729,CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,1,metal_Z,14
104729,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1,cond__acid_concentration_M,12
104729,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,32
104729,CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,1,cond__acid_concentration_M,5
104729,CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,1,metal_Z,9
104729,CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,26
104729,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,1,cond__acid_concentration_M,6
104729,CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,1,cond__acid_concentration_M,6
104729,CCCCCCCCN(CCCCCCCC)C(=O)CO,1,cond__acid_concentration_M,10
104729,CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,1,cond__acid_concentration_M,12
104729,CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,1,cond__acid_concentration_M,12
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1,metal_Z,7
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2,cond__extractant_concentration_M|metal_Z,1488
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,2,cond__acid_concentration_M|cond__extractant_concentration_M,16
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,2,cond__acid_concentration_M|cond__extractant_concentration_M,12
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,2,cond__acid_concentration_M|cond__extractant_concentration_M,12
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1,cond__acid_concentration_M,11
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__contact_time_min,23
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__contact_time_min,15
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2,cond__extractant_concentration_M|cond__contact_time_min,15
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__contact_time_min,15
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,1,cond__contact_time_min,9
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__contact_time_min,37
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,2,metal_Z|cond__metal_concentration_mM,14
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,1,cond__acid_concentration_M,6
104729,CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,1,cond__acid_concentration_M,6
104729,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,1,metal_Z,13
104729,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,1,metal_Z,14
104729,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,1,cond__acid_concentration_M,4
104729,CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,35
104729,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,1,cond__acid_concentration_M,4
104729,CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,1,cond__acid_concentration_M,12
104729,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,1,cond__acid_concentration_M,3
104729,CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,3,cond__acid_concentration_M|metal_Z|cond__temperature_C,17
104729,CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,28
104729,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,1,cond__acid_concentration_M,5
104729,CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,1,metal_Z,9
104729,CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,1,metal_Z,14
104729,CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,1,metal_Z,14
104729,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,1,metal_Z,9
104729,CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,2,cond__acid_concentration_M|metal_Z,43
104729,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__metal_concentration_mM,14
104729,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,2,cond__acid_concentration_M|cond__extractant_concentration_M,8
104729,CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,2,cond__acid_concentration_M|cond__extractant_concentration_M,8
104729,CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,1,cond__acid_concentration_M,6
104729,CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,2,cond__acid_concentration_M|metal_Z,6
104729,CCCCCCOP(=O)(O)OCCCCCC,1,metal_Z,10
104729,CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,1,metal_Z,14
104729,CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1,metal_Z,28
104729,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,2,cond__acid_concentration_M|cond__contact_time_min,3
104729,CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,230
104729,CCCCN(C)C(=O)CC(=O)N(C)CCCC,2,cond__acid_concentration_M|metal_Z,9
104729,CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,1,metal_Z,4
104729,CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,1,metal_Z,9
104729,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,1,metal_Z,5
104729,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,1,cond__acid_concentration_M,6
104729,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,240
104729,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,1,cond__acid_concentration_M,6
104729,CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,1,metal_Z,14
104729,CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,1,cond__acid_concentration_M,6
104729,CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,1,metal_Z,3
104729,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,1,cond__acid_concentration_M,6
104729,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,1,cond__acid_concentration_M,6
104729,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,1,cond__acid_concentration_M,6
104729,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,1,cond__acid_concentration_M,6
104729,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,3,cond__extractant_concentration_M|metal_Z|cond__metal_concentration_mM,61
104729,CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,1,metal_Z,14
104729,CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,1,metal_Z,3
104729,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,1,metal_Z,14
104729,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,1,metal_Z,14
104729,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,1,metal_Z,14
104729,CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,1,metal_Z,14
104729,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,1,metal_Z,14
104729,CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,1,metal_Z,14
104729,CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,1,metal_Z,14
104729,CCN(CC)C(=O)COCC(=O)N(CC)CC,2,metal_Z|cond__metal_concentration_mM,84
104729,CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,1,cond__acid_concentration_M,7
104729,CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,1,cond__acid_concentration_M,3
104729,CCOP(=S)(COCP(=S)(OCC)OCC)OCC,1,cond__acid_concentration_M,6
104729,CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,1,metal_Z,14
104729,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,1,metal_Z,14
104729,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,78
104729,CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,2,cond__acid_concentration_M|metal_Z,140
104729,COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1,metal_Z,14
104729,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,2,cond__acid_concentration_M|cond__contact_time_min,16
104729,Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,1,cond__acid_concentration_M,6
104729,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,1,cond__acid_concentration_M,6
104729,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,2,cond__acid_concentration_M|cond__extractant_concentration_M,7
104729,O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1,metal_Z,14
104729,O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,1,metal_Z,8
104729,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,1,metal_Z,8
104729,O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,2,cond__acid_concentration_M|metal_Z,28
104729,O=C(c1ccccc1)c1ccc2ccccc2n1,1,cond__acid_concentration_M,6
104729,O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,1,cond__acid_concentration_M,3
104729,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1,metal_Z,3
104729,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1,cond__acid_concentration_M,6
104729,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,1,metal_Z,5
104729,c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,1,metal_Z,5
130363,C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,1,metal_Z,5
130363,C1COCCOCCOCCOCCOCCO1,1,metal_Z,5
130363,CC(C)(C)Cc1cc(-c2cccc(-c3cc(CC(C)(C)C)[nH]n3)n2)n[nH]1,1,cond__acid_concentration_M,7
130363,CC(C)(C)c1cc(-c2cc(C(C)(C)C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__contact_time_min,14
130363,CC(C)(C)c1ccc(NC(=O)c2cc(=O)cc(C(=O)Nc3ccc(C(C)(C)C)cc3)o2)cc1,1,cond__extractant_concentration_M,3
130363,CC(C)CCCC(C)CCCCN(C)C(=O)COCC(=O)N(C)CCCCC(C)CCCC(C)C,1,metal_Z,14
130363,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,metal_Z,6
130363,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,1,metal_Z,8
130363,CC1(C)CCC(C)(C)c2nc(-c3ccc4ccc5ccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)nc5c4n3)nnc21,1,cond__acid_concentration_M,6
130363,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5cccc(-c6nnc7c(n6)C(C)(C)CCC7(C)C)n5)n4)n3)nnc21,1,cond__acid_concentration_M,11
130363,CC1(C)CCC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)CCC6(C)C)n4)n3)nnc21,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,19
130363,CC1(C)OC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)OC6(C)C)n4)n3)nnc21,1,cond__acid_concentration_M,5
130363,CC1(C)SC(C)(C)c2nc(-c3cccc(-c4cccc(-c5nnc6c(n5)C(C)(C)SC6(C)C)n4)n3)nnc21,1,cond__acid_concentration_M,11
130363,CC12CCC(c3nnc(-c4cccc(-c5cccc(-c6nnc7c(n6)C6(C)CCC7C6(C)C)n5)n4)nc31)C2(C)C,2,cond__acid_concentration_M|cond__extractant_concentration_M,12
130363,CC12CCC(c3nnc(-c4cccc(-c5nnc6c(n5)C5(C)CCC6C5(C)C)n4)nc31)C2(C)C,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,22
130363,CCCCC(CC)CN(C)C(=O)COCC(=O)N(C)CC(CC)CCCC,1,metal_Z,14
130363,CCCCC(CC)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,17
130363,CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1,cond__acid_concentration_M,12
130363,CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,3,cond__acid_concentration_M|metal_Z|cond__temperature_C,184
130363,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,metal_Z,6
130363,CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,103
130363,CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,1,metal_Z,14
130363,CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1,metal_Z,14
130363,CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,3,cond__acid_concentration_M|cond__extractant_concentration_M|metal_Z,44
130363,CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__metal_concentration_mM,17
130363,CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,2,cond__acid_concentration_M|cond__extractant_concentration_M,21
130363,CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,2,cond__acid_concentration_M|cond__extractant_concentration_M,21
130363,CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,3,cond__acid_concentration_M|cond__extractant_concentration_M|cond__metal_concentration_mM,16
130363,CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,1,metal_Z,13
