extractant,n_curves,n_curve_rows,n_axes,n_rows
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,1.0,13.0,1.0,13
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,1.0,14.0,1.0,14
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,1.0,9.0,1.0,9
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,15.0,50.0,3.0,52
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,1.0,9.0,1.0,9
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,122.0,424.0,3.0,425
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,1.0,8.0,1.0,8
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,1.0,8.0,1.0,8
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,1.0,14.0,1.0,14
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,1.0,13.0,1.0,14
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,1.0,14.0,1.0,14
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,2.0,12.0,1.0,12
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,4.0,32.0,3.0,32
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,1.0,5.0,1.0,5
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,1.0,9.0,1.0,9
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,3.0,16.0,2.0,26
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,1.0,6.0,1.0,6
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,1.0,6.0,1.0,6
CCCCCCCCN(CCCCCCCC)C(=O)CO,2.0,10.0,1.0,10
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,2.0,12.0,1.0,12
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2.0,12.0,1.0,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,1.0,7.0,1.0,7
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,339.0,1449.0,6.0,1488
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,4.0,15.0,3.0,16
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,2.0,11.0,2.0,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,2.0,11.0,2.0,12
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2.0,11.0,1.0,11
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,4.0,23.0,3.0,23
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2.0,15.0,1.0,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,2.0,14.0,1.0,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCc1c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c(CC)c(CCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1CC,2.0,15.0,1.0,15
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1ccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc1,1.0,8.0,1.0,9
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,6.0,37.0,3.0,37
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,2.0,14.0,1.0,14
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(CCCC)CCCC,1.0,6.0,1.0,6
CCCCCCCCN(CCCCCCCC)C(=O)COCP(=O)(OCCCC)OCCCC,1.0,6.0,1.0,6
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,13.0,1.0,13
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,1.0,14.0,1.0,14
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc(C(=O)N(CCCCCCCC)CCCCCCCC)s1,0.0,0.0,0.0,4
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,5.0,35.0,2.0,35
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc(C(=S)N(CCCCCCCC)CCCCCCCC)s1,0.0,0.0,0.0,4
CCCCCCCCN(CCCCCCCC)C(=S)c1ccc2ccc3ccc(C(=S)N(CCCCCCCC)CCCCCCCC)nc3c2n1,3.0,12.0,1.0,12
CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,0.0,0.0,0.0,3
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2.0,17.0,1.0,17
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2.0,28.0,1.0,28
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,1.0,5.0,1.0,5
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,1.0,9.0,1.0,9
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,1.0,14.0,1.0,14
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,1.0,14.0,1.0,14
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,1.0,9.0,1.0,9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,6.0,40.0,2.0,43
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCC1,3.0,12.0,3.0,14
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCCCC1,2.0,7.0,2.0,8
CCCCCCN(CCCCCC)C(=O)COCC(=O)N1CCOCC1,2.0,7.0,2.0,8
CCCCCCN(CCCCCC)C(=O)c1ccc2ccc3cccnc3c2n1,1.0,6.0,1.0,6
CCCCCCOCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,2.0,6.0,1.0,6
CCCCCCOP(=O)(O)OCCCCCC,1.0,10.0,1.0,10
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,1.0,14.0,1.0,14
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,2.0,28.0,1.0,28
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,0.0,0.0,0.0,3
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,122.0,227.0,4.0,230
CCCCN(C)C(=O)CC(=O)N(C)CCCC,6.0,9.0,2.0,9
CCCCN(CCCC)C(=O)C(Cc1ccccc1CC(C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC)C(=O)N(CCCC)CCCC,1.0,4.0,1.0,4
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,1.0,9.0,1.0,9
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,1.0,5.0,1.0,5
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,1.0,6.0,1.0,6
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,58.0,237.0,4.0,240
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,1.0,6.0,1.0,6
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,1.0,14.0,1.0,14
CCCCN(CCCC)C(=O)c1ccc2ccc3cccnc3c2n1,1.0,6.0,1.0,6
CCCCN(CCCC)C(=O)c1ccccc1C(=O)O,1.0,3.0,1.0,3
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,1.0,6.0,1.0,6
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,1.0,6.0,1.0,6
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,1.0,6.0,1.0,6
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,1.0,6.0,1.0,6
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,9.0,60.0,1.0,61
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,1.0,14.0,1.0,14
CCN(C(=O)c1ccc2ccc3ccc(C(=O)N(CC)c4ccc(C)cc4)nc3c2n1)c1ccc(C)cc1,1.0,3.0,1.0,3
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,1.0,14.0,1.0,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,1.0,14.0,1.0,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,1.0,14.0,1.0,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,1.0,14.0,1.0,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,1.0,14.0,1.0,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,1.0,14.0,1.0,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,1.0,14.0,1.0,14
CCN(CC)C(=O)COCC(=O)N(CC)CC,12.0,84.0,1.0,84
CCN(CC)C(=O)c1ccc2ccc3cccnc3c2n1,1.0,7.0,1.0,7
CCOP(=O)(OCC)c1ccc2ccc3ccc(P(=O)(OCC)OCC)nc3c2n1,1.0,3.0,1.0,3
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,1.0,6.0,1.0,6
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,1.0,14.0,1.0,14
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,1.0,14.0,1.0,14
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,11.0,78.0,1.0,78
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,38.0,140.0,2.0,140
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,1.0,14.0,1.0,14
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,3.0,16.0,2.0,16
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,1.0,6.0,1.0,6
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,1.0,6.0,1.0,6
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,1.0,6.0,1.0,7
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,1.0,14.0,1.0,14
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,1.0,8.0,1.0,8
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,1.0,8.0,1.0,8
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,2.0,28.0,1.0,28
O=C(c1ccccc1)c1ccc2ccccc2n1,0.0,0.0,0.0,6
O=P(c1ccccc1)(c1ccccc1)c1ccc2ccc3ccc(P(=O)(c4ccccc4)c4ccccc4)nc3c2n1,1.0,3.0,1.0,3
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,1.0,3.0,1.0,3
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,1.0,6.0,1.0,6
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,1.0,5.0,1.0,5
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,1.0,5.0,1.0,5
