pair_label,split_seed,arm,r2
Ce-Pr,104729,PRIOR,0.1092650924176799
Ce-Nd,104729,PRIOR,0.199937224088388
Ce-Sm,104729,PRIOR,0.14196154725685683
Ce-Eu,104729,PRIOR,0.0701470721595856
Ce-Gd,104729,PRIOR,-0.18363223771510717
Ce-Tb,104729,PRIOR,-0.42266362253725975
Ce-Dy,104729,PRIOR,-0.30863024948955786
Pr-Nd,104729,PRIOR,0.1359428868812702
Pr-Sm,104729,PRIOR,0.25316924291025666
Pr-Eu,104729,PRIOR,0.16747262940543473
Pr-Gd,104729,PRIOR,0.11734128323764992
Pr-Tb,104729,PRIOR,-0.03353316656456595
Pr-Dy,104729,PRIOR,0.1189064716809759
Nd-Sm,104729,PRIOR,-0.10641368501589876
Nd-Eu,104729,PRIOR,-0.17286896267429586
Nd-Gd,104729,PRIOR,-0.5867687006339528
Nd-Tb,104729,PRIOR,-1.0800014075921234
Nd-Dy,104729,PRIOR,-0.6558380142774898
Sm-Eu,104729,PRIOR,-0.30966990192090105
Sm-Gd,104729,PRIOR,-0.5965466071258521
Sm-Tb,104729,PRIOR,-0.692184316557676
Sm-Dy,104729,PRIOR,-0.8079860166777686
Eu-Gd,104729,PRIOR,-0.015365389168372268
Eu-Tb,104729,PRIOR,-0.6323646034448378
Eu-Dy,104729,PRIOR,-0.3417891171448706
Gd-Tb,104729,PRIOR,-0.15978180327920533
Gd-Dy,104729,PRIOR,-0.5255942156876365
Tb-Dy,104729,PRIOR,0.030002124138421626
Nd-Ho,104729,PRIOR,-0.7041832077570109
Nd-Er,104729,PRIOR,-0.7405730220814919
Sm-Ho,104729,PRIOR,-0.7483460101805404
Sm-Er,104729,PRIOR,-0.8251119492477503
Gd-Ho,104729,PRIOR,-0.2870067969984449
Gd-Er,104729,PRIOR,-0.33078175985515257
Dy-Ho,104729,PRIOR,-0.03655076631858445
Dy-Er,104729,PRIOR,0.077163334730036
Ho-Er,104729,PRIOR,-0.05767572512839125
La-Ce,104729,PRIOR,0.09261008620034494
La-Pr,104729,PRIOR,0.038978747270741576
La-Eu,104729,PRIOR,0.10670216218375672
La-Tb,104729,PRIOR,-0.13500853317845118
La-Tm,104729,PRIOR,-0.20352711542483548
La-Yb,104729,PRIOR,-0.13945482057472303
La-Lu,104729,PRIOR,0.06529777411095994
Ce-Tm,104729,PRIOR,-0.6160210766633611
Ce-Yb,104729,PRIOR,-0.5093433288848723
Ce-Lu,104729,PRIOR,-0.4410501780722331
Pr-Tm,104729,PRIOR,-0.15844687546604108
Pr-Yb,104729,PRIOR,-0.04982537796459052
Pr-Lu,104729,PRIOR,0.10973405267847924
Eu-Tm,104729,PRIOR,-0.4575857329868305
Eu-Yb,104729,PRIOR,-0.30621591739430487
Eu-Lu,104729,PRIOR,-0.02272258171899777
Tb-Tm,104729,PRIOR,0.041625950140337986
Tb-Yb,104729,PRIOR,0.058132040005440144
Tb-Lu,104729,PRIOR,0.1589828934544868
Tm-Yb,104729,PRIOR,-0.09067645274550018
Tm-Lu,104729,PRIOR,0.04652710225411005
Yb-Lu,104729,PRIOR,-0.35698761588390493
Ho-Yb,104729,PRIOR,0.10329761058358233
Er-Tm,104729,PRIOR,0.08356778708481061
Er-Yb,104729,PRIOR,0.05222140371903938
La-Nd,104729,PRIOR,0.1613766217961744
La-Sm,104729,PRIOR,0.19872322515381757
Gd-Tm,104729,PRIOR,-0.3854926996675647
Gd-Yb,104729,PRIOR,-0.2082362211673492
Gd-Lu,104729,PRIOR,-0.1026566720256814
Tb-Ho,104729,PRIOR,-0.00016492859910632873
Tb-Er,104729,PRIOR,0.023073755407888696
Dy-Tm,104729,PRIOR,0.11940122033622502
Dy-Yb,104729,PRIOR,0.15803393287512824
Dy-Lu,104729,PRIOR,0.1398662240726264
Ho-Lu,104729,PRIOR,0.12092048002400779
Er-Lu,104729,PRIOR,-0.004217191084594063
La-Gd,104729,PRIOR,0.03662612182672342
La-Dy,104729,PRIOR,0.028741581426592222
La-Ho,104729,PRIOR,-0.32529415762896274
La-Er,104729,PRIOR,-0.13294241968533838
Ce-Ho,104729,PRIOR,-0.5299182438260768
Ce-Er,104729,PRIOR,-0.6958948397187286
Pr-Ho,104729,PRIOR,-0.16365125235296096
Pr-Er,104729,PRIOR,-0.0925009714942886
Nd-Tm,104729,PRIOR,-1.3961226899013814
Nd-Yb,104729,PRIOR,-1.0807642242083535
Nd-Lu,104729,PRIOR,-0.4927625515700058
Sm-Tm,104729,PRIOR,-1.2904080530878024
