arm,axis_label,family,n_comparisons,n_ligands,shift_median__median,shift_median__p90,shift_median__p95,shift_median__max,shift_p90__median,shift_p90__p90,shift_p90__p95,shift_p90__max,shift_p95__median,shift_p95__p90,shift_p95__p95,shift_p95__max,shift_max__median,shift_max__p90,shift_max__p95,shift_max__max,shape_shift_median__median,shape_shift_median__p90,shape_shift_median__p95,shape_shift_median__max,shape_shift_max__median,shape_shift_max__p90,shape_shift_max__p95,shape_shift_max__max,level_shift__median,level_shift__p90,level_shift__p95,level_shift__max
REL_MONOLITH,extractant,PERMUTE,210,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,extractant,SPARSE,677,17,0.0237872414805492,0.2707214039460856,0.3619502870780559,0.7098997043341639,0.0675118481425596,0.418361903299206,0.5412813208707996,0.7155309428862638,0.0698107899328785,0.4435732271650339,0.563706091914826,0.7188252751613905,0.0731179805818498,0.4652871787315213,0.5800064918196324,0.7505845864719634,0.0319726251263286,0.2656815041661322,0.3447210006386794,0.709899704334164,0.044275446763482,0.3369374899320403,0.4979019762405172,0.8606593170033141,0.0248274007610529,0.1258267409931087,0.1562024104313321,0.3989608937778848
REL_MONOLITH,metal_series,CONTEXT,785,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,metal_series,NESTED,3925,82,0.0286293991403581,0.1268102992036897,0.1744409942894672,0.7561129756126963,0.0636636411790937,0.2134872437071071,0.3152985944113154,0.8102700115680801,0.0774400838595234,0.2361813901933616,0.3435582365663375,0.8170396410625032,0.0900617588595719,0.2636414038357916,0.3715095686596404,0.8238092705569261,0.0188116339985654,0.0622063817298637,0.0921352677615066,0.3395589699258021,0.0557164552523468,0.1560891768901041,0.2135917706372694,0.578577639336819,0.0300129353253322,0.1298556531693681,0.1836369275101416,0.7358636262243845
REL_MONOLITH,metal_series,PERMUTE,785,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REL_MONOLITH,metal_series,SPARSE,3311,82,0.0257179518500557,0.2977778788869684,0.3929930260738571,0.8885855714455588,0.0359500371877697,0.4155295713674786,0.5545481883899285,0.9594672406238182,0.0371549999208137,0.4305725045060887,0.5762367963084706,0.9683274492711006,0.0387586121094467,0.4469804643646449,0.5907563949371746,0.977187657918383,0.0093615718816363,0.202215459701491,0.3105672418435445,0.8885855714455589,0.0165537057097028,0.250181418044363,0.371548515811367,0.8885855714455589,0.02131767995368,0.2325693243573097,0.2989195122172412,0.769796282864872
SHAPE_RECOMPOSED,acid,CONTEXT,690,65,0.0,2.7755575615628914e-17,7.70217223333696e-17,4.440892098500626e-16,0.0,1.332267629550188e-16,2.1704860131421754e-16,5.329070518200752e-16,0.0,1.77635683940025e-16,2.220446049250313e-16,7.105427357601e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,0.0,5.551115123125783e-17,1.1102230246251563e-16,4.440892098500626e-16,0.0,1.1102230246251563e-16,2.220446049250313e-16,4.440892098500626e-16,0.0,5.551115123125783e-17,1.1102230246251563e-16,6.661338147750939e-16
SHAPE_RECOMPOSED,acid,DECOY,1380,65,0.1133324327376658,0.295122253793513,0.4012580286474017,0.8440574233821238,0.2578946742993935,0.5280719511295646,0.6376178764767554,1.030935053659841,0.2960373346900786,0.5841665404771342,0.6808654493569899,1.04279929053271,0.3247010819986552,0.6462088516512225,0.7384105780094558,1.0546635274055796,0.107940088640717,0.2892851086547434,0.3976272500641212,0.6609068169230631,0.2994112951832888,0.6227166343157902,0.6908120106921504,0.9878805523754912,0.021241720417031,0.0874080360318112,0.1228285492535199,0.6125943544156515
SHAPE_RECOMPOSED,acid,DENSITY,2035,65,0.0205378641269322,0.1185739061355586,0.2795435492099621,1.136078197761162,0.0295017472635093,0.2809959076046681,0.6296931231637584,1.2998411457308718,0.0307261303226118,0.3329696945003861,0.688575190863549,1.3563304135649277,0.031910557246808,0.3945886528579607,0.7171156476535914,1.4632403324087746,0.0032748839966416,0.1059849791856741,0.2606573685989995,0.5871103584903328,0.0078780547321009,0.3411669900947207,0.5634532713716717,1.17515896583248,0.0203883428129584,0.1132219936504642,0.1986138418018569,0.7866046178982086
SHAPE_RECOMPOSED,acid,EXTEND,4140,65,0.0654422607493628,0.2198741408765233,0.2838065325103268,0.8479057973686148,0.1682663593043306,0.4097712440600989,0.4932312689583081,1.2104745152473662,0.1931980345782959,0.4691320078128476,0.5436393002290374,1.2270088164943866,0.2140500795345866,0.532767291269935,0.6144711133355415,1.2435431177414071,0.066218028484065,0.2096378002174692,0.2832920823458622,0.7751576247555669,0.184076190440216,0.4411561929785079,0.5255402470301116,1.124108470538078,0.045023242828169,0.1322044113298997,0.1571620744364313,0.5805063286047352
SHAPE_RECOMPOSED,acid,NESTED,3450,65,0.057160161025295,0.1953895752792585,0.2499331505794694,0.5827985921314578,0.1362508013994977,0.4120119900201678,0.5077042832191209,1.0874153661822388,0.1506217150209415,0.4534273401397987,0.5521983948920947,1.160120711614643,0.1632205637620992,0.5040275707078944,0.616069007505379,1.2328260570470475,0.0470422329041672,0.1974120895838728,0.2599040351048455,0.5418677903343586,0.1080241562659811,0.3819089705565638,0.455539475117229,0.8997044159213934,0.044218118549886,0.1703041395288125,0.2272442023092463,0.6144664617938853
SHAPE_RECOMPOSED,acid,PERMUTE,690,65,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16,5.551115123125783e-17,2.908784324517915e-16,4.440892098500626e-16,8.881784197001252e-16,5.551115123125783e-17,3.613775945154886e-16,4.440892098500626e-16,8.881784197001252e-16,5.551115123125783e-17,4.440892098500626e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,1.1102230246251563e-16,2.220446049250313e-16,6.661338147750939e-16,5.551115123125783e-17,2.2343238370581307e-16,4.440892098500626e-16,8.881784197001252e-16,0.0,2.220446049250313e-16,2.220446049250313e-16,8.881784197001252e-16
