global_model,arm,adapter,policy,k,mae,n_ligands
GEN10_LEVEL_SHAPE,NO_MODEL@CENTRAL_THEN_SPREAD,NO_MODEL,CENTRAL_THEN_SPREAD,2,0.8172571360213573,99
GEN10_LEVEL_SHAPE,NO_MODEL@CENTRAL_THEN_SPREAD,NO_MODEL,CENTRAL_THEN_SPREAD,3,0.7879096274409648,99
GEN10_LEVEL_SHAPE,NO_MODEL@CENTRAL_THEN_SPREAD,NO_MODEL,CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
GEN10_LEVEL_SHAPE,NO_MODEL@D_OPTIMAL,NO_MODEL,D_OPTIMAL,1,1.199971537757043,99
GEN10_LEVEL_SHAPE,NO_MODEL@D_OPTIMAL,NO_MODEL,D_OPTIMAL,2,0.8623267800819991,99
GEN10_LEVEL_SHAPE,NO_MODEL@D_OPTIMAL,NO_MODEL,D_OPTIMAL,3,0.825175852676328,99
GEN10_LEVEL_SHAPE,NO_MODEL@D_OPTIMAL,NO_MODEL,D_OPTIMAL,5,0.7761169849969408,99
GEN10_LEVEL_SHAPE,NO_MODEL@MEDOID,NO_MODEL,MEDOID,1,0.8252974768084728,99
GEN10_LEVEL_SHAPE,NO_MODEL@MEDOID,NO_MODEL,MEDOID,2,0.7958143257403774,99
GEN10_LEVEL_SHAPE,NO_MODEL@MEDOID,NO_MODEL,MEDOID,3,0.7792362829525142,99
GEN10_LEVEL_SHAPE,NO_MODEL@MEDOID,NO_MODEL,MEDOID,5,0.7657437731812652,99
GEN10_LEVEL_SHAPE,NO_MODEL@ORACLE[OFFSET_K1],NO_MODEL,ORACLE[OFFSET_K1],1,0.7237593251873178,99
GEN10_LEVEL_SHAPE,NO_MODEL@ORACLE[OFFSET_K1],NO_MODEL,ORACLE[OFFSET_K1],2,0.6942904639928591,99
GEN10_LEVEL_SHAPE,NO_MODEL@ORACLE[OFFSET_K1],NO_MODEL,ORACLE[OFFSET_K1],3,0.6868171789771137,99
GEN10_LEVEL_SHAPE,NO_MODEL@ORACLE[OFFSET_K1],NO_MODEL,ORACLE[OFFSET_K1],5,0.7025097554572582,99
GEN10_LEVEL_SHAPE,NO_MODEL@RANDOM,NO_MODEL,RANDOM,1,0.9459775028894392,99
GEN10_LEVEL_SHAPE,NO_MODEL@RANDOM,NO_MODEL,RANDOM,2,0.8466128596341697,99
GEN10_LEVEL_SHAPE,NO_MODEL@RANDOM,NO_MODEL,RANDOM,3,0.8014821783216913,99
GEN10_LEVEL_SHAPE,NO_MODEL@RANDOM,NO_MODEL,RANDOM,5,0.7687039885593794,99
GEN10_LEVEL_SHAPE,OFFSET_K1@CENTRAL_THEN_SPREAD,OFFSET_K1,CENTRAL_THEN_SPREAD,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,OFFSET_K1@CENTRAL_THEN_SPREAD,OFFSET_K1,CENTRAL_THEN_SPREAD,2,0.6650143441759905,99
GEN10_LEVEL_SHAPE,OFFSET_K1@CENTRAL_THEN_SPREAD,OFFSET_K1,CENTRAL_THEN_SPREAD,3,0.6341176492445977,99
GEN10_LEVEL_SHAPE,OFFSET_K1@CENTRAL_THEN_SPREAD,OFFSET_K1,CENTRAL_THEN_SPREAD,5,0.607719172130607,99
GEN10_LEVEL_SHAPE,OFFSET_K1@D_OPTIMAL,OFFSET_K1,D_OPTIMAL,1,0.945098323089296,99
GEN10_LEVEL_SHAPE,OFFSET_K1@D_OPTIMAL,OFFSET_K1,D_OPTIMAL,2,0.7041692580002339,99
GEN10_LEVEL_SHAPE,OFFSET_K1@D_OPTIMAL,OFFSET_K1,D_OPTIMAL,3,0.6608973610243549,99
GEN10_LEVEL_SHAPE,OFFSET_K1@D_OPTIMAL,OFFSET_K1,D_OPTIMAL,5,0.6154500951994878,99
GEN10_LEVEL_SHAPE,OFFSET_K1@MEDOID,OFFSET_K1,MEDOID,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,OFFSET_K1@MEDOID,OFFSET_K1,MEDOID,2,0.6389251001118336,99
GEN10_LEVEL_SHAPE,OFFSET_K1@MEDOID,OFFSET_K1,MEDOID,3,0.6195476753971886,99
GEN10_LEVEL_SHAPE,OFFSET_K1@MEDOID,OFFSET_K1,MEDOID,5,0.6031090303535614,99
GEN10_LEVEL_SHAPE,OFFSET_K1@ORACLE[OFFSET_K1],OFFSET_K1,ORACLE[OFFSET_K1],1,0.5142854004206483,99
GEN10_LEVEL_SHAPE,OFFSET_K1@ORACLE[OFFSET_K1],OFFSET_K1,ORACLE[OFFSET_K1],2,0.5118967584756552,99
GEN10_LEVEL_SHAPE,OFFSET_K1@ORACLE[OFFSET_K1],OFFSET_K1,ORACLE[OFFSET_K1],3,0.5147886741822276,99
GEN10_LEVEL_SHAPE,OFFSET_K1@ORACLE[OFFSET_K1],OFFSET_K1,ORACLE[OFFSET_K1],5,0.5327717343545219,99
GEN10_LEVEL_SHAPE,OFFSET_K1@RANDOM,OFFSET_K1,RANDOM,1,0.7652297879140263,99
GEN10_LEVEL_SHAPE,OFFSET_K1@RANDOM,OFFSET_K1,RANDOM,2,0.6794332715457367,99
GEN10_LEVEL_SHAPE,OFFSET_K1@RANDOM,OFFSET_K1,RANDOM,3,0.6438705416726389,99
GEN10_LEVEL_SHAPE,OFFSET_K1@RANDOM,OFFSET_K1,RANDOM,5,0.6089276254803135,99
GEN10_LEVEL_SHAPE,OFFSET_K2@CENTRAL_THEN_SPREAD,OFFSET_K2,CENTRAL_THEN_SPREAD,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,OFFSET_K2@CENTRAL_THEN_SPREAD,OFFSET_K2,CENTRAL_THEN_SPREAD,2,0.6293293465739074,99
GEN10_LEVEL_SHAPE,OFFSET_K2@CENTRAL_THEN_SPREAD,OFFSET_K2,CENTRAL_THEN_SPREAD,3,0.5865174322492439,99
GEN10_LEVEL_SHAPE,OFFSET_K2@CENTRAL_THEN_SPREAD,OFFSET_K2,CENTRAL_THEN_SPREAD,5,0.5492293829475834,99
GEN10_LEVEL_SHAPE,OFFSET_K2@D_OPTIMAL,OFFSET_K2,D_OPTIMAL,1,0.945098323089296,99
GEN10_LEVEL_SHAPE,OFFSET_K2@D_OPTIMAL,OFFSET_K2,D_OPTIMAL,2,0.6660406977297157,99
GEN10_LEVEL_SHAPE,OFFSET_K2@D_OPTIMAL,OFFSET_K2,D_OPTIMAL,3,0.605025497971398,99
GEN10_LEVEL_SHAPE,OFFSET_K2@D_OPTIMAL,OFFSET_K2,D_OPTIMAL,5,0.5487109152101334,99
GEN10_LEVEL_SHAPE,OFFSET_K2@MEDOID,OFFSET_K2,MEDOID,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,OFFSET_K2@MEDOID,OFFSET_K2,MEDOID,2,0.6371024408836127,99
GEN10_LEVEL_SHAPE,OFFSET_K2@MEDOID,OFFSET_K2,MEDOID,3,0.6086565828940673,99
GEN10_LEVEL_SHAPE,OFFSET_K2@MEDOID,OFFSET_K2,MEDOID,5,0.5662570251647497,99
GEN10_LEVEL_SHAPE,OFFSET_K2@ORACLE[OFFSET_K1],OFFSET_K2,ORACLE[OFFSET_K1],1,0.5142854004206483,99
GEN10_LEVEL_SHAPE,OFFSET_K2@ORACLE[OFFSET_K1],OFFSET_K2,ORACLE[OFFSET_K1],2,0.506784760343734,99
GEN10_LEVEL_SHAPE,OFFSET_K2@ORACLE[OFFSET_K1],OFFSET_K2,ORACLE[OFFSET_K1],3,0.502126302489689,99
GEN10_LEVEL_SHAPE,OFFSET_K2@ORACLE[OFFSET_K1],OFFSET_K2,ORACLE[OFFSET_K1],5,0.5004265526040059,99
GEN10_LEVEL_SHAPE,OFFSET_K2@RANDOM,OFFSET_K2,RANDOM,1,0.7652297879140263,99
GEN10_LEVEL_SHAPE,OFFSET_K2@RANDOM,OFFSET_K2,RANDOM,2,0.660803333180105,99
GEN10_LEVEL_SHAPE,OFFSET_K2@RANDOM,OFFSET_K2,RANDOM,3,0.6074742993091672,99
GEN10_LEVEL_SHAPE,OFFSET_K2@RANDOM,OFFSET_K2,RANDOM,5,0.5542816237849942,99
GEN10_LEVEL_SHAPE,OFFSET_K3@CENTRAL_THEN_SPREAD,OFFSET_K3,CENTRAL_THEN_SPREAD,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,OFFSET_K3@CENTRAL_THEN_SPREAD,OFFSET_K3,CENTRAL_THEN_SPREAD,2,0.5985579780611192,99
GEN10_LEVEL_SHAPE,OFFSET_K3@CENTRAL_THEN_SPREAD,OFFSET_K3,CENTRAL_THEN_SPREAD,3,0.5320851076652477,99
GEN10_LEVEL_SHAPE,OFFSET_K3@CENTRAL_THEN_SPREAD,OFFSET_K3,CENTRAL_THEN_SPREAD,5,0.4883370467434273,99
GEN10_LEVEL_SHAPE,OFFSET_K3@D_OPTIMAL,OFFSET_K3,D_OPTIMAL,1,0.945098323089296,99
GEN10_LEVEL_SHAPE,OFFSET_K3@D_OPTIMAL,OFFSET_K3,D_OPTIMAL,2,0.6337474495726201,99
GEN10_LEVEL_SHAPE,OFFSET_K3@D_OPTIMAL,OFFSET_K3,D_OPTIMAL,3,0.5533933750520762,99
GEN10_LEVEL_SHAPE,OFFSET_K3@D_OPTIMAL,OFFSET_K3,D_OPTIMAL,5,0.4879459588697392,99
GEN10_LEVEL_SHAPE,OFFSET_K3@MEDOID,OFFSET_K3,MEDOID,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,OFFSET_K3@MEDOID,OFFSET_K3,MEDOID,2,0.6351029433002605,99
GEN10_LEVEL_SHAPE,OFFSET_K3@MEDOID,OFFSET_K3,MEDOID,3,0.6045663176066812,99
GEN10_LEVEL_SHAPE,OFFSET_K3@MEDOID,OFFSET_K3,MEDOID,5,0.5509059987847602,99
GEN10_LEVEL_SHAPE,OFFSET_K3@ORACLE[OFFSET_K1],OFFSET_K3,ORACLE[OFFSET_K1],1,0.5142854004206483,99
GEN10_LEVEL_SHAPE,OFFSET_K3@ORACLE[OFFSET_K1],OFFSET_K3,ORACLE[OFFSET_K1],2,0.503768389638219,99
GEN10_LEVEL_SHAPE,OFFSET_K3@ORACLE[OFFSET_K1],OFFSET_K3,ORACLE[OFFSET_K1],3,0.4958921827966761,99
GEN10_LEVEL_SHAPE,OFFSET_K3@ORACLE[OFFSET_K1],OFFSET_K3,ORACLE[OFFSET_K1],5,0.4830546299211654,99
GEN10_LEVEL_SHAPE,OFFSET_K3@RANDOM,OFFSET_K3,RANDOM,1,0.7652297879140263,99
GEN10_LEVEL_SHAPE,OFFSET_K3@RANDOM,OFFSET_K3,RANDOM,2,0.6395473737228835,99
GEN10_LEVEL_SHAPE,OFFSET_K3@RANDOM,OFFSET_K3,RANDOM,3,0.5775090743576102,99
GEN10_LEVEL_SHAPE,OFFSET_K3@RANDOM,OFFSET_K3,RANDOM,5,0.5087582523095273,99
GEN10_LEVEL_SHAPE,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,2,0.5721784056046594,99
GEN10_LEVEL_SHAPE,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,3,0.5035581644624483,99
GEN10_LEVEL_SHAPE,SERIES_ML@CENTRAL_THEN_SPREAD,SERIES_ML,CENTRAL_THEN_SPREAD,5,0.4496202543372362,99
GEN10_LEVEL_SHAPE,SERIES_ML@D_OPTIMAL,SERIES_ML,D_OPTIMAL,1,0.945098323089296,99
GEN10_LEVEL_SHAPE,SERIES_ML@D_OPTIMAL,SERIES_ML,D_OPTIMAL,2,0.6147775579548269,99
GEN10_LEVEL_SHAPE,SERIES_ML@D_OPTIMAL,SERIES_ML,D_OPTIMAL,3,0.5294793772901762,99
GEN10_LEVEL_SHAPE,SERIES_ML@D_OPTIMAL,SERIES_ML,D_OPTIMAL,5,0.4500885465631343,99
GEN10_LEVEL_SHAPE,SERIES_ML@MEDOID,SERIES_ML,MEDOID,1,0.6718914609554568,99
GEN10_LEVEL_SHAPE,SERIES_ML@MEDOID,SERIES_ML,MEDOID,2,0.6240476817602019,99
GEN10_LEVEL_SHAPE,SERIES_ML@MEDOID,SERIES_ML,MEDOID,3,0.5789744740635634,99
GEN10_LEVEL_SHAPE,SERIES_ML@MEDOID,SERIES_ML,MEDOID,5,0.5089862049579151,99
GEN10_LEVEL_SHAPE,SERIES_ML@ORACLE[OFFSET_K1],SERIES_ML,ORACLE[OFFSET_K1],1,0.5142854004206483,99
GEN10_LEVEL_SHAPE,SERIES_ML@ORACLE[OFFSET_K1],SERIES_ML,ORACLE[OFFSET_K1],2,0.49696809038029,99
GEN10_LEVEL_SHAPE,SERIES_ML@ORACLE[OFFSET_K1],SERIES_ML,ORACLE[OFFSET_K1],3,0.4823825709555685,99
GEN10_LEVEL_SHAPE,SERIES_ML@ORACLE[OFFSET_K1],SERIES_ML,ORACLE[OFFSET_K1],5,0.4609762909299517,99
GEN10_LEVEL_SHAPE,SERIES_ML@RANDOM,SERIES_ML,RANDOM,1,0.7652297879140263,99
GEN10_LEVEL_SHAPE,SERIES_ML@RANDOM,SERIES_ML,RANDOM,2,0.6162546607170453,99
GEN10_LEVEL_SHAPE,SERIES_ML@RANDOM,SERIES_ML,RANDOM,3,0.5425303671812519,99
GEN10_LEVEL_SHAPE,SERIES_ML@RANDOM,SERIES_ML,RANDOM,5,0.465758223533485,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1,CENTRAL_THEN_SPREAD,1,0.6632137047128586,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1,CENTRAL_THEN_SPREAD,2,0.6570574657822633,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1,CENTRAL_THEN_SPREAD,3,0.6265527349342156,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K1,CENTRAL_THEN_SPREAD,5,0.6009747160138479,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@D_OPTIMAL,SLOPE_L_s1_K1,D_OPTIMAL,1,0.927386748988634,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@D_OPTIMAL,SLOPE_L_s1_K1,D_OPTIMAL,2,0.6967810803794403,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@D_OPTIMAL,SLOPE_L_s1_K1,D_OPTIMAL,3,0.6534411390059406,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@D_OPTIMAL,SLOPE_L_s1_K1,D_OPTIMAL,5,0.608688395108369,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@MEDOID,SLOPE_L_s1_K1,MEDOID,1,0.6632137047128586,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@MEDOID,SLOPE_L_s1_K1,MEDOID,2,0.6315910338386959,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@MEDOID,SLOPE_L_s1_K1,MEDOID,3,0.6118131894588255,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@MEDOID,SLOPE_L_s1_K1,MEDOID,5,0.5951015933509441,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],SLOPE_L_s1_K1,ORACLE[OFFSET_K1],1,0.5128781244111476,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],SLOPE_L_s1_K1,ORACLE[OFFSET_K1],2,0.508214057429952,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],SLOPE_L_s1_K1,ORACLE[OFFSET_K1],3,0.5098158173486438,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@ORACLE[OFFSET_K1],SLOPE_L_s1_K1,ORACLE[OFFSET_K1],5,0.5269489457328854,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@RANDOM,SLOPE_L_s1_K1,RANDOM,1,0.7578713318793343,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@RANDOM,SLOPE_L_s1_K1,RANDOM,2,0.6716858619659629,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@RANDOM,SLOPE_L_s1_K1,RANDOM,3,0.6364911302167467,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K1@RANDOM,SLOPE_L_s1_K1,RANDOM,5,0.6019748306212751,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3,CENTRAL_THEN_SPREAD,1,0.6632137047128586,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3,CENTRAL_THEN_SPREAD,2,0.5892774780530456,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3,CENTRAL_THEN_SPREAD,3,0.5237967717078208,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,SLOPE_L_s1_K3,CENTRAL_THEN_SPREAD,5,0.4804533071414702,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3,D_OPTIMAL,1,0.927386748988634,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3,D_OPTIMAL,2,0.6258435763238887,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3,D_OPTIMAL,3,0.5428710234838809,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@D_OPTIMAL,SLOPE_L_s1_K3,D_OPTIMAL,5,0.481737553895175,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@MEDOID,SLOPE_L_s1_K3,MEDOID,1,0.6632137047128586,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@MEDOID,SLOPE_L_s1_K3,MEDOID,2,0.627515295349053,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@MEDOID,SLOPE_L_s1_K3,MEDOID,3,0.5968158436878334,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@MEDOID,SLOPE_L_s1_K3,MEDOID,5,0.5433628517073676,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],SLOPE_L_s1_K3,ORACLE[OFFSET_K1],1,0.5128781244111476,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],SLOPE_L_s1_K3,ORACLE[OFFSET_K1],2,0.4989565035051774,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],SLOPE_L_s1_K3,ORACLE[OFFSET_K1],3,0.4889803630375408,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@ORACLE[OFFSET_K1],SLOPE_L_s1_K3,ORACLE[OFFSET_K1],5,0.4757768449974346,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@RANDOM,SLOPE_L_s1_K3,RANDOM,1,0.7578713318793343,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@RANDOM,SLOPE_L_s1_K3,RANDOM,2,0.6319692795013697,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@RANDOM,SLOPE_L_s1_K3,RANDOM,3,0.5708321848928453,99
GEN10_LEVEL_SHAPE,SLOPE_L_s1_K3@RANDOM,SLOPE_L_s1_K3,RANDOM,5,0.5028776019155127,99
GEN10_LEVEL_SHAPE,ZERO_SHOT,ZERO_SHOT_REF,NONE,0,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@CENTRAL_THEN_SPREAD,ZERO_SHOT,CENTRAL_THEN_SPREAD,1,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@CENTRAL_THEN_SPREAD,ZERO_SHOT,CENTRAL_THEN_SPREAD,2,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@CENTRAL_THEN_SPREAD,ZERO_SHOT,CENTRAL_THEN_SPREAD,3,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@CENTRAL_THEN_SPREAD,ZERO_SHOT,CENTRAL_THEN_SPREAD,5,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@D_OPTIMAL,ZERO_SHOT,D_OPTIMAL,1,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@D_OPTIMAL,ZERO_SHOT,D_OPTIMAL,2,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@D_OPTIMAL,ZERO_SHOT,D_OPTIMAL,3,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@D_OPTIMAL,ZERO_SHOT,D_OPTIMAL,5,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@MEDOID,ZERO_SHOT,MEDOID,1,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@MEDOID,ZERO_SHOT,MEDOID,2,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@MEDOID,ZERO_SHOT,MEDOID,3,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@MEDOID,ZERO_SHOT,MEDOID,5,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@ORACLE[OFFSET_K1],ZERO_SHOT,ORACLE[OFFSET_K1],1,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@ORACLE[OFFSET_K1],ZERO_SHOT,ORACLE[OFFSET_K1],2,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@ORACLE[OFFSET_K1],ZERO_SHOT,ORACLE[OFFSET_K1],3,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@ORACLE[OFFSET_K1],ZERO_SHOT,ORACLE[OFFSET_K1],5,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@RANDOM,ZERO_SHOT,RANDOM,1,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@RANDOM,ZERO_SHOT,RANDOM,2,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@RANDOM,ZERO_SHOT,RANDOM,3,1.0657257208120912,99
GEN10_LEVEL_SHAPE,ZERO_SHOT@RANDOM,ZERO_SHOT,RANDOM,5,1.0657257208120912,99
GEN10_REC_ALL,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,1,0.8252974768084728,99
GEN10_REC_ALL,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,2,0.6950799164142283,99
GEN10_REC_ALL,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,3,0.6004034513413431,99
GEN10_REC_ALL,NEAREST_OBSERVED@CENTRAL_THEN_SPREAD,NEAREST_OBSERVED,CENTRAL_THEN_SPREAD,5,0.5191199199517904,99
GEN10_REC_ALL,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,1,1.199971537757043,99
GEN10_REC_ALL,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,2,0.8021406853605014,99
GEN10_REC_ALL,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,3,0.6608554276600818,99
GEN10_REC_ALL,NEAREST_OBSERVED@D_OPTIMAL,NEAREST_OBSERVED,D_OPTIMAL,5,0.5533122148454758,99
GEN10_REC_ALL,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,1,0.8252974768084728,99
GEN10_REC_ALL,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,2,0.7720468667569355,99
GEN10_REC_ALL,NEAREST_OBSERVED@MEDOID,NEAREST_OBSERVED,MEDOID,3,0.7089494683909865,99
