global_model,adapter,split_seed,fold,method,penalty_series,penalty_response,k2_series,k2_response,k3_series,k3_response,k5_series,k5_response,tau_series,tau_response,sigma,converged,tau_moment_series,tau_moment_response
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,262147,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,262147,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,262147,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_FIXED,262147,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,104729,0,INNER,,,1.0,0.5,4.0,32.0,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,104729,1,INNER,,,4.0,0.5,1.0,16.0,1.0,8.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,104729,2,INNER,,,64.0,8.0,4.0,16.0,1.0,32.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,104729,3,INNER,,,16.0,8.0,1.0,16.0,1.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,104729,4,INNER,,,1.0,2.0,4.0,32.0,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,130363,0,INNER,,,4.0,16.0,1.0,8.0,4.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,130363,1,INNER,,,1.0,4.0,1.0,16.0,1.0,8.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,130363,2,INNER,,,1.0,2.0,4.0,16.0,1.0,1.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,130363,3,INNER,,,1.0,2.0,1.0,0.5,1.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,130363,4,INNER,,,16.0,1.0,1.0,16.0,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,155921,0,INNER,,,4.0,4.0,1.0,8.0,4.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,155921,1,INNER,,,16.0,0.5,1.0,16.0,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,155921,2,INNER,,,1.0,2.0,1.0,4.0,1.0,32.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,155921,3,INNER,,,16.0,8.0,1.0,16.0,1.0,16.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,155921,4,INNER,,,16.0,1.0,1.0,16.0,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,196613,0,INNER,,,4.0,4.0,1.0,8.0,4.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,196613,1,INNER,,,4.0,1.0,1.0,16.0,1.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,196613,2,INNER,,,1.0,2.0,4.0,16.0,1.0,1.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,196613,3,INNER,,,1.0,2.0,1.0,16.0,1.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,196613,4,INNER,,,16.0,1.0,1.0,0.5,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,262147,0,INNER,,,4.0,1.0,4.0,32.0,1.0,8.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,262147,1,INNER,,,1.0,2.0,1.0,16.0,1.0,8.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,262147,2,INNER,,,64.0,8.0,4.0,16.0,1.0,4.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,262147,3,INNER,,,16.0,8.0,1.0,32.0,1.0,0.5,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_INNER,262147,4,INNER,,,1.0,2.0,4.0,32.0,1.0,2.0,,,,,,
GEN9_SHAPE_RECOMPOSED,SERIES_ML,104729,0,ML,1.303405913539828,1.7006461976056055,,,,,,,0.791135151278956,0.6926016767265502,0.9032137175296464,True,0.3816624933081284,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,104729,1,ML,1.183593059757617,1.0920726660199611,,,,,,,0.6903328801725858,0.7186774124771169,0.7510342865257067,True,0.1853869714056597,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,104729,2,ML,1.310230623914904,1.6508877967189004,,,,,,,0.783911124894445,0.6983641259537376,0.8973062665592978,True,0.3745742501579066,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,104729,3,ML,1.3994822412393628,1.88521554488242,,,,,,,0.751463394558785,0.6474571330168073,0.8889790491158137,True,0.3541736309460456,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,104729,4,ML,1.2914743344543222,1.645480197003397,,,,,,,0.7863547429038633,0.6966506882226772,0.8936375320352483,True,0.3846429212873351,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,130363,0,ML,1.3557611199255124,1.2715965348686369,,,,,,,0.6468830288160898,0.6679480358936192,0.7532121986747066,True,0.0,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,130363,1,ML,0.9127085332850088,1.4741113828811956,,,,,,,0.862034260111654,0.6783056460890451,0.823551157542184,True,0.47576392527423,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,130363,2,ML,0.8995286849234797,1.5251719201499947,,,,,,,0.860140692288467,0.6605681078981255,0.8157874176423836,True,0.4621031779310683,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,130363,3,ML,0.9042743479125168,1.4860939575412964,,,,,,,0.8577345503858104,0.6690828153154317,0.8156484398170929,True,0.4719464739707472,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,130363,4,ML,0.8789586173693268,1.5309523143229522,,,,,,,0.8732366654973992,0.6616607074693293,0.8186837623975873,True,0.4891513380060298,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,155921,0,ML,1.0236654843260458,1.0247280966211616,,,,,,,0.7605775474857791,0.7601830971509734,0.769524640703837,True,0.1630847989483162,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,155921,1,ML,0.8185766627975857,1.5294369048928451,,,,,,,0.8723836015994608,0.6382214410709774,0.7892910403516968,True,0.4858815899237783,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,155921,2,ML,0.8200852544605678,1.4977704319084069,,,,,,,0.8754370034814071,0.6477863238211087,0.7927831322337879,True,0.4930990175992494,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,155921,3,ML,0.8462965060879486,1.6003117844235577,,,,,,,0.8470150588341536,0.6159565869814292,0.7792062108764092,True,0.4709203711701283,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,155921,4,ML,0.8503619530337613,1.528057994492759,,,,,,,0.8665458123458184,0.6464330010692467,0.799085846006791,True,0.4835377543336072,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,196613,0,ML,0.9074984144454432,1.0269514275350624,,,,,,,0.8463765975643588,0.7956308835516264,0.8062812937701288,True,0.2709083740221717,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,196613,1,ML,1.0404178563532078,1.665461948737192,,,,,,,0.7907306820229698,0.6249785785518039,0.8065522169897859,True,0.419866258206405,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,196613,2,ML,0.969830711065904,1.3535283392765969,,,,,,,0.8256446849048984,0.6988878318579796,0.8130947478071022,True,0.4402816761441814,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,196613,3,ML,1.0258824370035988,1.368010613564468,,,,,,,0.8107863646416839,0.7021186358196059,0.8212118995276376,True,0.4214317307144603,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,196613,4,ML,0.948285039615762,1.3864902048870758,,,,,,,0.8420519964978129,0.6963858797163941,0.8199896287280901,True,0.4538298948886536,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,262147,0,ML,0.9915499883953792,1.5149929007669296,,,,,,,0.8388621666812448,0.6786449408170652,0.8353104502309167,True,0.4499761234646772,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,262147,1,ML,1.371525522366622,0.9512636795605436,,,,,,,0.5596910778169041,0.6720473501433745,0.6554662437420293,True,0.1423900114558686,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,262147,2,ML,1.0385048691098409,1.534245595646262,,,,,,,0.8190529964471944,0.6738586839169514,0.834672821016647,True,0.4271305078741172,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,262147,3,ML,1.0269795475472463,1.4788477317570106,,,,,,,0.8145015915607786,0.6787519726976349,0.8254159078833574,True,0.4217262313894309,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML,262147,4,ML,0.9664005545924798,1.5771399200481817,,,,,,,0.8357696713682603,0.654229435466865,0.8216090087527469,True,0.4388013129910816,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,104729,0,ML,400.0,2.309100361593192,,,,,,,,0.6921079564316629,1.0517081672590365,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,104729,1,ML,400.0,1.49287081338009,,,,,,,,0.7174303798951551,0.876578625892271,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,104729,2,ML,400.0,2.2309389774514483,,,,,,,,0.6982551857713112,1.0429368567033022,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,104729,3,ML,400.0,2.53048913552765,,,,,,,,0.6470945675927262,1.0293664101263915,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,104729,4,ML,400.0,2.239695761165893,,,,,,,,0.6961466366439343,1.0418261240176272,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,130363,0,ML,400.0,1.5359646271086966,,,,,,,,0.6673574396149463,0.8270830361652005,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,130363,1,ML,400.0,2.150231818555339,,,,,,,,0.6778503438506063,0.9939772919225602,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,130363,2,ML,400.0,2.2506274362323717,,,,,,,,0.6601026837629429,0.9902920734680218,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,130363,3,ML,400.0,2.1726130724525325,,,,,,,,0.668690995437162,0.9856362533974954,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,130363,4,ML,400.0,2.24272162611618,,,,,,,,0.6612528674911633,0.9902737198710312,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,155921,0,ML,400.0,1.355675457466906,,,,,,,,0.7574321205114807,0.8819045540982524,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,155921,1,ML,400.0,2.333352323704656,,,,,,,,0.6377290139222846,0.9741511238753724,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,155921,2,ML,400.0,2.2799026513388054,,,,,,,,0.6477863238211087,0.9781150170062703,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,155921,3,ML,400.0,2.4299050042071344,,,,,,,,0.615565912474751,0.9595535358081888,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,155921,4,ML,400.0,2.322251943751671,,,,,,,,0.6459658165044482,0.984383224378634,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,196613,0,ML,400.0,1.4916635245188536,,,,,,,,0.7924682002227538,0.9678705580755778,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,196613,1,ML,400.0,2.402090328515772,,,,,,,,0.6249012546909625,0.96851435924234,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,196613,2,ML,400.0,1.9896449764067217,,,,,,,,0.6982841782808014,0.984963181825784,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,196613,3,ML,400.0,1.9959624139598569,,,,,,,,0.7015445327923331,0.99113183055147,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,196613,4,ML,400.0,2.040811446594972,,,,,,,,0.6960184043894917,0.9943108174862356,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,262147,0,ML,400.0,2.1905788763466827,,,,,,,,0.678244601842868,1.003842997024652,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,262147,1,ML,400.0,1.194198031932335,,,,,,,,0.6710462668342073,0.7333151208836824,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,262147,2,ML,400.0,2.2304499912222178,,,,,,,,0.6734643018231419,1.005798133421721,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,262147,3,ML,400.0,2.149825064479382,,,,,,,,0.6784013897158181,0.9946912323275152,True,,0.0
GEN9_SHAPE_RECOMPOSED,SERIES_ML_NOSERIES,262147,4,ML,400.0,2.313159059575238,,,,,,,,0.6538490789151348,0.9944438467603652,True,,0.0
GEN9_REL_MONOLITH,SERIES_FIXED,104729,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,104729,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,104729,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,104729,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,104729,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,130363,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,130363,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,130363,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,130363,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,130363,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,155921,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,155921,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,155921,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,155921,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,155921,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,196613,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,196613,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,196613,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,196613,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,196613,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,262147,0,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,262147,1,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,262147,2,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,262147,3,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_FIXED,262147,4,FIXED,4.0,4.0,,,,,,,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,104729,0,INNER,,,1.0,0.5,4.0,32.0,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,104729,1,INNER,,,4.0,0.5,1.0,16.0,1.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,104729,2,INNER,,,64.0,8.0,4.0,16.0,1.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,104729,3,INNER,,,1.0,16.0,1.0,16.0,1.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,104729,4,INNER,,,16.0,1.0,4.0,8.0,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,130363,0,INNER,,,1.0,8.0,16.0,8.0,4.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,130363,1,INNER,,,1.0,8.0,1.0,16.0,1.0,1.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,130363,2,INNER,,,1.0,2.0,4.0,16.0,1.0,1.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,130363,3,INNER,,,1.0,2.0,1.0,1.0,1.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,130363,4,INNER,,,16.0,1.0,1.0,16.0,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,155921,0,INNER,,,4.0,4.0,64.0,8.0,4.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,155921,1,INNER,,,1.0,8.0,1.0,16.0,1.0,1.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,155921,2,INNER,,,4.0,8.0,4.0,16.0,1.0,1.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,155921,3,INNER,,,4.0,32.0,1.0,8.0,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,155921,4,INNER,,,16.0,1.0,1.0,8.0,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,196613,0,INNER,,,1.0,8.0,4.0,8.0,1.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,196613,1,INNER,,,4.0,1.0,1.0,16.0,1.0,1.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,196613,2,INNER,,,16.0,2.0,4.0,16.0,1.0,1.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,196613,3,INNER,,,4.0,32.0,1.0,16.0,1.0,0.5,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,196613,4,INNER,,,16.0,1.0,1.0,0.5,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,262147,0,INNER,,,1.0,0.5,4.0,32.0,1.0,8.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,262147,1,INNER,,,1.0,2.0,1.0,16.0,4.0,16.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,262147,2,INNER,,,4.0,8.0,4.0,16.0,1.0,4.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,262147,3,INNER,,,4.0,32.0,1.0,16.0,1.0,4.0,,,,,,
GEN9_REL_MONOLITH,SERIES_INNER,262147,4,INNER,,,16.0,4.0,4.0,32.0,1.0,2.0,,,,,,
GEN9_REL_MONOLITH,SERIES_ML,104729,0,ML,1.2223960712098791,1.6693013784344657,,,,,,,0.8138717467318385,0.6964574190105467,0.8998330597974875,True,0.4023949809598612,0.0
GEN9_REL_MONOLITH,SERIES_ML,104729,1,ML,1.2323393821339053,1.1394399376773772,,,,,,,0.6955006902391163,0.7232975771754011,0.7720807582164901,True,0.178196581923836,0.0
GEN9_REL_MONOLITH,SERIES_ML,104729,2,ML,1.217765806640988,1.6197220196243347,,,,,,,0.81061275448645,0.7028701137322141,0.8945308452685635,True,0.3987019724204166,0.0
GEN9_REL_MONOLITH,SERIES_ML,104729,3,ML,1.3100417075094943,1.8394263668384951,,,,,,,0.7727682762895909,0.6521547210669948,0.8844877987214048,True,0.3741395274600186,0.0
GEN9_REL_MONOLITH,SERIES_ML,104729,4,ML,1.210304289508384,1.604560414752359,,,,,,,0.8092076660478678,0.7027959300423829,0.8902403498909274,True,0.4056624640363687,0.0
GEN9_REL_MONOLITH,SERIES_ML,130363,0,ML,1.5194232195728947,1.2735237433702324,,,,,,,0.6256468741993283,0.6833845176297498,0.7712029081511766,True,0.0,0.0
GEN9_REL_MONOLITH,SERIES_ML,130363,1,ML,1.0398931956724906,1.59476741392752,,,,,,,0.859668121898473,0.6941870605576977,0.8766478879661697,True,0.4572590144784904,0.0
GEN9_REL_MONOLITH,SERIES_ML,130363,2,ML,1.033528175517828,1.6757042697799065,,,,,,,0.8586134771666438,0.6743108896045016,0.8728886799598772,True,0.4429538967300359,0.0
GEN9_REL_MONOLITH,SERIES_ML,130363,3,ML,1.030509473399252,1.6036176321178106,,,,,,,0.8560871584177906,0.6862677105193578,0.8690484250131336,True,0.4542683343178527,0.0
GEN9_REL_MONOLITH,SERIES_ML,130363,4,ML,0.9998260145907448,1.6523881462078225,,,,,,,0.8715856549734081,0.6779790196395723,0.8715098300817177,True,0.4720437839051358,0.0
GEN9_REL_MONOLITH,SERIES_ML,155921,0,ML,1.1001655680086664,1.062245538512422,,,,,,,0.7586249920300859,0.772046951430566,0.7957124812026045,True,0.1412260537333434,0.0
GEN9_REL_MONOLITH,SERIES_ML,155921,1,ML,0.9481512633835644,1.645123515792277,,,,,,,0.8637873863123471,0.6557622568438931,0.8410962019657324,True,0.4629346010018058,0.0
GEN9_REL_MONOLITH,SERIES_ML,155921,2,ML,0.9396084895113996,1.597641935369336,,,,,,,0.8704801189916134,0.6675635214469029,0.8437860142573964,True,0.4737662968503497,0.0
GEN9_REL_MONOLITH,SERIES_ML,155921,3,ML,0.9856205912286355,1.7353793558196435,,,,,,,0.8409443601595452,0.633760157425995,0.8348763261338799,True,0.4494382937053062,0.0
GEN9_REL_MONOLITH,SERIES_ML,155921,4,ML,0.9859284705303104,1.6402297611292975,,,,,,,0.8590488553940955,0.6660214611070432,0.8529833765144738,True,0.4613407842666512,0.0
GEN9_REL_MONOLITH,SERIES_ML,196613,0,ML,1.007990090382491,1.0748426591192357,,,,,,,0.8307018549732229,0.8044533492995992,0.8340139436154098,True,0.2462693909632195,0.0
GEN9_REL_MONOLITH,SERIES_ML,196613,1,ML,1.20492493084417,1.7859295793173908,,,,,,,0.7791054754091429,0.6399471164856807,0.8552168552510387,True,0.3949980514544776,0.0
GEN9_REL_MONOLITH,SERIES_ML,196613,2,ML,1.1320925393685466,1.4563357185289705,,,,,,,0.80980064237957,0.7139837548713527,0.8616265665634246,True,0.411519027356774,0.0
GEN9_REL_MONOLITH,SERIES_ML,196613,3,ML,1.1842612909877808,1.4630701922639409,,,,,,,0.7969701054260785,0.7170232150786777,0.8672929142363642,True,0.3949040056091291,0.0
GEN9_REL_MONOLITH,SERIES_ML,196613,4,ML,1.0880421333556118,1.4760107203570816,,,,,,,0.8309022885755598,0.7133917060881717,0.8667080130750344,True,0.4291457466873149,0.0
GEN9_REL_MONOLITH,SERIES_ML,262147,0,ML,1.0267178997109898,1.495184563007408,,,,,,,0.8474593261529895,0.702258537798866,0.858705866983666,True,0.4499501266481795,0.0
GEN9_REL_MONOLITH,SERIES_ML,262147,1,ML,1.5738402016352036,0.971633198651836,,,,,,,0.530703943072641,0.6754317303923832,0.6657828925974278,True,0.1082027798029363,0.0
GEN9_REL_MONOLITH,SERIES_ML,262147,2,ML,1.0832149908258522,1.514428256903332,,,,,,,0.825856822659834,0.6984538886995598,0.8595320829175896,True,0.4249776188887055,0.0
GEN9_REL_MONOLITH,SERIES_ML,262147,3,ML,1.0555794301028198,1.454134874817811,,,,,,,0.8236821471873481,0.7017828763764736,0.8462625305701643,True,0.4227837574356484,0.0
GEN9_REL_MONOLITH,SERIES_ML,262147,4,ML,1.0085478084039208,1.558776450970487,,,,,,,0.8445317967552459,0.6793167644356619,0.8481335643230965,True,0.4377383878325658,0.0
GEN9_REL_MONOLITH,SERIES_ML_NOSERIES,104729,0,ML,400.0,2.3052316356078912,,,,,,,,0.6958630049604323,1.0565280546592215,True,,0.0
GEN9_REL_MONOLITH,SERIES_ML_NOSERIES,104729,1,ML,400.0,1.5584553799457952,,,,,,,,0.7220161424133917,0.9013513087178162,True,,0.0
GEN9_REL_MONOLITH,SERIES_ML_NOSERIES,104729,2,ML,400.0,2.228088464618507,,,,,,,,0.7026647071649668,1.0488523505171825,True,,0.0
GEN9_REL_MONOLITH,SERIES_ML_NOSERIES,104729,3,ML,400.0,2.506822230480064,,,,,,,,0.6516796844916498,1.0318010159554292,True,,0.0
GEN9_REL_MONOLITH,SERIES_ML_NOSERIES,104729,4,ML,400.0,2.2207756073835836,,,,,,,,0.702187973749363,1.0464192645420305,True,,0.0
