axis,candidate,reference,metric,n_curves,n_ligands,n_publications,curves_improved,scheme,point,ci_low,ci_high,n_blocks,ci_width,positive
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6793349168646081,chemotype,0.1871231403203878,0.0082996152804963,0.2386391130990261,38.0,0.2303394978185298,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6793349168646081,publication,0.1871231403203878,0.1113833104636518,0.3048674976998875,50.0,0.1934841872362357,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6793349168646081,ligand,0.1871231403203878,0.0892862898133546,0.2742799725252675,68.0,0.1849936827119128,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,slope_abs_error,421,68,50,0.6793349168646081,two_factor,0.1871231403203878,0.1108154435905444,0.3024540372091404,,0.191638593618596,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,421,68,50,0.6247030878859857,chemotype,0.0302296327038434,0.0014249086532019,0.0384250254050777,38.0,0.0370001167518757,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,421,68,50,0.6247030878859857,publication,0.0302296327038434,0.012959400507527,0.0505718610250202,50.0,0.0376124605174932,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,421,68,50,0.6247030878859857,ligand,0.0302296327038434,0.0011096051037674,0.0509304160517542,68.0,0.0498208109479867,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,row_mae,421,68,50,0.6247030878859857,two_factor,0.0302296327038434,0.0127642648298594,0.0511846288989722,,0.0384203640691127,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,416,63,50,0.7139423076923077,chemotype,0.0615774698016537,0.039679491145271,0.1394132700109076,33.0,0.0997337788656365,True
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,416,63,50,0.7139423076923077,publication,0.0615774698016537,-0.0538865774505601,0.1486916855173425,50.0,0.2025782629679027,False
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,416,63,50,0.7139423076923077,ligand,0.0615774698016537,-0.0702393115980315,0.1412932553813805,63.0,0.211532566979412,False
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,span_recovery_distance,416,63,50,0.7139423076923077,two_factor,0.0615774698016537,-0.0596747361925911,0.1522554180031415,,0.2119301541957327,False
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,spearman,416,63,50,0.3004807692307692,chemotype,-0.0246511726390832,-0.0710432103507979,-0.0065519339345871,33.0,0.0644912764162107,False
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,spearman,416,63,50,0.3004807692307692,publication,-0.0246511726390832,-0.0411273411551924,-0.0116904606522208,50.0,0.0294368805029716,False
acid,GEN9_SHAPE_RECOMPOSED,REC_ecfp_plus_recovered,spearman,416,63,50,0.3004807692307692,ligand,-0.0246511726390832,-0.0517190910892161,-0.0063059741226326,63.0,0.0454131169665835,False
