global_model,cohort,k,best_arm,best_mae,n_ligands,mae_ZERO_SHOT,mae_OFFSET_K1@CENTRAL_THEN_SPREAD,mae_OFFSET_K3@CENTRAL_THEN_SPREAD,mae_SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD
REC_ecfp_plus_recovered,B_MISMATCH,5,SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,0.5809259341542037,1,0.8648021783055105,0.9016742219983898,0.6172947035674148,0.5809259341542037
REC_ecfp_plus_recovered,C_DUPLICATE,0,ZERO_SHOT,1.3166125505850317,3,1.3166125505850317,,,
REC_ecfp_plus_recovered,C_DUPLICATE,1,SERIES_MAP_LEVELONLY@CENTRAL_THEN_SPREAD,0.8894525200938176,3,1.3166125505850317,0.8894525200938176,0.8894525200938176,0.8894525200938176
REC_ecfp_plus_recovered,C_DUPLICATE,2,SERIES_MAP_LEVELONLY@MEDOID,0.77456665546862,3,1.3166125505850317,1.0752830153376467,0.9293796791879396,0.9293796791879396
REC_ecfp_plus_recovered,C_DUPLICATE,3,SERIES_MAP@CENTRAL,0.7243396597332928,3,1.3166125505850317,1.0544130857440452,0.9123773987776552,0.9123773987776552
REC_ecfp_plus_recovered,C_DUPLICATE,5,SERIES_MAP@CENTRAL,0.6625952699728443,3,1.3166125505850317,0.8963330151817189,0.7750526371890879,0.7750526371890879
REC_ecfp_plus_recovered,D_TWE24,0,ZERO_SHOT,4.103748484791109,1,4.103748484791109,,,
REC_ecfp_plus_recovered,D_TWE24,1,SERIES_MAP_NOSERIES@D_OPTIMAL,0.5263576034213416,1,4.103748484791109,0.6824575326433321,0.6824575326433321,0.6824575326433321
REC_ecfp_plus_recovered,D_TWE24,2,OFFSET_K2@CENTRAL_THEN_SPREAD,0.4842759279354433,1,4.103748484791109,0.4842759279354433,0.5289101096635777,0.5289101096635777
REC_ecfp_plus_recovered,D_TWE24,3,OFFSET_K2@RANDOM,0.4794920431420763,1,4.103748484791109,0.4794920431420763,0.5066495683992162,0.5066495683992162
REC_ecfp_plus_recovered,E_UNCERTAIN,0,ZERO_SHOT,1.5105603181925151,3,1.5105603181925151,,,
REC_ecfp_plus_recovered,E_UNCERTAIN,1,OFFSET_K3@CENTRAL_THEN_SPREAD,1.1346867309744828,3,1.5105603181925151,1.1346867309744828,1.1346867309744828,1.1498319837123423
REC_ecfp_plus_recovered,E_UNCERTAIN,2,SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,0.9726116000744058,3,1.5105603181925151,1.1186585090874053,0.9892372013396656,0.9944265410794704
REC_ecfp_plus_recovered,E_UNCERTAIN,3,NEAREST_OBSERVED@LEARNED_BLEND,0.8222415884372607,3,1.5105603181925151,1.152763800943034,0.9972561150722756,0.9907496803031772
REC_ecfp_plus_recovered,E_UNCERTAIN,5,NEAREST_OBSERVED@LEARNED_BLEND,0.6846367098696099,3,1.5105603181925151,1.1280950173971354,0.8652312315758358,0.8380593209255708
