design,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
BQ,CB_MAG_LEVEL_vs_G14,mae_all,G14,CB_MAG_LEVEL,-0.014338961515562352,-0.039927839849593076,0.020055415501124843,-0.048844645312037936,0.012347469020021387,0.5372,0.016214737456655068,0.04540126487863419,-0.0024237241630156244,90,40,0,5,-0.017537128665940486,0.004917087718505918,False,0.02,False,False
BQ,CB_MAG_RANK_vs_G14,mae_all,G14,CB_MAG_RANK,-0.012643895383200194,-0.04107862688822937,0.029975938814292783,-0.04467686194875452,0.02442408117983246,0.5266,0.018108497936221178,0.050703794221419296,-0.009090809205442248,90,33,1,5,-0.019010583466442178,0.0009727962240703263,False,0.02,False,False
BQ,CB_MAG_vs_MAG_MED,mae_all,MAG_MED,CB_MAG,-0.011973082335360683,-0.027553596803748717,0.01381167950142782,-0.026779736863713696,0.015919543470326425,0.2728,0.010373724291802503,0.029046428017047005,-0.00685749679503627,90,24,0,5,-0.017857086933728325,-0.0069968071878374755,True,0.02,False,False
BQ,CB_MAG_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG,-0.015076544063658564,-0.033239241333799706,0.014841989313861832,-0.03369569943002948,0.013839873921432063,0.2682,0.012254995430617236,0.03431398720572826,-0.008295279288481719,90,27,0,5,-0.020738097951131344,-0.007215178284758822,True,0.02,False,False
BQ,CB_MAG_RANK_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG_RANK,0.0016950661323621545,-0.031571232012352644,0.03278897014185951,-0.028360123499412533,0.037736671508415684,0.9438,0.016216220845991294,0.045405418368775624,-0.006667085042426626,90,49,2,5,-0.006008361877340427,0.008071682504831739,False,0.02,False,False
BQ,CB_MAG_LEVEL_vs_MAG_MED,mae_all,MAG_MED,CB_MAG_LEVEL,0.003103461728297875,-0.006857287157164916,0.00951259722062179,-0.006236936204448012,0.00984757766061835,0.4972,0.004209772428619283,0.011787362800133991,0.001437782493445449,90,56,2,5,0.0002183710969213457,0.004733556271661662,True,0.02,False,False
A,MAG_MED_vs_G14,mae_all,G14,MAG_MED,-0.01764310797903758,-0.04797336485071662,0.02466414588465841,-0.05654555149576408,0.014925541450448216,0.4808,0.019215170846998964,0.053802478371597094,-0.006598959507917302,90,36,0,5,-0.02213363637256518,0.0037836387545086684,False,0.02,False,False
A,CB_MAG_vs_G14,mae_all,G14,CB_MAG,-0.009257434250278017,-0.03551354603703937,0.03201207643520234,-0.03904907124601464,0.026508408144422697,0.6532,0.01753896011899702,0.04910908833319165,-0.0024482437690403957,90,37,1,5,-0.014673918471158792,0.005646933954743662,False,0.02,False,False
A,CB_MAG_LEVEL_vs_G14,mae_all,G14,CB_MAG_LEVEL,-0.004212832255218834,-0.02363389375138406,0.022551190617891483,-0.029230952314036395,0.016525629043178138,0.8342,0.012274080650804214,0.034367425822251794,0.0029408266604912105,90,45,1,5,-0.006819687868926953,0.009543417960173977,False,0.02,False,False
A,CB_MAG_RANK_vs_G14,mae_all,G14,CB_MAG_RANK,0.0022200386877287864,-0.023477497171613283,0.038680926261883436,-0.02135660728598534,0.04396198976980172,0.8978,0.015579830637576654,0.043623525785214626,-0.00015637306604289377,90,27,2,5,-0.005181164836980518,0.006465083451900916,False,0.02,False,False
A,CB_MAG_vs_MAG_MED,mae_all,MAG_MED,CB_MAG,0.008385673728759565,-0.01722244266401728,0.033014107338542834,-0.013624323088512432,0.038748371818459824,0.5402,0.012607996183814758,0.03530238931468132,0.004150715738876904,90,46,4,5,0.0012979267032572975,0.011784488339867198,True,0.02,False,False
A,CB_MAG_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG,-0.005044601995059183,-0.02536676834729697,0.022044857629018047,-0.02265340206539151,0.028132858249917177,0.634,0.011868684731701556,0.033232317248764354,-0.005389070429531606,90,27,1,5,-0.011660718460212912,-0.0019223697014120605,True,0.02,False,False
A,CB_MAG_RANK_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG_RANK,0.00643287094294762,-0.030280013400292585,0.040560692573816004,-0.024981528089738504,0.04765464784434148,0.7568,0.017765687406257988,0.049743924737522364,-0.0030971997265341043,90,42,4,5,-0.003115257732642118,0.010404385378869428,False,0.02,False,False
A,CB_MAG_LEVEL_vs_MAG_MED,mae_all,MAG_MED,CB_MAG_LEVEL,0.013430275723818748,-0.002362572923578626,0.0243363649037782,0.0012275656281925732,0.0274084045429289,0.1052,0.00706630811778965,0.01978566272981102,0.009539786168408514,90,59,5,5,0.00575977920566531,0.01531394850363823,True,0.02,False,False
BP,MAG_MED_vs_G14,mae_all,G14,MAG_MED,-0.014212736774343367,-0.04139591706576581,0.02491866767505602,-0.048990313712161455,0.015782317298754314,0.5374,0.017505590617140854,0.049015653727994386,-0.0015305658440001048,90,34,0,5,-0.018048123581101624,0.005202951014979678,False,0.02,False,False
BP,CB_MAG_vs_G14,mae_all,G14,CB_MAG,0.0010852543204429275,-0.024090634978274288,0.034111196607867,-0.023984604664276536,0.03425980749726043,0.9408,0.01457584070606602,0.04081235397698485,0.0059380812413083435,90,40,2,5,-0.004631871247257022,0.006387800263962106,False,0.02,False,False
BP,CB_MAG_LEVEL_vs_G14,mae_all,G14,CB_MAG_LEVEL,0.002145027790090193,-0.01004509976422634,0.019910763977815632,-0.011998654048197556,0.01715548021798592,0.7424,0.007776936120153482,0.02177542113642975,0.0047259296996527604,90,46,3,5,1.5796838280018943e-05,0.008842650475060509,True,0.02,False,False
BP,CB_MAG_RANK_vs_G14,mae_all,G14,CB_MAG_RANK,0.00246867757025172,-0.029266199482175126,0.03418922650642734,-0.02876153244456374,0.03470042435228839,0.8618,0.015628322640907067,0.04375930339453978,-0.0023851878872833596,90,51,2,5,-0.0040779459827511135,0.00849030706330596,False,0.02,False,False
BP,CB_MAG_vs_MAG_MED,mae_all,MAG_MED,CB_MAG,0.015297991094786294,-0.019766765876412157,0.0425684702225951,-0.013611142087548496,0.04853240616238998,0.436,0.01625952634154315,0.04552667375632082,0.007468647085308449,90,49,4,5,0.000259248321618112,0.02001090832244297,True,0.02,False,False
BP,CB_MAG_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG,-0.001059773469647264,-0.025749601935192448,0.02456413813068768,-0.024691821116859095,0.026102803767773766,0.9074,0.012497779826774103,0.034993783514967486,0.0012121515416555861,90,49,2,5,-0.0063303306186651975,0.004091839972487904,False,0.02,False,False
BP,CB_MAG_RANK_vs_CB_MAG_LEVEL,mae_all,CB_MAG_LEVEL,CB_MAG_RANK,0.00032364978016152264,-0.035691782088149056,0.031317366321818425,-0.03260426234380386,0.03535961534291192,0.9954,0.016951901662334446,0.04746532465453645,-0.0071111175869361205,90,42,2,5,-0.008156312346217366,0.006271445075715122,False,0.02,False,False
BP,CB_MAG_LEVEL_vs_MAG_MED,mae_all,MAG_MED,CB_MAG_LEVEL,0.016357764564433563,-0.005709632737573514,0.03259876724511915,-0.0006989871919169653,0.039003451571692965,0.204,0.010423682513259747,0.02918631103712729,0.006256495543652865,90,56,5,5,0.0036396994600808286,0.018551075878239457,True,0.02,False,False
