design,arm,n_cells,sp_pred_vs_true_mag,sp_pred_vs_n_metals,sp_true_vs_n_metals,pred_mag_sd
BP,CB_MAG,1445,-0.0641008720286184,-0.13246890408613302,0.48789297040073404,0.08552927926572655
BP,CB_MAG_LEVEL,1445,-0.11379959305484444,0.04358145067566379,0.48789297040073404,0.04058518781436528
BP,CB_MAG_RANK,1445,-0.014025793549629366,-0.06038723604049334,0.48789297040073404,0.12254846581919099
BP,CB_MAG_SHUF,1445,-0.017836498483425067,-0.06004751867437031,0.48789297040073404,0.07732244500635856
BP,FLAT,1445,,,0.48789297040073404,0.0
BP,G14,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,GAM_DIR,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,GAM_DIR_K,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,GAM_MAG,1445,-0.07025553810930121,0.007533698259158264,0.48789297040073404,0.30921334715576615
BP,ISO_PICK,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,ISO_PRIOR,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,MAG_MED,1445,-0.09512249374592924,0.0746141295400569,0.48789297040073404,0.05260271804301158
BP,SYM_DIR,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,TP_ALL,1445,-0.10809616191476598,-0.08464870507978009,0.48789297040073404,0.07613200501267968
BP,TP_CURV,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,TP_DIR209,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,TP_DIR39,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,TP_MAG,1445,-0.10809616191476598,-0.08464870507978009,0.48789297040073404,0.07613200501267968
BP,TP_MAG_MEAN,1445,-0.05449261956569669,-0.05606561938126705,0.48789297040073404,0.03309357719769722
BP,TP_MAG_SHUF,1445,-0.021323001342162792,-0.061472849063916396,0.48789297040073404,0.06649994468854793
BP,XGB_FREE,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BP,XGB_MONO,1445,-0.08184737741342947,0.11883592301284349,0.48789297040073404,0.06215179276984858
BQ,CB_CURV,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,CB_DIR,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,CB_DIR209,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,CB_DIR_ES,1445,-0.06431464852840109,0.05681277804042959,0.48789297040073404,0.031062464758721608
BQ,CB_MAG,1445,-0.07669539952099987,0.0992628643494239,0.48789297040073404,0.07871241580231449
BQ,CB_MAG_LEVEL,1445,-0.13211016737311537,0.102812793956733,0.48789297040073404,0.04182375564538276
BQ,CB_MAG_RANK,1445,-0.013948327206036717,0.0545165661179372,0.48789297040073404,0.12189792616662859
BQ,CB_MAG_SHUF,1445,-0.09971649637155242,0.0713964989475185,0.48789297040073404,0.07407642711235594
BQ,FLAT,1445,,,0.48789297040073404,0.0
