pair_label,split_seed,arm,r2
Eu-Ho,104729,PRIOR,-0.5308859378017032
Eu-Er,104729,PRIOR,-0.39382552081218214
Ho-Tm,104729,PRIOR_TRENDONLY,0.17782355507174263
Ce-Pr,104729,PRIOR_TRENDONLY,0.09977884420404692
Ce-Nd,104729,PRIOR_TRENDONLY,0.17748433524263885
Ce-Sm,104729,PRIOR_TRENDONLY,0.053475099479246
Ce-Eu,104729,PRIOR_TRENDONLY,-0.09781187080713738
Ce-Gd,104729,PRIOR_TRENDONLY,-0.40974863762164015
Ce-Tb,104729,PRIOR_TRENDONLY,-0.7117530291615277
Ce-Dy,104729,PRIOR_TRENDONLY,-0.5445524686940455
Pr-Nd,104729,PRIOR_TRENDONLY,0.14060067963389256
Pr-Sm,104729,PRIOR_TRENDONLY,0.2115343612539493
Pr-Eu,104729,PRIOR_TRENDONLY,0.11124740514870468
Pr-Gd,104729,PRIOR_TRENDONLY,0.05886830829018652
Pr-Tb,104729,PRIOR_TRENDONLY,-0.14300819660161812
Pr-Dy,104729,PRIOR_TRENDONLY,0.10843900051214217
Nd-Sm,104729,PRIOR_TRENDONLY,-0.12767468658947156
Nd-Eu,104729,PRIOR_TRENDONLY,-0.2171837839562274
Nd-Gd,104729,PRIOR_TRENDONLY,-0.6775331087124412
Nd-Tb,104729,PRIOR_TRENDONLY,-1.1781803276975245
Nd-Dy,104729,PRIOR_TRENDONLY,-0.915354866726896
Sm-Eu,104729,PRIOR_TRENDONLY,-0.3251728259251281
Sm-Gd,104729,PRIOR_TRENDONLY,-0.6887349480990337
Sm-Tb,104729,PRIOR_TRENDONLY,-0.773654160441867
Sm-Dy,104729,PRIOR_TRENDONLY,-1.0875552882671715
Eu-Gd,104729,PRIOR_TRENDONLY,-0.04359439530012321
Eu-Tb,104729,PRIOR_TRENDONLY,-0.5793224863165118
Eu-Dy,104729,PRIOR_TRENDONLY,-0.5835087678955757
Gd-Tb,104729,PRIOR_TRENDONLY,-0.051931459091444365
Gd-Dy,104729,PRIOR_TRENDONLY,-0.625433087556307
Tb-Dy,104729,PRIOR_TRENDONLY,-0.13698491308696203
Nd-Ho,104729,PRIOR_TRENDONLY,-0.89208912368859
Nd-Er,104729,PRIOR_TRENDONLY,-1.0864776880711133
Sm-Ho,104729,PRIOR_TRENDONLY,-0.9306179610489453
Sm-Er,104729,PRIOR_TRENDONLY,-1.0860317271171018
Gd-Ho,104729,PRIOR_TRENDONLY,-0.47225373557573924
Gd-Er,104729,PRIOR_TRENDONLY,-0.5217104209556835
Dy-Ho,104729,PRIOR_TRENDONLY,-0.10030402124670679
Dy-Er,104729,PRIOR_TRENDONLY,-0.0036540803486251328
Ho-Er,104729,PRIOR_TRENDONLY,-0.13670483039206371
La-Ce,104729,PRIOR_TRENDONLY,0.0811782982924234
La-Pr,104729,PRIOR_TRENDONLY,0.011440673108176314
La-Eu,104729,PRIOR_TRENDONLY,-0.032483724924203816
La-Tb,104729,PRIOR_TRENDONLY,-0.3118984025738192
La-Tm,104729,PRIOR_TRENDONLY,-0.3671861861398693
La-Yb,104729,PRIOR_TRENDONLY,-0.23929296939915612
La-Lu,104729,PRIOR_TRENDONLY,-0.04057239473086294
Ce-Tm,104729,PRIOR_TRENDONLY,-0.884076756307338
Ce-Yb,104729,PRIOR_TRENDONLY,-0.7221415442308712
Ce-Lu,104729,PRIOR_TRENDONLY,-0.6249417362588909
Pr-Tm,104729,PRIOR_TRENDONLY,-0.19070444642027806
Pr-Yb,104729,PRIOR_TRENDONLY,-0.06285660497720902
Pr-Lu,104729,PRIOR_TRENDONLY,0.07095773834579111
Eu-Tm,104729,PRIOR_TRENDONLY,-0.6858404659941058
Eu-Yb,104729,PRIOR_TRENDONLY,-0.3217127430119031
Eu-Lu,104729,PRIOR_TRENDONLY,-0.07764600414702616
Tb-Tm,104729,PRIOR_TRENDONLY,-0.07360331602628611
Tb-Yb,104729,PRIOR_TRENDONLY,0.009522971098181898
Tb-Lu,104729,PRIOR_TRENDONLY,0.1179450438477766
Tm-Yb,104729,PRIOR_TRENDONLY,-0.03398726588853762
Tm-Lu,104729,PRIOR_TRENDONLY,-0.13787480942281483
Yb-Lu,104729,PRIOR_TRENDONLY,-0.7290747958957184
Ho-Yb,104729,PRIOR_TRENDONLY,0.11538147717012404
Er-Tm,104729,PRIOR_TRENDONLY,0.08177892374039786
Er-Yb,104729,PRIOR_TRENDONLY,0.0019050304112654404
La-Nd,104729,PRIOR_TRENDONLY,0.1463380385872276
La-Sm,104729,PRIOR_TRENDONLY,0.09405355317062847
Gd-Tm,104729,PRIOR_TRENDONLY,-0.5341984193936486
Gd-Yb,104729,PRIOR_TRENDONLY,-0.2220940716537827
Gd-Lu,104729,PRIOR_TRENDONLY,-0.13797111225434766
Tb-Ho,104729,PRIOR_TRENDONLY,-0.14777431227772886
Tb-Er,104729,PRIOR_TRENDONLY,-0.08013283015026906
Dy-Tm,104729,PRIOR_TRENDONLY,0.07101527405720465
Dy-Yb,104729,PRIOR_TRENDONLY,0.14396001202930375
Dy-Lu,104729,PRIOR_TRENDONLY,0.116250692302033
Ho-Lu,104729,PRIOR_TRENDONLY,0.031878333296295636
Er-Lu,104729,PRIOR_TRENDONLY,-0.05596902173286722
La-Gd,104729,PRIOR_TRENDONLY,-0.1253974579123407
La-Dy,104729,PRIOR_TRENDONLY,-0.11278636165023448
La-Ho,104729,PRIOR_TRENDONLY,-0.4353354410544863
La-Er,104729,PRIOR_TRENDONLY,-0.31257479904057384
Ce-Ho,104729,PRIOR_TRENDONLY,-0.7046733915684975
Ce-Er,104729,PRIOR_TRENDONLY,-0.9166720807397934
Pr-Ho,104729,PRIOR_TRENDONLY,-0.15675785672913678
Pr-Er,104729,PRIOR_TRENDONLY,-0.10816325553387407
Nd-Tm,104729,PRIOR_TRENDONLY,-1.6977085316346527
Nd-Yb,104729,PRIOR_TRENDONLY,-1.0937536311653857
Nd-Lu,104729,PRIOR_TRENDONLY,-0.674489306400256
Sm-Tm,104729,PRIOR_TRENDONLY,-1.3533705202599893
Sm-Yb,104729,PRIOR_TRENDONLY,-0.8215453409705968
Sm-Lu,104729,PRIOR_TRENDONLY,-0.49193127278985416
Eu-Ho,104729,PRIOR_TRENDONLY,-0.7509441742898095
Eu-Er,104729,PRIOR_TRENDONLY,-0.6415281410139042
Ho-Tm,104729,A2_lig2d,0.21219677656806635
Ce-Pr,104729,A2_lig2d,0.10891750777369047
Ce-Nd,104729,A2_lig2d,0.24182279340121915
Ce-Sm,104729,A2_lig2d,0.1732833917677582
Ce-Eu,104729,A2_lig2d,0.07929705631486939
Ce-Gd,104729,A2_lig2d,-0.15043217652578722
Ce-Tb,104729,A2_lig2d,-0.3636671945556662
Ce-Dy,104729,A2_lig2d,-0.30229988425558996
Pr-Nd,104729,A2_lig2d,0.2416368280953095
Pr-Sm,104729,A2_lig2d,0.3030254514046722
Pr-Eu,104729,A2_lig2d,0.19543072324266675
Pr-Gd,104729,A2_lig2d,0.20255789986024875
Pr-Tb,104729,A2_lig2d,0.0759421397741441
Pr-Dy,104729,A2_lig2d,0.18329331720514375
Nd-Sm,104729,A2_lig2d,-0.16208102848295391
Nd-Eu,104729,A2_lig2d,-0.12496916761963739
Nd-Gd,104729,A2_lig2d,-0.5639201581921989
Nd-Tb,104729,A2_lig2d,-0.8629403361357302
