extractant,n_metals,slope_full,slope_odd,slope_even,jk_se
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,14,-1707.542851698192,-1610.5646138370578,-1792.273770427285,226.87655218832526
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,15,-1441.7801832430157,-1527.0005504138642,-1388.4726192888036,212.1218266517403
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,7,-63.9602588359279,-83.67793662657303,-60.581293904861155,33.1186462303633
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,7,-693.0860218184131,-0.5116537330460604,-830.5002450204486,659.8276395548767
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,28,-1383.0831793004438,-1383.6156710431,-1382.550687557788,113.54052961985182
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,14,-60.41105312965934,-57.219474268685545,-63.17642912679246,7.776367882987695
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,14,-1425.3678668512803,-1344.5397694059543,-1495.8630816985014,189.60450761921362
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,12,-1417.7288298643143,-1444.737258004013,-1446.8946221466822,172.39599099071953
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,14,-1425.184883529761,-1344.513525204608,-1495.4810252364698,189.4131446454204
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,14,-1572.2851134336179,-1482.7286154434423,-1650.405621771391,208.94807716484183
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,23,142.8953911606728,-60.426972931090944,303.7143483426651,215.44628441151858
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,12,-66.63234691911359,-65.48787603027372,-67.57020339658538,8.07562843366038
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],24,-1457.3628976340954,-1446.194113133466,-1459.507154615921,124.35560392225248
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,9,-61.6067376475208,-67.65409492855245,-60.43886980551595,23.01587769733251
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,14,-1389.5903635519542,-1310.2274551731493,-1458.9698641918164,184.67174063631862
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,14,-1414.347459129829,-1334.3924187271045,-1483.9344496635279,187.8672500942943
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,9,-61.45152014295356,-67.26528367937378,-60.3327962764261,22.830730717695825
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,7,-922.3209436594639,-1730.2378335980418,-763.3488674554238,484.8319826325294
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,14,-60.0392361430094,-57.210631305529986,-62.435029831110334,7.726131246844468
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,28,-30.645941466837744,-59.7482074507724,-1.5436754829023596,23.05225252136522
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,14,-0.05369627011496421,-1.3125711563379805,4.3329886152312636,4.1431586574694155
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,9,-61.90834766574226,-68.05456110850426,-60.67585350444717,22.779672080303
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,14,-806.5069552680566,-784.272395313259,-824.7763897924525,157.79965963172054
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,14,-60.20547596795567,-56.98149356171472,-62.97299566423041,7.727611320335586
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,13,-606.3378533205168,-667.1440644572434,-563.8075786295378,86.50938180214507
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,13,-53.553340354027334,-1.190558398846963,-91.69954779756684,121.50914441298688
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,14,-60.293457269269545,-57.044416437738974,-63.08599422203267,7.737286290111632
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,14,-60.505167184904565,-57.2844787968974,-63.284597183101525,7.701879377988117
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,14,-60.05677309934377,-56.69859566709831,-62.92721505676132,7.69943067099745
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,14,-60.345868882105655,-57.14334472294135,-63.08796284554731,7.760316522010001
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,12,-808.9173475608897,-732.4647952114069,-871.2578477190868,138.21360797259536
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,7,-0.8207833475597698,-0.3761687004642479,-1.0158641400087878,0.36074506977069354
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,7,-1.0135037444571977,-0.10457760539890894,-1.4139224322193025,0.4441513972332752
CCN(CC)C(=O)COCC(=O)N(CC)CC,14,-471.21325449738055,-444.5394403521349,-494.4569566310913,62.496868266653166
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,14,-60.81755255149706,-57.60681651286353,-63.54794700989592,7.852424154362945
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,14,-60.36477092694125,-57.032647214327206,-63.22725488793542,7.795570635578793
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,14,-596.0973362377239,-562.4749109407088,-625.364353998711,79.13492863580903
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,8,-401.23059248470963,-1.7635798529511617,-687.2269782568244,402.61334787237587
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,13,180.60503314610077,-64.96637531560364,338.32682511711704,248.46060801507875
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,14,-584.0665312734498,-551.036689423851,-612.8212772201887,77.58703234794838
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,7,-1.083029214485954,-0.7266535591444657,-1.2490973031248649,0.3899803672367773
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,14,-60.76828770660191,-58.01906868595929,-63.09941889048948,7.828361643424779
