,,,err__zero_shot,err__zero_shot,err__conditional,err__conditional,err__basis_shift,err__basis_shift,err__rescale,err__rescale,err__no_model_linear,err__no_model_linear
,,,mean,size,mean,size,mean,size,mean,size,mean,size
arm,support_design,support_dz,,,,,,,,,,
M_PHYSICS_radius+radius_sq,random,3,0.4715809374561985,44317,0.3861769427141125,44317,0.3771168620871728,44317,0.43830604975147547,44317,0.4264531136630702,44317
M_PHYSICS_radius+radius_sq,random,4,0.482122987679863,41479,0.3607463486746835,41479,0.36511558386038795,41479,0.4334388856395374,41479,0.3656110161435536,41479
M_PHYSICS_radius+radius_sq,random,5,0.4707928708986136,31975,0.3355877072338439,31975,0.36177499937392016,31975,0.41548336013940623,31975,0.33266783937651334,31975
M_PHYSICS_radius+radius_sq,random,6,0.48584217781762856,27183,0.320816212515715,27183,0.3608227454538571,27183,0.4211946412803031,27183,0.3125022532069465,27183
M_PHYSICS_radius+radius_sq,random,7,0.5497515827978493,22235,0.32328245701705227,22235,0.3801518181083974,22235,0.4725362421546973,22235,0.31660176315596794,22235
M_PHYSICS_radius+radius_sq,random,8,0.5494948805417534,18153,0.3093864706790991,18153,0.38516643106170495,18153,0.4558841722097212,18153,0.28883839279923396,18153
M_PHYSICS_radius+radius_sq,random,9,0.5242510668870412,14245,0.31447854223417576,14245,0.3652252526954271,14245,0.4435019041947935,14245,0.2757506001622619,14245
M_PHYSICS_radius+radius_sq,random,10,0.5135447400088871,11420,0.2716739201516311,11420,0.32462556418749805,11420,0.41320076837745523,11420,0.26036489356101516,11420
M_PHYSICS_radius+radius_sq,random,11,0.5286642307690915,8657,0.27468257709851174,8657,0.3093250956704747,8657,0.4321645026388778,8657,0.2443531593852084,8657
M_PHYSICS_radius+radius_sq,random,12,0.5310977957348174,5608,0.29552329156013696,5608,0.3261636747089878,5608,0.4167492754701292,5608,0.2702631635203439,5608
M_PHYSICS_radius+radius_sq,random,13,0.5225070902318243,3877,0.24209310958771071,3877,0.2931595759415622,3877,0.3889312311898062,3877,0.23961969518778117,3877
M_PHYSICS_radius+radius_sq,widest,2,0.1315103633118363,60,0.11184338626414819,60,0.11130380457297426,60,0.1315103633118363,60,0.10675558685738455,60
M_PHYSICS_radius+radius_sq,widest,3,0.2979132619771063,300,0.21866604897878938,300,0.20464597160815118,300,0.26738265720548504,300,0.17616098660946453,300
M_PHYSICS_radius+radius_sq,widest,4,0.25454674371114405,430,0.1915447664115534,430,0.20098079816174083,430,0.24872696078395196,430,0.18187708816194018,430
M_PHYSICS_radius+radius_sq,widest,5,0.298840268539364,3130,0.16194579564300735,3130,0.17307690433702272,3130,0.2184407840183284,3130,0.1304210271382118,3130
M_PHYSICS_radius+radius_sq,widest,6,0.39415736515136857,835,0.20510882892510135,835,0.22294988891206655,835,0.2791256680336307,835,0.1880723993621521,835
M_PHYSICS_radius+radius_sq,widest,7,0.2526058482375247,6750,0.12303145232596219,6750,0.1389344441907591,6750,0.2096283560921543,6750,0.11490416603708868,6750
M_PHYSICS_radius+radius_sq,widest,8,0.3290860270363687,395,0.24226689601769644,395,0.23719553431341686,395,0.2752380377557735,395,0.3253430196666903,395
M_PHYSICS_radius+radius_sq,widest,9,0.6991529449527198,1205,0.38849766099331845,1205,0.4623113921972727,1205,0.5870732153634654,1205,0.3410376232789681,1205
M_PHYSICS_radius+radius_sq,widest,10,0.43219876273077934,1820,0.24947323641794447,1820,0.29021424448573174,1820,0.35456945946360546,1820,0.21383852511455015,1820
M_PHYSICS_radius+radius_sq,widest,11,0.8088275816129025,175,0.25158627064237465,175,0.34334669774194526,175,0.6890733231066666,175,0.18946841376371543,175
M_PHYSICS_radius+radius_sq,widest,12,0.5399238517757141,1975,0.2713976945560486,1975,0.33200115092533544,1975,0.40575611613259105,1975,0.2980924388447788,1975
