context,candidate_index,max_features,min_samples_leaf,inner_macro_group_mae,inner_r2,inner_mae,selected,delta3d_weight
outer_1:baseline,0.0,0.35,2.0,0.15750236955370897,0.09383483082101673,0.11474796502212724,True,
outer_1:baseline,1.0,0.7,2.0,0.1607648937393798,-0.03691790134522033,0.12329066036914746,False,
outer_1:baseline,2.0,1.0,4.0,0.175433183238992,-0.4932834033324953,0.13714222372288926,False,
outer_1:2d_second_unshrunk,0.0,0.35,2.0,0.15865977608734363,0.06715248379731686,0.11612989086954016,True,
outer_1:2d_second_unshrunk,1.0,0.7,2.0,0.1606447840823111,-0.06503562015861131,0.12584353337768556,False,
outer_1:2d_second_unshrunk,2.0,1.0,4.0,0.1737861829184167,-0.4896953152841055,0.13733375319454041,False,
outer_1:delta3d_unshrunk,0.0,0.35,2.0,0.15835328287490505,0.142627579460617,0.11214799758672721,True,
outer_1:delta3d_unshrunk,1.0,0.7,2.0,0.16247785784857402,0.10921168324354646,0.11578634320497244,False,
outer_1:delta3d_unshrunk,2.0,1.0,4.0,0.16239338178763632,0.09921682676301058,0.11695113823324663,False,
outer_1:2d_ensemble_weight,,,,0.15922252444104243,0.07188917441984466,0.11605088308150505,True,0.0
outer_1:2d_ensemble_weight,,,,0.159446254798449,0.0691599556206739,0.11645046749108173,False,0.25
outer_1:2d_ensemble_weight,,,,0.15967903443835524,0.06603110106536536,0.11687633359080747,False,0.5
outer_1:2d_ensemble_weight,,,,0.1599356954109242,0.06250261075391961,0.11733583666591438,False,0.75
outer_1:2d_ensemble_weight,,,,0.16019813240570693,0.05857448468633619,0.11782721293765389,False,1.0
outer_1:delta3d_weight,,,,0.15922252444104243,0.07188917441984466,0.11605088308150505,False,0.0
outer_1:delta3d_weight,,,,0.157156030798641,0.10143356113908197,0.11376272058387847,False,0.25
outer_1:delta3d_weight,,,,0.15644315945863643,0.11940199249367345,0.11251150547997674,True,0.5
outer_1:delta3d_weight,,,,0.15718208583254126,0.12579446848361897,0.11249282012433535,False,0.75
outer_1:delta3d_weight,,,,0.15912988921407825,0.12061098910891843,0.11345792034910215,False,1.0
outer_2:baseline,0.0,0.35,2.0,0.12638075420531464,0.015387573372065644,0.12421025407036296,True,
outer_2:baseline,1.0,0.7,2.0,0.13119348105669143,-0.11496969244488175,0.13421408820718886,False,
outer_2:baseline,2.0,1.0,4.0,0.12918944668893498,-0.1233884540043153,0.1346987079001758,False,
outer_2:2d_second_unshrunk,0.0,0.35,2.0,0.1263212085951841,0.016934454842028823,0.12299346589523295,True,
outer_2:2d_second_unshrunk,1.0,0.7,2.0,0.12974744463786408,-0.100425877821954,0.13383609489902662,False,
outer_2:2d_second_unshrunk,2.0,1.0,4.0,0.12927691810396164,-0.1293445377674569,0.135434297757863,False,
outer_2:delta3d_unshrunk,0.0,0.35,2.0,0.13474548763940472,0.12516331780782808,0.11623862072696205,True,
outer_2:delta3d_unshrunk,1.0,0.7,2.0,0.13514530158386415,0.10011351653469047,0.11857255267749982,False,
outer_2:delta3d_unshrunk,2.0,1.0,4.0,0.13508135192268622,0.09489462926513326,0.11831623846468411,False,
outer_2:2d_ensemble_weight,,,,0.1291068146801474,-0.007626999099550336,0.12469468087225959,False,0.0
outer_2:2d_ensemble_weight,,,,0.12829402932271408,-0.003887446317748511,0.12465348500477272,False,0.25
outer_2:2d_ensemble_weight,,,,0.12752003671140516,-0.0008012208560137513,0.12471416647718958,False,0.5
outer_2:2d_ensemble_weight,,,,0.12679586947703142,0.001631677285653943,0.1248499633689258,False,0.75
outer_2:2d_ensemble_weight,,,,0.12610269700071797,0.003411248107254905,0.12505147484008702,True,1.0
outer_2:delta3d_weight,,,,0.1291068146801474,-0.007626999099550336,0.12469468087225959,False,0.0
outer_2:delta3d_weight,,,,0.12819068611557344,0.0504027055864229,0.12086760705276682,True,0.25
outer_2:delta3d_weight,,,,0.12891099671683937,0.092145103802173,0.11830320706336367,False,0.5
outer_2:delta3d_weight,,,,0.13053220276952457,0.11760019554769996,0.116701679576417,False,0.75
outer_2:delta3d_weight,,,,0.13314921042307054,0.1267679808230039,0.11618928207247463,False,1.0
outer_3:baseline,0.0,0.35,2.0,0.1688800175194714,-0.1258862769224809,0.13876933242761202,True,
outer_3:baseline,1.0,0.7,2.0,0.17926594414490843,-0.338292917843525,0.145834484661858,False,
