outer_fold,ablation,n_rows,mae,rmse,r2,pearson,spearman
3,A5_SHUFFLED_s3019,2921,0.49833460974029603,0.7053882612008946,0.04695065252951991,0.495896684913728,0.639705048597006
4,A0,991,0.6479772563140445,0.9838838446556313,-0.6347097944550599,-0.4441727665356237,-0.47681547673765434
4,A1,991,0.3431353387369886,0.5001488946090688,0.5775730356628295,0.7673021717652485,0.6696650875297723
4,A2,991,0.30213136502216903,0.4407275182504762,0.6719852739617265,0.822513885351118,0.7892209963576166
4,A3,991,0.3166454057906554,0.4693658516980268,0.6279716936799473,0.7953291685486614,0.7666255186446518
4,A4,991,0.30368478870458554,0.43774699408785833,0.6764068267891217,0.8242934677879111,0.7905900315359154
4,A5,991,0.30585627295525675,0.4378247706827727,0.676291827890914,0.824083514202464,0.7938406606358599
4,A6,991,0.3052786548753436,0.440882470463005,0.6717545847475661,0.8213369618330749,0.7896177620870987
4,A2+D1,991,0.3053860929499019,0.44033441626987524,0.6725701511404596,0.8218675651219489,0.7950128090303552
4,A2+D2,991,0.30250978520555327,0.4356806156206193,0.6794546501216991,0.8264228593325569,0.7889095692947262
4,A2+D3,991,0.3023922120716924,0.4422585717202234,0.6697023196205136,0.8215973309941748,0.7943012489641031
4,A2+D4,991,0.30315773341141433,0.43773511181393193,0.6764243938796639,0.8246105085886484,0.7883313390109107
4,A2+D5,991,0.3028360892174554,0.4369802639468923,0.6775394049993887,0.8254938482082986,0.7929877133277323
4,A5_SHUFFLED_s1009,991,0.30334038501548644,0.43620434826437465,0.678683530351791,0.8257528316047132,0.7937852752689175
4,A5_SHUFFLED_s2017,991,0.30328165448763106,0.4369121017963774,0.6776399948666469,0.8257821967231218,0.7894003069020947
4,A5_SHUFFLED_s3019,991,0.30512023180413284,0.43663319211708557,0.6780514306120338,0.8246888466842996,0.7942395642246052
