extractant,n_comp,nligs_range,step_r,frac_at_max_nligs,mean_nligs,mean_nNO3,mean_nH2O,n_series_rows,a,b,abs_a,n_metals,n_cells,chemotype,S8,S14,n_computed_metals
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,0.05677265550773193,0.07445454333299406,0.05677265550773193,14.0,1,sc029,True,True,14
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2,0.0,,1.0,4.0,0.0,0.5714285714285714,7,0.15999421231466016,-0.006910759980945884,0.15999421231466016,9.0,1,sc030,False,False,7
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,2,1.0,-0.26778740353667696,0.4166666666666667,2.4166666666666665,0.5833333333333334,0.0,12,0.3467328148760595,-0.18375897577768446,0.3467328148760595,14.0,1,sc030,True,False,12
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,2,0.0,,1.0,4.0,0.0,0.6666666666666666,9,0.36221010057175657,0.03768674494564828,0.36221010057175657,9.0,1,sc031,True,False,9
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.6453826421271318,-0.00476060643880139,0.6453826421271318,9.11111111111111,27,sc009,True,True,14
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.8244015014148325,-0.2372365649028476,0.8244015014148325,14.0,1,sc009,True,True,14
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,2,1.0,-0.49135303401225666,0.625,2.625,0.375,0.0,8,-0.22633407470931466,-0.022587341031049077,0.22633407470931466,8.0,1,sc009,True,False,8
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,2,1.0,-0.49135303401225666,0.625,2.625,0.375,0.0,8,-0.2521014826249013,-0.03219809901232894,0.2521014826249013,8.0,1,sc009,True,False,8
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.7292481827765358,-0.29238195007435935,0.7292481827765358,14.0,1,sc009,True,True,14
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.7170884578157906,-0.15690949852024416,0.7170884578157906,14.0,1,sc033,True,True,14
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.7940811776094859,-0.2985258743493042,0.7940811776094859,14.0,1,sc009,True,True,14
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.8867915164656944,-0.12649247502408864,0.8867915164656944,13.0,1,sc009,True,True,14
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.9992745864042203,-0.17784724730344387,0.9992745864042203,14.0,1,sc009,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.22427103249718483,-0.20273156355578997,0.22427103249718483,14.0,1,sc027,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,2,0.0,,1.0,4.0,0.0,0.5714285714285714,7,0.07767791537411164,0.07923142927827162,0.07767791537411164,9.0,1,sc036,False,False,7
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,2,1.0,-0.6977213082974053,0.8571428571428571,2.857142857142857,0.0,0.2857142857142857,7,0.008022171823822402,-0.785336214012229,0.008022171823822402,7.0,1,sc009,False,False,7
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.3255745912705604,-0.07822069944820567,0.3255745912705604,9.984126984126984,63,sc009,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCC)CCCCCCCC,2,0.0,,1.0,2.0,0.0,0.5,14,-0.0007708247149778961,0.08773932512607294,0.0007708247149778961,7.0,2,sc009,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.3587201508417729,-0.31008639404587396,0.3587201508417729,14.0,1,sc027,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,12,-0.1344018887022944,-0.08222453155566446,0.1344018887022944,13.0,1,sc027,True,False,12
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](C)O[C@H](C)C(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.06436545424974306,-0.08489687761980698,0.06436545424974306,14.0,1,sc027,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,0.30492576817424943,-0.1443408376652124,0.30492576817424943,14.0,1,sc028,True,True,14
CCCCCCCCN(CCCCCCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCCCCCC)CCCCCCCC)nc3c2n1,3,1.0,1.2111852288402183,0.9285714285714286,1.9285714285714286,0.0,0.7857142857142857,14,0.05523910660636944,0.023956566968087185,0.05523910660636944,11.5,2,sc029,True,True,14
CCCCCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,2,0.0,,1.0,4.0,0.0,0.4166666666666667,12,0.0804098188497249,-0.15704413138577816,0.0804098188497249,13.0,1,sc008,True,False,12
CCCCCCCCP(=O)(CCCCCCCC)Cc1cccc(CP(=O)(CCCCCCCC)CCCCCCCC)[n+]1[O-],2,1.0,-0.26778740353667696,0.46153846153846156,2.4615384615384617,0.0,1.0769230769230769,13,0.2811611168792546,-0.2219101300475188,0.2811611168792546,14.0,2,sc055,True,False,13
CCCCCCN(C)C(=O)CC(=O)N(C)CCCCCC,2,0.0,,1.0,4.0,0.0,0.6666666666666666,9,0.0847260190546904,0.007507944947351539,0.0847260190546904,9.0,1,sc031,True,False,9
CCCCCCN(CCC(C)CCC=C(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCC=C(C)C,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.8569266354753365,-0.20916645452008065,0.8569266354753365,14.0,1,sc057,True,True,14
CCCCCCN(CCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCC)CCC(C)CCCC(C)C,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,-0.9088900787833218,-0.18632234614240195,0.9088900787833218,14.0,1,sc009,True,True,14
CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,2,0.0,,1.0,4.0,0.0,0.6666666666666666,9,0.09450184366406067,0.07059332345030415,0.09450184366406067,9.0,1,sc036,True,False,9
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,2,1.0,-0.49135303401225666,0.7142857142857143,2.7142857142857144,0.2857142857142857,0.0,7,-0.22956325896989577,-0.06888889022977193,0.22956325896989577,8.0,2,sc009,False,False,7
CCCCCCc1ccc(N(CC)C(=O)c2cccc(-c3cccc(C(=O)N(CC)c4ccc(CCCCCC)cc4)n3)n2)cc1,2,0.0,,1.0,2.0,0.0,0.5,14,0.23276708074116695,-0.06903078882046128,0.23276708074116695,14.0,1,sc059,True,True,14
CCCCCCn1c(-c2ccccc2)c(-c2ccccc2)c2cc3ccc4cc5c(-c6ccccc6)c(-c6ccccc6)n(CCCCCC)c(=O)c5nc4c3nc2c1=O,1,0.0,,1.0,1.0,2.0,0.0,14,0.9141468586952404,0.2796385176780678,0.9141468586952404,14.0,2,sc060,True,True,14
CCCCCc1nnc(-c2cccc(-c3cccc(-c4nnc(CCCCC)c(CCCCC)n4)n3)n2)nc1CCCCC,1,0.0,,1.0,1.0,2.0,0.0,13,-0.6836791670144733,-0.0055817475540192105,0.6836791670144733,12.9375,16,sc061,True,False,13
CCCCN(CCCC)C(=O)CC(=O)N(CCCC)CCCC,2,0.0,,1.0,4.0,0.0,0.6666666666666666,9,0.10803147995248544,0.09085568699785203,0.10803147995248544,9.0,1,sc036,True,False,9
CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,2,0.0,,1.0,4.0,0.0,0.3333333333333333,3,0.04815178807087685,0.020942722618112,0.04815178807087685,5.0,1,sc036,False,False,3
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,2,1.0,-0.26778740353667696,0.6,2.6,0.4,0.0,10,-0.4749290822009562,-0.12004942670096741,0.4749290822009562,7.8,5,sc009,True,False,10
CCCCN(CCCC)C(=O)c1ccc2ccc3ccc(C(=O)N(CCCC)CCCC)nc3c2n1,2,0.0,,1.0,2.0,0.0,0.5,14,0.09671049187916156,-0.007156034837850184,0.09671049187916156,14.0,1,sc029,True,True,14
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,2,1.0,-0.49135303401225666,0.5384615384615384,2.5384615384615383,0.46153846153846156,0.0,13,0.01737381896998138,-0.12316736083100942,0.01737381896998138,7.0,8,sc009,True,False,13
CCCc1nnc(-c2cccc(-c3nnc(CCC)c(CCC)n3)n2)nc1CCC,2,2.0,-0.04422177306110111,0.9230769230769231,2.8461538461538463,0.07692307692307693,0.0,13,-1.1402076412697881,-0.4569091689987956,1.1402076412697881,14.0,1,sc061,True,False,13
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)cc(C)c3)n2)n1)c1cc(C)cc(C)c1,2,0.0,,1.0,2.0,0.0,0.5,14,0.09121649837900109,-0.05574079364471141,0.09121649837900109,14.0,1,sc068,True,True,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3cc(C)ccc3C)n2)n1)c1cc(C)ccc1C,2,0.0,,1.0,2.0,0.0,0.5,14,-0.1649673920867853,0.04711814360556551,0.1649673920867853,14.0,1,sc069,True,True,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccc(C)cc3C)n2)n1)c1ccc(C)cc1C,2,0.0,,1.0,2.0,0.0,0.5,14,-0.050458278756047345,-0.037260424753369915,0.050458278756047345,14.0,1,sc069,True,True,14
CCN(C(=O)c1cccc(-c2cccc(C(=O)N(CC)c3ccccc3)n2)n1)c1ccccc1,2,0.0,,1.0,2.0,0.0,0.5,14,0.22356360041157794,-0.039472726890211106,0.22356360041157794,14.0,1,sc068,True,True,14
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccc(C)cc2)n1)c1ccc(C)cc1,2,1.0,-0.26778740353667696,0.5833333333333334,2.5833333333333335,0.4166666666666667,0.0,12,-0.33120046212908366,0.2068169051811004,0.33120046212908366,14.0,1,sc068,True,False,12
CCN(C(=O)c1cccc(C(=O)N(CC)c2cccc(C)c2)n1)c1cccc(C)c1,1,0.0,,1.0,3.0,0.0,0.0,7,-0.13312663901329763,0.2504519856963187,0.13312663901329763,14.0,1,sc068,False,False,7
CCN(C(=O)c1cccc(C(=O)N(CC)c2ccccc2C)n1)c1ccccc1C,1,0.0,,1.0,3.0,0.0,0.0,7,-0.29319801230815806,0.03944119440434355,0.29319801230815806,14.0,1,sc070,False,False,7
CCN(CC)C(=O)COCC(=O)N(CC)CC,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,0.01940773275716319,-0.060086286364075724,0.01940773275716319,7.0,12,sc071,True,True,14
CCc1ccc(N(CC)C(=O)c2ccc3ccc4ccc(C(=O)N(CC)c5ccc(CC)cc5)nc4c3n2)cc1,2,0.0,,1.0,2.0,0.0,0.5,14,0.7983757096683257,0.03807480069795167,0.7983757096683257,14.0,1,sc068,True,True,14
CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,2,0.0,,1.0,4.0,0.0,0.5,14,0.1533720048308666,-0.04141192116807001,0.1533720048308666,14.0,1,sc075,True,True,14
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,2,1.0,-0.26778740353667696,0.5,2.5,0.5,0.0,14,-0.062445406491785004,0.06716189105022351,0.062445406491785004,7.090909090909091,11,sc076,True,True,14
CN(C(=O)c1cccc(C(=O)N(C)c2ccccc2)n1)c1ccccc1,2,1.0,-0.49135303401225666,0.875,2.875,0.125,0.0,8,-0.197326731817497,0.09426062174168622,0.197326731817497,14.0,10,sc077,True,False,8
COCCN(CCOC)C(=O)COCC(=O)N(CCOC)CCOC,3,1.0,1.7958953393148063,0.07692307692307693,1.0769230769230769,0.0,1.5384615384615385,13,-0.0008875966165786524,0.012944830603059758,0.0008875966165786524,14.0,1,sc078,True,False,13
O=C(COCC(=O)N1CCCCC1)N1CCCCC1,2,1.0,-0.26778740353667696,0.5,2.5,0.0,1.0,14,0.004449311540707109,0.013481088261819521,0.004449311540707109,14.0,1,sc083,True,True,14
O=C(O)CN(CC(=O)O)C1CCCCC1N(CC(=O)O)CC(=O)O,2,0.0,,1.0,1.0,0.75,0.0,4,0.054562441955313026,-0.3165374136678865,0.054562441955313026,8.0,1,sc084,False,False,4
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,1,0.0,,1.0,1.0,1.0,0.0,7,0.025094939337285523,-0.3347753189843246,0.025094939337285523,8.0,1,sc085,False,False,7
O=C(c1cc(Cl)c2ccc3c(Cl)cc(C(=O)N4CCCC4)nc3c2n1)N1CCCC1,2,0.0,,1.0,2.0,0.0,0.5,14,0.08628104423457818,0.026469369331320915,0.08628104423457818,14.0,2,sc086,True,True,14
c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,2,0.0,,1.0,1.0,1.0,0.75,4,0.06254564584497657,0.13651673151397167,0.06254564584497657,5.0,1,sc096,False,False,4
c1ccc2c(c1)OCCOCCOc1ccccc1OCCOCCO2,2,0.0,,1.0,1.0,1.0,0.8,5,0.09925470936310045,-0.015369319454164736,0.09925470936310045,5.0,1,sc097,False,False,5
