feature_set,split_seed,fold,n_blocks,n_candidates,n_ligands,skipped_ligands,identity_exact_share,identity_max_gap,identity_mean_gap,identity_spearman_median,blend_alpha,blend_anchor,blend_selection
geometry,262147,2,968,10792,121,7,0.5960743801652892,0.5275964375033505,0.015315947525712942,0.9485418554236058,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7321936619904098, ""dist_medoid_l1@0.25"": 0.7320195876097534, ""dist_medoid_l1@0.5"": 0.7013198049147974, ""dist_medoid_l1@0.75"": 0.6881030201704378, ""dist_medoid_l1@1.0"": 0.6884042165664082, ""dist_centre_l2@0.0"": 0.7321936619904098, ""dist_centre_l2@0.25"": 0.7336389896899053, ""dist_centre_l2@0.5"": 0.7097502443006474, ""dist_centre_l2@0.75"": 0.6957425770648547, ""dist_centre_l2@1.0"": 0.6761823170985446}"
geometry,262147,3,1024,11096,128,5,0.591796875,0.8003389383963402,0.0161053623253233,0.9486832980505139,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6627773897679785, ""dist_medoid_l1@0.25"": 0.6689765102602632, ""dist_medoid_l1@0.5"": 0.6635346991954011, ""dist_medoid_l1@0.75"": 0.6550597882706366, ""dist_medoid_l1@1.0"": 0.6514181223545633, ""dist_centre_l2@0.0"": 0.6627773897679785, ""dist_centre_l2@0.25"": 0.6667251845502987, ""dist_centre_l2@0.5"": 0.6649505251363108, ""dist_centre_l2@0.75"": 0.6532871663419129, ""dist_centre_l2@1.0"": 0.6408355051982414}"
geometry,262147,4,944,10184,118,8,0.597457627118644,0.8003389383963402,0.016682274533839976,0.9433261993721886,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6841642249815514, ""dist_medoid_l1@0.25"": 0.6688693964333695, ""dist_medoid_l1@0.5"": 0.6596161317315258, ""dist_medoid_l1@0.75"": 0.6554436531148674, ""dist_medoid_l1@1.0"": 0.6480363903917997, ""dist_centre_l2@0.0"": 0.6841642249815514, ""dist_centre_l2@0.25"": 0.6748280737882626, ""dist_centre_l2@0.5"": 0.6635234975321852, ""dist_centre_l2@0.75"": 0.6525480820001363, ""dist_centre_l2@1.0"": 0.6329433012922773}"
geometry+prediction,104729,0,992,10368,124,6,0.5816532258064516,0.8286191284211115,0.020063906916001614,0.9345002823263695,0.75,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6940739821925137, ""dist_medoid_l1@0.25"": 0.6872613839642878, ""dist_medoid_l1@0.5"": 0.660072182905915, ""dist_medoid_l1@0.75"": 0.6619247565528235, ""dist_medoid_l1@1.0"": 0.6581725079472909, ""dist_centre_l2@0.0"": 0.6940739821925137, ""dist_centre_l2@0.25"": 0.6831669202865167, ""dist_centre_l2@0.5"": 0.6544004638253794, ""dist_centre_l2@0.75"": 0.6383902324690532, ""dist_centre_l2@1.0"": 0.6423252431818848}"
geometry+prediction,104729,1,600,5232,75,7,0.6466666666666666,0.8286191284211115,0.015918810895688255,0.949341649025257,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.5677099101091613, ""dist_medoid_l1@0.25"": 0.543601298243221, ""dist_medoid_l1@0.5"": 0.538332355217402, ""dist_medoid_l1@0.75"": 0.5338974737344221, ""dist_medoid_l1@1.0"": 0.5344463397992077, ""dist_centre_l2@0.0"": 0.5677099101091613, ""dist_centre_l2@0.25"": 0.5380140934325696, ""dist_centre_l2@0.5"": 0.5413178930866835, ""dist_centre_l2@0.75"": 0.5341649113056683, ""dist_centre_l2@1.0"": 0.5262143070070116}"
geometry+prediction,104729,2,1000,10704,125,9,0.589,0.7507138340004152,0.017976621700517326,0.942857142857143,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7104153105102193, ""dist_medoid_l1@0.25"": 0.6871150003863116, ""dist_medoid_l1@0.5"": 0.6573525452789335, ""dist_medoid_l1@0.75"": 0.637777160928914, ""dist_medoid_l1@1.0"": 0.6303554163168231, ""dist_centre_l2@0.0"": 0.7104153105102193, ""dist_centre_l2@0.25"": 0.6750525751684467, ""dist_centre_l2@0.5"": 0.6483597993667477, ""dist_centre_l2@0.75"": 0.6287362570845003, ""dist_centre_l2@1.0"": 0.6186220147937799}"
geometry+prediction,104729,3,1016,10568,127,7,0.5787401574803149,0.8286191284211115,0.01986847189840951,0.9369749612033815,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7435555244668801, ""dist_medoid_l1@0.25"": 0.7220239376583684, ""dist_medoid_l1@0.5"": 0.6925420116518396, ""dist_medoid_l1@0.75"": 0.6835618512906355, ""dist_medoid_l1@1.0"": 0.6637894946639724, ""dist_centre_l2@0.0"": 0.7435555244668801, ""dist_centre_l2@0.25"": 0.7125675482387095, ""dist_centre_l2@0.5"": 0.689774025513361, ""dist_centre_l2@0.75"": 0.6648736544345871, ""dist_centre_l2@1.0"": 0.6474796895688899}"
geometry+prediction,104729,4,968,10552,121,7,0.5929752066115702,0.8286191284211115,0.01921876854836262,0.9454545454545454,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.7052345824165196, ""dist_medoid_l1@0.25"": 0.7016206235580774, ""dist_medoid_l1@0.5"": 0.678744378871422, ""dist_medoid_l1@0.75"": 0.6606452820359688, ""dist_medoid_l1@1.0"": 0.6552592083446485, ""dist_centre_l2@0.0"": 0.7052345824165196, ""dist_centre_l2@0.25"": 0.6983109051197995, ""dist_centre_l2@0.5"": 0.6736412821599683, ""dist_centre_l2@0.75"": 0.643222237278395, ""dist_centre_l2@1.0"": 0.6390929613498505}"
geometry+prediction,130363,0,728,5552,91,7,0.6510989010989011,0.8298065855970234,0.015427303412848783,0.9432665160926031,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.5960239152939614, ""dist_medoid_l1@0.25"": 0.5797998823149125, ""dist_medoid_l1@0.5"": 0.567895290843964, ""dist_medoid_l1@0.75"": 0.5824718573028352, ""dist_medoid_l1@1.0"": 0.577237033269109, ""dist_centre_l2@0.0"": 0.5960239152939614, ""dist_centre_l2@0.25"": 0.5691085682321465, ""dist_centre_l2@0.5"": 0.5664237115021122, ""dist_centre_l2@0.75"": 0.5734992856278921, ""dist_centre_l2@1.0"": 0.5609544203104905}"
geometry+prediction,130363,1,992,10640,124,7,0.6028225806451613,0.8298065855970234,0.016413969940021818,0.9642857142857145,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6542331944611304, ""dist_medoid_l1@0.25"": 0.6271644359013577, ""dist_medoid_l1@0.5"": 0.6275036843223801, ""dist_medoid_l1@0.75"": 0.6269430612700879, ""dist_medoid_l1@1.0"": 0.6132762607503586, ""dist_centre_l2@0.0"": 0.6542331944611304, ""dist_centre_l2@0.25"": 0.6223142920277277, ""dist_centre_l2@0.5"": 0.6203149501559037, ""dist_centre_l2@0.75"": 0.6159916811126129, ""dist_centre_l2@1.0"": 0.5960556428312176}"
geometry+prediction,130363,2,936,10088,117,8,0.5993589743589743,0.44292194747349584,0.01654462518708569,0.9616501706182262,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6762075668761054, ""dist_medoid_l1@0.25"": 0.683470464774226, ""dist_medoid_l1@0.5"": 0.682750698471741, ""dist_medoid_l1@0.75"": 0.6795500815252475, ""dist_medoid_l1@1.0"": 0.655526651050047, ""dist_centre_l2@0.0"": 0.6762075668761054, ""dist_centre_l2@0.25"": 0.6821727980994171, ""dist_centre_l2@0.5"": 0.6728797366197374, ""dist_centre_l2@0.75"": 0.6754794217472583, ""dist_centre_l2@1.0"": 0.6422031139333776}"
geometry+prediction,130363,3,952,10232,119,5,0.6144957983193278,0.8298065855970234,0.015552528323593913,0.9642857142857145,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6592719917078903, ""dist_medoid_l1@0.25"": 0.6480360013274523, ""dist_medoid_l1@0.5"": 0.6430922733540142, ""dist_medoid_l1@0.75"": 0.648021737861108, ""dist_medoid_l1@1.0"": 0.6328788806839144, ""dist_centre_l2@0.0"": 0.6592719917078903, ""dist_centre_l2@0.25"": 0.6499762423177112, ""dist_centre_l2@0.5"": 0.6529272055383015, ""dist_centre_l2@0.75"": 0.637530643893092, ""dist_centre_l2@1.0"": 0.6131356386638528}"
geometry+prediction,130363,4,968,10912,121,9,0.5929752066115702,0.8298065855970234,0.015591676687476052,0.9642857142857145,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6898913024502197, ""dist_medoid_l1@0.25"": 0.6570750796930462, ""dist_medoid_l1@0.5"": 0.649651449662628, ""dist_medoid_l1@0.75"": 0.6504660911159684, ""dist_medoid_l1@1.0"": 0.6329822860257222, ""dist_centre_l2@0.0"": 0.6898913024502197, ""dist_centre_l2@0.25"": 0.6655835741945956, ""dist_centre_l2@0.5"": 0.6533825947234818, ""dist_centre_l2@0.75"": 0.651000194869092, ""dist_centre_l2@1.0"": 0.6286816765428243}"
geometry+prediction,155921,0,712,5480,89,7,0.6278089887640449,0.7997546105918591,0.017759616667296432,0.942857142857143,0.75,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.574044859673651, ""dist_medoid_l1@0.25"": 0.5517117314996343, ""dist_medoid_l1@0.5"": 0.5543841604060519, ""dist_medoid_l1@0.75"": 0.5632331575153344, ""dist_medoid_l1@1.0"": 0.5751779182808467, ""dist_centre_l2@0.0"": 0.574044859673651, ""dist_centre_l2@0.25"": 0.5512163618582147, ""dist_centre_l2@0.5"": 0.5536192585327623, ""dist_centre_l2@0.75"": 0.5458174685571349, ""dist_centre_l2@1.0"": 0.5572980040903087}"
geometry+prediction,155921,1,984,10192,123,7,0.6128048780487805,0.7997546105918591,0.015284728024466948,0.9549937104572924,1.0,dist_centre_l2,"{""dist_medoid_l1@0.0"": 0.6262016609977746, ""dist_medoid_l1@0.25"": 0.6155833961709405, ""dist_medoid_l1@0.5"": 0.6088335524622248, ""dist_medoid_l1@0.75"": 0.6020437340035029, ""dist_medoid_l1@1.0"": 0.5962915948820516, ""dist_centre_l2@0.0"": 0.6262016609977746, ""dist_centre_l2@0.25"": 0.6208480372040397, ""dist_centre_l2@0.5"": 0.61750076775822, ""dist_centre_l2@0.75"": 0.6030134845892169, ""dist_centre_l2@1.0"": 0.5876550981842089}"
