arm,k,mae,n_ligands
OFFSET_K1@CENTRAL,2,0.6567169245096419,99
OFFSET_K1@CENTRAL,3,0.6365765117197968,99
OFFSET_K1@CENTRAL,5,0.6213969632933661,99
OFFSET_K1@CENTRAL_THEN_SPREAD,1,0.6915825683739637,99
OFFSET_K1@CENTRAL_THEN_SPREAD,2,0.6848444045337214,99
OFFSET_K1@CENTRAL_THEN_SPREAD,3,0.6552510602154135,99
OFFSET_K1@CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
OFFSET_K1@D_OPTIMAL,1,1.006522161877242,99
OFFSET_K1@D_OPTIMAL,2,0.7258908190054971,99
OFFSET_K1@D_OPTIMAL,3,0.6822634384617656,99
OFFSET_K1@D_OPTIMAL,5,0.6365558797520365,99
OFFSET_K1@MAX_PREDICTIVE_VARIANCE,1,0.8056222274887606,99
OFFSET_K1@MAX_PREDICTIVE_VARIANCE,2,0.6935275449393514,99
OFFSET_K1@MAX_PREDICTIVE_VARIANCE,3,0.6536551476805529,99
OFFSET_K1@MAX_PREDICTIVE_VARIANCE,5,0.6308991383369692,99
OFFSET_K1@MEDOID,1,0.6915825683739637,99
OFFSET_K1@MEDOID,2,0.6639552369957701,99
OFFSET_K1@MEDOID,3,0.6430141225423184,99
OFFSET_K1@MEDOID,5,0.6253502061741872,99
OFFSET_K1@ORACLE[OFFSET_K1],1,0.5325625770147346,99
OFFSET_K1@ORACLE[OFFSET_K1],2,0.5297856616666907,99
OFFSET_K1@ORACLE[OFFSET_K1],3,0.5325614210048545,99
OFFSET_K1@ORACLE[OFFSET_K1],5,0.5526913056319799,99
OFFSET_K1@RANDOM,1,0.792732533836449,99
OFFSET_K1@RANDOM,2,0.7017984791740542,99
OFFSET_K1@RANDOM,3,0.6628050204092164,99
OFFSET_K1@RANDOM,5,0.6282295111176981,99
OFFSET_K2@CENTRAL,1,0.6963986244888282,99
OFFSET_K2@CENTRAL,2,0.6527925884825678,99
OFFSET_K2@CENTRAL,3,0.6218977122367075,99
OFFSET_K2@CENTRAL,5,0.5778910584904942,99
OFFSET_K2@CENTRAL_THEN_SPREAD,1,0.6915825683739637,99
OFFSET_K2@CENTRAL_THEN_SPREAD,2,0.6446869982281948,99
OFFSET_K2@CENTRAL_THEN_SPREAD,3,0.5990448534528938,99
OFFSET_K2@CENTRAL_THEN_SPREAD,5,0.560738646247599,99
OFFSET_K2@D_OPTIMAL,1,1.006522161877242,99
OFFSET_K2@D_OPTIMAL,2,0.6850959174637642,99
OFFSET_K2@D_OPTIMAL,3,0.6187558788440307,99
OFFSET_K2@D_OPTIMAL,5,0.5591630400647805,99
OFFSET_K2@MAX_PREDICTIVE_VARIANCE,1,0.8056222274887606,99
OFFSET_K2@MAX_PREDICTIVE_VARIANCE,2,0.6448219587077749,99
OFFSET_K2@MAX_PREDICTIVE_VARIANCE,3,0.6028198209513169,99
OFFSET_K2@MAX_PREDICTIVE_VARIANCE,5,0.5600139740848025,99
OFFSET_K2@MEDOID,1,0.6915825683739637,99
OFFSET_K2@MEDOID,2,0.6615938077604236,99
OFFSET_K2@MEDOID,3,0.6293950689132448,99
OFFSET_K2@MEDOID,5,0.5831146283380099,99
OFFSET_K2@ORACLE[OFFSET_K1],1,0.5325625770147346,99
OFFSET_K2@ORACLE[OFFSET_K1],2,0.5235907154625581,99
OFFSET_K2@ORACLE[OFFSET_K1],3,0.5176599788093469,99
OFFSET_K2@ORACLE[OFFSET_K1],5,0.5135419623828811,99
OFFSET_K2@RANDOM,1,0.792732533836449,99
OFFSET_K2@RANDOM,2,0.68203099425949,99
OFFSET_K2@RANDOM,3,0.6217032608616843,99
OFFSET_K2@RANDOM,5,0.5652111413858665,99
OFFSET_K3@CENTRAL,1,0.6963986244888282,99
OFFSET_K3@CENTRAL,2,0.6509837877209218,99
OFFSET_K3@CENTRAL,3,0.6153033067265127,99
OFFSET_K3@CENTRAL,5,0.5583063255986472,99
OFFSET_K3@CENTRAL_THEN_SPREAD,1,0.6915825683739637,99
OFFSET_K3@CENTRAL_THEN_SPREAD,2,0.6081386324191498,99
OFFSET_K3@CENTRAL_THEN_SPREAD,3,0.5378096827543072,99
OFFSET_K3@CENTRAL_THEN_SPREAD,5,0.4903840661580898,99
OFFSET_K3@D_OPTIMAL,1,1.006522161877242,99
OFFSET_K3@D_OPTIMAL,2,0.6437683087996523,99
OFFSET_K3@D_OPTIMAL,3,0.5601956608204153,99
OFFSET_K3@D_OPTIMAL,5,0.4865291963234963,99
OFFSET_K3@MAX_PREDICTIVE_VARIANCE,1,0.8056222274887606,99
OFFSET_K3@MAX_PREDICTIVE_VARIANCE,2,0.6026953688102147,99
OFFSET_K3@MAX_PREDICTIVE_VARIANCE,3,0.5424215746736366,99
OFFSET_K3@MAX_PREDICTIVE_VARIANCE,5,0.48877616135682317,99
OFFSET_K3@MEDOID,1,0.6915825683739637,99
OFFSET_K3@MEDOID,2,0.6597461832370273,99
OFFSET_K3@MEDOID,3,0.6251443879681035,99
OFFSET_K3@MEDOID,5,0.5664847580064398,99
OFFSET_K3@ORACLE[OFFSET_K1],1,0.5325625770147346,99
OFFSET_K3@ORACLE[OFFSET_K1],2,0.5198825122511704,99
OFFSET_K3@ORACLE[OFFSET_K1],3,0.5113513236190085,99
OFFSET_K3@ORACLE[OFFSET_K1],5,0.49445491368559236,99
OFFSET_K3@RANDOM,1,0.792732533836449,99
OFFSET_K3@RANDOM,2,0.6573520916465249,99
OFFSET_K3@RANDOM,3,0.588797306845211,99
OFFSET_K3@RANDOM,5,0.5135614760035455,99
SLOPE_L_s1_K1@CENTRAL,1,0.6761923504031754,99
SLOPE_L_s1_K1@CENTRAL,2,0.6388777885707344,99
SLOPE_L_s1_K1@CENTRAL,3,0.6202281495368546,99
SLOPE_L_s1_K1@CENTRAL,5,0.6045667095068447,99
SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,1,0.6751828667813538,99
SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,2,0.6648003167061137,99
SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,3,0.6363552931676881,99
SLOPE_L_s1_K1@CENTRAL_THEN_SPREAD,5,0.611993370995158,99
SLOPE_L_s1_K1@D_OPTIMAL,1,0.9584379641427133,99
SLOPE_L_s1_K1@D_OPTIMAL,2,0.7035698597389821,99
SLOPE_L_s1_K1@D_OPTIMAL,3,0.6611576409755641,99
SLOPE_L_s1_K1@D_OPTIMAL,5,0.6192500465823716,99
SLOPE_L_s1_K1@MAX_PREDICTIVE_VARIANCE,1,0.7920991307702582,99
SLOPE_L_s1_K1@MAX_PREDICTIVE_VARIANCE,2,0.6767472328872828,99
SLOPE_L_s1_K1@MAX_PREDICTIVE_VARIANCE,3,0.6341922045188323,99
SLOPE_L_s1_K1@MAX_PREDICTIVE_VARIANCE,5,0.6147881186497058,99
SLOPE_L_s1_K1@MEDOID,1,0.6751828667813538,99
SLOPE_L_s1_K1@MEDOID,2,0.6463801986150625,99
SLOPE_L_s1_K1@MEDOID,3,0.6255077669297664,99
SLOPE_L_s1_K1@MEDOID,5,0.6076469838814175,99
SLOPE_L_s1_K1@ORACLE[OFFSET_K1],1,0.5257090833628675,99
SLOPE_L_s1_K1@ORACLE[OFFSET_K1],2,0.5200086786997596,99
SLOPE_L_s1_K1@ORACLE[OFFSET_K1],3,0.5213788350899812,99
SLOPE_L_s1_K1@ORACLE[OFFSET_K1],5,0.5399625736567776,99
SLOPE_L_s1_K1@RANDOM,1,0.7755408867846149,99
SLOPE_L_s1_K1@RANDOM,2,0.6863918018053083,99
SLOPE_L_s1_K1@RANDOM,3,0.6478165557237806,99
SLOPE_L_s1_K1@RANDOM,5,0.6127806227712135,99
SLOPE_L_s1_K3@CENTRAL,1,0.6761923504031754,99
SLOPE_L_s1_K3@CENTRAL,2,0.6324993294736966,99
SLOPE_L_s1_K3@CENTRAL,3,0.5981533970978984,99
SLOPE_L_s1_K3@CENTRAL,5,0.5411958706445761,99
SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,1,0.6751828667813538,99
SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,2,0.590884263062458,99
SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,3,0.5229939263529747,99
SLOPE_L_s1_K3@CENTRAL_THEN_SPREAD,5,0.4772405328678428,99
SLOPE_L_s1_K3@D_OPTIMAL,1,0.9584379641427133,99
SLOPE_L_s1_K3@D_OPTIMAL,2,0.6237103456890366,99
SLOPE_L_s1_K3@D_OPTIMAL,3,0.5382855945014675,99
SLOPE_L_s1_K3@D_OPTIMAL,5,0.47429956979762583,99
SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,1,0.7920991307702582,99
SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,2,0.5879150010234774,99
SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,3,0.5247648141268481,99
SLOPE_L_s1_K3@MAX_PREDICTIVE_VARIANCE,5,0.47643389623593774,99
SLOPE_L_s1_K3@MEDOID,1,0.6751828667813538,99
SLOPE_L_s1_K3@MEDOID,2,0.6415238627751079,99
SLOPE_L_s1_K3@MEDOID,3,0.6067237295493456,99
SLOPE_L_s1_K3@MEDOID,5,0.5486134574695245,99
SLOPE_L_s1_K3@ORACLE[OFFSET_K1],1,0.5257090833628675,99
SLOPE_L_s1_K3@ORACLE[OFFSET_K1],2,0.5089039405649747,99
SLOPE_L_s1_K3@ORACLE[OFFSET_K1],3,0.4984740303844798,99
SLOPE_L_s1_K3@ORACLE[OFFSET_K1],5,0.48027767146865247,99
SLOPE_L_s1_K3@RANDOM,1,0.7755408867846149,99
SLOPE_L_s1_K3@RANDOM,2,0.6428596508245893,99
SLOPE_L_s1_K3@RANDOM,3,0.5752687932839864,99
SLOPE_L_s1_K3@RANDOM,5,0.5003371656243039,99
ZERO_SHOT,0,1.0605303772612387,99
ZERO_SHOT@CENTRAL,1,1.0605303772612387,99
ZERO_SHOT@CENTRAL,2,1.0605303772612387,99
ZERO_SHOT@CENTRAL,3,1.0605303772612387,99
ZERO_SHOT@CENTRAL,5,1.0605303772612387,99
ZERO_SHOT@CENTRAL_THEN_SPREAD,1,1.0605303772612387,99
ZERO_SHOT@CENTRAL_THEN_SPREAD,2,1.0605303772612387,99
ZERO_SHOT@CENTRAL_THEN_SPREAD,3,1.0605303772612387,99
ZERO_SHOT@CENTRAL_THEN_SPREAD,5,1.0605303772612387,99
ZERO_SHOT@D_OPTIMAL,1,1.0605303772612387,99
ZERO_SHOT@D_OPTIMAL,2,1.0605303772612387,99
ZERO_SHOT@D_OPTIMAL,3,1.0605303772612387,99
ZERO_SHOT@D_OPTIMAL,5,1.0605303772612387,99
ZERO_SHOT@MAX_PREDICTIVE_VARIANCE,1,1.0605303772612387,99
ZERO_SHOT@MAX_PREDICTIVE_VARIANCE,2,1.0605303772612387,99
ZERO_SHOT@MAX_PREDICTIVE_VARIANCE,3,1.0605303772612387,99
ZERO_SHOT@MAX_PREDICTIVE_VARIANCE,5,1.0605303772612387,99
ZERO_SHOT@MEDOID,1,1.0605303772612387,99
ZERO_SHOT@MEDOID,2,1.0605303772612387,99
ZERO_SHOT@MEDOID,3,1.0605303772612387,99
ZERO_SHOT@MEDOID,5,1.0605303772612387,99
ZERO_SHOT@ORACLE[OFFSET_K1],1,1.0605303772612387,99
ZERO_SHOT@ORACLE[OFFSET_K1],2,1.0605303772612387,99
ZERO_SHOT@ORACLE[OFFSET_K1],3,1.0605303772612387,99
ZERO_SHOT@ORACLE[OFFSET_K1],5,1.0605303772612387,99
ZERO_SHOT@RANDOM,1,1.0605303772612387,99
ZERO_SHOT@RANDOM,2,1.0605303772612387,99
ZERO_SHOT@RANDOM,3,1.0605303772612387,99
ZERO_SHOT@RANDOM,5,1.0605303772612387,99
