comparison,point,ci95_low,ci95_high,bca_low,bca_high,block_macro,n_units,units_improved,seeds_positive,n_seeds,statistic
k=2: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.007530974308664494,-0.036812824767508565,0.015173508481861013,-0.03909652238952308,0.013847509933967264,-0.016188113209580753,143,74,0,1,shape_mae
k=2: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,-0.008264240284322658,-0.03702118822698502,0.014408450173660136,-0.03956382176338713,0.012840142459165307,-0.016227473958274105,143,72,0,1,shape_mae
k=2: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,0.0250383324096557,-0.008238090492280062,0.04765862639343015,-0.006215055998391233,0.04915102979290612,0.012668602568438719,143,89,1,1,shape_mae
k=2: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.046258958807541474,-0.1120736077908583,-0.0012757764305160674,-0.1117942749972656,-0.0011037492972036436,-0.07810739131299756,143,67,0,1,shape_mae
k=2: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.04727162142829292,-0.11217664696554928,-0.0025898901974124393,-0.11218198840438899,-0.002689831827966909,-0.07816174970442676,143,65,0,1,shape_mae
k=2: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,-0.008506798213517578,-0.07315970553738164,0.03473735951204644,-0.06992567014729131,0.037250333072832244,-0.0401668510628865,143,76,0,1,shape_mae
k=2: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.15984510546275899,-0.31254729741880805,-0.059560663540336165,-0.30275186431812245,-0.0541039136986135,-0.24313480586170697,143,56,0,1,shape_mae
k=2: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.16136548621095223,-0.31254729741880805,-0.06184948689706695,-0.30336923316438424,-0.05688434274542971,-0.24321641789135848,143,54,0,1,shape_mae
k=2: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,-0.10749678473169262,-0.24715366938299524,-0.01643851328815313,-0.2347219464468232,-0.007889982936023431,-0.18229501675022705,143,65,0,1,shape_mae
k=3: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.387402189555808,-0.5060605914892039,-0.2709153011984339,-0.5257353405115761,-0.28446496669514143,-0.36574844373654397,140,36,0,1,mae
k=3: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,-0.018877661009299745,-0.0614255031258649,0.01470035635070679,-0.06723266152473573,0.010808920617474021,-0.02926450527255709,140,70,0,1,mae
k=3: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,0.058465706318636256,0.021237594845206487,0.08957932915004267,0.020829965833065074,0.08935774581468629,0.04975783033890427,140,92,1,1,mae
k=3: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.4190399133625512,-0.5534608920003299,-0.2999155076901312,-0.5739852085955707,-0.31545845311002485,-0.40652696507103947,140,35,0,1,mae
k=3: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.0722680059619108,-0.16801127886109843,-0.008631486618271579,-0.17329994340797747,-0.012205355205297723,-0.11345090129955064,140,60,0,1,mae
k=3: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,0.02287811937062994,-0.05026156070224974,0.0754593353630335,-0.04843436460269662,0.07617055365664972,-0.007421610176020702,140,80,1,1,mae
k=3: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.5136386463938454,-0.6879513229080328,-0.37953525371568964,-0.7059747947516243,-0.39010885099084375,-0.5368121487396293,140,30,0,1,mae
k=3: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.22497825878595692,-0.43593862383031906,-0.09353081266534075,-0.43164292226169765,-0.09060023080934397,-0.33505952605695394,140,54,0,1,mae
k=3: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,-0.08212308612487319,-0.23511877649896556,0.018819807373172293,-0.226418629749089,0.022647366555003164,-0.16097264942123052,140,68,0,1,mae
k=3: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.0071632826787684884,-0.03847645424793755,0.016103010550684863,-0.041349412286098425,0.014948600426136702,-0.015818469564904056,140,76,0,1,shape_mae
k=3: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,-0.007912261496762192,-0.038654260529157033,0.015558190940343629,-0.04197546108890706,0.013960886849961112,-0.015859541650497123,140,72,0,1,shape_mae
k=3: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,0.05238259560114884,0.021100629148129768,0.07635710891667631,0.02276113432854252,0.07734490499653099,0.04317143444003628,140,95,1,1,shape_mae
k=3: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.046192082908968306,-0.11790926163107722,0.0005654774745146851,-0.11816957684294434,0.0002810802903518968,-0.07935641554076747,140,69,0,1,shape_mae
k=3: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.04722644544302158,-0.11790926163107722,-0.0006015665635862021,-0.11894712563844759,-0.0010937778116773154,-0.07941313734051969,140,65,0,1,shape_mae
k=3: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,0.026862278979764342,-0.02993555935585504,0.06718447500023336,-0.026599827943826558,0.06969780975142179,0.0022749604744757733,140,81,1,1,shape_mae
k=3: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.1611540791194914,-0.32104235665846254,-0.060584859389800905,-0.31297394383281946,-0.05429354974706101,-0.24941198576227774,140,58,0,1,shape_mae
k=3: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.16270703945514592,-0.32104235665846254,-0.0628952151462912,-0.31365105605582444,-0.056831845761642436,-0.2494971461410445,140,54,0,1,shape_mae
k=3: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,-0.05404238520992854,-0.17362323194794704,0.02411661510569129,-0.1622634482440903,0.030893979829312565,-0.11628906220547901,140,68,0,1,shape_mae
k=5: SLOPE_RESTORE_s025 vs OFFSET_K1,-0.4215893548815331,-0.5629296221638594,-0.2792040271158274,-0.5899563735617969,-0.30127450996281535,-0.37767749148966495,99,23,0,1,mae
k=5: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,0.004267472036660485,-0.014599950177164648,0.0275878882103423,-0.014263412477806778,0.02796722003811558,-0.00261843559318153,98,53,1,1,mae
k=5: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,0.1213688714335656,0.08182696329316833,0.15091882514487,0.08468201350721771,0.15367112293228688,0.12206532434499863,98,80,1,1,mae
k=5: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.4330628313270642,-0.574974824850251,-0.29307925566342324,-0.6035280624263488,-0.3160429356744815,-0.39203605816978115,99,22,0,1,mae
k=5: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.012526861818738922,-0.05529467966720476,0.02989756081601247,-0.05317024559069007,0.03200711813643131,-0.03073749759671235,98,44,0,1,mae
k=5: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,0.11650028872691756,0.0701509501665538,0.15354885127651272,0.07172635822608386,0.15458749157065568,0.11247410292526477,98,72,1,1,mae
k=5: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.47768280693560494,-0.6241356822122994,-0.34554306206224933,-0.6560975042319583,-0.3672538377737259,-0.45003287833725486,99,21,0,1,mae
k=5: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.08946869041503062,-0.19287538059424233,-0.011066909538824821,-0.18598214442736752,-0.004588103973032576,-0.13205929927296622,98,40,0,1,mae
k=5: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,0.08120534965920348,0.008191626886655293,0.14201508292312334,0.012534653189957745,0.14591944262189654,0.0648777660407645,98,57,1,1,mae
k=5: SLOPE_RESTORE_s025 vs OFFSET_K1,0.008332203191393871,-0.009645084073703514,0.02581408847612867,-0.009036768765767637,0.026486005269409585,-0.00043271699905329114,99,53,1,1,shape_mae
k=5: SLOPE_RESTORE_s025_K1 vs OFFSET_K1,0.005538440910942056,-0.010717157334969538,0.025512715663494185,-0.010026396030254714,0.026161442018870332,-0.0006474466569159831,98,52,1,1,shape_mae
k=5: SLOPE_RESTORE_s025_K3 vs OFFSET_K1,0.10179960486269578,0.06975524441704281,0.12908550944550332,0.07050677150787765,0.13024870649420317,0.10433332529229013,98,80,1,1,shape_mae
k=5: SLOPE_RESTORE_s05 vs OFFSET_K1,-0.003184751828204503,-0.04221925511518569,0.030937151167628785,-0.03859670087542826,0.03410350939588338,-0.021779564451155614,99,48,1,1,shape_mae
k=5: SLOPE_RESTORE_s05_K1 vs OFFSET_K1,-0.006099444306694016,-0.042811156206374025,0.029759041233337623,-0.04021562347891311,0.03237061669480014,-0.021997098742902777,98,47,1,1,shape_mae
k=5: SLOPE_RESTORE_s05_K3 vs OFFSET_K1,0.0995674382251268,0.060537429285086104,0.13554801406641845,0.06149702987979976,0.13650039077094542,0.09840657504501935,98,70,1,1,shape_mae
k=5: SLOPE_RESTORE_s1 vs OFFSET_K1,-0.0609253640672616,-0.1532402331406899,0.005688966001811401,-0.14379361770570737,0.015248909067064893,-0.09973187888981631,99,41,0,1,shape_mae
k=5: SLOPE_RESTORE_s1_K1 vs OFFSET_K1,-0.064361538920677,-0.15343992362055245,0.004437368022768973,-0.14590031301780515,0.01205077887867153,-0.09996415194385717,98,40,0,1,shape_mae
k=5: SLOPE_RESTORE_s1_K3 vs OFFSET_K1,0.07120785790571786,0.00846654898434571,0.12682835749700533,0.012624726525892103,0.1318155849630287,0.060364085279067184,98,59,1,1,shape_mae
