feature,delta3d_blend_weight,importance
delta3d__feat3d__complex_physical__donor_partial_charge_03,0.25,0.004791340836764283
delta3d__feat3d__polyhedron__ln_donor_distance_09,0.25,0.004567995473589972
delta3d__feat3d__complex_physical__ln_donor_distance_min,0.25,0.004533862238971377
base__NumHAcceptors,0.25,0.004513778930625215
delta3d__feat3d__polyhedron__donor_angle_01_09_deg,0.25,0.004492460068339942
delta3d__feat3d__polyhedron__donor_angle_05_08_deg,0.25,0.004473214262857025
delta3d__feat3d__polyhedron__donor_angle_03_04_deg,0.25,0.0044500011603306145
delta3d__feat3d__polyhedron__donor_angle_02_08_deg,0.25,0.004403085290255294
delta3d__feat3d__polyhedron__ln_donor_distance_05,0.25,0.00430230172155516
delta3d__feat3d__polyhedron__donor_angle_01_05_deg,0.25,0.004285737215156819
delta3d__feat3d__polyhedron__ln_donor_distance_03,0.25,0.0042149491462948165
delta3d__feat3d__polyhedron__donor_angle_04_08_deg,0.25,0.004160137628587358
base__ecfp_1135,0.25,0.004135857710820299
base__cond__metal_concentration_mM,0.25,0.004127513583052987
delta3d__feat3d__polyhedron_scalars__next_donor_dist,0.25,0.004100998493810722
delta3d__feat3d__complex_physical__ln_donor_distance_max,0.25,0.004083853379299407
base__ecfp_1096,0.25,0.004070530671101503
delta3d__feat3d__polyhedron__ln_donor_distance_07,0.25,0.00395980499309359
delta3d__feat3d__polyhedron__donor_angle_02_09_deg,0.25,0.003937729836775478
delta3d__feat3d__polyhedron__ln_donor_distance_04,0.25,0.00392475257348407
delta3d__feat3d__complex_physical__dipole_magnitude,0.25,0.003901524978934606
delta3d__feat3d__complex_physical__metal_partial_charge,0.25,0.0038425153889156244
delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.25,0.003810136194463194
delta3d__feat3d__polyhedron__ln_donor_distance_06,0.25,0.0037721186149848
delta3d__feat3d__polyhedron__ln_donor_distance_08,0.25,0.00376200060748317
delta3d__feat3d__polyhedron__donor_angle_01_07_deg,0.25,0.0034569007375406923
delta3d__feat3d__polyhedron__donor_angle_04_06_deg,0.25,0.003452389825783833
base__cond__acid__hcl,0.25,0.003429385380353706
delta3d__feat3d__complex_physical__ln_donor_distance_std,0.25,0.0034040471735525863
delta3d__feat3d__polyhedron__donor_angle_06_07_deg,0.25,0.0033914122341126324
delta3d__feat3d__polyhedron_scalars__coreCN_max_donor_dist,0.25,0.0033705230873218445
base__ecfp_1598,0.25,0.0033685472661025674
delta3d__feat3d__complex_physical__donor_partial_charge_07,0.25,0.00333770656913287
base__ecfp_1143,0.25,0.0032809478883190834
delta3d__feat3d__complex_physical__donor_partial_charge_05,0.25,0.003226466857108305
base__ecfp_1444,0.25,0.003223842523019217
base__ecfp_1352,0.25,0.0031489073089522993
delta3d__feat3d__polyhedron__donor_angle_08_09_deg,0.25,0.0031195849427048234
delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.25,0.0030681743438788515
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_min,0.25,0.0029868078387666956
delta3d__feat3d__complex_physical__donor_partial_charge_08,0.25,0.0029279083430235483
base__cond__acid__hno3,0.25,0.002914492315529171
base__NumHDonors,0.25,0.0029000746114744274
delta3d__feat3d__complex_physical__donor_partial_charge_02,0.25,0.002888517930054551
delta3d__feat3d__complex_physical__donor_partial_charge_09,0.25,0.002857609959874162
base__ecfp_283,0.25,0.0028193190593296335
delta3d__feat3d__complex_physical__donor_partial_charge_01,0.25,0.0027767402862650388
base__ecfp_807,0.25,0.0027444475826202347
delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.25,0.002742169172283216
base__ecfp_1257,0.25,0.002739462251889282
delta3d__feat3d__complex_physical__donor_partial_charge_max,0.25,0.00273410090342661
base__FractionCSP3,0.25,0.0026102764941470552
base__cond__temperature_C,0.25,0.0025862645751329027
base__ecfp_24,0.25,0.002567668890327622
base__cond__diluent__isopar_l_with_30_vol_exxal_13,0.25,0.0025227494594953354
base__ecfp_591,0.25,0.0025107581624223573
base__ecfp_874,0.25,0.002491055818066489
delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.25,0.002456981374646777
missingindicator_base__cond__metal_concentration_mM,0.25,0.002423082689558602
base__ecfp_1442,0.25,0.0023872345479018803
base__ecfp_1716,0.25,0.0022983384859690853
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_07,0.25,0.002298165573154213
base__ecfp_739,0.25,0.0022729625582149793
base__NumAromaticRings,0.25,0.0022657855956549743
base__ecfp_650,0.25,0.002186020962059888
base__ecfp_1,0.25,0.0021586076469261913
base__ecfp_130,0.25,0.0021299396511472043
base__ecfp_1190,0.25,0.0020900913291866554
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_08,0.25,0.002044705298133799
base__ecfp_1917,0.25,0.002033727686575088
base__ecfp_1838,0.25,0.0020267848534574902
delta3d__feat3d__complex_physical__donor_partial_charge_std,0.25,0.002013622900205515
base__ecfp_1271,0.25,0.0020112128597685767
base__ecfp_1269,0.25,0.002001823312878222
base__ecfp_896,0.25,0.001963047184503405
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_02,0.25,0.001961097402143938
delta3d__feat3d__polyhedron__donor_atomic_number_04,0.25,0.001929765686455949
missingindicator_base__cond__contact_time_min,0.25,0.001923960622271751
base__ecfp_1385,0.25,0.0019180389728549268
base__ecfp_1238,0.25,0.0018939690851670643
delta3d__feat3d__complex_physical__observed_donors_within_3p10A,0.25,0.0018688210852390208
base__cond__diluent__n_dodecane,0.25,0.0018500105479315465
base__ecfp_1911,0.25,0.0018365043829261846
base__cond__contact_time_min,0.25,0.0018170644197847666
base__ecfp_1384,0.25,0.0017977175754743092
delta3d__feat3d__complex_physical__donor_partial_charge_06,0.25,0.001787735785203858
base__ecfp_348,0.25,0.0017639798611085577
base__ecfp_618,0.25,0.0017465400545173836
missingindicator_delta3d__feat3d__polyhedron__donor_angle_02_09_deg,0.25,0.0016639219430416715
base__ecfp_1724,0.25,0.0016487336365099041
base__ecfp_1039,0.25,0.001638296799947681
base__ecfp_794,0.25,0.0016249967645562942
base__ecfp_1163,0.25,0.0015917108521533473
missingindicator_delta3d__feat3d__polyhedron__donor_angle_06_09_deg,0.25,0.0015816924019522683
base__ecfp_1275,0.25,0.0015665416493110904
missingindicator_delta3d__feat3d__polyhedron__donor_angle_07_09_deg,0.25,0.0015433534831608986
base__ecfp_1512,0.25,0.0015426782882161907
base__cond__diluent__other,0.25,0.00153113104407476
missingindicator_delta3d__feat3d__polyhedron__donor_atomic_number_09,0.25,0.00151742234572697
base__ecfp_1950,0.25,0.0014978357649390516
missingindicator_delta3d__feat3d__polyhedron__donor_angle_04_09_deg,0.25,0.001404198480772222
missingindicator_delta3d__feat3d__complex_physical__metal_partial_charge,0.25,0.0014007538687396642
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_09,0.25,0.0013885797527544764
base__ecfp_1649,0.25,0.001363338131780962
base__ecfp_755,0.25,0.0013611333093695313
base__ecfp_593,0.25,0.0013545579491291413
missingindicator_delta3d__feat3d__polyhedron__donor_angle_08_09_deg,0.25,0.0013038999975787747
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_06,0.25,0.0012747891758686045
missingindicator_delta3d__feat3d__polyhedron__donor_angle_03_09_deg,0.25,0.0012128470871617236
base__ecfp_1951,0.25,0.0011683036247648803
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_01,0.25,0.001162720045040898
delta3d__feat3d__polyhedron__donor_atomic_number_07,0.25,0.001162687751517435
base__ecfp_1164,0.25,0.0011601112272029603
base__ecfp_1019,0.25,0.001135369918126974
base__ecfp_294,0.25,0.001128998489344768
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_std,0.25,0.0011136025987963504
base__ecfp_235,0.25,0.001093600395467999
base__ecfp_855,0.25,0.0010867393605354832
base__ecfp_463,0.25,0.0010533943341820109
delta3d__feat3d__polyhedron__donor_atomic_number_06,0.25,0.0010244378552940927
base__ecfp_978,0.25,0.0010227117267595856
base__ecfp_1992,0.25,0.0010178940681363627
base__ecfp_1935,0.25,0.0009882475167812346
base__ecfp_419,0.25,0.0009863599844259028
missingindicator_delta3d__feat3d__polyhedron__ln_donor_distance_09,0.25,0.0009645626763797479
base__ecfp_1873,0.25,0.0009492832888446706
base__ecfp_241,0.25,0.0009439526122600624
base__ecfp_908,0.25,0.0009257780245445077
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_mean,0.25,0.000900654160738323
delta3d__feat3d__polyhedron__donor_atomic_number_05,0.25,0.0008692086768312153
base__cond__diluent__chcl3,0.25,0.0008464270752480904
base__ecfp_1237,0.25,0.0008458535150300588
base__RingCount,0.25,0.0008370093392597827
missingindicator_delta3d__feat3d__polyhedron__donor_angle_05_09_deg,0.25,0.0008346628845381964
missingindicator_delta3d__feat3d__polyhedron__donor_angle_01_09_deg,0.25,0.0008273062355004587
base__ecfp_1088,0.25,0.0008158229271997821
base__ecfp_334,0.25,0.0008021892044883292
base__ecfp_773,0.25,0.0007890892398856697
base__ecfp_1750,0.25,0.0007692742709577199
base__ecfp_1283,0.25,0.0007676916886941353
base__ecfp_438,0.25,0.0007545894718467532
delta3d__feat3d__polyhedron__donor_atomic_number_08,0.25,0.0007492700779282885
base__ecfp_145,0.25,0.0007391810877773166
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_03,0.25,0.0007381053020658151
base__ecfp_599,0.25,0.0007368730593875608
base__ecfp_282,0.25,0.0007260146280343314
base__ecfp_288,0.25,0.0007256466888554343
base__ecfp_1059,0.25,0.0007184949498819564
base__ecfp_1691,0.25,0.0006972444405401442
base__ecfp_890,0.25,0.00067708646079374
base__ecfp_254,0.25,0.0006678384400949
base__ecfp_1747,0.25,0.0006618581356051562
base__ecfp_1160,0.25,0.0006577081865391369
base__ecfp_59,0.25,0.0006558294606381671
base__ecfp_2018,0.25,0.0006534091271408615
base__ecfp_289,0.25,0.0006502235685169147
base__ecfp_779,0.25,0.0006407097005958669
base__ecfp_460,0.25,0.0006397092586063056
base__ecfp_1652,0.25,0.0006294146740991489
base__ecfp_1957,0.25,0.0006274236721704077
base__ecfp_1799,0.25,0.0006267162153799888
base__ecfp_736,0.25,0.0006250656892377181
base__ecfp_1653,0.25,0.0006199765366613284
base__ecfp_1914,0.25,0.0006183839851960058
base__ecfp_1502,0.25,0.0006086576338122394
base__ecfp_298,0.25,0.0006071542336458084
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_04,0.25,0.0006060869674924258
base__ecfp_1055,0.25,0.00060470580133356
base__ecfp_850,0.25,0.0005957078416474452
base__ecfp_1391,0.25,0.0005905988809020099
base__ecfp_1896,0.25,0.0005807077147682511
base__ecfp_1860,0.25,0.0005791536391836329
base__ecfp_980,0.25,0.0005729946843565655
base__ecfp_1824,0.25,0.0005727380452678545
base__ecfp_605,0.25,0.0005565290992763772
base__cond__diluent__chloroform,0.25,0.0005523334151961743
base__ecfp_932,0.25,0.0005434577215972899
base__ecfp_157,0.25,0.000540790748948602
base__ecfp_715,0.25,0.000538803677243265
base__ecfp_1587,0.25,0.0005209718929483576
base__ecfp_1737,0.25,0.0005162750517012524
base__ecfp_1427,0.25,0.0005139301139821941
base__ecfp_1952,0.25,0.0005118354121660235
base__ecfp_449,0.25,0.0005117411610053513
base__ecfp_1920,0.25,0.0005036487705019205
base__ecfp_1897,0.25,0.0005001615914452535
base__ecfp_1722,0.25,0.0004992603859073465
base__ecfp_926,0.25,0.0004986684894564883
base__ecfp_1380,0.25,0.0004973535508847297
base__ecfp_1874,0.25,0.0004958604375850003
base__cond__diluent__isopar_l_0_7_exxal_13_0_3,0.25,0.0004951293992759166
base__ecfp_203,0.25,0.00048055959835270986
base__ecfp_148,0.25,0.00047173696323511054
base__ecfp_389,0.25,0.0004488764259475471
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_05,0.25,0.0004473353365509627
missingindicator_delta3d__feat3d__complex_physical__donor_partial_charge_max,0.25,0.0004349316057019893
base__ecfp_1203,0.25,0.0004318651982878373
base__ecfp_1325,0.25,0.0004306275693607715
base__ecfp_1429,0.25,0.00042685311529362934
base__ecfp_1413,0.25,0.0004170940057974141
base__cond__diluent__kerosene_with_40_vol_1_octanol,0.25,0.00041301844549426243
base__ecfp_806,0.25,0.00040866330559751146
base__ecfp_553,0.25,0.0004057909999102727
delta3d__feat3d__polyhedron__donor_atomic_number_03,0.25,0.00038721925849104027
base__ecfp_504,0.25,0.00038592755907107724
base__ecfp_1800,0.25,0.0003830616532424923
base__ecfp_1295,0.25,0.00037988022144939916
base__ecfp_487,0.25,0.0003741963889664431
base__ecfp_1100,0.25,0.00037212087127603286
base__ecfp_1225,0.25,0.00037162156611102366
base__ecfp_875,0.25,0.000367753591618821
base__ecfp_471,0.25,0.0003667365550554388
base__cond__diluent__phenyl_trifluoromethyl_sulfone,0.25,0.00036562439064655156
base__ecfp_1221,0.25,0.000360881465912585
base__ecfp_1013,0.25,0.0003595814965933562
base__ecfp_1180,0.25,0.00035718497495479363
base__cond__diluent__kerosene_0_7_1_octanol_0_3,0.25,0.0003564961353195185
base__cond__diluent__dichloromethane,0.25,0.000347672432786237
base__ecfp_1855,0.25,0.0003417268666928399
base__ecfp_1823,0.25,0.00033336602766772383
base__ecfp_1018,0.25,0.0003296672851805266
base__cond__acid__malonic_acid,0.25,0.0003293362781250167
base__ecfp_1620,0.25,0.00032899918515738857
base__ecfp_1544,0.25,0.00031593370550017874
base__ecfp_881,0.25,0.00031248367250014326
base__ecfp_624,0.25,0.0003092723713475916
base__ecfp_802,0.25,0.00030534215231944244
base__ecfp_1589,0.25,0.00030452520574351954
base__ecfp_1199,0.25,0.00030392516376323743
base__ecfp_823,0.25,0.0002955867849638157
base__ecfp_5,0.25,0.0002931502921806242
base__ecfp_351,0.25,0.0002910392024302301
base__ecfp_1123,0.25,0.0002834187052881061
base__ecfp_273,0.25,0.00027477555207363176
base__cond__diluent__1_octanol_0_5_kerosene_0_5,0.25,0.00027249211194789507
base__ecfp_1726,0.25,0.00026972577722870453
base__ecfp_868,0.25,0.0002673637732068384
base__ecfp_1603,0.25,0.0002669407727837329
base__ecfp_893,0.25,0.0002604416109623931
base__ecfp_244,0.25,0.00026023735571969
base__ecfp_381,0.25,0.00025879184599537285
base__ecfp_207,0.25,0.00025426131417191004
base__ecfp_378,0.25,0.0002529254506135398
base__ecfp_1847,0.25,0.0002507717915089608
base__ecfp_314,0.25,0.00024927254411871865
base__ecfp_603,0.25,0.00024694835062829277
base__ecfp_1721,0.25,0.00024326211117400368
base__ecfp_555,0.25,0.0002416196873150125
base__ecfp_1642,0.25,0.00023864529826083175
base__ecfp_192,0.25,0.0002309646872784574
base__cond__diluent__meta_nitrobenzotrifluoride,0.25,0.00022926371852244248
base__ecfp_310,0.25,0.00022425441096631158
base__ecfp_406,0.25,0.0002126063037284513
base__ecfp_1879,0.25,0.00021220042223579218
base__ecfp_1328,0.25,0.00021207295075388645
base__NumAliphaticRings,0.25,0.00021199503789443437
base__ecfp_1045,0.25,0.00021191838863618618
base__ecfp_741,0.25,0.00020496033184654188
base__ecfp_448,0.25,0.00020424393878386272
base__ecfp_1761,0.25,0.00020090875169055143
base__cond__diluent__ch3cl,0.25,0.0002003389905595328
base__ecfp_1635,0.25,0.00020014860623258305
base__ecfp_1142,0.25,0.00019783529284686898
base__ecfp_222,0.25,0.00019734584370674542
base__ecfp_1089,0.25,0.00019371994040503257
base__cond__diluent__nitrobenzene,0.25,0.00019248150688886786
missingindicator_base__cond__temperature_C,0.25,0.00019181925539952336
base__ecfp_1754,0.25,0.00019091704742732596
base__ecfp_1495,0.25,0.00019058794382098093
base__ecfp_418,0.25,0.00019041013034928916
base__ecfp_205,0.25,0.0001870675181714275
base__ecfp_1008,0.25,0.00018574129197864076
base__ecfp_783,0.25,0.0001829851211660809
base__ecfp_1866,0.25,0.00017485966261748348
base__ecfp_1706,0.25,0.00017125297196942963
base__ecfp_49,0.25,0.00016963299521512845
base__ecfp_904,0.25,0.00016750111973339103
base__ecfp_352,0.25,0.00016586801165336393
base__ecfp_670,0.25,0.00016094886825581453
base__ecfp_969,0.25,0.0001609020008882895
base__ecfp_146,0.25,0.0001606742555599878
base__ecfp_1145,0.25,0.00016055430054830478
base__ecfp_486,0.25,0.00015579614925109172
base__ecfp_1057,0.25,0.0001553651041117917
base__ecfp_1218,0.25,0.00015070633976305207
base__ecfp_54,0.25,0.0001503396978555469
base__ecfp_764,0.25,0.0001496394428655903
base__ecfp_1420,0.25,0.00014807287822660365
base__ecfp_1004,0.25,0.00014488857169205565
base__ecfp_1683,0.25,0.00014302942921567247
base__ecfp_1304,0.25,0.00013975252991584172
base__ecfp_1028,0.25,0.0001385242226434818
base__ecfp_1184,0.25,0.0001383483444684344
base__ecfp_1274,0.25,0.00013628801762111055
base__ecfp_1939,0.25,0.00013483157007699694
base__ecfp_1357,0.25,0.00013243776487986835
base__cond__diluent__1_2_dichloroethane,0.25,0.0001306578540220408
base__ecfp_80,0.25,0.0001280191944010397
base__ecfp_747,0.25,0.00012620752732336342
base__ecfp_1130,0.25,0.00012295820528427157
base__ecfp_943,0.25,0.000122651492403433
base__ecfp_677,0.25,0.00012067257919559445
base__ecfp_1087,0.25,0.00011999172310893705
base__ecfp_877,0.25,0.00011859852319785905
base__cond__diluent__1_octanol,0.25,0.00011737285537485611
base__ecfp_1514,0.25,0.00011500775666143534
missingindicator_delta3d__feat3d__complex_physical__dipole_magnitude,0.25,0.0001129223766829331
base__ecfp_446,0.25,0.00011171121672738302
base__ecfp_473,0.25,0.00011147167585035405
base__ecfp_935,0.25,0.00011137409149025599
base__ecfp_1085,0.25,0.00010995490628834485
base__ecfp_9,0.25,0.00010972180550264897
base__ecfp_1912,0.25,0.0001088425072634754
base__ecfp_1529,0.25,0.00010653292578933142
base__ecfp_1480,0.25,0.00010251893974893218
base__ecfp_1851,0.25,0.00010074881971477359
base__ecfp_960,0.25,9.934536226478661e-05
base__cond__diluent__hydrogenated_tetrapropene,0.25,9.875350475146677e-05
delta3d__feat3d__polyhedron__donor_atomic_number_02,0.25,9.769054699168969e-05
base__ecfp_1103,0.25,9.744860072067048e-05
base__ecfp_392,0.25,9.359026020720625e-05
base__ecfp_488,0.25,9.30577724618997e-05
base__ecfp_1999,0.25,8.942240299638152e-05
base__ecfp_1249,0.25,8.694302762542461e-05
base__ecfp_970,0.25,7.913596709485134e-05
base__ecfp_1492,0.25,7.905962992941339e-05
base__ecfp_1243,0.25,7.850989332874669e-05
base__ecfp_1129,0.25,7.762132167425427e-05
base__ecfp_1362,0.25,7.681439254261158e-05
base__ecfp_748,0.25,7.644634385779863e-05
base__ecfp_1060,0.25,7.589704171891696e-05
base__ecfp_798,0.25,7.506586688001772e-05
base__ecfp_369,0.25,7.394100355188211e-05
base__ecfp_1678,0.25,7.388064342706379e-05
base__ecfp_1066,0.25,7.0834045376385e-05
base__ecfp_1895,0.25,7.078316903971775e-05
base__ecfp_36,0.25,7.037520429404559e-05
base__ecfp_1073,0.25,7.018913560672373e-05
base__ecfp_951,0.25,7.009394877425576e-05
base__ecfp_1043,0.25,7.004253432186977e-05
base__ecfp_1162,0.25,6.978742205022562e-05
base__ecfp_475,0.25,6.842196674273848e-05
base__ecfp_185,0.25,6.837405117594925e-05
base__ecfp_1254,0.25,6.327828780609796e-05
base__ecfp_1386,0.25,6.216527411746858e-05
base__ecfp_636,0.25,6.021817472823365e-05
base__ecfp_1248,0.25,6.0136744223474204e-05
base__ecfp_574,0.25,5.522422330054325e-05
base__ecfp_1481,0.25,5.5183556650518665e-05
base__cond__acid__lactic_acid,0.25,5.490217313347095e-05
base__ecfp_953,0.25,5.3805327139919535e-05
base__cond__acid__citric_acid,0.25,5.3048005937527526e-05
base__ecfp_780,0.25,5.270451431857706e-05
base__ecfp_1995,0.25,5.211073997409749e-05
base__ecfp_1292,0.25,5.049556159029675e-05
base__ecfp_697,0.25,4.991251443162691e-05
base__ecfp_1314,0.25,4.8488024504351545e-05
base__ecfp_1905,0.25,4.8251273793467915e-05
base__ecfp_1504,0.25,4.77864742657601e-05
base__ecfp_243,0.25,4.690758874851192e-05
base__ecfp_1410,0.25,4.672267889344937e-05
base__ecfp_1687,0.25,4.665294072975182e-05
base__ecfp_114,0.25,4.660925777049079e-05
base__ecfp_1520,0.25,4.47565498820315e-05
delta3d__feat3d__polyhedron__donor_atomic_number_01,0.25,4.251680671735045e-05
base__ecfp_691,0.25,4.206268273136745e-05
base__ecfp_2037,0.25,3.991268450525768e-05
base__ecfp_1326,0.25,3.86175597655146e-05
base__ecfp_1021,0.25,3.494799279069066e-05
base__ecfp_860,0.25,3.429439869733064e-05
base__ecfp_255,0.25,3.402644807595221e-05
base__cond__additive__1_octanol,0.25,3.356845262985679e-05
base__cond__acid__h2so4,0.25,3.272813204498372e-05
base__cond__diluent__cyclohexanone,0.25,3.237691740113881e-05
base__cond__diluent__kerosene,0.25,3.188471624802065e-05
base__ecfp_1534,0.25,3.171951165929476e-05
base__ecfp_388,0.25,3.1583934571120456e-05
base__ecfp_561,0.25,3.111510020679664e-05
base__ecfp_1765,0.25,3.1067629627139054e-05
base__ecfp_1455,0.25,3.063724768555978e-05
base__ecfp_760,0.25,2.987156190322367e-05
base__ecfp_344,0.25,2.9555439226353897e-05
base__cond__diluent__1_4_diisopropylbenzene,0.25,2.9395321412782876e-05
base__ecfp_1998,0.25,2.907194597506135e-05
base__cond__acid__tartaric_acid,0.25,2.7432476379513877e-05
base__ecfp_172,0.25,2.5701490919903402e-05
base__ecfp_942,0.25,2.5289165184301453e-05
base__ecfp_699,0.25,2.4117230144640866e-05
base__ecfp_1953,0.25,2.394445700818923e-05
base__ecfp_1452,0.25,2.2959888780887135e-05
base__ecfp_2009,0.25,2.2786017182088836e-05
base__ecfp_1289,0.25,2.2785059997282654e-05
base__cond__diluent__tert_butylbenzene,0.25,2.245513049495695e-05
base__ecfp_1009,0.25,2.225174238372522e-05
base__cond__diluent__tbub,0.25,2.1769754939465757e-05
base__ecfp_1017,0.25,2.1120584495435505e-05
base__ecfp_204,0.25,2.0938972688229442e-05
base__ecfp_1034,0.25,2.0433478263435266e-05
base__ecfp_28,0.25,2.0387338393276433e-05
base__ecfp_1845,0.25,1.9729226758311134e-05
base__ecfp_897,0.25,1.8680296825916172e-05
base__ecfp_96,0.25,1.768541535129357e-05
base__ecfp_888,0.25,1.7412113575609162e-05
base__ecfp_640,0.25,1.694073419313488e-05
base__ecfp_1539,0.25,1.4737864225844676e-05
base__ecfp_1214,0.25,1.4565744797553979e-05
base__ecfp_507,0.25,1.3685447499075527e-05
base__ecfp_1923,0.25,1.3323532272424769e-05
base__ecfp_843,0.25,1.3164528978500063e-05
base__ecfp_1005,0.25,1.2388985487644674e-05
base__ecfp_50,0.25,1.1960406746589562e-05
base__ecfp_466,0.25,1.1739639986094687e-05
base__ecfp_46,0.25,1.0983979171294447e-05
base__ecfp_759,0.25,1.0870815490184675e-05
base__ecfp_1787,0.25,9.760510654432622e-06
base__ecfp_366,0.25,9.713306323243984e-06
base__ecfp_116,0.25,9.670744521499067e-06
base__cond__diluent__hydrogenated_tetrapropylene,0.25,7.056107319261941e-06
base__ecfp_479,0.25,7.05331738337162e-06
base__ecfp_560,0.25,6.533592360028053e-06
base__ecfp_701,0.25,6.5272643515543756e-06
base__ecfp_1630,0.25,6.43357271585315e-06
base__ecfp_180,0.25,6.079640488229959e-06
base__ecfp_401,0.25,5.653551539653515e-06
base__ecfp_1051,0.25,5.271410680622494e-06
base__ecfp_723,0.25,4.849055994963173e-06
base__ecfp_625,0.25,4.74269601662476e-06
base__ecfp_1733,0.25,4.704082519911132e-06
