A,B,dZ,didx,d_radius_CN8,n_cells,n_extractants,mean_logSF,sd_logSF,median_logSF,frac_heavy_preferred,mean_abs_logSF,mean_abs_logSF_extractant_macro,p95_abs_logSF,mean_abs_logSF_pred_dr,mean_abs_logSF_resid_dr,mean_abs_logSF_extractant_macro_pred_dr,mean_abs_logSF_extractant_macro_resid_dr
Pr,Eu,4,3,0.06,163,73,-0.43633,0.71986,-0.42083,0.67485,0.67024,0.63104,1.5322,0.60005,0.070197,0.53326,0.097778
Pr,Gd,5,4,0.073,133,62,-0.48715,0.80255,-0.60206,0.66165,0.76094,0.7327,1.734,0.72488,0.036058,0.63786,0.094839
Pr,Tb,6,5,0.086,120,58,-0.70858,0.95289,-0.74241,0.66667,0.93682,0.85322,2.0633,0.84972,0.087097,0.74247,0.11075
Pr,Dy,7,6,0.099,122,60,-0.79394,1.0418,-0.84693,0.67213,1.0302,0.89003,2.2784,0.97456,0.055673,0.84707,0.042967
Pr,Ho,8,7,0.111,111,52,-0.99948,1.1625,-1.1864,0.72973,1.2292,1.1023,2.594,1.0898,0.13942,0.94362,0.15864
Pr,Er,9,8,0.122,115,60,-0.88142,1.2291,-0.71745,0.71304,1.1994,1.0048,2.7076,1.1954,0.0039314,1.0321,-0.027364
Pr,Tm,10,9,0.132,87,48,-0.87286,1.2477,-0.58,0.75862,1.1803,1.0643,2.7385,1.2915,-0.11119,1.1126,-0.048251
Pr,Yb,11,10,0.141,104,50,-1.01,1.2554,-1.2633,0.78846,1.3168,1.1425,2.7103,1.3779,-0.061086,1.185,-0.042498
Pr,Lu,12,11,0.149,104,48,-1.0856,1.2778,-1.3876,0.81731,1.3861,1.2232,2.748,1.4547,-0.068571,1.2494,-0.02616
Nd,Sm,2,1,0.03,234,78,-0.31688,0.38639,-0.28728,0.77778,0.39038,0.35381,0.86825,0.31195,0.078424,0.29187,0.061937
Nd,Eu,3,2,0.043,222,80,-0.38467,0.57543,-0.35794,0.72973,0.54666,0.49782,1.2336,0.43679,0.10986,0.39648,0.10134
Nd,Gd,4,3,0.056,197,72,-0.42146,0.6262,-0.40496,0.71574,0.60347,0.57451,1.3528,0.56163,0.04184,0.50108,0.07343
Nd,Tb,5,4,0.069,136,59,-0.69628,0.78743,-0.81877,0.70588,0.85458,0.72756,1.7183,0.68647,0.1681,0.60568,0.12188
Nd,Dy,6,5,0.082,190,71,-0.68286,0.79221,-0.53273,0.77368,0.82409,0.73255,1.9661,0.81131,0.012774,0.71028,0.02227
Nd,Ho,7,6,0.094,144,52,-0.87107,0.95036,-0.9799,0.79167,1.0173,0.94112,2.3012,0.92655,0.090757,0.80684,0.13428
Nd,Er,8,7,0.105,173,65,-0.82141,0.92866,-0.69897,0.82081,0.99951,0.89209,2.3327,1.0322,-0.03267,0.89535,-0.003259
Nd,Tm,9,8,0.115,101,48,-0.90971,1.0686,-0.86314,0.78218,1.144,0.93718,2.426,1.1282,0.015785,0.97581,-0.038629
Nd,Yb,10,9,0.124,129,51,-1.0352,1.0242,-1.3333,0.81395,1.2422,0.9981,2.52,1.2146,0.027517,1.0482,-0.050122
Nd,Lu,11,10,0.132,136,56,-1.0108,1.0172,-1.0197,0.85294,1.202,0.99682,2.5229,1.2915,-0.089481,1.1126,-0.11578
Sm,Eu,1,1,0.013,203,77,-0.091509,0.25639,-0.11412,0.66502,0.20656,0.21278,0.4679,0.1487,0.057861,0.15509,0.057688
Sm,Gd,2,2,0.026,204,72,-0.091709,0.34677,-0.049722,0.66667,0.27339,0.27764,0.5997,0.27354,-0.00015143,0.25969,0.017955
Sm,Tb,3,3,0.039,144,59,-0.3641,0.44927,-0.42845,0.72917,0.48477,0.41737,0.91625,0.39838,0.086389,0.36429,0.053083
Sm,Dy,4,4,0.052,202,70,-0.41787,0.52358,-0.40729,0.75248,0.54178,0.47931,1.2577,0.52322,0.018563,0.46889,0.010416
Sm,Ho,5,5,0.064,143,52,-0.55957,0.65929,-0.54881,0.76923,0.69063,0.61268,1.5055,0.63846,0.052173,0.56545,0.047234
Sm,Er,6,6,0.075,176,65,-0.53403,0.65489,-0.57609,0.79545,0.69321,0.61236,1.5307,0.74409,-0.050882,0.65396,-0.041596
Sm,Tm,7,7,0.085,102,48,-0.59618,0.73852,-0.71506,0.77451,0.79504,0.63125,1.6687,0.84012,-0.045084,0.73442,-0.10317
Sm,Yb,8,8,0.094,127,51,-0.68103,0.74108,-0.87196,0.81102,0.86436,0.67634,1.7068,0.92655,-0.062183,0.80684,-0.13049
Sm,Lu,9,9,0.102,133,56,-0.68301,0.74052,-0.85387,0.82707,0.85717,0.707,1.7779,1.0034,-0.1462,0.87121,-0.1642
Eu,Gd,1,1,0.013,177,70,0.0008074,0.22035,-0.031034,0.53672,0.1601,0.15917,0.40282,0.1487,0.0114,0.15509,0.0040806
Eu,Tb,2,2,0.026,142,58,-0.25502,0.2686,-0.33013,0.80986,0.31902,0.29143,0.59047,0.27354,0.04548,0.25969,0.031736
Eu,Dy,3,3,0.039,161,69,-0.31678,0.37557,-0.32532,0.78882,0.41187,0.33988,0.89266,0.39838,0.013488,0.36429,-0.024412
Eu,Ho,4,4,0.051,126,51,-0.48201,0.52451,-0.56351,0.78571,0.59202,0.46479,1.1698,0.51362,0.078397,0.46085,0.0039485
Eu,Er,5,5,0.062,147,68,-0.42361,0.59671,-0.43366,0.7619,0.60138,0.48932,1.2654,0.61925,-0.017873,0.54936,-0.060031
Eu,Tm,6,6,0.072,97,47,-0.46025,0.60656,-0.51187,0.75258,0.63365,0.51738,1.3399,0.71528,-0.081635,0.62982,-0.11244
Eu,Yb,7,7,0.081,121,51,-0.52875,0.62774,-0.81178,0.77686,0.70187,0.53696,1.3424,0.80171,-0.099834,0.70223,-0.16527
Eu,Lu,8,8,0.089,133,55,-0.53743,0.60387,-0.70772,0.83459,0.68513,0.58485,1.4343,0.87853,-0.1934,0.7666,-0.18176
Gd,Tb,1,1,0.013,188,65,-0.23917,0.20938,-0.27021,0.88298,0.26901,0.24226,0.52727,0.1487,0.1203,0.15509,0.087178
Gd,Dy,2,2,0.026,237,74,-0.29693,0.29616,-0.30405,0.85232,0.34114,0.29169,0.73217,0.27354,0.067601,0.25969,0.032005
Gd,Ho,3,3,0.038,184,57,-0.42033,0.43102,-0.422,0.85326,0.48705,0.39944,1.0572,0.38878,0.098268,0.35624,0.043191
Gd,Er,4,4,0.049,214,69,-0.41838,0.45392,-0.37482,0.84112,0.50397,0.41011,1.1181,0.49441,0.0095572,0.44475,-0.034643
Gd,Tm,5,5,0.059,134,54,-0.39824,0.49972,-0.46115,0.80597,0.53813,0.44748,1.1543,0.59044,-0.052315,0.52522,-0.077734
Gd,Yb,6,6,0.068,166,57,-0.52185,0.57846,-0.60864,0.81325,0.65555,0.48744,1.2926,0.67687,-0.021315,0.59763,-0.11019
Gd,Lu,7,7,0.076,171,60,-0.49498,0.57224,-0.60206,0.82456,0.64275,0.53148,1.2739,0.75369,-0.11095,0.662,-0.13053
Tb,Dy,1,1,0.013,181,66,-0.1126,0.2208,-0.10146,0.76243,0.16091,0.15638,0.36798,0.1487,0.012208,0.15509,0.0012913
Tb,Ho,2,2,0.025,158,57,-0.21105,0.27553,-0.23191,0.77848,0.28507,0.2378,0.68004,0.26394,0.021135,0.25164,-0.013845
Tb,Er,3,3,0.036,162,63,-0.2316,0.35052,-0.30103,0.74691,0.34474,0.25999,0.75402,0.36957,-0.024829,0.34015,-0.080158
Tb,Tm,4,4,0.046,135,54,-0.21524,0.38153,-0.20412,0.76296,0.34379,0.28893,0.87514,0.4656,-0.12181,0.42061,-0.13168
Tb,Yb,5,5,0.055,153,56,-0.24392,0.41782,-0.30103,0.71242,0.39182,0.31476,0.90452,0.55203,-0.16021,0.49303,-0.17828
Tb,Lu,6,6,0.063,155,54,-0.26478,0.45591,-0.34242,0.74194,0.43632,0.39202,0.97546,0.62885,-0.19253,0.5574,-0.16538
Dy,Ho,1,1,0.012,185,57,-0.10583,0.1638,-0.10445,0.81081,0.14637,0.13759,0.34031,0.1391,0.0072658,0.14704,-0.0094552
Dy,Er,2,2,0.023,220,69,-0.13913,0.21615,-0.1164,0.79091,0.20004,0.17076,0.46698,0.24473,-0.044692,0.23555,-0.064788
Dy,Tm,3,3,0.033,143,54,-0.14641,0.28405,-0.18268,0.74126,0.25185,0.24253,0.59975,0.34076,-0.088916,0.31601,-0.073484
Dy,Yb,4,4,0.042,176,58,-0.22002,0.37977,-0.23895,0.73295,0.34401,0.3005,0.8193,0.42719,-0.08318,0.38843,-0.087932
Dy,Lu,5,5,0.05,182,60,-0.17622,0.36157,-0.24563,0.75275,0.32762,0.34739,0.7587,0.50402,-0.17639,0.4528,-0.10541
Ho,Er,1,1,0.011,188,57,-0.049848,0.15336,-0.040192,0.70213,0.10294,0.12747,0.2974,0.1295,-0.026561,0.13899,-0.011524
Ho,Tm,2,2,0.021,143,55,-0.042962,0.21491,-0.064281,0.61538,0.14796,0.1912,0.4692,0.22553,-0.077568,0.21946,-0.028262
Ho,Yb,3,3,0.03,166,57,-0.07079,0.30139,-0.099773,0.62048,0.2129,0.23194,0.68124,0.31195,-0.099057,0.29187,-0.059933
Ho,Lu,4,4,0.038,158,54,-0.060578,0.29712,-0.11502,0.67089,0.23562,0.29934,0.63592,0.38878,-0.15316,0.35624,-0.056907
Er,Tm,1,1,0.01,153,55,-0.0013288,0.21918,-0.00037406,0.50327,0.097611,0.15203,0.28421,0.11989,-0.022284,0.13095,0.021077
Er,Yb,2,2,0.019,174,58,-0.03574,0.3049,-0.026972,0.59195,0.16166,0.18506,0.58855,0.20632,-0.044664,0.20336,-0.018309
Er,Lu,3,3,0.027,177,60,-0.011357,0.22356,-0.036997,0.63277,0.15012,0.21676,0.47772,0.28315,-0.13302,0.26774,-0.050971
Tm,Yb,1,1,0.009,147,55,0.018368,0.12041,0,0.46939,0.064578,0.079628,0.17434,0.11029,-0.045713,0.1229,-0.043274
Tm,Lu,2,2,0.017,146,52,0.011665,0.18914,-0.022857,0.57534,0.11631,0.15922,0.30325,0.18712,-0.070801,0.18727,-0.028055
Yb,Lu,1,1,0.008,164,54,-0.0077416,0.11896,-0.004061,0.51829,0.075268,0.11068,0.22724,0.10069,-0.02542,0.11486,-0.0041793
