comparison,reference,candidate,statistic,endpoint,feature_set,n_runs,n_rows,mean_delta,min_delta,max_delta,n_delta_positive,n_ci95_low_above_zero,n_with_ci,direction_consistent
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,all,MC_donors,1,1,0.0736331746066162,0.0736331746066162,0.0736331746066162,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,nn<0.6,MC_donors,1,1,0.0699676590649899,0.0699676590649899,0.0699676590649899,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,nn<0.4,MC_donors,1,1,0.0695837558126245,0.0695837558126245,0.0695837558126245,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,nn<0.4,MC_donors,1,1,0.0541221266362127,0.0541221266362127,0.0541221266362127,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,nn<0.4,MC_donors,1,1,0.052111379655303,0.052111379655303,0.052111379655303,1,1,1,True
EXPANDED_SHUFFLED_vs_BASE,BASE,EXPANDED_SHUFFLED,shape_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.0396329588179889,0.0396329588179889,0.0396329588179889,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,0.0363193362030588,0.0363193362030588,0.0363193362030588,1,1,1,True
EXPANDED_vs_BASE,BASE,EXPANDED,shape_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,0.0357591063953139,0.0357591063953139,0.0357591063953139,1,1,1,True
EXPANDED_vs_EXPANDED_SHUFFLED,EXPANDED_SHUFFLED,EXPANDED,shape_mae,nn<0.4,MC_lig2d_ext_massaction,1,1,0.0346167524664596,0.0346167524664596,0.0346167524664596,1,1,1,True
EXPANDED_ROWMATCHED_vs_BASE,BASE,EXPANDED_ROWMATCHED,shape_mae,nn<0.6,MC_lig2d_ext_massaction,1,1,0.0341276669368644,0.0341276669368644,0.0341276669368644,1,1,1,True
