run_id,run_path,source_file,feature_set,split_seed,arm,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,104729,BASE,1.208107076280338,1.0499860527094105,0.5185957259369214,0.0978387691805053,1.2036658643725937,1.2175031033553811,0.1543112674104727,0.4734614777281766,1.014760463276998,2.3560064660360855,0.29557871764608,0.5995688396353508,0.2700076219512195,0.4900914634146341,0.540198517722529,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,104729,EXPANDED,1.020857282629537,0.8675938251554642,0.5108669833932806,0.0572135125694994,1.0315997961591024,1.2011828156271511,0.1571722545482159,0.447883075536218,0.929814964223783,2.084145867976444,0.4002629213170498,0.5853836741059886,0.2884908536585366,0.4998094512195122,0.5332640831387807,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,104729,EXPANDED_ROWMATCHED,1.0253248239734185,0.8689758129817688,0.5223781530674941,0.0499594602837027,1.0365730389603918,1.209767657790375,0.148942280034137,0.4490151509147275,0.9122745866216682,2.0913593403867443,0.4017187663935809,0.58043354697701,0.2833460365853658,0.4948551829268293,0.5226541265868497,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,104729,EXPANDED_SHUFFLED,1.2411210448338417,1.079381492804968,0.5630339194520214,0.0254477125155422,1.2328302016810726,1.2611756446782212,0.1030182099327424,0.4637367282119005,1.1217744039482416,2.284701360836221,0.3067042854258247,0.5744680628348977,0.2541920731707317,0.4679878048780488,0.5027642715226188,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,130363,BASE,1.1791972645794997,1.0110950518829431,0.523016443477068,0.0721916445471829,1.162707780911867,1.1419046226491194,0.2371713289437139,0.3996730969729368,0.9565445329155146,2.230089406003435,0.3374223422494421,0.5985932594948965,0.2915396341463415,0.5081935975609756,0.6269432505368288,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,130363,EXPANDED,1.0370833283922616,0.8800959742473404,0.5029336133674582,0.0533468632935372,1.0308366482814824,1.1399823987165525,0.2322834479780229,0.3913795948350728,0.8932143184955013,1.975113947091221,0.4458902288997256,0.5687715959632755,0.3020198170731707,0.5060975609756098,0.5989953521214274,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,130363,EXPANDED_ROWMATCHED,1.0337663953696752,0.8742556730135826,0.5057438798184488,0.0350926573180588,1.0276489699368725,1.133888480357784,0.2319199833563441,0.3799371960350369,0.9236141343117484,1.9652976329422147,0.4372038941168741,0.5672297187670425,0.3060213414634146,0.5129573170731707,0.6069976598402034,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,130363,EXPANDED_SHUFFLED,1.2287673902956644,1.022532074267406,0.5798927868713499,0.0670189938586967,1.212339249906777,1.161594955672188,0.2364677171730471,0.3968824960915627,1.0990981839255944,2.1529436097260892,0.3161716247321621,0.5928350337946404,0.2707698170731707,0.4961890243902439,0.584710660228691,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,155921,BASE,1.1593221885434468,1.002039831093956,0.4939180843779553,0.0922368571853606,1.143603549789442,1.1490274478948006,0.2323813661831736,0.4163082277366859,0.9680074705401618,2.2435559163755094,0.3627740079519872,0.595956471540171,0.2844893292682927,0.5091463414634146,0.6125651430735979,5248,152,131,79,6.256051615740402,131
gen6_diversity_causal_20260819T102822Z,runs/gen6_expA_5seed,arm_metrics.csv,MC_donors,155921,EXPANDED,0.9628479553725372,0.8180901719414424,0.4856666412940086,0.0628045002350433,0.965504361495171,1.1239878652977506,0.2555980290101387,0.3785886020167865,0.9145481711051616,1.852357193991296,0.4681892657045319,0.5713476718491745,0.3020198170731707,0.5152439024390244,0.5843161941032361,5248,152,131,79,6.256051615740402,131
