comparison,dropped_chemotype,delta,n_units
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc068,-0.012767689110930439,84
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc069,-0.009469408236508554,88
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc070,-0.012046037816069582,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc071,-0.01186387519723747,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc075,-0.013888383098531316,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc076,-0.011784726396790565,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc077,-0.011072306767666745,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc078,-0.011444459479211628,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc083,-0.01361804026129924,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc084,-0.012712919554038266,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc085,-0.012112043724214134,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc086,-0.012941651280344373,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc092,-0.014775294374309765,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc096,-0.011949920418864663,89
M_PHYSICS_radius+radius_sq_vs_C_DIRECT_ROW,sc097,-0.011783175154220348,89
