comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1
S3_HIER_vs_S3_EXT_LEVEL,mae_far,S3_HIER,S3_EXT_LEVEL,0.006158335057307488,-0.02384862256369005,0.056747424099919036,-0.024686467594804414,0.05466419836494074,0.7542,0.020777790519270787,0.0581778134539582,0.03252565605889419,88,44,3,5,-0.0033194254112853924,0.019994681612716225,False,0.02,False,False
S3_EXT_LEVEL_vs_C_DIRECT_ROW,mae_far,C_DIRECT_ROW,S3_EXT_LEVEL,-0.0016169432444714791,-0.055009439746810405,0.05806704906482588,-0.0548475919432864,0.05820537093004109,0.9386,0.028228798082625527,0.07904063463135147,-0.005182330491667296,88,47,2,5,-0.01476983083773375,0.013274554051309733,False,0.02,False,False
S3_EXTW_PHYSICS_vs_M_PHYSICS,mae_far,M_PHYSICS_radius+radius_sq,S3_EXTW_PHYSICS,-0.0015637269043919434,-0.021897910966507353,0.017513769020616687,-0.024011232822421676,0.015521280071458903,0.8812,0.009960126964471528,0.027888355500520278,0.00958800621862699,88,45,3,5,-0.005444314211686562,0.004973805273517429,False,0.02,False,False
S2_REL_PHYSICS_vs_M_PHYSICS,mae_far,M_PHYSICS_radius+radius_sq,S2_REL_PHYSICS,0.0021432296209354623,-0.0070294702808810635,0.00906533449616424,-0.005158680841489839,0.010864371737114138,0.7292,0.004292705612129306,0.012019575713962057,0.0025563812620970246,88,44,4,5,-0.0026461146128635843,0.00428811041743365,False,0.02,False,False
S2_CENTRED_ROW_basic_vs_C_DIRECT_ROW,sign_acc_strong,C_DIRECT_ROW,S2_CENTRED_ROW_basic,0.04292882397951996,-0.03271948684450783,0.13906490023291493,-0.04808589111058073,0.12525834107810876,0.2494,0.04349669370826554,0.1217907423831435,0.07163627287693823,86,36,5,5,0.022258245997521346,0.07356974362220692,True,0.02,False,False
S2_CENTRED_ROW_vs_C_DIRECT_ROW,sign_acc_strong,C_DIRECT_ROW,S2_CENTRED_ROW,0.03889390795272862,-0.03637650597679058,0.14117810814929707,-0.049420377341591736,0.1276257631746233,0.3096,0.04520806091464744,0.12658257056101282,0.07346910965058225,86,36,5,5,0.017542014398141837,0.06881473473319952,True,0.02,False,False
S2_CENTRED_ROW_basic_vs_S2_CENTRED_ROW,sign_acc_strong,S2_CENTRED_ROW,S2_CENTRED_ROW_basic,0.004034916026791344,-0.008036776390153667,0.011787414025605085,-0.0053549716452643776,0.014567943382942117,0.5634,0.0053019955795514315,0.014845587622744008,-0.001832836773644,86,37,4,5,-0.0017960493561707117,0.005524703582550296,False,0.02,False,False
S3_HIER_vs_S3_EXT_LEVEL,sign_acc_strong,S3_HIER,S3_EXT_LEVEL,0.0076936856903917555,-0.01786471255477318,0.037695209159505444,-0.01685900048332897,0.03872632166865594,0.5236,0.013738672623809216,0.038468283346665806,0.018224174987487286,86,29,3,5,0.00072537611027872,0.013637289935081762,True,0.02,False,False
S3_EXT_LEVEL_vs_C_DIRECT_ROW,sign_acc_strong,C_DIRECT_ROW,S3_EXT_LEVEL,0.02599957494028248,-0.04425573434460868,0.11927837732100446,-0.04346408404001842,0.11993488330304063,0.482,0.04098191233436504,0.11474935453622209,0.03851225166559737,86,39,3,5,0.001160010905804264,0.04871611974961873,True,0.02,False,False
S3_EXTW_PHYSICS_vs_M_PHYSICS,sign_acc_strong,M_PHYSICS_radius+radius_sq,S3_EXTW_PHYSICS,-0.001653317729319072,-0.027718716872238317,0.024433855924523223,-0.03468767385608131,0.01937741059502439,0.9376,0.012952950944146608,0.0362682626436105,0.020783492848796062,86,23,3,5,-0.005746842600208665,0.007735222662096805,False,0.02,False,False
S2_REL_PHYSICS_vs_M_PHYSICS,sign_acc_strong,M_PHYSICS_radius+radius_sq,S2_REL_PHYSICS,-0.005080736690206161,-0.01601049139414604,0.004390920239348859,-0.01772993341393721,0.003222672743844509,0.3002,0.0051460896933599965,0.014409051141407989,-0.0005587170060571664,86,22,1,5,-0.007193519321943151,-0.001954536035733154,True,0.02,False,False
S2_CENTRED_ROW_basic_vs_C_DIRECT_ROW,pair_spearman,C_DIRECT_ROW,S2_CENTRED_ROW_basic,0.05341950224769225,-0.04383270656710626,0.17661747873285713,-0.0726746149600292,0.1528390786957815,0.2574,0.055340633668574314,0.15495377427200807,0.1085949658777147,84,44,5,5,0.038846975221910864,0.09549914074192219,True,0.02,False,False
S2_CENTRED_ROW_vs_C_DIRECT_ROW,pair_spearman,C_DIRECT_ROW,S2_CENTRED_ROW,0.046636678998619285,-0.048579348603463045,0.17613181610988918,-0.07313472236536962,0.1531406513693334,0.3302,0.056813546047818464,0.1590779289338917,0.10758634358137019,84,39,5,5,0.031012883795504174,0.08682716917270215,True,0.02,False,False
S2_CENTRED_ROW_basic_vs_S2_CENTRED_ROW,pair_spearman,S2_CENTRED_ROW,S2_CENTRED_ROW_basic,0.006782823249072953,-0.006958337902569126,0.015975694154218956,-0.004052264039330006,0.01838829343592526,0.3708,0.006039809363412283,0.01691146621755439,0.0010086222963444694,84,59,4,5,0.0003073040552825477,0.00867197156922,True,0.02,False,False
S3_HIER_vs_S3_EXT_LEVEL,pair_spearman,S3_HIER,S3_EXT_LEVEL,-0.012267157331739508,-0.05058848845508419,0.023272402709694946,-0.05295206044098344,0.021401467209423087,0.4764,0.018250031033942,0.051100086895037596,-0.0067419459390408235,84,41,2,5,-0.018415835593554728,-0.005357541766537453,True,0.02,False,False
S3_EXT_LEVEL_vs_C_DIRECT_ROW,pair_spearman,C_DIRECT_ROW,S3_EXT_LEVEL,-0.013568795214072168,-0.09411438241026227,0.0699441624714941,-0.10243281582806436,0.06258020005198864,0.739,0.04110775312687436,0.11510170875524821,0.014709839588791736,84,39,3,5,-0.023458452111503488,0.006387113028159278,False,0.02,False,False
S3_EXTW_PHYSICS_vs_M_PHYSICS,pair_spearman,M_PHYSICS_radius+radius_sq,S3_EXTW_PHYSICS,0.0010243627020752803,-0.03028737980244566,0.032154121092058445,-0.03525379933661844,0.027448555664526055,0.9052,0.015543286277404344,0.043521201576732164,0.02445008073649572,84,44,4,5,-0.004045442347516365,0.01086749505167652,False,0.02,False,False
S2_REL_PHYSICS_vs_M_PHYSICS,pair_spearman,M_PHYSICS_radius+radius_sq,S2_REL_PHYSICS,-0.0068637970037950784,-0.02152650715410021,0.0046801539866938874,-0.022727616663535698,0.0037477705991377196,0.2526,0.006551806045046821,0.018345056926131097,-0.00391744993438705,84,37,1,5,-0.009935739866698576,-0.003692771346242421,True,0.02,False,False
