design,seed,fold,block,gamma,alpha,lopo_mae
BP,155921,1,TOPO39,5.0,10.0,0.27971518640691984
BP,155921,1,TOPO39,20.0,100.0,0.27913562905319433
BP,155921,1,TOPO39,100.0,300.0,0.2788539752350691
BP,155921,1,TOPO39,1000.0,1000.0,0.28766591219697235
BP,155921,2,COND_MA,0.0,1.0,0.3514092694783936
BP,155921,2,COND_MA,0.1,0.03,0.34234988154440515
BP,155921,2,COND_MA,0.25,0.1,0.320424306945134
BP,155921,2,COND_MA,0.5,0.1,0.30338283921236847
BP,155921,2,COND_MA,1.0,0.1,0.2979117988600516
BP,155921,2,COND_MA,2.0,0.1,0.33061561098721615
BP,155921,2,COND_MA,5.0,0.3,0.3387319011012291
BP,155921,2,COND_MA,20.0,1.0,0.35681519421206687
BP,155921,2,COND_MA,100.0,3.0,0.37622946424447307
BP,155921,2,COND_MA,1000.0,30.0,0.37751897953530106
BP,155921,2,TOPO39,0.0,10.0,0.35059517365205345
BP,155921,2,TOPO39,0.1,0.03,0.321352447511949
BP,155921,2,TOPO39,0.25,0.1,0.3138235239029496
BP,155921,2,TOPO39,0.5,0.3,0.3126524341600953
BP,155921,2,TOPO39,1.0,0.3,0.3149891623834908
BP,155921,2,TOPO39,2.0,1.0,0.3139573926132754
BP,155921,2,TOPO39,5.0,3.0,0.31766232585137055
BP,155921,2,TOPO39,20.0,10.0,0.3186466778261783
BP,155921,2,TOPO39,100.0,30.0,0.3185460987392901
BP,155921,2,TOPO39,1000.0,300.0,0.31872699103710783
BP,155921,3,COND_MA,0.0,1000.0,0.25168051673909053
BP,155921,3,COND_MA,0.1,1000.0,0.25171862937605743
BP,155921,3,COND_MA,0.25,1000.0,0.2517757683571583
BP,155921,3,COND_MA,0.5,1000.0,0.2518709201665836
BP,155921,3,COND_MA,1.0,1000.0,0.25206092515121503
BP,155921,3,COND_MA,2.0,1000.0,0.2524397460914696
BP,155921,3,COND_MA,5.0,1000.0,0.25356680834699874
BP,155921,3,COND_MA,20.0,1000.0,0.2590006168020092
BP,155921,3,COND_MA,100.0,1000.0,0.28353463454248556
BP,155921,3,COND_MA,1000.0,1000.0,0.39962858337707136
BP,155921,3,TOPO39,0.0,3.0,0.2238747892113444
BP,155921,3,TOPO39,0.1,0.3,0.21497820873112686
BP,155921,3,TOPO39,0.25,0.3,0.20183392149847876
BP,155921,3,TOPO39,0.5,1.0,0.200231844865448
BP,155921,3,TOPO39,1.0,1.0,0.19872520364803856
BP,155921,3,TOPO39,2.0,1.0,0.19717770078195432
BP,155921,3,TOPO39,5.0,3.0,0.19774817804528763
BP,155921,3,TOPO39,20.0,10.0,0.19772899051229542
BP,155921,3,TOPO39,100.0,30.0,0.19832028570272484
BP,155921,3,TOPO39,1000.0,300.0,0.1983718418166926
BP,155921,4,COND_MA,0.0,0.1,0.3184585724304101
BP,155921,4,COND_MA,0.1,1.0,0.3492252616882602
BP,155921,4,COND_MA,0.25,1000.0,0.3506491619594515
BP,155921,4,COND_MA,0.5,1000.0,0.35070593838476743
BP,155921,4,COND_MA,1.0,1000.0,0.3508192346143172
BP,155921,4,COND_MA,2.0,1000.0,0.35104480674598965
BP,155921,4,COND_MA,5.0,1000.0,0.3517223894820245
BP,155921,4,COND_MA,20.0,1000.0,0.35497277293720597
BP,155921,4,COND_MA,100.0,1000.0,0.3687037805382584
BP,155921,4,COND_MA,1000.0,1000.0,0.4248151447732859
BP,155921,4,TOPO39,0.0,0.3,0.2971103404410868
BP,155921,4,TOPO39,0.1,0.001,0.23026325946403295
