adapter,policy,k,mae,n_ligands
K2_lam16,CENTRAL_THEN_SPREAD,3,0.5899448822671914,140
K3_lam64,CENTRAL_THEN_SPREAD,3,0.5919950307248278,140
K2_lam0p25,CENTRAL_THEN_SPREAD,2,0.5932612297091403,143
K3_lam16,CENTRAL_THEN_SPREAD,2,0.5943440345805673,143
K2_lam4,CENTRAL_THEN_SPREAD,2,0.5952464706937256,143
K2_lam16,CENTRAL_THEN_SPREAD,5,0.5958628254549468,99
K3_lam4,RANDOM,2,0.5983510778120484,143
K2_lam16,RANDOM,5,0.5990448822272986,99
K2_lam64,CENTRAL_THEN_SPREAD,3,0.6025845577658215,140
K2_lam0,CENTRAL_THEN_SPREAD,3,0.602819794963612,140
K2_lam16,RANDOM,3,0.6041355294256496,140
K3_lam64,CENTRAL_THEN_SPREAD,5,0.604361235501578,99
K3_lam64,RANDOM,3,0.6066041775936788,140
K1_lam1,CENTRAL_THEN_SPREAD,3,0.60822639135144,140
K1_lam0,CENTRAL_THEN_SPREAD,3,0.60822639135144,140
K1_lam16,CENTRAL_THEN_SPREAD,3,0.60822639135144,140
K1_lam64,CENTRAL_THEN_SPREAD,3,0.60822639135144,140
K1_lam4,CENTRAL_THEN_SPREAD,3,0.60822639135144,140
K1_lam0p25,CENTRAL_THEN_SPREAD,3,0.60822639135144,140
K3_lam64,RANDOM,5,0.609846150986934,99
K2_lam64,RANDOM,3,0.6127045884664817,140
K2_lam16,CENTRAL_THEN_SPREAD,2,0.6133266587239269,143
K3_lam64,CENTRAL_THEN_SPREAD,2,0.6139459854421495,143
K2_lam1,RANDOM,2,0.6157801600040848,143
K1_lam0,RANDOM,3,0.6162227315031253,140
K1_lam0p25,RANDOM,3,0.6162227315031253,140
K1_lam16,RANDOM,3,0.6162227315031253,140
K1_lam64,RANDOM,3,0.6162227315031253,140
K1_lam1,RANDOM,3,0.6162227315031253,140
K1_lam4,RANDOM,3,0.6162227315031253,140
K2_lam64,CENTRAL_THEN_SPREAD,5,0.6184637343138294,99
K2_lam64,RANDOM,5,0.619136632171712,99
K2_lam64,CENTRAL_THEN_SPREAD,2,0.6206356765447949,143
K3_lam16,RANDOM,2,0.6233048740534892,143
K1_lam1,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143
K1_lam4,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143
K1_lam0p25,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143
K1_lam64,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143
K1_lam0,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143
K1_lam16,CENTRAL_THEN_SPREAD,2,0.6234941062004374,143
K2_lam4,RANDOM,2,0.6252193995990294,143
K1_lam4,RANDOM,5,0.6282295111176981,99
K1_lam0p25,RANDOM,5,0.6282295111176981,99
K1_lam16,RANDOM,5,0.6282295111176981,99
K1_lam64,RANDOM,5,0.6282295111176981,99
K1_lam0,RANDOM,5,0.6282295111176981,99
K1_lam1,RANDOM,5,0.6282295111176981,99
K1_lam4,CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
K1_lam0,CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
K1_lam64,CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
K1_lam0p25,CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
K1_lam16,CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
K1_lam1,CENTRAL_THEN_SPREAD,5,0.6291681975021587,99
K2_lam0p25,RANDOM,2,0.6305894608633748,143
K2_lam16,RANDOM,2,0.634592842430939,143
K3_lam64,RANDOM,2,0.6348267770258259,143
K2_lam64,RANDOM,2,0.6383310143767974,143
K1_lam0,RANDOM,2,0.6398054726822178,143
K1_lam0p25,RANDOM,2,0.6398054726822178,143
K1_lam64,RANDOM,2,0.6398054726822178,143
K1_lam4,RANDOM,2,0.6398054726822178,143
K1_lam16,RANDOM,2,0.6398054726822178,143
K1_lam1,RANDOM,2,0.6398054726822178,143
K3_lam16,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K3_lam4,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K3_lam1,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K3_lam64,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K1_lam0,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K2_lam4,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K2_lam0p25,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K2_lam1,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K1_lam4,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K1_lam16,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K1_lam64,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K1_lam0p25,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K3_lam0p25,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K2_lam64,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K1_lam1,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K2_lam16,CENTRAL_THEN_SPREAD,1,0.648454039599939,143
K2_lam0,RANDOM,3,0.650934265725487,140
K3_lam0,CENTRAL_THEN_SPREAD,1,0.6644457931071396,143
K2_lam0,CENTRAL_THEN_SPREAD,2,0.6654420392225959,143
K2_lam0,CENTRAL_THEN_SPREAD,1,0.6745598671430746,143
NO_MODEL,CENTRAL_THEN_SPREAD,3,0.7172105407461676,140
K3_lam4,RANDOM,1,0.7231899498047505,143
K1_lam4,RANDOM,1,0.7231899498047505,143
K1_lam16,RANDOM,1,0.7231899498047505,143
K3_lam64,RANDOM,1,0.7231899498047505,143
K1_lam64,RANDOM,1,0.7231899498047505,143
K2_lam1,RANDOM,1,0.7231899498047505,143
K2_lam0p25,RANDOM,1,0.7231899498047505,143
K2_lam16,RANDOM,1,0.7231899498047505,143
K2_lam4,RANDOM,1,0.7231899498047505,143
K3_lam1,RANDOM,1,0.7231899498047505,143
K2_lam64,RANDOM,1,0.7231899498047505,143
K1_lam0p25,RANDOM,1,0.7231899498047505,143
K1_lam0,RANDOM,1,0.7231899498047505,143
K3_lam0p25,RANDOM,1,0.7231899498047505,143
K3_lam16,RANDOM,1,0.7231899498047505,143
K1_lam1,RANDOM,1,0.7231899498047505,143
NO_MODEL,CENTRAL_THEN_SPREAD,2,0.7281122188801588,143
NO_MODEL,RANDOM,3,0.7293150496401231,140
K3_lam0,RANDOM,1,0.7403095303066011,143
NO_MODEL,RANDOM,2,0.7538060274474901,143
NO_MODEL,CENTRAL_THEN_SPREAD,1,0.7538848498932323,143
NO_MODEL,CENTRAL_THEN_SPREAD,5,0.7615849126435005,99
K2_lam0,RANDOM,2,0.7622088524823577,143
K2_lam0,RANDOM,1,0.7643476610083755,143
NO_MODEL,RANDOM,5,0.7687039885593794,99
NO_MODEL,RANDOM,1,0.84589642363874,143
ZERO_SHOT,CENTRAL_THEN_SPREAD,1,0.994987794041208,143
ZERO_SHOT,CENTRAL_THEN_SPREAD,2,0.994987794041208,143
ZERO_SHOT,RANDOM,1,0.994987794041208,143
ZERO_SHOT,RANDOM,2,0.994987794041208,143
ZERO_SHOT_REF,NONE,0,0.994987794041208,143
ZERO_SHOT,CENTRAL_THEN_SPREAD,3,0.9989919366193941,140
ZERO_SHOT,RANDOM,3,0.9989919366193941,140
ZERO_SHOT,CENTRAL_THEN_SPREAD,5,1.0605303772612387,99
ZERO_SHOT,RANDOM,5,1.0605303772612387,99
K3_lam0,CENTRAL_THEN_SPREAD,2,1.335949113675062,143
K3_lam0,RANDOM,2,1688744629374.5945,143
K3_lam0,RANDOM,5,114448910101263.98,99
K3_lam0,CENTRAL_THEN_SPREAD,5,246610486589774.6,99
K3_lam0,RANDOM,3,670738960171492.6,140
K3_lam0,CENTRAL_THEN_SPREAD,3,768379917848932.6,140
