arm,macro_mae,sign_acc,cell_spearman,cell_top1,cross_spearman,cross_top1,cross_regret,calib_slope,rep,design
G13_PERM,0.5266150372074798,0.6752913073713993,0.34748943853487047,0.27420024750381894,0.3524030249887267,0.001098901098901099,1.360667092619044,0.8188628202003181,3,A
G14_PERM,0.7293085087650795,0.37731373659857786,-0.10821930166322855,0.31052595882953027,-0.0875514367572842,0.008223007151578579,1.7711342782884685,-0.30409936362556433,4,A
G13_PERM,0.5547817927548901,0.6415538613811411,0.3016743826049747,0.297945374731089,0.30281801880750425,0.0,1.5298849347927839,0.646236106116336,4,A
G14_PERM,0.7293085087650795,0.37731373659857786,-0.10821930166322855,0.31052595882953027,-0.0875514367572842,0.008223007151578579,1.7711342782884685,-0.30409936362556433,4,A
G13_PERM,0.5547817927548901,0.6415538613811411,0.3016743826049747,0.297945374731089,0.30281801880750425,0.0,1.5298849347927839,0.646236106116336,4,A
G14_PERM,0.7244538210945264,0.39878709753772357,-0.06603475909402576,0.33145059636131063,-0.044035577213574775,0.012303767660910517,1.838050606380315,-0.2602767796777708,5,A
G13_PERM,0.564121162574967,0.6355851933698331,0.3060604110780275,0.285034016909017,0.283630258815447,0.001098901098901099,1.4755873388101182,0.5812290555234456,5,A
G14_PERM,0.7244538210945264,0.39878709753772357,-0.06603475909402576,0.33145059636131063,-0.044035577213574775,0.012303767660910517,1.838050606380315,-0.2602767796777708,5,A
G13_PERM,0.564121162574967,0.6355851933698331,0.3060604110780275,0.285034016909017,0.283630258815447,0.001098901098901099,1.4755873388101182,0.5812290555234457,5,A
G14_PERM,0.711011748477618,0.4021859275648486,-0.07308461840761724,0.32984345350416777,-0.03679978669184876,0.007277246562960848,1.8898494654454088,-0.1112217390563588,6,A
G13_PERM,0.543286309845082,0.632040196612708,0.30687578293754153,0.25748118614190046,0.33628969968910927,0.009890109890109891,1.4877853947505209,0.7692838153302736,6,A
G14_PERM,0.711011748477618,0.4021859275648486,-0.07308461840761724,0.32984345350416777,-0.03679978669184876,0.007277246562960848,1.8898494654454088,-0.1112217390563588,6,A
G13_PERM,0.543286309845082,0.632040196612708,0.30687578293754153,0.25748118614190046,0.33628969968910927,0.009890109890109891,1.4877853947505209,0.7692838153302736,6,A
G14_PERM,0.723226800994064,0.3750740818038763,-0.0987513756233471,0.31363974980046405,-0.06612464305366297,0.018550905748707946,1.781085369817783,-0.21110830275954529,7,A
G13_PERM,0.5578393110793227,0.6347262333027734,0.3039819641441544,0.2752781874210446,0.3006414885787792,0.016483516483516484,1.322599335531332,0.7068286946844449,7,A
G14_PERM,0.723226800994064,0.3750740818038763,-0.0987513756233471,0.31363974980046405,-0.06612464305366297,0.018550905748707946,1.781085369817783,-0.21110830275954529,7,A
G13_PERM,0.5578393110793227,0.6347262333027734,0.3039819641441544,0.2752781874210446,0.3006414885787792,0.016483516483516484,1.322599335531332,0.7068286946844449,7,A
G14_PERM,0.6975501863425881,0.42893818007179957,-0.02338971039980625,0.3339274482131625,-0.05179380728469233,0.032354562409507466,1.8130239019471954,-0.02926204391033183,8,A
G13_PERM,0.5247652555427071,0.6855547752085693,0.3611811037926921,0.29966289993075707,0.3501767335283724,0.035164835164835165,1.2286697523218364,0.9290571994364073,8,A
G14_PERM,0.6975501863425881,0.42893818007179957,-0.02338971039980625,0.3339274482131625,-0.05179380728469233,0.032354562409507466,1.8130239019471954,-0.02926204391033183,8,A
G13_PERM,0.5247652555427071,0.6855547752085693,0.3611811037926921,0.29966289993075707,0.3501767335283724,0.035164835164835165,1.2286697523218364,0.9290571994364073,8,A
G14_PERM,0.6892619187202422,0.459616868591591,0.01869982471855077,0.31052617356188783,-0.009956508757163304,0.021931941684688937,1.7032103958772233,-0.09145061345311903,9,A
G13_PERM,0.5561549259247925,0.6509034437267095,0.33506710444753013,0.2832811831026117,0.3198200158969836,0.005494505494505495,1.4492066721659964,0.6753554361982652,9,A
G14_PERM,0.6892619187202422,0.459616868591591,0.01869982471855077,0.31052617356188783,-0.009956508757163304,0.021931941684688937,1.7032103958772233,-0.09145061345311903,9,A
G13_PERM,0.5561549259247925,0.6509034437267095,0.33506710444753013,0.2832811831026117,0.3198200158969836,0.005494505494505495,1.4492066721659964,0.675355436198265,9,A
G14_PERM,0.7217514203384477,0.3861474158552824,-0.10440209138328886,0.3139902789009932,-0.067130737343609,0.011793563579277865,1.9159349145599365,-0.244798894488285,10,A
G13_PERM,0.5447849470842119,0.6479908051984816,0.29833236073175695,0.2855477359941646,0.29820593567719067,0.010989010989010988,1.6062739794015397,0.7721279490947158,10,A
G14_PERM,0.7217514203384477,0.3861474158552824,-0.10440209138328886,0.3139902789009932,-0.067130737343609,0.011793563579277865,1.9159349145599365,-0.244798894488285,10,A
G13_PERM,0.5447849470842119,0.6479908051984816,0.29833236073175695,0.2855477359941646,0.29820593567719067,0.010989010989010988,1.6062739794015397,0.7721279490947158,10,A
G14_PERM,0.7264546744487214,0.37058505398678804,-0.12399855360373421,0.30467128109985253,-0.04476964636119355,0.013417415917415918,1.840755481545909,-0.24560547054917647,11,A
G13_PERM,0.5571806644395165,0.633474129333529,0.2813140823912267,0.2680611286861287,0.27418474105303,0.031868131868131866,1.2655651799012049,0.7731243547864137,11,A
