model,failure_class,n_ligands,macro_mae,mean_mae,span_recovery,slope_abs_error,shape_mae
GEN10_TWO_BRANCH,ALREADY_GOOD,82,0.6040874992676425,0.6054087119505491,0.45758998452297284,1.3268324304969497,0.30655839193629825
GEN10_TWO_BRANCH,PARTIAL_LEVEL,7,1.4322227380283787,1.4322227380283787,0.3818829079772743,1.1881768291427877,0.43519134858355757
GEN10_TWO_BRANCH,PURE_LEVEL,25,1.8801376190096095,1.9122631404932726,0.43233380117978687,1.2279797171307414,0.3199298844962671
GEN10_TWO_BRANCH,RESIDUAL_SHAPE,29,1.2809541650508633,1.2715482897806019,0.3237571102415905,1.5996239381229826,0.597010972723652
GEN10_TWO_BRANCH_INTERACT,ALREADY_GOOD,82,0.5935014963851799,0.5951103144732379,0.4618078575277445,1.352761176451848,0.3160661744084613
GEN10_TWO_BRANCH_INTERACT,PARTIAL_LEVEL,7,1.4336294493505863,1.4336294493505861,0.3573420688918779,1.2667118814721232,0.4643617974891616
GEN10_TWO_BRANCH_INTERACT,PURE_LEVEL,25,1.880018595581226,1.9121194174225387,0.41815721685551055,1.2513049085366093,0.3263790888687438
GEN10_TWO_BRANCH_INTERACT,RESIDUAL_SHAPE,29,1.2784905889911031,1.2691361475871956,0.27457758648730113,1.6358081628521188,0.6068170571129412
GEN9_A0_ROW_ONLY,ALREADY_GOOD,82,0.5606314313207458,0.5654947394751799,0.05877484309478557,2.2241052118792166,0.4584608011839917
GEN9_A0_ROW_ONLY,PARTIAL_LEVEL,7,1.5234241235964965,1.5234241235964965,0.05259481346625,1.905872182687545,0.6578748455670841
GEN9_A0_ROW_ONLY,PURE_LEVEL,25,1.833293474175103,1.8648843422198635,0.05647688891981724,1.9495863256930026,0.4960430168961555
GEN9_A0_ROW_ONLY,RESIDUAL_SHAPE,29,1.3651737006897338,1.3598360569762438,0.06813259156068685,2.2815319122438456,0.7574046521121546
GEN9_A1_ADJ_d05,ALREADY_GOOD,82,0.5677097894511739,0.5720031995514374,0.09920745617647078,2.2723469376042083,0.486724821070287
GEN9_A1_ADJ_d05,PARTIAL_LEVEL,7,1.5248440175812046,1.5248440175812046,0.0837156130167459,1.8804212568191985,0.645793143473375
GEN9_A1_ADJ_d05,PURE_LEVEL,25,1.8309302041330964,1.8586750067183797,0.10463666916409811,1.9507794344750895,0.5616335612462492
GEN9_A1_ADJ_d05,RESIDUAL_SHAPE,29,1.3803680313760611,1.3780133110604464,0.08909504382722899,2.5038814526950395,0.9048294440947311
GEN9_A2_END_d05,ALREADY_GOOD,82,0.6408437952668936,0.6487130369819438,0.14377566690604396,2.500616189634606,0.5398031585509268
GEN9_A2_END_d05,PARTIAL_LEVEL,7,1.523402315671703,1.523402315671703,0.15112645112249956,1.8205577215105588,0.6322043721252192
GEN9_A2_END_d05,PURE_LEVEL,25,1.8833791431950113,1.8882308755849149,0.19717892587861713,2.126030054947989,0.5881118897956229
GEN9_A2_END_d05,RESIDUAL_SHAPE,29,1.5846971270095815,1.6056028644793898,0.14299472843831054,2.6180324107124884,0.9788306749780327
GEN9_A3_RAND_d05,ALREADY_GOOD,82,0.5853522996472368,0.5922026039130975,0.0982956260553097,2.301325696435437,0.4885392220993056
GEN9_A3_RAND_d05,PARTIAL_LEVEL,7,1.544419876647126,1.5444198766471262,0.08922513377903935,1.8958026497585874,0.655221884374232
GEN9_A3_RAND_d05,PURE_LEVEL,25,1.8110921433704255,1.8381679930612187,0.08381838299581489,2.4863717953999798,0.6819757709253083
GEN9_A3_RAND_d05,RESIDUAL_SHAPE,29,1.4343230272133045,1.4462847484581745,0.09275034171056244,2.985210353386765,0.9932335762861904
GEN9_A4_MULTI_d05,ALREADY_GOOD,82,0.5703121327364427,0.5759625250326443,0.09306681159059692,2.2758918803915984,0.47539503105781256
GEN9_A4_MULTI_d05,PARTIAL_LEVEL,7,1.5280454953045484,1.5280454953045486,0.06944564031407627,1.916781833787408,0.6650402623596354
GEN9_A4_MULTI_d05,PURE_LEVEL,25,1.8224344227012699,1.8555809662585405,0.08306584381463464,2.302456211569413,0.6145589800348266
GEN9_A4_MULTI_d05,RESIDUAL_SHAPE,29,1.3919038316959378,1.397460555231587,0.09201547291908829,2.8085312397979907,0.929082415317031
GEN9_REL_MONOLITH,ALREADY_GOOD,82,0.5431553121890406,0.5489155197275467,0.2625691140076219,1.5531702600044421,0.36589255066163423
GEN9_REL_MONOLITH,PARTIAL_LEVEL,7,1.4717551326877838,1.4717551326877838,0.16308858210074167,1.5973521191125661,0.5693402386755194
GEN9_REL_MONOLITH,PURE_LEVEL,25,1.9214752172893057,1.9566112583375876,0.3503452505552652,1.4334131628857345,0.3915203287046213
GEN9_REL_MONOLITH,RESIDUAL_SHAPE,29,1.329098314106526,1.3155859602899123,0.19356589933782126,1.9658244344429232,0.6738314119995115
GEN9_SHAPE_RECOMPOSED,ALREADY_GOOD,82,0.543202455174408,0.5471972717122002,0.5586826446350844,1.1921239610963124,0.29760520196172435
GEN9_SHAPE_RECOMPOSED,PARTIAL_LEVEL,7,1.4409237448647632,1.4409237448647632,0.2767964506721915,1.096519795637302,0.4182423280684314
GEN9_SHAPE_RECOMPOSED,PURE_LEVEL,25,1.8800867028495964,1.9121793518187045,0.6855714389464933,0.9968757357598761,0.31035726773161665
GEN9_SHAPE_RECOMPOSED,RESIDUAL_SHAPE,29,1.2985667415555393,1.2898635653788806,0.48560063681131416,1.61895477831403,0.5942008478831915
GEN9_X_MULTI_d2,ALREADY_GOOD,82,0.739459110772658,0.7547308214407796,0.2579039964296957,3.08438942937547,0.7482709780265602
GEN9_X_MULTI_d2,PARTIAL_LEVEL,7,1.4748174602754065,1.4748174602754067,0.1421785488168641,1.8923754680866973,0.6616301234619664
GEN9_X_MULTI_d2,PURE_LEVEL,25,2.142153382745086,2.1300891296031588,0.3304440884283065,3.104836244642396,0.9473151661265087
GEN9_X_MULTI_d2,RESIDUAL_SHAPE,29,1.737431229261513,1.7545469720366755,0.2743265385997843,4.150190732756839,1.4126446708320886
GEN9_X_MULTI_d8c,ALREADY_GOOD,82,0.922935795442297,0.9255304538662974,0.5460644805822779,2.607275255936029,0.5588854648266486
GEN9_X_MULTI_d8c,PARTIAL_LEVEL,7,1.7159378166514097,1.7159378166514094,0.42156094205357864,1.6257252988546327,0.605006948153019
