design,split_seed,fold,budget,n_train_cells,n_rich_train_cells,flat_fallback
BR,155921,0,16,468,248,0
BR,155921,0,20,472,252,0
BR,155921,0,24,476,256,0
BR,155921,1,6,420,212,0
BR,155921,1,9,437,229,0
BR,155921,1,12,449,236,0
BR,155921,1,16,458,244,0
BR,155921,1,20,464,250,0
BR,155921,1,24,468,254,0
BR,155921,2,6,407,206,0
BR,155921,2,9,420,214,0
BR,155921,2,12,426,220,0
BR,155921,2,16,432,226,0
BR,155921,2,20,436,230,0
BR,155921,2,24,440,234,0
BR,155921,3,6,46,42,0
BR,155921,3,9,58,50,0
BR,155921,3,12,64,54,0
BR,155921,3,16,68,58,0
BR,155921,3,20,72,62,0
BR,155921,3,24,76,66,0
BR,155921,4,6,394,202,0
BR,155921,4,9,407,214,0
BR,155921,4,12,418,221,0
BR,155921,4,16,425,228,0
BR,155921,4,20,429,232,0
BR,155921,4,24,433,236,0
BR,196613,0,6,391,199,0
BR,196613,0,9,403,210,0
BR,196613,0,12,414,217,0
BR,196613,0,16,423,225,0
BR,196613,0,20,427,229,0
BR,196613,0,24,431,233,0
BR,196613,1,6,47,42,0
BR,196613,1,9,56,51,0
BR,196613,1,12,64,57,0
BR,196613,1,16,69,61,0
BR,196613,1,20,73,65,0
BR,196613,1,24,77,69,0
BR,196613,2,6,422,218,0
BR,196613,2,9,444,234,0
BR,196613,2,12,454,240,0
BR,196613,2,16,459,245,0
BR,196613,2,20,463,249,0
BR,196613,2,24,467,253,0
BR,196613,3,6,379,186,0
BR,196613,3,9,390,195,0
BR,196613,3,12,398,201,0
BR,196613,3,16,405,208,0
BR,196613,3,20,409,212,0
BR,196613,3,24,413,216,0
BR,196613,4,6,352,178,0
BR,196613,4,9,360,186,0
BR,196613,4,12,367,191,0
BR,196613,4,16,371,195,0
BR,196613,4,20,375,199,0
BR,196613,4,24,379,203,0
BR,262147,0,6,416,209,0
BR,262147,0,9,428,218,0
BR,262147,0,12,436,224,0
BR,262147,0,16,443,231,0
BR,262147,0,20,447,235,0
BR,262147,0,24,451,239,0
BR,262147,1,6,431,222,0
BR,262147,1,9,451,241,0
BR,262147,1,12,461,248,0
BR,262147,1,16,469,256,0
BR,262147,1,20,473,260,0
BR,262147,1,24,477,264,0
BR,262147,2,6,45,45,0
BR,262147,2,9,55,53,0
BR,262147,2,12,61,59,0
BR,262147,2,16,69,64,0
BR,262147,2,20,73,68,0
BR,262147,2,24,77,72,0
BR,262147,3,6,351,174,0
BR,262147,3,9,362,181,0
BR,262147,3,12,369,187,0
BR,262147,3,16,375,193,0
BR,262147,3,20,379,197,0
BR,262147,3,24,383,201,0
BR,262147,4,6,428,217,0
BR,262147,4,9,447,235,0
BR,262147,4,12,458,242,0
BR,262147,4,16,463,247,0
BR,262147,4,20,467,251,0
BR,262147,4,24,471,255,0
BQ,104729,0,6,37,32,0
BQ,104729,0,9,44,38,0
BQ,104729,0,12,50,44,0
BQ,104729,0,16,55,49,0
BQ,104729,0,20,59,53,0
BQ,104729,0,24,63,57,0
BQ,104729,1,6,436,220,0
BQ,104729,1,9,450,233,0
BQ,104729,1,12,462,240,0
BQ,104729,1,16,468,245,0
BQ,104729,1,20,472,249,0
BQ,104729,1,24,476,253,0
BQ,104729,2,6,424,221,0
BQ,104729,2,9,438,234,0
BQ,104729,2,12,445,241,0
BQ,104729,2,16,452,248,0
BQ,104729,2,20,456,252,0
BQ,104729,2,24,460,256,0
BQ,104729,3,6,388,207,0
BQ,104729,3,9,408,226,0
BQ,104729,3,12,420,235,0
BQ,104729,3,16,431,243,0
BQ,104729,3,20,437,249,0
BQ,104729,3,24,441,253,0
BQ,104729,4,6,328,195,0
BQ,104729,4,9,341,203,0
BQ,104729,4,12,348,209,0
BQ,104729,4,16,355,216,0
BQ,104729,4,20,359,220,0
BQ,104729,4,24,363,224,0
BQ,130363,0,6,411,222,0
BQ,130363,0,9,429,240,0
BQ,130363,0,12,438,246,0
BQ,130363,0,16,444,252,0
BQ,130363,0,20,448,256,0
BQ,130363,0,24,452,260,0
BQ,130363,1,6,347,183,0
BQ,130363,1,9,358,190,0
BQ,130363,1,12,364,196,0
BQ,130363,1,16,370,202,0
BQ,130363,1,20,374,206,0
BQ,130363,1,24,378,210,0
BQ,130363,2,6,393,199,0
BQ,130363,2,9,404,210,0
BQ,130363,2,12,416,216,0
BQ,130363,2,16,424,224,0
BQ,130363,2,20,428,228,0
BQ,130363,2,24,432,232,0
BQ,130363,3,6,53,52,0
BQ,130363,3,9,65,59,0
BQ,130363,3,12,72,65,0
BQ,130363,3,16,77,70,0
BQ,130363,3,20,81,74,0
BQ,130363,3,24,85,78,0
BQ,130363,4,6,435,219,0
BQ,130363,4,9,448,231,0
BQ,130363,4,12,459,237,0
BQ,130363,4,16,467,245,0
BQ,130363,4,20,471,249,0
BQ,130363,4,24,475,253,0
BQ,155921,0,6,442,226,0
BQ,155921,0,9,456,237,0
BQ,155921,0,12,463,243,0
BQ,155921,0,16,468,248,0
BQ,155921,0,20,472,252,0
BQ,155921,0,24,476,256,0
BQ,155921,1,6,420,206,0
BQ,155921,1,9,435,221,0
BQ,155921,1,12,447,228,0
BQ,155921,1,16,456,236,0
BQ,155921,1,20,462,242,0
BQ,155921,1,24,466,246,0
BQ,155921,2,6,407,198,0
BQ,155921,2,9,420,206,0
BQ,155921,2,12,426,212,0
BQ,155921,2,16,432,218,0
BQ,155921,2,20,436,222,0
BQ,155921,2,24,440,226,0
BQ,155921,3,6,44,44,0
BQ,155921,3,9,50,50,0
BQ,155921,3,12,56,54,0
BQ,155921,3,16,60,58,0
BQ,155921,3,20,64,62,0
BQ,155921,3,24,68,66,0
BQ,155921,4,6,387,205,0
BQ,155921,4,9,401,218,0
BQ,155921,4,12,412,225,0
BQ,155921,4,16,420,233,0
BQ,155921,4,20,424,237,0
BQ,155921,4,24,428,241,0
BQ,196613,0,6,383,201,0
BQ,196613,0,9,397,214,0
BQ,196613,0,12,409,221,0
BQ,196613,0,16,418,229,0
BQ,196613,0,20,423,234,0
BQ,196613,0,24,427,238,0
BQ,196613,1,6,44,43,0
BQ,196613,1,9,51,49,0
BQ,196613,1,12,58,54,0
BQ,196613,1,16,62,58,0
BQ,196613,1,20,66,62,0
BQ,196613,1,24,70,66,0
BQ,196613,2,6,425,213,0
BQ,196613,2,9,441,229,0
BQ,196613,2,12,450,235,0
BQ,196613,2,16,455,239,0
BQ,196613,2,20,459,243,0
BQ,196613,2,24,463,247,0
BQ,196613,3,6,374,201,0
BQ,196613,3,9,385,209,0
BQ,196613,3,12,394,215,0
BQ,196613,3,16,402,223,0
BQ,196613,3,20,406,227,0
BQ,196613,3,24,410,231,0
BQ,196613,4,6,337,210,0
BQ,196613,4,9,349,220,0
BQ,196613,4,12,355,226,0
BQ,196613,4,16,361,232,0
BQ,196613,4,20,365,236,0
BQ,196613,4,24,369,240,0
BQ,262147,0,6,416,199,0
BQ,262147,0,9,429,209,0
BQ,262147,0,12,437,215,0
BQ,262147,0,16,444,222,0
BQ,262147,0,20,448,226,0
BQ,262147,0,24,452,230,0
BQ,262147,1,6,430,226,0
BQ,262147,1,9,450,245,0
BQ,262147,1,12,460,252,0
BQ,262147,1,16,468,260,0
BQ,262147,1,20,472,264,0
BQ,262147,1,24,476,268,0
BQ,262147,2,6,41,40,0
BQ,262147,2,9,48,46,0
BQ,262147,2,12,54,52,0
BQ,262147,2,16,60,56,0
BQ,262147,2,20,64,60,0
BQ,262147,2,24,68,64,0
BQ,262147,3,6,347,165,0
BQ,262147,3,9,359,172,0
BQ,262147,3,12,366,178,0
BQ,262147,3,16,372,184,0
BQ,262147,3,20,376,188,0
BQ,262147,3,24,380,192,0
BQ,262147,4,6,422,206,0
BQ,262147,4,9,442,225,0
BQ,262147,4,12,453,232,0
BQ,262147,4,16,460,239,0
BQ,262147,4,20,464,243,0
BQ,262147,4,24,468,247,0
A,104729,0,6,380,206,0
A,104729,0,9,394,216,0
A,104729,0,12,403,222,0
A,104729,0,16,411,230,0
A,104729,0,20,415,234,0
A,104729,0,24,419,238,0
A,104729,1,6,329,172,0
A,104729,1,9,341,184,0
A,104729,1,12,348,190,0
A,104729,1,16,356,198,0
A,104729,1,20,363,202,0
A,104729,1,24,367,206,0
A,104729,2,6,437,221,0
A,104729,2,9,450,233,0
A,104729,2,12,457,240,0
A,104729,2,16,467,245,0
A,104729,2,20,471,249,0
A,104729,2,24,475,253,0
A,104729,3,6,265,158,0
A,104729,3,9,278,170,0
A,104729,3,12,289,178,0
A,104729,3,16,299,185,0
A,104729,3,20,303,189,0
A,104729,3,24,307,193,0
A,104729,4,6,396,185,0
A,104729,4,9,406,193,0
A,104729,4,12,413,199,0
A,104729,4,16,421,207,0
A,104729,4,20,425,211,0
A,104729,4,24,429,215,0
A,130363,0,6,440,224,0
A,130363,0,9,450,234,0
A,130363,0,12,461,240,0
A,130363,0,16,469,248,0
A,130363,0,20,474,252,0
A,130363,0,24,478,256,0
A,130363,1,6,378,196,0
A,130363,1,9,389,206,0
A,130363,1,12,400,213,0
A,130363,1,16,407,220,0
A,130363,1,20,411,224,0
A,130363,1,24,415,228,0
A,130363,2,6,389,189,0
A,130363,2,9,399,199,0
A,130363,2,12,408,205,0
A,130363,2,16,416,213,0
A,130363,2,20,423,217,0
A,130363,2,24,427,221,0
A,130363,3,6,416,210,0
A,130363,3,9,429,222,0
A,130363,3,12,435,228,0
A,130363,3,16,440,233,0
A,130363,3,20,444,237,0
A,130363,3,24,448,241,0
A,130363,4,6,185,124,0
A,130363,4,9,199,137,0
A,130363,4,12,211,144,0
A,130363,4,16,220,152,0
A,130363,4,20,224,156,0
A,130363,4,24,228,160,0
A,155921,0,6,346,187,0
A,155921,0,9,362,203,0
A,155921,0,12,373,211,0
A,155921,0,16,384,219,0
A,155921,0,20,389,224,0
A,155921,0,24,393,228,0
A,155921,1,6,423,208,0
A,155921,1,9,432,215,0
A,155921,1,12,438,221,0
A,155921,1,16,447,226,0
A,155921,1,20,451,230,0
A,155921,1,24,455,234,0
A,155921,2,6,221,128,0
A,155921,2,9,239,145,0
A,155921,2,12,249,152,0
A,155921,2,16,257,160,0
A,155921,2,20,263,166,0
A,155921,2,24,267,170,0
A,155921,3,6,398,210,0
A,155921,3,9,411,222,0
A,155921,3,12,418,229,0
A,155921,3,16,426,234,0
A,155921,3,20,430,238,0
A,155921,3,24,434,242,0
A,155921,4,6,411,200,0
A,155921,4,9,421,210,0
A,155921,4,12,431,216,0
A,155921,4,16,440,223,0
A,155921,4,20,444,227,0
A,155921,4,24,448,231,0
A,196613,0,6,403,200,0
A,196613,0,9,416,209,0
A,196613,0,12,424,215,0
A,196613,0,16,431,222,0
A,196613,0,20,435,226,0
A,196613,0,24,439,230,0
A,196613,1,6,427,212,0
A,196613,1,9,440,224,0
A,196613,1,12,449,231,0
A,196613,1,16,456,237,0
A,196613,1,20,460,241,0
A,196613,1,24,464,245,0
A,196613,2,6,310,179,0
A,196613,2,9,328,196,0
A,196613,2,12,338,203,0
A,196613,2,16,346,211,0
A,196613,2,20,351,216,0
A,196613,2,24,355,220,0
A,196613,3,6,399,189,0
A,196613,3,9,410,197,0
A,196613,3,12,417,203,0
A,196613,3,16,424,210,0
A,196613,3,20,428,214,0
A,196613,3,24,432,218,0
A,196613,4,6,260,154,0
A,196613,4,9,277,171,0
A,196613,4,12,288,179,0
A,196613,4,16,297,187,0
A,196613,4,20,304,192,0
A,196613,4,24,308,196,0
A,262147,0,6,389,198,0
A,262147,0,9,408,216,0
A,262147,0,12,420,223,0
A,262147,0,16,428,231,0
A,262147,0,20,433,235,0
A,262147,0,24,437,239,0
A,262147,1,6,390,202,0
A,262147,1,9,401,210,0
A,262147,1,12,410,216,0
A,262147,1,16,418,224,0
A,262147,1,20,422,228,0
A,262147,1,24,426,232,0
A,262147,2,6,349,180,0
A,262147,2,9,361,191,0
A,262147,2,12,370,198,0
A,262147,2,16,378,203,0
A,262147,2,20,382,207,0
A,262147,2,24,386,211,0
A,262147,3,6,420,211,0
A,262147,3,9,430,221,0
A,262147,3,12,440,227,0
A,262147,3,16,447,234,0
A,262147,3,20,451,238,0
A,262147,3,24,455,242,0
A,262147,4,6,250,142,0
A,262147,4,9,267,158,0
A,262147,4,12,275,165,0
A,262147,4,16,283,173,0
A,262147,4,20,288,178,0
A,262147,4,24,292,182,0
BP,104729,0,6,49,46,0
BP,104729,0,9,56,52,0
BP,104729,0,12,63,57,0
BP,104729,0,16,67,61,0
BP,104729,0,20,71,65,0
BP,104729,0,24,75,66,0
BP,104729,1,6,440,224,0
BP,104729,1,9,453,236,0
BP,104729,1,12,465,242,0
BP,104729,1,16,471,248,0
BP,104729,1,20,475,252,0
BP,104729,1,24,479,256,0
BP,104729,2,6,434,218,0
BP,104729,2,9,447,230,0
BP,104729,2,12,453,236,0
BP,104729,2,16,458,241,0
BP,104729,2,20,462,245,0
BP,104729,2,24,466,249,0
BP,104729,3,6,398,210,0
BP,104729,3,9,416,228,0
BP,104729,3,12,428,235,0
BP,104729,3,16,437,243,0
BP,104729,3,20,443,248,0
BP,104729,3,24,447,252,0
BP,104729,4,6,343,151,0
BP,104729,4,9,349,157,0
BP,104729,4,12,356,162,0
BP,104729,4,16,361,166,0
BP,104729,4,20,365,170,0
BP,104729,4,24,375,172,0
BP,130363,0,6,430,214,0
BP,130363,0,9,443,227,0
BP,130363,0,12,448,231,0
BP,130363,0,16,452,235,0
BP,130363,0,20,456,239,0
BP,130363,0,24,460,243,0
BP,130363,1,6,363,180,0
BP,130363,1,9,371,187,0
BP,130363,1,12,377,193,0
BP,130363,1,16,381,197,0
BP,130363,1,20,385,201,0
BP,130363,1,24,389,205,0
BP,130363,2,6,401,186,0
BP,130363,2,9,412,194,0
BP,130363,2,12,419,200,0
BP,130363,2,16,428,207,0
BP,130363,2,20,432,211,0
BP,130363,2,24,436,215,0
BP,130363,3,6,62,56,0
BP,130363,3,9,74,63,0
BP,130363,3,12,81,69,0
BP,130363,3,16,88,75,0
BP,130363,3,20,92,79,0
BP,130363,3,24,96,82,0
BP,130363,4,6,440,224,0
BP,130363,4,9,456,240,0
BP,130363,4,12,468,246,0
BP,130363,4,16,475,253,0
BP,130363,4,20,479,257,0
BP,130363,4,24,483,261,0
BP,155921,0,6,442,226,0
BP,155921,0,9,455,238,0
BP,155921,0,12,462,244,0
BP,155921,0,16,467,249,0
BP,155921,0,20,471,253,0
BP,155921,0,24,475,257,0
BP,155921,1,6,429,213,0
BP,155921,1,9,445,229,0
BP,155921,1,12,456,236,0
BP,155921,1,16,464,244,0
BP,155921,1,20,470,248,0
BP,155921,1,24,478,251,0
BP,155921,2,6,417,207,0
BP,155921,2,9,429,213,0
BP,155921,2,12,435,219,0
BP,155921,2,16,439,223,0
BP,155921,2,20,443,227,0
BP,155921,2,24,451,230,0
BP,155921,3,6,48,41,0
BP,155921,3,9,59,47,0
BP,155921,3,12,65,53,0
BP,155921,3,16,70,57,0
BP,155921,3,20,74,61,0
BP,155921,3,24,78,65,0
BP,155921,4,6,405,191,0
BP,155921,4,9,415,200,0
BP,155921,4,12,422,206,0
BP,155921,4,16,428,212,0
BP,155921,4,20,432,216,0
BP,155921,4,24,436,220,0
BP,196613,0,6,393,179,0
BP,196613,0,9,404,189,0
BP,196613,0,12,416,195,0
BP,196613,0,16,424,203,0
BP,196613,0,20,428,207,0
BP,196613,0,24,432,211,0
BP,196613,1,6,51,44,0
BP,196613,1,9,63,51,0
BP,196613,1,12,69,57,0
BP,196613,1,16,76,63,0
BP,196613,1,20,80,67,0
BP,196613,1,24,84,70,0
BP,196613,2,6,442,226,0
BP,196613,2,9,456,239,0
BP,196613,2,12,460,243,0
BP,196613,2,16,464,247,0
BP,196613,2,20,468,251,0
BP,196613,2,24,472,255,0
BP,196613,3,6,383,194,0
BP,196613,3,9,393,203,0
BP,196613,3,12,399,209,0
BP,196613,3,16,404,214,0
BP,196613,3,20,408,218,0
BP,196613,3,24,412,222,0
BP,196613,4,6,356,170,0
BP,196613,4,9,362,176,0
BP,196613,4,12,367,181,0
BP,196613,4,16,371,185,0
BP,196613,4,20,375,189,0
BP,196613,4,24,383,192,0
BP,262147,0,6,420,203,0
BP,262147,0,9,433,213,0
BP,262147,0,12,439,219,0
BP,262147,0,16,446,224,0
BP,262147,0,20,450,228,0
BP,262147,0,24,454,232,0
BP,262147,1,6,435,219,0
BP,262147,1,9,455,238,0
BP,262147,1,12,463,245,0
BP,262147,1,16,470,252,0
BP,262147,1,20,474,256,0
BP,262147,1,24,478,260,0
BP,262147,2,6,49,48,0
BP,262147,2,9,61,55,0
BP,262147,2,12,68,61,0
BP,262147,2,16,75,68,0
BP,262147,2,20,79,72,0
BP,262147,2,24,83,75,0
BP,262147,3,6,356,170,0
BP,262147,3,9,368,177,0
BP,262147,3,12,375,183,0
BP,262147,3,16,380,188,0
BP,262147,3,20,384,192,0
BP,262147,3,24,388,196,0
BP,262147,4,6,441,225,0
BP,262147,4,9,455,239,0
BP,262147,4,12,461,244,0
BP,262147,4,16,465,248,0
BP,262147,4,20,469,252,0
BP,262147,4,24,473,256,0
