design,order,budget,n_train_cells,n_rich_train_cells
BQ,MAXMIN,6,17.298,12.876
BQ,MAXMIN,9,23.132,18.454
BQ,MAXMIN,12,28.57,23.5
BQ,MAXMIN,16,39.136,32.818
BQ,MAXMIN,20,56.032,47.642
BQ,MAXMIN,24,81.018,63.986
BQ,RANDOM,6,59.634,34.374
BQ,RANDOM,9,91.332,52.514
BQ,RANDOM,12,121.884,70.214
BQ,RANDOM,16,167.61,95.372
BQ,RANDOM,20,199.172,114.214
BQ,RANDOM,24,243.228,138.974
BQ,UNCERT,6,179.84,90.2
BQ,UNCERT,9,185.84,93.64
BQ,UNCERT,12,209.76,107.52
BQ,UNCERT,16,320.96,161.68
BQ,UNCERT,20,339.2,178.84
BQ,UNCERT,24,355.28,193.8
BR,AOPT,6,297.76,141.56
BR,AOPT,9,302.92,146.68
BR,AOPT,12,316.72,158.92
BR,AOPT,16,338.6,178.04
BR,AOPT,20,354.2,191.24
BR,AOPT,24,364.52,200.92
BR,MAXMIN,6,18.136,13.034
BR,MAXMIN,9,23.506,18.196
BR,MAXMIN,12,28.846,23.138
BR,MAXMIN,16,40.202,33.122
BR,MAXMIN,20,57.46,47.998
BR,MAXMIN,24,77.618,63.51
BR,RANDOM,6,69.702,38.272
BR,RANDOM,9,109.168,59.464
BR,RANDOM,12,141.398,77.564
BR,RANDOM,16,183.304,100.834
BR,RANDOM,20,212.044,118.388
BR,RANDOM,24,256.792,143.108
BR,UNCERT,6,168.48,84.16
BR,UNCERT,9,175.08,88.44
BR,UNCERT,12,184.84,95.64
BR,UNCERT,16,284.08,144.36
BR,UNCERT,20,330.44,172.4
BR,UNCERT,24,357.72,191.4
A,SIZE,6,360.44,187.4
A,SIZE,9,373.52,199.28
A,SIZE,12,382.6,205.92
A,SIZE,16,390.72,213.0
A,SIZE,20,395.36,217.24
A,SIZE,24,399.36,221.24
B,SIZE,6,362.36,189.12
B,SIZE,9,376.6,201.56
B,SIZE,12,386.16,208.0
B,SIZE,16,393.4,215.0
B,SIZE,20,397.6,219.2
B,SIZE,24,401.6,223.2
BP,SIZE,6,337.08,170.6
BP,SIZE,9,349.2,180.84
BP,SIZE,12,356.6,186.64
BP,SIZE,16,362.44,192.12
BP,SIZE,20,366.6,196.16
BP,SIZE,24,371.32,199.72
BQ,SIZE,6,326.84,173.32
BQ,SIZE,9,339.92,184.56
BQ,SIZE,12,348.56,190.84
BQ,SIZE,16,355.24,197.16
BQ,SIZE,20,359.44,201.36
BQ,SIZE,24,363.44,205.36
BR,SIZE,6,330.56,171.4
BR,SIZE,9,343.88,182.84
BR,SIZE,12,352.24,189.0
BR,SIZE,16,358.72,194.88
BR,SIZE,20,362.8,198.96
BR,SIZE,24,366.8,202.96
