design,split_seed,fold,spearman_rank,jaccard_k6,jaccard_k9,jaccard_k12,jaccard_k16,jaccard_k20,jaccard_k24
BR,196613,2,0.6246498599439777,0.2,0.2857142857142857,0.4117647058823529,0.6,0.7391304347826086,0.7142857142857143
BR,196613,3,0.6046122994652408,0.2,0.2857142857142857,0.5,0.6842105263157895,0.6666666666666666,0.6551724137931034
BR,196613,4,0.7348164627363738,0.3333333333333333,0.38461538461538464,0.5,0.6,0.7391304347826086,0.92
BR,262147,0,0.7425997425997427,0.2,0.2857142857142857,0.6,0.6,0.6666666666666666,0.6551724137931034
BR,262147,1,0.6030812324929972,0.2,0.2,0.4117647058823529,0.6,0.6,0.7777777777777778
BR,262147,2,0.5234705228031146,0.09090909090909091,0.2,0.5,0.5238095238095238,0.7391304347826086,0.7777777777777778
BR,262147,3,0.40875668449197866,0.2,0.2,0.2631578947368421,0.45454545454545453,0.5384615384615384,0.7142857142857143
BR,262147,4,0.5459129106187929,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6,0.6551724137931034
BQ,104729,0,0.752005347593583,0.2,0.38461538461538464,0.7142857142857143,0.7777777777777778,0.6666666666666666,0.7777777777777778
BQ,104729,1,0.6436974789915966,0.2,0.2857142857142857,0.5,0.6842105263157895,0.6666666666666666,0.7142857142857143
BQ,104729,2,0.6548262548262549,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.7142857142857143
BQ,104729,3,0.2579150579150579,0.2,0.125,0.2,0.391304347826087,0.42857142857142855,0.5483870967741935
BQ,104729,4,0.4625482625482626,0.09090909090909091,0.2,0.2631578947368421,0.3333333333333333,0.48148148148148145,0.6551724137931034
BQ,130363,0,0.6074646074646075,0.2,0.2857142857142857,0.4117647058823529,0.5238095238095238,0.6666666666666666,0.6551724137931034
BQ,130363,1,0.4965250965250966,0.2,0.2,0.4117647058823529,0.45454545454545453,0.48148148148148145,0.6
BQ,130363,2,0.5627450980392157,0.2,0.2857142857142857,0.4117647058823529,0.45454545454545453,0.6,0.6551724137931034
BQ,130363,3,0.6052807486631016,0.2,0.2,0.4117647058823529,0.6842105263157895,0.6666666666666666,0.7142857142857143
BQ,130363,4,0.44324324324324327,0.09090909090909091,0.125,0.2,0.3333333333333333,0.48148148148148145,0.7142857142857143
BQ,155921,0,0.265546218487395,0.2,0.2857142857142857,0.3333333333333333,0.391304347826087,0.42857142857142855,0.5
BQ,155921,1,0.5915057915057915,0.2,0.2,0.3333333333333333,0.45454545454545453,0.6666666666666666,0.7777777777777778
BQ,155921,2,0.5784313725490197,0.2,0.2857142857142857,0.4117647058823529,0.45454545454545453,0.6,0.7142857142857143
BQ,155921,3,0.5385790679908327,0.09090909090909091,0.125,0.3333333333333333,0.6,0.6,0.7142857142857143
BQ,155921,4,0.6602316602316602,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.7142857142857143
BQ,196613,0,0.49781209781209784,0.2,0.2,0.2631578947368421,0.45454545454545453,0.5384615384615384,0.7142857142857143
BQ,196613,1,0.4385026737967915,0.09090909090909091,0.2,0.3333333333333333,0.45454545454545453,0.5384615384615384,0.7142857142857143
BQ,196613,2,0.6383064516129032,0.2,0.2857142857142857,0.5,0.6842105263157895,0.6666666666666666,0.8461538461538461
BQ,196613,3,0.5199485199485201,0.2,0.2,0.3333333333333333,0.45454545454545453,0.5384615384615384,0.6551724137931034
BQ,196613,4,0.5796653796653798,0.2,0.2857142857142857,0.4117647058823529,0.391304347826087,0.5384615384615384,0.6
BQ,262147,0,0.680952380952381,0.09090909090909091,0.2857142857142857,0.5,0.6,0.6,0.6551724137931034
BQ,262147,1,0.5943371943371945,0.2,0.2,0.4117647058823529,0.6,0.5384615384615384,0.7142857142857143
BQ,262147,2,0.5176470588235295,0.09090909090909091,0.2857142857142857,0.2631578947368421,0.391304347826087,0.48148148148148145,0.6551724137931034
BQ,262147,3,0.38172458172458174,0.2,0.2,0.2631578947368421,0.45454545454545453,0.5384615384615384,0.5483870967741935
BQ,262147,4,0.6056628056628057,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6,0.6551724137931034
A,104729,0,0.45004923952292364,0.2,0.2,0.2631578947368421,0.391304347826087,0.42857142857142855,0.5483870967741935
A,104729,1,0.4158536585365854,0.09090909090909091,0.125,0.14285714285714285,0.3333333333333333,0.42857142857142855,0.5483870967741935
A,104729,2,0.6673779042200094,0.2,0.2857142857142857,0.5,0.6,0.6666666666666666,0.6551724137931034
A,104729,3,0.6139676113360324,0.2,0.2,0.2631578947368421,0.5238095238095238,0.6666666666666666,0.7142857142857143
A,104729,4,0.6764478764478766,0.2,0.38461538461538464,0.4117647058823529,0.6,0.6666666666666666,0.7142857142857143
A,130363,0,0.6308880308880309,0.2,0.2,0.2631578947368421,0.45454545454545453,0.6666666666666666,0.7777777777777778
A,130363,1,0.33909618120144436,0.2,0.125,0.2631578947368421,0.45454545454545453,0.42857142857142855,0.5
A,130363,2,0.5681184668989548,0.09090909090909091,0.125,0.2,0.391304347826087,0.5384615384615384,0.6551724137931034
A,130363,3,0.6761133603238867,0.2,0.2857142857142857,0.4117647058823529,0.6,0.6,0.6
A,130363,4,0.5578473210052157,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6,0.6
A,155921,0,0.5976766239924134,0.2,0.125,0.2631578947368421,0.5238095238095238,0.6666666666666666,0.7142857142857143
A,155921,1,0.4960061275850749,0.09090909090909091,0.2857142857142857,0.4117647058823529,0.45454545454545453,0.48148148148148145,0.6
A,155921,2,0.55140712945591,0.2,0.125,0.2631578947368421,0.391304347826087,0.5384615384615384,0.6551724137931034
A,155921,3,0.3732793522267207,0.09090909090909091,0.2,0.2631578947368421,0.3333333333333333,0.48148148148148145,0.5483870967741935
A,155921,4,0.5969653864390706,0.2,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.6,0.6551724137931034
A,196613,0,0.6249299719887955,0.2,0.2,0.3333333333333333,0.45454545454545453,0.6,0.7142857142857143
A,196613,1,0.5269230769230769,0.09090909090909091,0.058823529411764705,0.2,0.3333333333333333,0.5384615384615384,0.6551724137931034
A,196613,2,0.5801619433198381,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6666666666666666,0.7142857142857143
A,196613,3,0.5891891891891892,0.2,0.2857142857142857,0.3333333333333333,0.6,0.6,0.7142857142857143
A,196613,4,0.5973684210526315,0.2,0.2,0.2631578947368421,0.5238095238095238,0.5384615384615384,0.6551724137931034
A,262147,0,0.6125435540069688,0.2,0.125,0.3333333333333333,0.5238095238095238,0.6,0.7142857142857143
A,262147,1,0.6509803921568628,0.3333333333333333,0.2857142857142857,0.4117647058823529,0.5238095238095238,0.6,0.6551724137931034
A,262147,2,0.4208155523944997,0.09090909090909091,0.125,0.3333333333333333,0.391304347826087,0.5384615384615384,0.6
A,262147,3,0.5406882591093117,0.2,0.2,0.2631578947368421,0.45454545454545453,0.48148148148148145,0.6
A,262147,4,0.617004048582996,0.2,0.125,0.2,0.5238095238095238,0.6,0.7142857142857143
BP,104729,0,0.7546153846153847,0.5,0.6363636363636364,0.6,0.6842105263157895,0.9047619047619048,1.0
BP,104729,1,0.6631231671554252,0.2,0.2857142857142857,0.5,0.6,0.7391304347826086,0.8461538461538461
BP,104729,2,0.7090100111234705,0.2,0.2857142857142857,0.6,0.6,0.7391304347826086,0.92
BP,104729,3,0.30189098998887653,0.2,0.2,0.3333333333333333,0.45454545454545453,0.5384615384615384,0.7777777777777778
BP,104729,4,0.5883962780514504,0.2,0.2,0.3333333333333333,0.6,0.9047619047619048,0.92
BP,130363,0,0.5440613026819923,0.2,0.2,0.4117647058823529,0.5238095238095238,0.7391304347826086,1.0
BP,130363,1,0.6119321291735085,0.2,0.38461538461538464,0.5,0.6,0.7391304347826086,1.0
BP,130363,2,0.7068548387096775,0.3333333333333333,0.38461538461538464,0.6,0.6842105263157895,0.7391304347826086,0.7777777777777778
BP,130363,3,0.6184615384615384,0.2,0.38461538461538464,0.6,0.6842105263157895,0.7391304347826086,1.0
BP,130363,4,0.4916256157635467,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6666666666666666,0.92
BP,155921,0,0.20592020592020593,0.2,0.125,0.3333333333333333,0.391304347826087,0.42857142857142855,0.5
BP,155921,1,0.782703886152162,0.2,0.38461538461538464,0.6,0.7777777777777778,0.9047619047619048,0.92
BP,155921,2,0.6305418719211823,0.3333333333333333,0.38461538461538464,0.4117647058823529,0.6,0.8181818181818182,0.92
BP,155921,3,0.6628352490421456,0.2,0.2857142857142857,0.4117647058823529,0.6842105263157895,0.7391304347826086,1.0
BP,155921,4,0.6969966629588431,0.2,0.2857142857142857,0.6,0.6,0.7391304347826086,0.92
BP,196613,0,0.7717741935483872,0.2,0.2857142857142857,0.5,0.6842105263157895,0.8181818181818182,0.8461538461538461
BP,196613,1,0.42153846153846153,0.2,0.2857142857142857,0.5,0.6,0.7391304347826086,1.0
BP,196613,2,0.6422691879866518,0.2,0.2857142857142857,0.5,0.6,0.6666666666666666,0.8461538461538461
BP,196613,3,0.7290322580645162,0.2,0.38461538461538464,0.6,0.6,0.6666666666666666,0.92
BP,196613,4,0.5648604269293924,0.2,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.7391304347826086,0.92
BP,262147,0,0.7760695187165776,0.2,0.38461538461538464,0.7142857142857143,0.6842105263157895,0.7391304347826086,0.7142857142857143
BP,262147,1,0.5889992360580596,0.2,0.2,0.3333333333333333,0.6,0.5384615384615384,0.7777777777777778
BP,262147,2,0.6827350427350427,0.3333333333333333,0.38461538461538464,0.7142857142857143,0.6842105263157895,0.7391304347826086,1.0
BP,262147,3,0.3765736179529283,0.2,0.2,0.3333333333333333,0.5238095238095238,0.6666666666666666,0.92
BP,262147,4,0.6153225806451614,0.2,0.2,0.4117647058823529,0.5238095238095238,0.7391304347826086,0.92
