A,B,dZ,n_cells,n_extractants,var_total,var_within_ext,var_between_ext,mean_abs_y
Sm,Er,6,176,65,0.42888326103948116,0.13276520345799261,0.3186067272238471,0.6932092172857093
Tb,Lu,6,155,54,0.20785090210988647,0.0891261176776671,0.13182438386813083,0.4363235667227102
Ce,Tb,7,128,53,1.1642129314519531,0.514499810295898,0.7100804422154654,1.169696816004961
Eu,Yb,7,121,51,0.394056443977631,0.12069455696067666,0.30308602622832753,0.701874938889943
Gd,Lu,7,171,60,0.3274604577665904,0.12352056192039221,0.22631442862456036,0.6427451816437255
La,Gd,7,157,68,1.1530715446645199,0.526967139013483,0.6862323952029534,1.1028818676600742
Nd,Ho,7,144,52,0.9031761904197203,0.24584083369795226,0.722605683622392,1.0173056940559069
Pr,Dy,7,122,60,1.085254556428929,0.25150656283997164,0.8824052108804264,1.0302363986131065
Sm,Tm,7,102,48,0.5454050657698761,0.18789612636310588,0.40464261632262666,0.7950368402854779
Ce,Dy,8,133,55,1.3093981889292994,0.5457370772433506,0.834484904566072,1.28729441252549
Eu,Lu,8,133,55,0.36466070546200857,0.14179562733122625,0.24779096337327514,0.6851299940130046
La,Tb,8,131,58,1.5841288087675238,0.5783077747202707,1.0968962736824233,1.332523269417255
Nd,Er,8,173,65,0.8624181425309768,0.2649254329003676,0.6435135756395108,0.9995120372193311
Pr,Ho,8,111,52,1.351343121918736,0.2944089021423438,1.1362182447147164,1.2292181270157303
Sm,Yb,8,127,51,0.5492003714530632,0.18188638055096382,0.4050832861761126,0.8643649993053041
Ce,Ho,9,121,52,1.6027576537756236,0.586204883882351,1.1195650954831853,1.406759246355363
La,Dy,9,151,68,1.5605738158626703,0.6579955420905167,0.970168844957255,1.3275336882114812
Nd,Tm,9,101,48,1.141823399770176,0.3583526851731802,0.887113701505567,1.1439969712534428
Pr,Er,9,115,60,1.5105992251024551,0.32651501237577163,1.254513013483661,1.1993644272621091
Sm,Lu,9,133,56,0.5483643804247242,0.1878878356861787,0.39902435179255397,0.8571724960870319
Ce,Er,10,127,55,1.6895406394834167,0.5792358316149353,1.2187609778784085,1.439041838011446
La,Ho,10,131,52,2.01839783672247,0.6963110273965611,1.469848437316897,1.675907117589388
Nd,Yb,10,129,51,1.0490532802993757,0.27938863228972577,0.8484912984333918,1.2421560191947434
Pr,Tm,10,87,48,1.5568139580880997,0.44122852389947215,1.192060870979622,1.1802707610318202
Ce,Tm,11,101,48,1.8136470885229137,0.6266733738781716,1.3439949011111987,1.4062481478253992
La,Er,11,149,69,1.9786963695468924,0.7271071217626146,1.352280553265012,1.5034249965512676
Nd,Lu,11,136,56,1.0347158085487922,0.2908838794479294,0.8211131684879653,1.2019825711717707
Pr,Yb,11,104,50,1.5760521132938905,0.3381702470671643,1.324694360741328,1.316804418679048
Ce,Yb,12,117,50,1.783441739596301,0.6287274938375038,1.2847828941989172,1.461951062924047
La,Tm,12,98,48,2.2902483690367132,0.7130338904700454,1.7709663162360911,1.5724842813614133
Pr,Lu,12,104,48,1.6327658801553742,0.3193822603736813,1.4114130552870683,1.3861438516459579
Ce,Lu,13,118,48,1.8217276746852198,0.5844196435216781,1.385423737083849,1.5274015639163139
La,Yb,13,120,52,2.2576419313498373,0.6739945733889926,1.744944774049449,1.653699909277442
La,Lu,14,138,56,2.041005808515299,0.6058246192063396,1.5786325090222935,1.6378839472518407
