regime,family,alone_arm,alone_mae,reference_arm,reference_mae,with_family_arm,with_family_mae,gain,ci95_low,ci95_high,seeds_pos,seeds_total
unseen_ligand,all2d,,,MC,0.9588966183912249,MC_all2d,0.8748221019323988,0.08407451645882602,-0.011181595344054902,0.18515666702001454,5.0,5
unseen_ligand,all3d,,,MC,0.9588966183912249,MC_all3d,,,,,,5
unseen_ligand,everything,,,MC,0.9588966183912249,MC_everything,0.8851707478752564,0.07372587051596846,-0.021771273946520477,0.17521256248779699,5.0,5
unseen_ligand,all3d vs all2d,,,MC_all2d,0.8748221019323988,MC_all3d,,,,,,5
unseen_ligand,everything vs all2d,,,MC_all2d,0.8748221019323988,MC_everything,0.8851707478752564,-0.01034864594285756,-0.03781053605494238,0.019615534694138646,1.0,5
unseen_series,physchem,A_physchem,,MC,0.9236174889802239,MC_physchem,,,,,,5
unseen_series,ecfp,A_ecfp,,MC,0.9236174889802239,MC_ecfp,0.839377180188564,0.08424030879165989,-0.019984600190872375,0.18634305742177118,5.0,5
unseen_series,lig2d_ext,A_lig2d_ext,,MC,0.9236174889802239,MC_lig2d_ext,0.8217837237811478,0.10183376519907605,-0.010531699071913782,0.21102936009512444,5.0,5
unseen_series,donors,A_donors,,MC,0.9236174889802239,MC_donors,,,,,,5
unseen_series,complex_phys,A_complex_phys,,MC,0.9236174889802239,MC_complex_phys,,,,,,5
unseen_series,polyhedron,A_polyhedron,,MC,0.9236174889802239,MC_polyhedron,,,,,,5
unseen_series,cond (added to metal),A_cond,0.9885155000949322,A_metal,1.2999334649883025,MC,0.9236174889802239,0.37631597600807865,0.22961010229195866,0.5259462157811688,5.0,5
unseen_series,massaction (log-conc law),,,MC,0.9236174889802239,MC_massaction,0.8796399391966692,0.043977549783554726,-0.003488325099168936,0.09224543471506534,5.0,5
unseen_series,massaction on ecfp,,,MC_ecfp,0.839377180188564,MC_ecfp_massaction,0.802690582742396,0.03668659744616798,0.01666467762882358,0.0566247094418786,5.0,5
unseen_series,massaction on lig2d_ext,,,MC_lig2d_ext,0.8217837237811478,MC_lig2d_ext_massaction,0.7939476913528839,0.027836032428263935,0.00996965504158074,0.04674534616595464,5.0,5
unseen_series,massaction on all2d,,,MC_all2d,0.8365978826948712,MC_all2d_massaction,0.806689207478159,0.029908675216712255,0.011370672860549892,0.05038407747412626,5.0,5
unseen_series,all2d,,,MC,0.9236174889802239,MC_all2d,0.8365978826948712,0.08701960628535266,-0.01701154314326564,0.18821048940595855,4.0,5
unseen_series,all3d,,,MC,0.9236174889802239,MC_all3d,,,,,,5
unseen_series,everything,,,MC,0.9236174889802239,MC_everything,0.8200474610881721,0.10357002789205183,-0.005362322222818949,0.2088651173851079,5.0,5
unseen_series,all3d vs all2d,,,MC_all2d,0.8365978826948712,MC_all3d,,,,,,5
unseen_series,everything vs all2d,,,MC_all2d,0.8365978826948712,MC_everything,0.8200474610881721,0.016550421606699173,-0.014323285044561087,0.04990305695210406,5.0,5
