adapter,k,n_ligands,mae,baseline_mae,delta,ci_low,ci_high,win_rate,beats_baseline,baseline
CNP_ligand,1,143,1.0136975854391872,0.7123587784068167,0.3013388070323703,0.22741954497191344,0.3793088094380555,0.22377622377622378,False,OFFSET_K1
CNP_ligand_recovered,1,143,1.1392264790053526,0.7123587784068167,0.4268677005985355,0.34578905078786065,0.5154253468312353,0.16783216783216784,False,OFFSET_K1
OFFSET_K3,2,143,0.5798185590853117,0.6240939133523614,-0.044275354267049594,-0.0539066376254248,-0.035701586780444966,0.8461538461538461,True,OFFSET_K1
OFFSET_K2,2,143,0.6067309846339669,0.6240939133523614,-0.017362928718394465,-0.024330114593955766,-0.011394904151130304,0.4825174825174825,True,OFFSET_K1
CNPRES_shrinkage,2,143,0.6208426520794923,0.6240939133523614,-0.003251261272869186,-0.00754678835701854,0.0013881788048281812,0.7062937062937062,False,OFFSET_K1
OFFSET_K1,2,143,0.6240939133523614,0.6240939133523614,0.0,0.0,0.0,0.0,False,OFFSET_K1
CNPRES_conditions_only,2,143,0.6266507342629576,0.6240939133523614,0.0025568209105962564,-0.015160843933757157,0.02143286002184337,0.5734265734265734,False,OFFSET_K1
CNPRES_absolute_x,2,143,0.6286159494807363,0.6240939133523614,0.004522036128374873,0.0003258461472496898,0.010236418434192414,0.5174825174825175,False,OFFSET_K1
CNPRES_ligand_recovered,2,143,0.6295164651347762,0.6240939133523614,0.005422551782414847,-0.00032979525462099066,0.011894769699252825,0.44755244755244755,False,OFFSET_K1
CNPRES_ligand,2,143,0.6520380018638098,0.6240939133523614,0.027944088511448476,0.014696807785399398,0.0426587646342904,0.38461538461538464,False,OFFSET_K1
CNPRES_attentive,2,143,0.6593743336400759,0.6240939133523614,0.03528042028771454,0.018348964997232275,0.05241131102541657,0.44755244755244755,False,OFFSET_K1
NEAREST_OBSERVED,2,143,0.661179779309456,0.6240939133523614,0.037085865957094746,-0.005354943526062418,0.07742132626436668,0.44755244755244755,False,OFFSET_K1
NO_MODEL,2,143,0.7409261436338421,0.6240939133523614,0.11683223028148074,0.07193389959465413,0.162553761256573,0.3356643356643357,False,OFFSET_K1
CNP_conditions_only,2,143,0.840246450973172,0.6240939133523614,0.21615253762081074,0.1644038268353622,0.26594456817359396,0.22377622377622378,False,OFFSET_K1
ZERO_SHOT,2,143,0.9953088082511604,0.6240939133523614,0.3712148948987989,0.26674551157501564,0.48053937134795394,0.3146853146853147,False,OFFSET_K1
CNP_ligand,2,143,0.998283993265881,0.6240939133523614,0.3741900799135199,0.30564847049351,0.44774208313446806,0.15384615384615385,False,OFFSET_K1
CNP_ligand_recovered,2,143,1.1321745474829155,0.6240939133523614,0.5080806341305539,0.4283346280782689,0.5917968543524842,0.11888111888111888,False,OFFSET_K1
