sigma_mode,coef,weighting,band,var_observed,var_sampling,var_true,reliability,n
resid_cell,b,chemotype_balanced,all,0.07080770472116182,0.004635947563324633,0.06617175715783719,0.9345276395897759,521
resid_cell,b,unweighted,2-2,0.029093472900773194,0.006816451539143634,0.02227702136162956,0.765705126974976,138
resid_cell,b,unweighted,3-4,0.06396403306831332,0.008356880508582451,0.055607152559730866,0.8693503191135972,94
resid_cell,b,unweighted,5-8,0.047169164201230296,0.005178288542121365,0.04199087565910893,0.890218776825681,158
resid_cell,b,unweighted,9-13,0.017094223015325538,0.004691887978393601,0.012402335036931937,0.7255278596642172,53
resid_cell,b,unweighted,14-14,0.030448644033176955,0.0021570590074011767,0.02829158502577578,0.92915746904687,78
inter_0.334,a,unweighted,all,0.1087787795571716,0.012427297342587454,0.09635148221458416,0.885756234872483,521
inter_0.334,a,chemotype_balanced,all,0.17894287816449211,0.010993868231673892,0.16794900993281822,0.9385621358925061,521
inter_0.334,a,unweighted,2-2,0.045773953630525055,0.015375893790836282,0.030398059839688775,0.6640907640413514,138
inter_0.334,a,unweighted,3-4,0.05846390636403951,0.014223485971682959,0.04424042039235655,0.7567133834144264,94
inter_0.334,a,unweighted,5-8,0.04335837450036613,0.011648276723591273,0.03171009777677486,0.7313488603339382,158
inter_0.334,a,unweighted,9-13,0.1594728293684525,0.010067494155092685,0.1494053352133598,0.9368701602965084,53
inter_0.334,a,unweighted,14-14,0.24513476399501677,0.008227384339322115,0.23690737965569467,0.966437300833066,78
inter_0.334,b,unweighted,all,0.04019544163354784,0.015186011368584254,0.025009430264963585,0.6221956831067696,521
inter_0.334,b,chemotype_balanced,all,0.07080770472116182,0.012425625316342257,0.05838207940481957,0.8245159144012093,521
inter_0.334,b,unweighted,2-2,0.029093472900773194,0.01881249895701356,0.010280973943759635,0.35337733583144715,138
inter_0.334,b,unweighted,3-4,0.06396403306831332,0.023063877876750134,0.04090015519156318,0.6394242706347486,94
inter_0.334,b,unweighted,5-8,0.047169164201230296,0.01265469886361175,0.034514465337618545,0.7317167035306154,158
inter_0.334,b,unweighted,9-13,0.017094223015325538,0.009545894368044313,0.007548328647281225,0.44157190651566314,53
inter_0.334,b,unweighted,14-14,0.030448644033176955,0.008235996469141136,0.02221264756403582,0.7295118803922052,78
rep_cell,a,unweighted,all,0.1087787795571716,0.06197055728457607,0.04680822227259554,0.4303065585323489,521
rep_cell,a,chemotype_balanced,all,0.17894287816449211,0.05388781709571143,0.12505506106878067,0.6988546420597115,521
rep_cell,a,unweighted,2-2,0.045773953630525055,0.07880748415888887,0.0,0.0,138
rep_cell,a,unweighted,3-4,0.05846390636403951,0.07288055336308256,0.0,0.0,94
rep_cell,a,unweighted,5-8,0.04335837450036613,0.054168278973836304,0.0,0.0,158
rep_cell,a,unweighted,9-13,0.1594728293684525,0.052082002953702446,0.10739082641475006,0.6734114321545643,53
rep_cell,a,unweighted,14-14,0.24513476399501677,0.04155796513840181,0.20357679885661495,0.8304689042830065,78
rep_cell,b,unweighted,all,0.04019544163354784,0.07614846090701392,0.0,0.0,521
rep_cell,b,chemotype_balanced,all,0.07080770472116182,0.061521123533983604,0.00928658118717822,0.13115212848302937,521
rep_cell,b,unweighted,2-2,0.029093472900773194,0.09660841101832185,0.0,0.0,138
rep_cell,b,unweighted,3-4,0.06396403306831332,0.11707716926498904,0.0,0.0,94
rep_cell,b,unweighted,5-8,0.047169164201230296,0.059803213895510104,0.0,0.0,158
rep_cell,b,unweighted,9-13,0.017094223015325538,0.049383619301206154,0.0,0.0,53
rep_cell,b,unweighted,14-14,0.030448644033176955,0.04192171644438909,0.0,0.0,78
