kappa,model,set,n,rho_slope_vs_a,p,rho_slope_vs_injected,recovery_coef,slope_sd,rms_median
0.25,ELEM,S8,62,0.39331671325325473,0.0015643992524086668,0.39331671325325473,2.081597167398532,1.7276519355116136,1.0099392237836304
0.25,ELEM,S14,39,0.511336032388664,0.0008785387181574173,0.511336032388664,2.3112800869053585,1.325207639796645,0.9606250909184423
0.25,SPECIES,S8,62,0.25113948276296244,0.04896336571066548,0.25113948276296244,0.17324007575710182,0.2771692247806072,0.5747518633032902
0.25,SPECIES,S14,39,0.22064777327935223,0.17707444759711086,0.22064777327935223,0.153895648284695,0.29692541884134066,0.6432714883441616
0.25,SPECIES_CONST,S8,19,0.45964912280701753,0.04770770316578596,0.45964912280701753,0.7476336149030254,0.3504673247147929,0.45952270089694514
0.25,SPECIES_CONST,S14,11,0.39090909090909093,0.23454006709519437,0.39090909090909093,0.8602364132374983,0.36218542073472026,0.5589715752084925
0.5,NAIVE,S8,62,0.4009720228652011,0.0012392783321077529,0.4009720228652011,670.0645784169386,818.7557096704949,387.22640736594786
0.5,NAIVE,S14,39,0.6674089068825911,3.4729019661917297e-06,0.6674089068825911,995.9334245079935,727.3012999927614,387.0531534778458
0.5,ELEM,S8,62,0.46463196595401773,0.0001421689265679747,0.46463196595401773,1.4438428440778495,1.8323932143745123,1.012719436860837
0.5,ELEM,S14,39,0.61417004048583,3.2001780562398375e-05,0.61417004048583,1.5345613690012292,1.4267097654779313,1.0063067783255752
0.5,SPECIES,S8,62,0.44569514744025585,0.00028313500772261563,0.44569514744025585,0.2706881784699892,0.34920980256526746,0.6050993626773233
0.5,SPECIES,S14,39,0.39736842105263165,0.012247714067219672,0.39736842105263165,0.2703295742747854,0.36248686774153255,0.6237671367428795
0.5,SPECIES_CONST,S8,19,0.763157894736842,0.00014417907328042527,0.763157894736842,0.7637483011295951,0.49157848423502415,0.4441209360780035
0.5,SPECIES_CONST,S14,11,0.6818181818181819,0.020842853610945084,0.6818181818181819,0.9926483541570932,0.4782804842252696,0.5610339590474716
1.0,NAIVE,S8,62,0.4073682355014983,0.0010157375460128034,0.4073682355014983,335.53016603826853,818.9869117693186,387.2208802050061
1.0,NAIVE,S14,39,0.6736842105263158,2.5952181303349736e-06,0.6736842105263158,498.466712253997,727.6823982534206,387.0616208335853
1.0,ELEM,S8,62,0.5934627685024301,3.705600955025931e-07,0.5934627685024301,1.1249656824376362,2.1021892187677462,1.0481930996280935
1.0,ELEM,S14,39,0.7718623481781377,8.763872145034516e-09,0.7718623481781377,1.1462020100826413,1.6885250046868798,0.9618937372625742
1.0,SPECIES,S8,62,0.6846213895394223,8.472736946055735e-10,0.6846213895394223,0.319412229822939,0.5550965163458776,0.6689301517433414
1.0,SPECIES,S14,39,0.6716599190283401,2.8530860069168294e-06,0.6716599190283401,0.3285465372653952,0.5649291142750871,0.6884112501908183
1.0,SPECIES_CONST,S8,19,0.8947368421052632,2.3529618994110394e-07,0.8947368421052632,0.7718056442430515,0.8408010915409185,0.45174125492573003
1.0,SPECIES_CONST,S14,11,0.8272727272727273,0.0016769738964523809,0.8272727272727273,1.0588543246167466,0.7947928669885745,0.5519633015197138
2.0,NAIVE,S8,62,0.4099871572108484,0.000935225999168184,0.4099871572108484,168.26295984893358,819.450155378542,387.209828493529
2.0,NAIVE,S14,39,0.6789473684210527,2.021665197903111e-06,0.6789473684210527,249.7333561269985,728.4451425266313,387.07855783745345
2.0,ELEM,S8,62,0.7750245523910252,1.4367520890727572e-13,0.7750245523910252,0.9655271015822413,2.793803460080522,1.0679843626310679
2.0,ELEM,S14,39,0.8795546558704453,1.7063629721630114e-13,0.8795546558704453,0.9520223305672827,2.34738334736577,0.9351794436871472
2.0,SPECIES,S8,62,0.7723049029236232,1.9742815376719542e-13,0.7723049029236232,0.34377425549864205,1.0316212597774554,0.8867445868635904
2.0,SPECIES,S14,39,0.732591093117409,1.1468821279737675e-07,0.732591093117409,0.35765501875980416,1.0487028911613907,0.9655797070030823
2.0,SPECIES_CONST,S8,19,0.9649122807017543,2.6387737136486e-11,0.9649122807017543,0.7758343157999998,1.5962933339513368,0.5825918857404059
2.0,SPECIES_CONST,S14,11,0.9818181818181818,8.403066433955256e-08,0.9818181818181818,1.0919573098464879,1.5062420255666884,0.5825918857404059
5.0,NAIVE,S8,62,0.4129586260733802,0.000850887678609266,0.4129586260733802,67.90263613533266,820.846584419127,387.2030752810365
5.0,NAIVE,S14,39,0.6803643724696357,1.888561085283632e-06,0.6803643724696357,100.49334245079937,730.7377367663149,387.09235299877434
5.0,ELEM,S8,62,0.9005817028027499,2.2156459118029503e-23,0.9005817028027499,0.8698639530837268,5.297952882507215,1.1390047415525586
5.0,ELEM,S14,39,0.9512145748987855,1.7356903926769724e-20,0.9512145748987855,0.8355145228813586,4.659438202767318,1.0342914767317943
5.0,SPECIES,S8,62,0.8488076351640604,2.966302152877183e-18,0.8488076351640604,0.3583914709050094,2.5303163866277147,1.6737227158844765
5.0,SPECIES,S14,39,0.8394736842105263,2.430980007227101e-11,0.8394736842105263,0.3751201076575416,2.585105085588553,1.8184435799132823
5.0,SPECIES_CONST,S8,19,0.9824561403508772,7.735589908885853e-14,0.9824561403508772,0.7782515187335686,3.9187580373535096,0.8695752026701186
5.0,SPECIES_CONST,S14,11,1.0,0.0,1.0,1.111819100984573,3.718794439362265,0.8695752026701186
