# regime: cohort=Pr/Nd case: literature placeholder entries PC88A and Cyanex 272 (no corpus rows), feed_status assumed (U1); holdout=none (computed regimes, consistency checks are not validation); averaging_unit=draw (parameter draw, seed 18); status_of_parameters=PLACEHOLDER_PARAMETERS (assumed with ranges, --allow-placeholders), feed_status assumed, spec_status assumed
draw,log_k_Nd,sf_nd_pr,sf_mode,log_k_Pr,log_k_Pr_clipped,a_dimer,b_proton
17,-2.9210335239237786,1.2,"assumed sweep, assigned in turn",-3.0002147699714032,False,2.3403127631976095,2.348103144306326
18,-3.774732916356795,1.3,"assumed sweep, assigned in turn",-3.888676268663632,False,2.240648152081251,2.9414348490092843
19,-2.5237488993137562,1.4,"assumed sweep, assigned in turn",-2.6698769349919944,False,2.9324555355719037,2.7200590122145583
20,-3.1317295861466543,1.1,"assumed sweep, assigned in turn",-3.1731222713048792,False,2.5742745762910664,2.409380720007129
21,-3.036309186458265,1.2,"assumed sweep, assigned in turn",-3.1154904325058896,False,2.5323458305074227,2.7526260648692316
22,-2.9586164582378833,1.3,"assumed sweep, assigned in turn",-3.0725598105447203,False,2.6182246440119123,2.4871875004302404
23,-2.9755049647453102,1.4,"assumed sweep, assigned in turn",-3.1216330004235484,False,2.7535909427646037,2.7103439013951713
24,-4.173509939002984,1.1,"assumed sweep, assigned in turn",-4.214902624161209,False,2.252348095134524,2.671911672795634
25,-3.060782001058109,1.2,"assumed sweep, assigned in turn",-3.1399632471057335,False,2.5918765442588683,2.663239640321514
26,-2.5615570815444304,1.3,"assumed sweep, assigned in turn",-2.6755004338512673,False,2.071758637714317,2.5104667796946263
27,-3.8026399369305453,1.4,"assumed sweep, assigned in turn",-3.9487679726087834,False,2.019791839608263,2.6799237796337048
28,-4.398773649666275,1.1,"assumed sweep, assigned in turn",-4.4401663348245,False,2.039268202192898,2.260458263223
29,-4.326217584609079,1.2,"assumed sweep, assigned in turn",-4.405398830656704,False,2.730739111770763,2.005253335199612
30,-3.1380533186536503,1.3,"assumed sweep, assigned in turn",-3.2519966709604873,False,2.335881795024125,2.981900325480837
31,-3.2878606317128876,1.4,"assumed sweep, assigned in turn",-3.4339886673911257,False,2.6679320379514433,2.8595881219350545
32,-4.030935396265768,1.1,"assumed sweep, assigned in turn",-4.0723280814239935,False,2.2395418593907186,2.8039910048320533
33,-2.4032238509029735,1.2,"assumed sweep, assigned in turn",-2.482405096950598,False,2.5004926646171324,2.3213677566333106
34,-2.427655948628544,1.3,"assumed sweep, assigned in turn",-2.541599300935381,False,2.1295092045092248,2.1019162763834527
35,-2.911747223746323,1.4,"assumed sweep, assigned in turn",-3.057875259424561,False,2.6525713450100357,2.3750567412405097
36,-3.792088914697248,1.1,"assumed sweep, assigned in turn",-3.8334815998554728,False,2.5167248597229066,2.8924116878240267
37,-3.882346928772694,1.2,"assumed sweep, assigned in turn",-3.9615281748203186,False,2.539082220743344,2.0892852287873853
38,-3.1355976107032015,1.3,"assumed sweep, assigned in turn",-3.2495409630100385,False,2.404282611850008,2.203377053544279
39,-2.7448289397421703,1.4,"assumed sweep, assigned in turn",-2.8909569754204085,False,2.040254692285008,2.9810704568281743
40,-3.399480533298481,1.1,"assumed sweep, assigned in turn",-3.440873218456706,False,2.850775516407994,2.790992842071831
41,-3.0909897609059356,1.2,"assumed sweep, assigned in turn",-3.1701710069535602,False,2.7917452905263844,2.271725448438926
42,-4.194203027515498,1.3,"assumed sweep, assigned in turn",-4.308146379822335,False,2.055946666703715,2.041246583569699
43,-4.333452490964932,1.4,"assumed sweep, assigned in turn",-4.47958052664317,False,2.4096121781105335,2.9893908889393934
44,-3.1374555111769067,1.1,"assumed sweep, assigned in turn",-3.1788481963351316,False,2.2289194122746467,2.530247539782771
45,-2.430987842711536,1.2,"assumed sweep, assigned in turn",-2.510169088759161,False,2.132956207687423,2.322914755934544
46,-4.259857442511715,1.3,"assumed sweep, assigned in turn",-4.3738007948185516,False,2.152958192366004,2.241869118992556
47,-4.130787044533104,1.4,"assumed sweep, assigned in turn",-4.276915080211342,False,2.908301618032068,2.664203263323687
48,-3.4448820474592674,1.1,"assumed sweep, assigned in turn",-3.4862747326174923,False,2.4512997205613156,2.5798051792464927
49,-4.406448705344847,1.2,"assumed sweep, assigned in turn",-4.485629951392472,False,2.4465494110882946,2.132445609071133
50,-2.41049911889146,1.3,"assumed sweep, assigned in turn",-2.524442471198297,False,2.012083668474914,2.2885993770267734
51,-3.539417857067488,1.4,"assumed sweep, assigned in turn",-3.685545892745726,False,2.325161290237481,2.5345439664826883
52,-4.435457140501722,1.1,"assumed sweep, assigned in turn",-4.476849825659947,False,2.9463516587303733,2.264544669615491
53,-3.436077022542535,1.2,"assumed sweep, assigned in turn",-3.5152582685901597,False,2.674592188982131,2.874806060635765
54,-2.409097005550837,1.3,"assumed sweep, assigned in turn",-2.523040357857674,False,2.2456186692048803,2.3150781679352384
55,-3.9401308209042156,1.4,"assumed sweep, assigned in turn",-4.086258856582454,False,2.527915816330708,2.8894861890830446
56,-2.4512968230363517,1.1,"assumed sweep, assigned in turn",-2.4926895081945766,False,2.7528538495906387,2.1536233992012273
57,-2.712358459471494,1.2,"assumed sweep, assigned in turn",-2.7915397055191185,False,2.105157776724295,2.456549551713436
58,-4.113841205593518,1.3,"assumed sweep, assigned in turn",-4.227784557900355,False,2.5753926529113342,2.344086007793344
59,-4.370486245986063,1.4,"assumed sweep, assigned in turn",-4.516614281664301,False,2.511411063356658,2.1631173160143087
60,-2.8146811526789453,1.1,"assumed sweep, assigned in turn",-2.85607383783717,False,2.5065500650281387,2.4221740755115695
61,-4.153695298694666,1.2,"assumed sweep, assigned in turn",-4.232876544742291,False,2.9933482038214825,2.298056716892374
62,-3.2388642934532914,1.3,"assumed sweep, assigned in turn",-3.3528076457601284,False,2.5852354958518724,2.6832884507355095
63,-4.065634522746724,1.4,"assumed sweep, assigned in turn",-4.2117625584249625,False,2.3573917982317028,2.9703163938033366
