run_dir,model_seed,split_seed,ablation,n_samples,mae,rmse,r2,pearson,spearman,fold_mae_mean,fold_mae_sample_std,fold_rmse_mean,fold_rmse_sample_std,fold_r2_mean,fold_r2_sample_std,fold_pearson_mean,fold_pearson_sample_std,fold_spearman_mean,fold_spearman_sample_std
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,A3,6699,0.49408617865229165,0.759321090385876,-0.054723003272411974,0.3937242738341406,0.2786713924525492,0.4272942609318246,0.14557148181759733,0.6183359329208777,0.21887487669072592,0.11330467021373399,0.5967766093799397,0.5770155370948771,0.3059910992259928,0.5146701181297926,0.31203538806192616
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,A3,6699,0.48570387137031334,0.7421471881454085,-0.007552268604883672,0.4185872951132466,0.3044559442387078,0.4229269438368757,0.13989907495995801,0.6119381932941172,0.20793641361977983,0.13883754830160006,0.5507775073123906,0.5919704254015379,0.27492653577094395,0.5289023261657715,0.29059254954183417
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,A3,6699,0.48751538333849476,0.7475213387993112,-0.02219718752847788,0.41027028771415847,0.30325562652396953,0.4239653475054255,0.14022228365479975,0.6132963675193512,0.21156092180396202,0.13216670605746753,0.5664294692642388,0.5866003492151384,0.2886835095906897,0.525497639188065,0.2923800291762863
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,A3,6699,0.5033544601611774,0.7703096895785471,-0.08547097262393488,0.38863259133171846,0.2531221805374574,0.43021174114466876,0.1557504218466491,0.6201551021992653,0.228626914320856,0.10453235474251203,0.6287944105303207,0.5816135963755849,0.3030068049601184,0.5098573625128313,0.32554000780865383
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,A3,6699,0.49079008272604563,0.7482003293797984,-0.024055000655504033,0.41157153189981055,0.27470786570527217,0.42552273293652493,0.1432311182514994,0.6141072150811213,0.2110792114869615,0.12864916703966695,0.5690794770028536,0.5889554073394978,0.28105557340894893,0.5133765256733169,0.31688314525443395
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,A4,6699,0.4210646890774574,0.6146344870126669,0.3089311109122296,0.5960599413266618,0.5745803912675381,0.38481700124553686,0.09580382895817784,0.5482756540178007,0.14245661857289815,0.3096819803326193,0.39171304241831345,0.6724606676290948,0.1529797700087878,0.6421849074663925,0.19189385249728316
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,A4,6699,0.41896551347412836,0.610093610500589,0.3191045283649374,0.6029173957631236,0.5766063420947208,0.3826246736301348,0.09682676993309901,0.5446417563253646,0.14320491547926478,0.3185583444615274,0.3880891117321181,0.6778250886520266,0.14861537804242728,0.6446372309934033,0.18850609900469187
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,A4,6699,0.4223296689348588,0.6182139432162049,0.30085849607045767,0.5903771960169235,0.5721297719499596,0.38362823259168843,0.09928191025826137,0.5462792851294889,0.147845093360165,0.31079790699615684,0.40223972361559646,0.671171722938658,0.16439028715690904,0.6435214481903999,0.1887950854416709
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,A4,6699,0.4232006456356037,0.6186089691180787,0.2999647367417031,0.5901265715991294,0.5746679404869022,0.38619696913161033,0.09604827054307043,0.5493679984064854,0.1450346108044198,0.305144965045837,0.395223383799398,0.6687054980765714,0.1596295156039912,0.642948801757425,0.18996958096079133
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_4_model_9001_split_104729,9001,104729,A4,6699,0.42421256252998824,0.6226507031471409,0.2907873746073908,0.5844464177930044,0.569550070656667,0.3856655744535444,0.09859034551187854,0.5504084948487159,0.14761731140146667,0.30105618574239723,0.40591607373661787,0.666354318531198,0.16609584920086923,0.6402756745946752,0.19231075907530257
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_1_model_7_split_104729,7,104729,A5,6699,0.41487919145751057,0.6021074115239077,0.3368138638327367,0.6128307418337456,0.5780809007285391,0.38132757877431234,0.09227085962908853,0.5418043607083316,0.13643999767645584,0.33482280784327517,0.3499242417421653,0.6780277624410751,0.13854930482168082,0.642345198673694,0.18912134111407194
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_0_model_42_split_104729,42,104729,A5,6699,0.4165548155087972,0.6045346760762195,0.3314561060543081,0.6088635512900251,0.5764133405621583,0.38336797667916156,0.09302249244830617,0.543920199951881,0.13911521769505553,0.3286418858122956,0.35670305729187135,0.6752464552285972,0.14022623458727823,0.6401999934283576,0.19040581054477443
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_2_model_137_split_104729,137,104729,A5,6699,0.4212633243923366,0.6127659035630343,0.3131266352777967,0.5988332168670091,0.5724016264713664,0.3871959221793994,0.0932286977074311,0.5509757563726728,0.13794966405278092,0.3101615699953706,0.3604386907262835,0.6682008059979961,0.14507555844435718,0.6396750565124956,0.19233165559011664
/nfs/home/nshank3/ml_separator/runs/ablation_all_20260809T080927Z/run_3_model_2027_split_104729,2027,104729,A5,6699,0.4141557887046127,0.6001239116324893,0.34117608531902566,0.6149790566974477,0.5756939830109933,0.38274777900482854,0.08999342071983844,0.5434637679940174,0.13466797983985412,0.3325088595976648,0.3448579004676638,0.6780816716962453,0.13067437249225394,0.6378447236490775,0.18873530266543195
