design,budget,comparison,value,reference,candidate,point,ci95_low,ci95_high,bca_low,bca_high,p_two_sided,bootstrap_se,mde_80,block_macro,n_units,units_improved,seeds_positive,n_seeds,loco_min,loco_max,loco_sign_stable,margin,passes_intervals,passes_P1,family,endpoint,lead,p_bh_within_lead_family
BP,12,UNCERT_vs_RANDOM_k12_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.03572444434161842,-0.04412745904569174,0.146005417003098,-0.06273802122638499,0.12543939375640048,0.4136,0.05059491755826716,0.14166576916314802,0.0735638040695558,86,44,3,5,0.014011445395183685,0.08970535751553181,True,0.02,False,False,exploratory,budget12_sign_acc_strong,L4,0.531063829787234
BP,12,UNCERT_vs_MAXMIN_k12_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.0846013633133679,0.014300278631097977,0.1544165553270344,0.021891307275342494,0.16300576064999445,0.0222,0.034803757907587385,0.09745052214124467,0.09761557015279781,86,57,4,5,0.06206851244263829,0.09917074032649378,True,0.02,True,True,exploratory,budget12_sign_acc_strong,L4,0.04933333333333333
BP,12,MAXMIN_vs_RANDOM_k12_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.04887691897174948,-0.12447580399074937,0.0534963073466519,-0.1478578560008406,0.03301198399501457,0.4534,0.047887372158305054,0.13408464204325415,-0.024051766083242027,86,34,2,5,-0.06570157966705367,0.007165315479109872,False,0.02,False,False,exploratory,budget12_sign_acc_strong,L4,0.5551836734693878
BP,16,AOPT_vs_RANDOM_k16_mae_all,mae_all,RANDOM,AOPT,0.07296843171160691,0.0327723773719082,0.102058194569028,0.041822449072752885,0.11206768947548758,0.0,0.018584163755286428,0.052035658514802,0.05519742995469884,90,81,5,5,0.05135583172307458,0.07686729953315066,True,0.02,True,True,exploratory,budget16_mae_all,L4,0.0
BP,16,AOPT_vs_MAXMIN_k16_mae_all,mae_all,MAXMIN,AOPT,0.10184440315259533,0.03195147735613175,0.1625474329933711,0.04282555157366989,0.19004933477980593,0.0,0.037888555639258935,0.10608795578992501,0.05801158693311693,90,74,5,5,0.051733851215632586,0.10659011051929818,True,0.02,True,True,exploratory,budget16_mae_all,L4,0.0
BP,16,UNCERT_vs_RANDOM_k16_mae_all,mae_all,RANDOM,UNCERT,0.04164666768969416,-0.013924715211907239,0.08099686034684905,-0.001676230456368666,0.09401114290930514,0.1802,0.025616372097640724,0.07172584187339402,0.024216428134890125,90,57,5,5,0.012328171694757722,0.0477054728079744,True,0.02,False,False,exploratory,budget16_mae_all,L4,0.30433333333333334
BP,16,UNCERT_vs_MAXMIN_k16_mae_all,mae_all,MAXMIN,UNCERT,0.07052263913068257,-0.01531269137530319,0.14121675709633538,0.00019526932087736784,0.1724099906362705,0.1826,0.0444835643379044,0.12455398014613232,0.027030585113308192,90,54,5,5,0.012706191187315728,0.0784332469621959,True,0.02,False,False,exploratory,budget16_mae_all,L4,0.30433333333333334
BP,16,MAXMIN_vs_RANDOM_k16_mae_all,mae_all,RANDOM,MAXMIN,-0.0288759714409884,-0.06694535310134196,0.022611564318693073,-0.07911973842921187,0.012459560221505964,0.384,0.024328077565467874,0.06811861718331004,-0.0028141569784180687,90,37,2,5,-0.03575086657855086,-0.0003780194925580082,True,0.02,False,False,exploratory,budget16_mae_all,L4,0.512
BP,16,AOPT_vs_RANDOM_k16_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.12046967189018774,0.04008055825094629,0.1742506072246444,0.058840659249743944,0.1885329017997798,0.0018,0.03543473410083652,0.09921725548234225,0.09401124858986779,86,74,5,5,0.08075182293344402,0.13273865422583264,True,0.02,True,True,exploratory,budget16_sign_acc_strong,L4,0.00675
BP,16,AOPT_vs_MAXMIN_k16_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.16424691372838102,0.04025088503955498,0.2673230261273234,0.05963736635814079,0.3109055038786355,0.0,0.06576196283062628,0.1841334959257536,0.09550743466939286,86,59,5,5,0.07687879179400516,0.17426265512821698,True,0.02,True,True,exploratory,budget16_sign_acc_strong,L4,0.0
BP,16,UNCERT_vs_RANDOM_k16_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.10687057828713209,0.021607931326378588,0.16126063802348134,0.039812933538127405,0.1732986099354125,0.0124,0.036424670099592826,0.1019890762788599,0.088660207132368,86,70,5,5,0.07007986676328785,0.11949497853146672,True,0.02,True,True,exploratory,budget16_sign_acc_strong,L4,0.03542857142857143
BP,16,UNCERT_vs_MAXMIN_k16_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.15064782012532532,0.015879442569598314,0.2535814074380153,0.04279151384736318,0.2950514534579037,0.017,0.06617585933000222,0.18529240612400621,0.0901563932118931,86,53,5,5,0.06620683562384896,0.16252096337779282,True,0.02,True,True,exploratory,budget16_sign_acc_strong,L4,0.0425
BP,16,MAXMIN_vs_RANDOM_k16_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,-0.043777241838193245,-0.10856060995599501,0.049945103948268454,-0.12578977121975887,0.03165295500405348,0.4412,0.04259804265001073,0.11927451942003003,-0.0014961860795250927,86,42,2,5,-0.05733756219812717,0.0038730311394388787,False,0.02,False,False,exploratory,budget16_sign_acc_strong,L4,0.5515
BP,20,AOPT_vs_RANDOM_k20_mae_all,mae_all,RANDOM,AOPT,0.030028455218621023,0.012435172200820088,0.04753654589126702,0.014301731903357403,0.04962033358890797,0.0026,0.008764586109835142,0.024540841107538396,0.02425921155100325,90,69,5,5,0.025629630644916322,0.03223562748345782,True,0.02,True,True,exploratory,budget20_mae_all,L4,0.008666666666666666
BP,20,AOPT_vs_MAXMIN_k20_mae_all,mae_all,MAXMIN,AOPT,0.020129662761066917,0.004778306622847218,0.041800289829054454,0.0026788788820419113,0.03882693866990823,0.0062,0.00960757809502916,0.026901218666081646,0.02297311537900254,90,56,5,5,0.017267499095444876,0.02791865668100181,True,0.02,True,True,exploratory,budget20_mae_all,L4,0.019578947368421053
BP,20,UNCERT_vs_RANDOM_k20_mae_all,mae_all,RANDOM,UNCERT,0.013415956190338887,-0.01339368350031248,0.03304399008403816,-0.011834771813009728,0.034148730103696415,0.3006,0.011860223399733055,0.03320862551925255,0.010122973863523918,90,52,5,5,0.006876190348188414,0.016829926383122903,True,0.02,False,False,exploratory,budget20_mae_all,L4,0.45089999999999997
BP,20,UNCERT_vs_MAXMIN_k20_mae_all,mae_all,MAXMIN,UNCERT,0.003517163732784769,-0.015001145941053111,0.02423852852739832,-0.014898195236118381,0.024275376850253258,0.6848,0.009763211044648747,0.027336990925016492,0.008836877691523208,90,50,3,5,-0.0005442037867070993,0.007462055006970728,False,0.02,False,False,exploratory,budget20_mae_all,L4,0.720842105263158
BP,20,MAXMIN_vs_RANDOM_k20_mae_all,mae_all,RANDOM,MAXMIN,0.009898792457554113,-0.012030394480413561,0.02459428380576232,-0.008439668144402052,0.02740354332652757,0.3724,0.00948452944633128,0.02655668244972758,0.0012860961720007097,90,53,4,5,0.0018523093542170252,0.01349899275720181,True,0.02,False,False,exploratory,budget20_mae_all,L4,0.512
BP,20,AOPT_vs_RANDOM_k20_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.043889391963618365,0.00941755675929955,0.07132760800642386,0.011476404546707886,0.07264419077180476,0.0184,0.01567021270735823,0.04387659558060304,0.03161912398673496,86,56,5,5,0.0365036256788412,0.04865886728248003,True,0.02,True,True,exploratory,budget20_sign_acc_strong,L4,0.044160000000000005
BP,20,AOPT_vs_MAXMIN_k20_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.025240581136181148,0.0004232225219516044,0.061785831886200605,-0.0028964086209939243,0.057309893285016136,0.0448,0.015959201789397092,0.04468576501031186,0.03533424815059084,86,42,4,5,0.02009195805472807,0.03814562858492444,True,0.02,False,False,exploratory,budget20_sign_acc_strong,L4,0.0926896551724138
BP,20,UNCERT_vs_RANDOM_k20_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.042809691010552,0.009570308916629106,0.07501902428138545,0.007585133016824883,0.07364058692022765,0.0152,0.01625192820723686,0.0455053989802632,0.05177840937125039,86,59,4,5,0.03743098149302909,0.049492234674068554,True,0.02,True,True,exploratory,budget20_sign_acc_strong,L4,0.04145454545454546
BP,20,UNCERT_vs_MAXMIN_k20_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,0.024160880183114793,-0.008542702974090965,0.076378124275678,-0.01425532806371291,0.0659760465071692,0.1688,0.021778036320288286,0.0609785016968072,0.055493533535106256,86,25,3,5,0.01620983171468085,0.043121260017183395,True,0.02,False,False,exploratory,budget20_sign_acc_strong,L4,0.2978823529411765
BP,20,MAXMIN_vs_RANDOM_k20_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,0.01864881082743721,-0.021141121104166737,0.04403906339702041,-0.012668415628790184,0.05114177511598355,0.3768,0.017154870840316448,0.04803363835288605,-0.003715124163855877,86,52,3,5,0.0009372250512491796,0.02285831751902942,True,0.02,False,False,exploratory,budget20_sign_acc_strong,L4,0.512
BP,24,AOPT_vs_RANDOM_k24_mae_all,mae_all,RANDOM,AOPT,0.017486973937908917,0.006486476746403041,0.030132861682032705,0.0071171429444550375,0.03102265960879681,0.0012,0.00585653293620754,0.01639829222138111,0.022372967985964377,90,56,4,5,0.014834352523837744,0.019672136783050798,True,0.02,True,False,exploratory,budget24_mae_all,L4,0.0048
BP,24,AOPT_vs_MAXMIN_k24_mae_all,mae_all,MAXMIN,AOPT,0.009478403301846511,-0.002509883925130029,0.029512478027957798,-0.004076068986783181,0.026180839656121217,0.1442,0.008285500193640357,0.023199400542192997,0.02230147518204726,90,45,5,5,0.006593725409769393,0.016688492100524296,True,0.02,False,False,exploratory,budget24_mae_all,L4,0.2621818181818182
BP,24,UNCERT_vs_RANDOM_k24_mae_all,mae_all,RANDOM,UNCERT,0.0031572414630607055,-0.014486246870079664,0.015182351197597435,-0.011837509981318751,0.01706091296882041,0.733,0.007671063233600198,0.021478977054080552,0.000559334348464896,90,49,2,5,-0.003602849987753676,0.006032861995910616,False,0.02,False,False,exploratory,budget24_mae_all,L4,0.7460338983050848
BP,24,UNCERT_vs_MAXMIN_k24_mae_all,mae_all,MAXMIN,UNCERT,-0.0048513291730016995,-0.024401436070374892,0.013032206025422263,-0.027866114789320228,0.010642634973093514,0.5884,0.009316372459952616,0.026085842887867323,0.00048784154454777843,90,37,2,5,-0.007830923094302134,0.0013608482641901014,False,0.02,False,False,exploratory,budget24_mae_all,L4,0.6418909090909092
BP,24,MAXMIN_vs_RANDOM_k24_mae_all,mae_all,RANDOM,MAXMIN,0.008008570636062405,-0.011824526186277981,0.02195285831428293,-0.00867393159978699,0.0246997287583819,0.416,0.008720519491938531,0.024417454577427885,7.149280391711637e-05,90,50,4,5,0.0005379813732957363,0.0109200395691399,True,0.02,False,False,exploratory,budget24_mae_all,L4,0.531063829787234
BP,24,AOPT_vs_RANDOM_k24_sign_acc_strong,sign_acc_strong,RANDOM,AOPT,0.031929317839770065,0.006473886846749437,0.05231177443485122,0.006306473722820124,0.052117545952097305,0.0168,0.011625613842746981,0.032551718759691546,0.035590720787080414,86,57,4,5,0.026341958218841978,0.03642260393200266,True,0.02,True,True,exploratory,budget24_sign_acc_strong,L4,0.0425
BP,24,AOPT_vs_MAXMIN_k24_sign_acc_strong,sign_acc_strong,MAXMIN,AOPT,0.009975445996905124,-0.010324214576831433,0.04301056225173748,-0.011197431570341306,0.0410674637465428,0.3814,0.01360132256513037,0.038083703182365036,0.029237431120680054,86,26,3,5,0.004210451243927534,0.018353557465192863,True,0.02,False,False,exploratory,budget24_sign_acc_strong,L4,0.512
BP,24,UNCERT_vs_RANDOM_k24_sign_acc_strong,sign_acc_strong,RANDOM,UNCERT,0.017342272537000044,-0.01079837517558938,0.035597318764929435,-0.006987813824695053,0.03780834292264654,0.2228,0.012099035886624218,0.033877300482547806,0.014552307593809594,86,52,2,5,0.006922784369421827,0.021933672462397476,True,0.02,False,False,exploratory,budget24_sign_acc_strong,L4,0.34276923076923077
BP,24,UNCERT_vs_MAXMIN_k24_sign_acc_strong,sign_acc_strong,MAXMIN,UNCERT,-0.004611599305864897,-0.0312604342408778,0.0250331252033582,-0.03370558054462582,0.023024410159721936,0.7336,0.013982238197822414,0.03915026695390276,0.008199017927409244,86,20,2,5,-0.009136441650639779,0.0035361866912601977,False,0.02,False,False,exploratory,budget24_sign_acc_strong,L4,0.7460338983050848
BP,24,MAXMIN_vs_RANDOM_k24_sign_acc_strong,sign_acc_strong,RANDOM,MAXMIN,0.021953871842864937,-0.01185166023988718,0.04411190037830995,-0.005831470595049943,0.04890875431335159,0.21,0.014605951831826324,0.040896665129113705,0.006353289666400351,86,50,4,5,0.007988400753649124,0.026492695674500452,True,0.02,False,False,exploratory,budget24_sign_acc_strong,L4,0.33157894736842103
