structure,aux_rows,n_metals,n_publications,n_series,n_systems,metals,metal_categories,max_tanimoto_to_cohort,nearest_cohort_structure,nearest_cohort_chemotype,in_cohort,rdkit_unparsed,assigned_chemotype,is_new_chemistry,gen10_distance_bucket,new_chemotype_id
CCCCCCCCOc1cc(C(=O)Nc2ccc(C(C)(C)C)cc2)nc(C(=O)Nc2ccc(C(C)(C)C)cc2)c1,1,1,0,1,1,Am,actinide,0.6538461538461539,CCCCCCCCOc1cc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)nc(C(=O)N(C)c2ccc(C(C)(C)C)cc2)c1,tan034,False,False,NEW,True,mid,new007
CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,5,1,0,1,1,Am,actinide,1.0,CCCCCCCCn1cc(-c2cc(CC(=O)O)cc(-c3cn(CCCCCCCC)nn3)n2)nn1,tan094,True,False,tan094,False,near,
CCCCCCN(C=O)CCCCCC,5,3,1,1,1,Pu|Th|U,actinide,0.42857142857142855,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,False,False,NEW,True,far,new031
CCCCCCN(CCCCCC)C(=O)C(C)C,8,2,1,1,1,Pu|U,actinide,0.6896551724137931,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,False,False,NEW,True,near,new018
CCCCCCN(CCCCCC)C(=O)C(CC)CCCC,44,5,1,2,1,Am|Np|Pu|Th|U,actinide,0.5882352941176471,CCCCCCCCN(CCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCC)CCCCCCCC,tan069,False,False,NEW,True,far,new019
CCCCCCN(CCCCCC)C(=O)CCC,8,2,1,1,1,Pu|U,actinide,0.72,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,False,False,tan049,False,near,
CCCCCCN(CCCCCC)C(=O)CCCCC,143,5,1,3,1,Am|Np|Pu|Th|U,actinide,0.72,CCCCCCN(CCCCCC)C(=O)CC(=O)N(CCCCCC)CCCCCC,tan049,False,False,tan049,False,near,
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,6,1,1,1,1,Th,actinide,0.9285714285714286,CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,91,7,4,8,1,Am|Ba|Np|Pu|Sr|Th|U,actinide|alkaline_earth,1.0,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,True,False,tan055,False,near,
CCCCCCN(CCCCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCCCC)CCCCCC)C(C)C)C(C)C,6,1,1,1,1,Th,actinide,0.8787878787878788,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,tan055,False,False,tan055,False,near,
CCCCCCN(CCCCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCCCC)CCCCCC,6,1,1,1,1,Th,actinide,0.9117647058823529,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,1,1,1,1,1,Am,actinide,0.7058823529411765,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,False,False,tan055,False,near,
CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,133,5,4,12,1,Am|Np|Pu|Th|U,actinide,1.0,CCCCCN(CCCCC)C(=O)COCC(=O)N(CCCCC)CCCCC,tan055,True,False,tan055,False,near,
CCCCN(CCCC)C(=O)C(C)(C)C,12,4,1,1,1,Np|Pu|Th|U,actinide,0.5384615384615384,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,tan049,False,False,NEW,True,far,new022
CCCCN(CCCC)C(=O)C(C)C,9,4,1,1,1,Np|Pu|Th|U,actinide,0.5666666666666667,CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,False,False,NEW,True,far,new018
CCCCN(CCCC)C(=O)CC,5,3,1,1,1,Pu|Th|U,actinide,0.7272727272727273,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,tan049,False,False,tan049,False,near,
CCCCN(CCCC)C(=O)CCC,39,4,2,1,1,Np|Pu|Th|U,actinide,0.8571428571428571,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,tan049,False,False,tan049,False,near,
CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,75,2,1,7,1,Th|U,actinide,1.0,CCCCN(CCCC)C(=O)COCC(=O)N(CC)CCN(CC)C(=O)COCC(=O)N(CCCC)CCCC,tan055,True,False,tan055,False,near,
CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,133,7,6,12,1,Am|Ba|Np|Pu|Sr|Th|U,actinide|alkaline_earth,1.0,CCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCC,tan055,True,False,tan055,False,near,
CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,18,2,1,1,1,Th|U,actinide,1.0,CCCCN(CCCC)C(=O)COCC(=O)N(CCN(C(=O)COCC(=O)N(CCCC)CCCC)C(C)C)C(C)C,tan055,True,False,tan055,False,near,
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,1,1,1,1,1,Am,actinide,0.9117647058823529,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCN(CCCC)C(=O)COCC(=O)NCCCCCNC(=O)COCC(=O)N(CCCC)CCCC,1,1,1,1,1,Am,actinide,0.9117647058823529,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCN(CCCC)C(=O)COCC(=O)NCCNC(=O)COCC(=O)N(CCCC)CCCC,6,1,1,1,1,Th,actinide,0.8,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,False,False,tan055,False,near,
CCCCN(CCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,1,1,1,1,1,Am,actinide,0.9069767441860465,CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,False,False,tan055,False,near,
CCCCN(CCCC)C(C)=O,5,3,1,1,1,Pu|Th|U,actinide,0.6086956521739131,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,tan049,False,False,NEW,True,mid,new021
CCCCOP(=O)(OCCCC)OCCCC,24,4,1,1,1,Am|Pu|Th|U,actinide,0.52,CCCCCCOP(=O)(O)OCCCCCC,tan089,False,False,NEW,True,far,new033
CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,6,1,0,1,1,Am,actinide,1.0,CCCCOP(=S)(COCP(=S)(OCCCC)OCCCC)OCCCC,tan030,True,False,tan030,False,near,
CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,6,1,0,1,1,Am,actinide,1.0,CCCCOP(=S)(CP(=S)(OCCCC)OCCCC)OCCCC,tan029,True,False,tan029,False,near,
CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,6,1,0,1,1,Am,actinide,1.0,CCCCP(=S)(CCCC)COCP(=S)(CCCC)CCCC,tan028,True,False,tan028,False,near,
CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,6,1,0,1,1,Am,actinide,1.0,CCCCP(=S)(CCCC)CP(=S)(CCCC)CCCC,tan027,True,False,tan027,False,near,
CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,14,2,2,2,1,Am|Th,actinide,1.0,CCCN(CCC)C(=O)COCC(=O)N(CCC)CCC,tan055,True,False,tan055,False,near,
CCOP(=S)(COCP(=S)(OCC)OCC)OCC,6,1,0,1,1,Am,actinide,1.0,CCOP(=S)(COCP(=S)(OCC)OCC)OCC,tan031,True,False,tan031,False,near,
CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,43,4,1,4,1,Am|Np|Th|U,actinide,1.0,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,tan074,True,False,tan074,False,near,
Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,16,1,0,2,1,Am,actinide,1.0,Cc1cc(-c2cc(C)cc(-c3nnc4c(n3)C(C)(C)CCC4(C)C)n2)nc(-c2nnc3c(n2)C(C)(C)CCC3(C)C)c1,tan018,True,False,tan018,False,near,
Cc1cc(Br)ccc1NC(=O)CCl,22,2,0,2,2,Am|Eu,actinide|lanthanide,0.20930232558139536,CN(C(=O)CC(=O)N(C)c1ccccc1)c1ccccc1,tan073,False,False,NEW,True,far,new037
Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,6,1,0,1,1,Am,actinide,1.0,Cc1cc(C)n(-c2cccc(-n3nc(C)cc3C)n2)n1,tan011,True,False,tan011,False,near,
Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,6,1,0,1,1,Am,actinide,1.0,Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,tan012,True,False,tan012,False,near,
Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,7,1,0,2,1,Am,actinide,1.0,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,tan009,True,False,tan009,False,near,
Cc1ccn(-c2cncc(-n3ccc(C)n3)n2)n1,1,1,0,1,1,Am,actinide,0.6785714285714286,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,tan009,False,False,NEW,True,near,new035
O=C(COCC(=O)N(c1ccccc1)c1ccccc1)N(c1ccccc1)c1ccccc1,8,3,1,3,1,Am|Th|U,actinide,0.6551724137931034,CN(C(=O)COCC(=O)N(C)c1ccccc1)c1ccccc1,tan074,False,False,NEW,True,mid,new032
O=C(O)CSCC(=O)O,13,2,1,1,1,Pd|Tc,transition_metal,0.24,O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,tan005,False,False,NEW,True,far,new038
O=C(c1ccccc1)c1ccc2ccccc2n1,6,1,0,3,1,Am,actinide,1.0,O=C(c1ccccc1)c1ccc2ccccc2n1,tan088,True,False,tan088,False,near,
S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,6,1,0,1,1,Am,actinide,1.0,S=P(COCP(=S)(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,tan096,True,False,tan096,False,near,
c1cc(-n2cccn2)nc(-n2cccn2)c1,2,1,0,2,1,Am,actinide,0.4666666666666667,Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,tan009,False,False,NEW,True,far,new036
