extractant,tanimoto_cluster,level_raw,level_adjusted,adjusted_coverage,n_rows,log_d_max,log_d_min,level
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,tan055,-0.2315858901319053,-1.1625028590653952,0.8108108108108109,74,1.4988547909654337,-1.383667180277352,-0.2315858901319053
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,tan041,-3.6989700043360187,-2.773629966303904,1.0,3,-3.0969100130080562,-4.0,-3.6989700043360187
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,tan007,-2.5228787452803374,-2.0082692763349788,1.0,6,-1.9999999999999913,-2.5228787452803374,-2.5228787452803374
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan067,1.9242792860618816,1.8654001181788646,0.022222222222222223,45,2.963787827345555,0.2304489213782739,1.9242792860618816
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,tan055,2.065880565479594,1.1263307998035672,0.9507389162561576,203,3.0420915032679714,-0.09806659020810964,2.065880565479594
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan055,0.34830486304816066,0.1685826302510074,0.7796610169491526,59,2.1999991251967965,-1.3010299956639813,0.34830486304816066
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan067,-0.016051949185512244,1.6977198685885757,1.0,14,0.0960979574435482,-0.9566350494056667,-0.016051949185512244
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,tan069,-2.429340329978466,-1.3875833615663642,1.0,13,-1.999126643946178,-2.994381980302212,-2.429340329978466
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,tan078,-1.1399203485000002,-0.23110698512243394,1.0,14,-1.0222763950000002,-2.0,-1.1399203485000002
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,tan046,0.568201724,1.6592477378118287,1.0,9,0.770852012,0.11394335200000003,0.568201724
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,tan046,0.1382309020587815,-0.13106255845624493,0.3269230769230769,52,1.6748611407378116,-3.0,0.1382309020587815
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,tan053,-0.04095860799999999,1.1680462000366467,1.0,9,0.568201724,-0.744727495,-0.04095860799999999
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,tan055,1.4999999999999987,1.0734688644727344,0.6352941176470588,425,4.21498771498771,-1.6228070175438594,1.4999999999999987
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,1.9013838909571124,0.7111009620141484,1.0,14,2.5806399120080803,-0.46852108295774486,1.9013838909571124
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,tan055,0.40464515058815786,0.06650885956621956,1.0,8,0.6766936096248666,-0.05551732784983137,0.40464515058815786
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,tan055,0.2622759474376023,-0.11191445533836286,1.0,8,0.5314789170422551,-0.28399665636520083,0.2622759474376023
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,tan055,2.2607611517772135,1.0086321090056716,1.0,14,2.7974129739592226,-0.1366771398795441,2.2607611517772135
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,tan056,0.7003018017410546,-0.37652311048676146,1.0,14,1.2060158767633447,-1.3010299956639813,0.7003018017410546
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,tan055,2.047975471437797,0.8601489116655389,1.0,14,2.67355537811554,-0.46852108295774486,2.047975471437797
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,tan055,0.3879325991010348,-0.6607898768544154,1.0,14,1.0637085593914173,-4.0,0.3879325991010348
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,tan055,1.2920158760000637,0.2112184966300783,1.0,14,2.1051694279993316,-1.3979400086720375,1.2920158760000637
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,tan066,-2.0713337517843646,-1.1771469563847936,1.0,12,0.6020599913279624,-4.0,-2.0713337517843646
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan067,0.4070972325860188,-0.005834778923366368,1.0,32,1.4029999999999991,-4.0,0.4070972325860188
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,tan044,0.014701101679606058,,0.0,5,0.8677262055264573,-3.033303232797575,0.014701101679606058
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,tan049,0.3222192949999999,1.343486149084556,1.0,9,0.5910646070000001,-0.22184875,0.3222192949999999
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,tan050,-1.3256743256743255,-1.191415036756888,0.5769230769230769,26,0.773274348337453,-1.7252747252747256,-1.3256743256743255
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(CCCC)CCCC,tan051,-1.9894053504650309,-1.1829891022240944,1.0,6,0.73798732633343,-2.283996656365201,-1.9894053504650309
CCCCCCCCN(CCCCCCCC)C(=O)CNCP(=O)(OCCCC)OCCCC,tan064,-1.2483771142674407,-0.1783916477857871,0.8333333333333334,6,0.07188200730612536,-1.6020599913279607,-1.2483771142674407
CCCCCCCCN(CCCCCCCC)C(=O)CO,tan049,0.9010989010989008,-0.47578701491744946,0.1,10,2.230769230769231,-2.5164835164835164,0.9010989010989008
CCCCCCCCN(CCCCCCCC)C(=O)COC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,tan065,-1.7614393726401687,-1.4111676260879082,1.0,12,1.47334096418593,-4.0,-1.7614393726401687
CCCCCCCCN(CCCCCCCC)C(=O)COC(C)C(=O)N(CCCCCCCC)CCCCCCCC,tan068,0.8015133374843058,1.666445548441624,0.5,12,2.67215144841626,-3.0,0.8015133374843058
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(C)C,tan055,1.8484354553314708,1.2332098715098376,1.0,7,3.5925298252093434,0.5670263661590603,1.8484354553314708
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,0.6605782298343715,0.23083741399163682,0.5389784946236559,1488,4.0732600732600694,-3.3979400086720375,0.6605782298343715
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCC1,tan054,0.8199718706047796,-0.13628852205811404,0.9375,16,3.518857142857141,-0.3889570552147255,0.8199718706047796
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCCCC1,tan054,2.0846625766871147,-0.047239263803682485,1.0,12,3.460905349794238,-0.8613496932515357,2.0846625766871147
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N1CCOCC1,tan054,0.12918640625091563,-0.6683222019544003,1.0,12,3.51042944785276,-0.9815950920245453,0.12918640625091563
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCCCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,2.326335860928751,-0.07854137447406506,0.2727272727272727,11,2.7826086956521716,-1.4193548387096733,2.326335860928751
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,tan055,2.929873772791023,1.5452473287023876,0.6086956521739131,23,3.054205607476635,-1.2917251051893435,2.929873772791023
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCCOc1cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(OCCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,1.4610389610389596,0.37247510702356534,0.8,15,2.8311688311688314,-0.958607314841775,1.4610389610389596
CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)NCCNC(=O)c1cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)cc(C(=O)NCCNC(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC)c1,tan055,0.5728716022004802,0.2929199520455453,0.9333333333333333,15,2.777202072538861,-0.8212435233160632,0.5728716022004802
