path,group,bytes,bytes_lf,sha256,sha256_lf,recorded_sha256,recorded_bytes,recorded_source,recorded_bytes_match,manifest_match,raw_checksum_sha256,raw_checksum_match,has_recorded_digest,verified,is_headline_dataset_hash
dataset_all_metals/raw/Ca.csv,raw,3745612,3738792,2fed86213de9413c9f31d2977897a4ccf9878090c9be3d4e02cc7ef19d14e266,b9a70f4eefd5d4c8008bd9e431e44fa670e16b9b76c476cf0e31d061965f420e,2fed86213de9413c9f31d2977897a4ccf9878090c9be3d4e02cc7ef19d14e266,3745612,manifest.json:raw_inputs,binary,binary,2fed86213de9413c9f31d2977897a4ccf9878090c9be3d4e02cc7ef19d14e266,binary,True,True,False
dataset_all_metals/raw/Cd.csv,raw,16332,16313,90b4969fb9fb58c842012bbdfdfd29c46a7343dd5439283b48e60ee828d203b1,3174fe91f3e5b354e736d5d4c857ebe042f73067766831a85fe6d0bae121f1a9,90b4969fb9fb58c842012bbdfdfd29c46a7343dd5439283b48e60ee828d203b1,16332,manifest.json:raw_inputs,binary,binary,90b4969fb9fb58c842012bbdfdfd29c46a7343dd5439283b48e60ee828d203b1,binary,True,True,False
dataset_all_metals/raw/Ce.csv,raw,366141,365570,77e5b981f7aeee2903e764918ac3f2320cb1456ef001615bff17bd71cc3b19d8,f98c0cf6e4a036f73979e99ecc5c49dc1bfd42e7e23bef896b9e270a00b4aad1,77e5b981f7aeee2903e764918ac3f2320cb1456ef001615bff17bd71cc3b19d8,366141,manifest.json:raw_inputs,binary,binary,77e5b981f7aeee2903e764918ac3f2320cb1456ef001615bff17bd71cc3b19d8,binary,True,True,False
dataset_all_metals/raw/Cf.csv,raw,28167,28143,ac40a89c665649e078306d26f58951961d63bff11f1692d39ae0ccf7002ce155,4fa34212d0d27c1e7d789fc8b49c3f06b87402e2d6ff75e3f3ca0c490b2d4f54,ac40a89c665649e078306d26f58951961d63bff11f1692d39ae0ccf7002ce155,28167,manifest.json:raw_inputs,binary,binary,ac40a89c665649e078306d26f58951961d63bff11f1692d39ae0ccf7002ce155,binary,True,True,False
dataset_all_metals/raw/Cm.csv,raw,170875,170627,e4fa8f7e38da7cd25555312cbdccc583109d44291af57f47fb311134ae7b7ac3,1de67c3e9f8ebea26da49f02b962d17be2d44775df29a3af71aae9196f06e441,e4fa8f7e38da7cd25555312cbdccc583109d44291af57f47fb311134ae7b7ac3,170875,manifest.json:raw_inputs,binary,binary,e4fa8f7e38da7cd25555312cbdccc583109d44291af57f47fb311134ae7b7ac3,binary,True,True,False
dataset_all_metals/raw/Cr.csv,raw,5486,5473,4719febcaf2eddf2e45fc0440109950b928cf9506b8c6f16e9e55323152bf970,68164acba39ef58b2e40748a992e42924461d1e1ea33fffe22b87768f481378f,4719febcaf2eddf2e45fc0440109950b928cf9506b8c6f16e9e55323152bf970,5486,manifest.json:raw_inputs,binary,binary,4719febcaf2eddf2e45fc0440109950b928cf9506b8c6f16e9e55323152bf970,binary,True,True,False
dataset_all_metals/raw/Dy.csv,raw,341611,341112,9d6c8c81d09a75d18f40ec9c47872d65444cf70ff441e250757e5a98a6109495,7161452029cfd48691524754767a8fe68a6776c61e4afb0a5c3592dd71d7f960,9d6c8c81d09a75d18f40ec9c47872d65444cf70ff441e250757e5a98a6109495,341611,manifest.json:raw_inputs,binary,binary,9d6c8c81d09a75d18f40ec9c47872d65444cf70ff441e250757e5a98a6109495,binary,True,True,False
dataset_all_metals/raw/Er.csv,raw,1924910,1920866,aa72d74d0d90da105e7df8b93907ff82a61eac47b9f29499355f3996ef5bc0c7,78d2d0ceb6b0552f28d0d0389b6ab118975b4faa3615657fd6eeffa7c594dc6c,aa72d74d0d90da105e7df8b93907ff82a61eac47b9f29499355f3996ef5bc0c7,1924910,manifest.json:raw_inputs,binary,binary,aa72d74d0d90da105e7df8b93907ff82a61eac47b9f29499355f3996ef5bc0c7,binary,True,True,False
dataset_all_metals/raw/Eu.csv,raw,1385006,1382582,262c602da67b4af2a90b731719f98480402a471d5e1437462a2a9378f6b29441,99f66cff643473b85a5318c01bd94a8e9526ac5d6dcd66f90d72e5314a09285c,262c602da67b4af2a90b731719f98480402a471d5e1437462a2a9378f6b29441,1385006,manifest.json:raw_inputs,binary,binary,262c602da67b4af2a90b731719f98480402a471d5e1437462a2a9378f6b29441,binary,True,True,False
dataset_all_metals/raw/Fe.csv,raw,63616,63457,662e8671e8345c13284e34c5a59ec8db6ecc3705bbc6107961d71f56931b928f,556ea934594ce7419ec043c90409b631c5687b1b79099f44def636631d5673a0,662e8671e8345c13284e34c5a59ec8db6ecc3705bbc6107961d71f56931b928f,63616,manifest.json:raw_inputs,binary,binary,662e8671e8345c13284e34c5a59ec8db6ecc3705bbc6107961d71f56931b928f,binary,True,True,False
