g19_publication_id,n_rows,n_model_rows,g19_publication_status,g19_publication_refs,corrected_publication_id,group_corrected_doi,n_publications_in_group_corrected_doi,n_model_rows_in_group_corrected_doi,n_edges_corrected_doi,group_primary_source_doi,n_publications_in_group_primary_source_doi,n_model_rows_in_group_primary_source_doi,n_edges_primary_source_doi,group_archive_duplicate_group,n_publications_in_group_archive_duplicate_group,n_model_rows_in_group_archive_duplicate_group,n_edges_archive_duplicate_group,group_cross_publication_copy,n_publications_in_group_cross_publication_copy,n_model_rows_in_group_cross_publication_copy,n_edges_cross_publication_copy,group_near_duplicate_key,n_publications_in_group_near_duplicate_key,n_model_rows_in_group_near_duplicate_key,n_edges_near_duplicate_key,group_compilation_doi,n_publications_in_group_compilation_doi,n_model_rows_in_group_compilation_doi,n_edges_compilation_doi
pub_c6f8bf198b,43,0,DOI,10.1007/bf02383748 | 10.1021/acssuschemeng.4c06166x,pub_4c0ce1c843,pub_c6f8bf198b,1,0,86,pub_c6f8bf198b,1,0,168,pub_c6f8bf198b,1,0,7,pub_c6f8bf198b,1,0,93,pub_c6f8bf198b,1,0,926,pub_007f4c9de0,36,2134,3028
pub_c75976ca9f,4,4,DOI,10.1016/j.molliq.2019.111741,pub_c75976ca9f,pub_c75976ca9f,1,4,86,pub_c75976ca9f,1,4,168,pub_c75976ca9f,1,4,7,pub_c75976ca9f,1,4,93,pub_c75976ca9f,1,4,926,pub_c75976ca9f,1,4,3028
pub_c8195b4ca7,216,216,DOI,10.1080/01496395.2016.1274760,pub_c8195b4ca7,pub_c8195b4ca7,1,216,86,pub_c8195b4ca7,1,216,168,pub_c8195b4ca7,1,216,7,pub_c8195b4ca7,1,216,93,pub_c8195b4ca7,1,216,926,pub_c8195b4ca7,1,216,3028
pub_c929bc0daa,31,31,DOI,10.1021/acssuschemeng.4c06166x | 10.1088/1757-899x/9/1/012082,pub_2a068f4663,pub_c929bc0daa,1,31,86,pub_c929bc0daa,1,31,168,pub_c929bc0daa,1,31,7,pub_c929bc0daa,1,31,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_ca616a18dd,28,28,DOI,10.1080/01496395.2012.697523,pub_ca616a18dd,pub_ca616a18dd,1,28,86,pub_ca616a18dd,1,28,168,pub_ca616a18dd,1,28,7,pub_ca616a18dd,1,28,93,pub_ca616a18dd,1,28,926,pub_ca616a18dd,1,28,3028
pub_ca7dd9b99d,303,303,DOI,10.1021/acssuschemeng.4c06166x | 10.1080/01496395.2020.1845209,pub_3b6a950c3c,pub_ca7dd9b99d,1,303,86,pub_ca7dd9b99d,1,303,168,pub_ca7dd9b99d,1,303,7,pub_ca7dd9b99d,1,303,93,pub_ca7dd9b99d,1,303,926,pub_007f4c9de0,36,2134,3028
pub_cd72e4a7bb,153,147,DOI,10.1080/07366299.2017.1415670,pub_cd72e4a7bb,pub_cd72e4a7bb,1,147,86,pub_cd72e4a7bb,1,147,168,pub_cd72e4a7bb,1,147,7,pub_cd72e4a7bb,1,147,93,pub_cd72e4a7bb,1,147,926,pub_cd72e4a7bb,1,147,3028
pub_cdc2243314,94,94,DOI,10.1080/10610278.2010.506553,pub_cdc2243314,pub_cdc2243314,1,94,86,pub_cdc2243314,1,94,168,pub_cdc2243314,1,94,7,pub_cdc2243314,1,94,93,pub_cdc2243314,1,94,926,pub_cdc2243314,1,94,3028
pub_cfc3f5930e,27,27,DOI,10.1021/acssuschemeng.4c06166x | 10.1524/ract.91.7.379.20012,pub_8ace38dd1b,pub_cfc3f5930e,1,27,86,pub_cfc3f5930e,1,27,168,pub_9055eb0be9,3,120,7,pub_1b7737c507,7,261,93,pub_13adc25944,13,658,926,pub_007f4c9de0,36,2134,3028
pub_d0909358c9,4,4,DOI,10.1016/j.ica.2016.08.008,pub_d0909358c9,pub_d0909358c9,1,4,86,pub_d0909358c9,1,4,168,pub_d0909358c9,1,4,7,pub_d0909358c9,1,4,93,pub_d0909358c9,1,4,926,pub_d0909358c9,1,4,3028
