model,macro_mae,offset_mae,shape_mae,shape_r2,macro_mae_ligand,pooled_mae,pooled_r2,offset_share_of_sse,median_ligand_mae,worst_quartile_ligand_mae,rank_spearman,sign_accuracy,frac_within_0_5_log,frac_within_1_log,prediction_dispersion_ratio,n_rows,n_ligands,n_ecfp_clusters,n_superclusters,n_eff_pooled_rows,n_macro_units,nn_lt_0_4__macro_mae,nn_lt_0_4__offset_mae,nn_lt_0_4__shape_mae,nn_lt_0_4__n_rows,nn_lt_0_6__macro_mae,nn_lt_0_6__offset_mae,nn_lt_0_6__shape_mae,nn_lt_0_6__n_rows,macro_mae_sd,macro_mae_min,macro_mae_max,offset_mae_sd,offset_mae_min,offset_mae_max,shape_mae_sd,shape_mae_min,shape_mae_max,n_seeds
LRN_xgboost_mae,1.1078129290141836,0.9383707821623085,0.5405766583371286,0.07357550380833944,1.112511564916203,1.135156583446165,0.2511266596048109,0.387254195792402,0.9380072953084881,2.205895142525748,0.34099342783463166,0.5807634507762945,0.280932418699187,0.527566056910569,0.6256543222379635,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,0.9399614247048905,0.8600466395184035,0.3834218773675659,408.6666666666667,1.2422913556988213,1.103326013321057,0.5352676662631407,1494.3333333333333,0.03382278778282226,1.0736648096761727,1.141300715641426,0.055866846160247154,0.8852484484138792,0.9966276544669609,0.008597377534859719,0.5320642316917572,0.549256540378456,3
LRN_lightgbm_l1,1.113326804073348,0.9478561415132059,0.5167935167720108,0.11336576209747506,1.1050244925977133,1.1229517563513338,0.25273632694186343,0.41002519664413667,0.9190269706296373,2.238093969700005,0.41425602029107056,0.6170551366771727,0.2992251016260163,0.5306783536585366,0.6347710376385215,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.14206128321802,1.0511297456098714,0.3785130206552018,408.6666666666667,1.306252081161337,1.18075931787195,0.5296639021561185,1494.3333333333333,0.04655743374723388,1.071706365977293,1.1636056333133646,0.06621245040288826,0.8931947869450058,1.0214814278347746,0.008790732146127996,0.5092053814335433,0.526426430494087,3
LRN_hgb_mae,1.1174642063891225,0.9673599483277799,0.5142818880859962,0.0997124129162678,1.1177755933372833,1.1721563918981246,0.20112851524591105,0.4405021418805193,0.9356227269405887,2.2081517837629367,0.4066635582901437,0.6079350673956302,0.2785823170731707,0.5112423780487805,0.5798378549287684,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.116820100560888,1.0378822628475262,0.36540938703796294,408.6666666666667,1.2838380509984488,1.161801651373614,0.520006648051458,1494.3333333333333,0.047535581218376845,1.0677879303173783,1.1625219432959364,0.06364177445336182,0.9092414136299546,1.0353672887869998,0.016636845824486227,0.4958817233107586,0.5282631932430333,3
LRN_catboost_mae,1.1199721357349766,0.9526135143064764,0.52316470379287,0.1282058293449261,1.1220219553818198,1.1239417763970314,0.26397141450845796,0.4133957846137794,0.951821912515539,2.21996757061518,0.3822258815725456,0.6129200865181873,0.27997967479674796,0.5244537601626016,0.5838329428276593,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.2019318234643017,1.1311337320043309,0.38719078545323105,408.6666666666667,1.2978899487035316,1.1773397215048993,0.5240026928878317,1494.3333333333333,0.03180376827044271,1.0914916227680507,1.1542903642787745,0.04669695252682318,0.9132662446243999,1.0042159707937457,0.00805791490452893,0.5138978507576486,0.5285220562226679,3
LRN_hgb_l2,1.1385834338444039,1.0103108848560258,0.5192874898369175,-0.02122541190146036,1.1435912566693485,1.2253063652524876,0.10596384386258932,0.4361887561923419,0.9676248145795775,2.293370418623786,0.42986473188103197,0.6000993723977115,0.27489837398373984,0.5040015243902439,0.7400065408999182,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.0458298158937078,0.9727769426261359,0.4071996647947489,408.6666666666667,1.2796313960453867,1.1845677570587263,0.5247863339718298,1494.3333333333333,0.06761882353029744,1.0606974432847744,1.1822840179600154,0.0606957974642823,0.940441422006321,1.0500072809735526,0.014133730718845923,0.5069932000391538,0.5347298040623529,3
LRN_kernelridge_rbf,1.255452257980837,1.0644734897198258,0.5977989322399385,0.0236042080338635,1.2617479319327225,1.3654542579385371,-0.014847038494662993,0.521895327059876,1.1626969622493755,2.1981421265349943,0.20735022211598628,0.5431336569216817,0.2229420731707317,0.4327997967479675,0.24045830364207854,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.3359558303077883,1.2456486958638486,0.40208514968635006,408.6666666666667,1.3307076626456986,1.1645235576420792,0.5743331159006896,1494.3333333333333,0.022286531398848414,1.2415495783435022,1.281157960117858,0.04342092012502367,1.035260996161215,1.1143692387564565,0.00046224349085534106,0.5973995346481283,0.5983052745056587,3
LRN_mlp,1.3531686112693142,1.20416586045818,0.5438644246454593,0.05164943973056724,1.34120562121974,1.2478010610598849,0.030994725441319055,0.5105206233968159,1.069115076048396,2.7515449504145395,0.3874987792513145,0.6416365461532101,0.2615599593495935,0.4999364837398374,0.991269876736836,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.4424506452493642,1.3367734824378876,0.4993857116890075,408.6666666666667,1.6320901022922216,1.5166493189630943,0.5826389097859651,1494.3333333333333,0.012528834926948944,1.3392201095515113,1.3634671935644709,0.042261175662907484,1.1738151654103464,1.2524340085737085,0.01787704807079479,0.5233327531428561,0.5559813942945119,3
LRN_ridge,1.4426344528807338,1.2309819271145839,0.6155485672147133,0.011746702631911946,1.4323552892662939,1.370754694209402,-0.14963614916715082,0.574187063345656,1.1672802040267165,2.9748747420850346,0.2198290225805198,0.5910159397094265,0.2424415650406504,0.45388719512195125,0.8738543540731376,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.317614988583853,1.2500952351895658,0.46203042759349056,408.6666666666667,1.7021665363656258,1.5507160918928058,0.59275829909102,1494.3333333333333,0.04868136619479978,1.4002113246985464,1.4957847718163806,0.05662407561829091,1.1966018813350652,1.2963362031260786,0.001952415094852969,0.6143260502468578,0.6178002567091041,3
LRN_elasticnet,1.4971701558287316,1.3101315750596438,0.6480738520251769,0.029872732262066475,1.4854119134044668,1.3620722549307207,-0.10073227923355525,0.5579993276591865,1.2050668723279783,2.939487484266754,0.2583980741686056,0.6408094314454322,0.23958333333333334,0.4442962398373984,0.9796767606462926,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.6915674119503752,1.5810756960450354,0.5805998750938699,408.6666666666667,1.7066501104436618,1.5534469746321093,0.6541357640330975,1494.3333333333333,0.020272282306502475,1.4739685666173912,1.5114598393249472,0.039461442649941766,1.2872234844424686,1.355697495048775,0.0016187695266995214,0.6462049213976209,0.6490354929274209,3
NULL_global_mean,1.5524733168840574,1.389808732218814,0.6028276668110364,3.700743415417188e-17,1.5397131827363078,1.6265296616650102,-0.4398358379226283,0.6499147037540344,1.4161125135286816,2.808059291972006,,0.5,0.20013973577235775,0.3661077235772358,0.271016758447496,5248.0,152.0,131.0,79.0,6.256051615740401,131.0,1.7893079262342295,1.7416375475768842,0.39911820671277237,408.6666666666667,1.6486695771908366,1.5366545553534523,0.5808408641638446,1494.3333333333333,0.07422442739364725,1.4742381868958943,1.6219011763128064,0.12105423252006561,1.2745806153990251,1.5159500700993391,0.0,0.6028276668110364,0.6028276668110364,3
