record,arm,job,fold_id,fold_hash,digest,steps,parquet_sha256
B5/V1__copy_exact/s104729/pub_8dafaf94bc.json,B5,fit:B5:V1__copy_exact:s104729,pub_8dafaf94bc,93871b06eb3344c22e5bc25d9e392ee4721e933dad7631840c001c7587bb4311,388f393cf8c51721d56f7f245738f9d24b4c3959e1596053b854ccd4396f79cc,"intervals,point",78f1a1f4cffb60ecb9b39a4a48b2b50aa1b4b56d5f2510675575e39bd31b6e48
B5/V1__copy_exact/s104729/pub_917a4583d4.json,B5,fit:B5:V1__copy_exact:s104729,pub_917a4583d4,34a43e2e9d00b007d4914e929bb1236ff47f720ae48518f3d1f82dd0d6f19d90,0a457ff5b4523703e5d97ef9a5f6102576adb3fe12babd91aa2a776980111bdf,"intervals,point",d812ab52091888c10a6c16a67944ce0daa297089bd3bc5ee4f981c2cd5016a87
B5/V1__copy_exact/s104729/pub_92fd5bea1e.json,B5,fit:B5:V1__copy_exact:s104729,pub_92fd5bea1e,1db75e4894031a5ae093f54c545735d20d73f83a6215d81ee4dc585540e72b1d,4fb9b412a874c438e74b8bb03ee438a1624c91e2d0f61ef64a67cf5761127751,"intervals,point",a1a8550f180c495091e6ee6a4778be4f1ea6253c5c764190928a1bba2b39ab81
B5/V1__copy_exact/s104729/pub_97510df3a0.json,B5,fit:B5:V1__copy_exact:s104729,pub_97510df3a0,1be79d8598b00bfe9b4a07e4eae8b437d0e335c256626a81d9390c9ca74ffa6f,7250876323543cc46a316529e1205a8aabf599c356eac930da17bb1c5d16e1fb,"intervals,point",72c4567b2993b1855780f66ec5b023c234b033521e87cbf4bbeb7a17f6846b05
B5/V1__copy_exact/s104729/pub_a470dfb784.json,B5,fit:B5:V1__copy_exact:s104729,pub_a470dfb784,e9f79e749e80881a04854f453a8f745a3c9ae8f62e39e0c40e94c7fe9f33e803,e3722cfc77df25d0f29c553a2bb6e73b48d8dd982c5f8983d4a878d5662ac1b1,"intervals,point",7e0313b24ab4a5c462f8dd11220dcc691039473dff6c7d2f1950048df46f5043
B5/V1__copy_exact/s104729/pub_a9266a9412.json,B5,fit:B5:V1__copy_exact:s104729,pub_a9266a9412,657afa8b55565b3beaa9125ae98565ec91416a6c6a943e73fe4b1a4bb47d218e,9a277b309a4a0b001f891bc623c928396e342ebf7a240b95623331f834fc88b0,"intervals,point",9106d4fa030a4810fa5a7524573d730c44468445b505cd1e34156e7610edf52a
B5/V1__copy_exact/s104729/pub_ad5a7268e5.json,B5,fit:B5:V1__copy_exact:s104729,pub_ad5a7268e5,808afe37e2b2f383c2f72263634a10a8e6475699f9985e793d9876dea56fab64,e18c1d40a22a301b9831414bb8d6eb64beaadecb733e529df607f3490579e2a8,"intervals,point",b98e7ee9cfaf3c473b94c48bfcaf7ef3fc047e57bc73c50510caed147b87c9a6
B5/V1__copy_exact/s104729/pub_b0b3296ec5.json,B5,fit:B5:V1__copy_exact:s104729,pub_b0b3296ec5,878b58eecc667ab1589c9f0461c1646a5ebc64bdd68972110e1e15407eb88fb7,f74516c066768c4ac80cbbf704534c248c8bc16002e6c91ee7125fa99e385b0d,"intervals,point",4f7f634ff67ba4beb3bb8698716c5b69f9bd99a5b2123e519c4d754029214d49
B5/V1__copy_exact/s104729/pub_b155314682.json,B5,fit:B5:V1__copy_exact:s104729,pub_b155314682,0523f015bb98b462cfaf3a85648dbe7387de2701b5ec958b241b99f9dbbe9b3f,5211293217b09bd5d51073d4d50de640816c1b79f4dad2e770e4f0cc416e60f7,"intervals,point",528583bd86a07ef8ca2840fd41e543dad75e6276addfbd83c643827bc614a0f2
B5/V1__copy_exact/s104729/pub_b4273fb42a.json,B5,fit:B5:V1__copy_exact:s104729,pub_b4273fb42a,5e0a3e060d718e3d99468d773aa251a32640270a36ee79d10db07bb4cccafee9,b144e87f43695b9bc0b83119c5bcbd603135c910ee6d21751e68081e3ae42b52,"intervals,point",446c2f9e2eebb3ffb613745ece37e55d399a6f7a08303ec8f63dca64aa3e33c1
B5/V1__copy_exact/s104729/pub_b92b9c1ebe.json,B5,fit:B5:V1__copy_exact:s104729,pub_b92b9c1ebe,96811920799a659f6d062b4fe84acc479a6bedbd7f3192da3729d243996d74c7,cda2bbbd2c5ab0bec333b1641ed9015235e36323c15b680072054d6e8dbe253c,"intervals,point",e72a20dcd7a75d0b6e6dbd5d2ea1f0cb17fde4099966f18ea40ba018290a066b
B5/V1__copy_exact/s104729/pub_c929bc0daa.json,B5,fit:B5:V1__copy_exact:s104729,pub_c929bc0daa,5e52aa598909abd621d294ec31a0168e4231697a4c3e62d24f2c3d7796773481,ef52df85159e3aa6e2b8ee49106afdd4e733d98def4955427e1011dd63a29c0e,"intervals,point",5f243475bb44fb635deb80351617020fed2d1fe7f103249a98fbf5a0aa939643
B5/V1__copy_exact/s104729/pub_cdc2243314.json,B5,fit:B5:V1__copy_exact:s104729,pub_cdc2243314,2de83723606f421a0357c3c055dbea81c1bbbdd6a5ba8b82998cc542faac66f1,9ccabc0a048d1dbc5bbae17ddc3287fffd5e56caeced1958c741712733a0d82b,"intervals,point",e48819f13defe5e9106869434c45a8fdc071e1a245da23a346eb116df5a5a66c
B5/V1__copy_exact/s104729/pub_d3c970567f.json,B5,fit:B5:V1__copy_exact:s104729,pub_d3c970567f,870f3ca1b40c22da9c75349abd19bcb0e529cbedf5e1085bdb760913662603fc,965bd709e27bb3f62ff614501b75784b0f50436ac8eac02a55ebe3451b1724ce,"intervals,point",4854c04cd78554e625f2d9cc161449ccf96d661c3f155b50596ff7eaadf3f7a0
B5/V1__copy_exact/s104729/pub_e287124c22.json,B5,fit:B5:V1__copy_exact:s104729,pub_e287124c22,9d4f90f1d19e4cbc156a4f60e432d8eaed7b037bce2ce47f76382e7aa7409840,1044bfc90d5d478878d59648293e2e6a979ab07f58e31abc9d18a9a7205894a1,"intervals,point",56495291e8023c7e82f5e8ff957422d8ce0ea460b0f788df0fd132fda8e3ae94
B5/V1__copy_exact/s104729/pub_f5d1922154.json,B5,fit:B5:V1__copy_exact:s104729,pub_f5d1922154,67da0b7de80fc34fc2e6500d0da455d0cc6ff4af36f6bc957683f7ffb4700f27,1c754f560c4b1a02ee9a6cd5aad2e1cb7de656bd0ba21583ff6d1df0f6e744aa,"intervals,point",a6b07da5e0a9dab6487fc88260247584775f0ebb9fdcf3833e78505f3be8587f
B5/V1__copy_exact/s104729/REMAINDER.json,B5,fit:B5:V1__copy_exact:s104729,REMAINDER,041d4ad5f2375fa7ec9cadbafe8284c0dbeba2c6045fb82074327e9e09c6872c,13df92ab898762f7a20f0c00318f347a7a161dfcbc0feb95c7df95ad7e1ce6ea,"intervals,point",8f4411685b883e3a2e37c8e57694bc8fc33259b9607e14e10997aa7efb93d293
B5/V2__element_exact/s104729/Ce(III).json,B5,fit:B5:V2__element_exact:s104729,Ce(III),baad6d1b1d4bb4b11ce324af64d78d3955812abfccbd13f52b10851fd8cdca65,3aebd92e8eefe6155e95e0787fc75e7a13b20f67022aee5f2a5c7feef4061f6c,"intervals,point",e1897a387c25e2fe21ccdf20d1e97ee83ec1c77d027dcf45cd7895dcf8e807cd
B5/V2__element_exact/s104729/Cm(III).json,B5,fit:B5:V2__element_exact:s104729,Cm(III),9358db095ee8e72a1ebce252007388f6da0f16111911c7fcd6d3be39741d3fd7,1afc443f39da7c8ae97b82b383b8adb0053c75b8827409f18e71ebfe686c587c,"intervals,point",94da4d6b4ff28208cb07cd6659b9f8347e40b2b294340f3948b7476d8a00a8d3
B5/V2__element_exact/s104729/Gd(III).json,B5,fit:B5:V2__element_exact:s104729,Gd(III),780523562fa0b106523cd99cdc1d976ad0702a33a4ebe4243dcc2299ad2f30ea,995063209faaf5b9f19f7068e35cae1812efe1a646f3c50a46d9ba45e56bdc16,"intervals,point",2ef5433916b019afbb83e600673984805a6342384373fa17e63c6badb8464daf
B5/V2__element_exact/s104729/Ho(III).json,B5,fit:B5:V2__element_exact:s104729,Ho(III),d9f356117275f99634ba06a2255c00d87d491bb62dd36f11f24e79a0f7992e12,384167f2ad466de5acca83298b600b4317048dddc6d2a2b1a6ae66a16e342b17,"intervals,point",4fcb5d6e8ca2397e05561c3fac35742b3702621d3855e8593d709cbf6f8c3b9d
B5/V2__element_exact/s104729/Lu(III).json,B5,fit:B5:V2__element_exact:s104729,Lu(III),54ec02d99a86b385a7d1f74c7c61e70cda613b92ba3d6867e52954babc055379,a2f48992cf32520b89ced011d450e9fd5d5c42a3c58ad96c01920323bc4a1d30,"intervals,point",618d4811ff113c92001a99bc9e9e7a2bfa0c710e147ce2ab55658a52759ecbf6
B5/V2__element_exact/s104729/Nd(III).json,B5,fit:B5:V2__element_exact:s104729,Nd(III),b032d41b03c434b091ac0f9837ab74679d7dc11cfb093fdbccfcb0b70f894a15,ede7b32adf557be659f12d4d57c4097c23a5e82b20905df9e7601a94e1a74580,"intervals,point",4875aed4c8baf00c2e2e7929c1cd58ef6f27208ad011a8a05cbee776730ee0c0
B5/V2__element_exact/s104729/Np(IV).json,B5,fit:B5:V2__element_exact:s104729,Np(IV),0160be56aa90f12305666726a8c9bf9c607f4715fed5fa4c13b564500ee70dfc,6d144653116c4166ae1fedb4f3b6f4532495864f6056b9d77184365fb4136940,"intervals,point",f69f803ab7842311f84360c9fbce17a6545f9856994558ef9f5a1317e36bc3b0
B5/V2__element_exact/s104729/Pr(III).json,B5,fit:B5:V2__element_exact:s104729,Pr(III),c626ee65758ae45cf22269c99b772c329217cf5d45d8c763e720588cf288108e,5c0b1aaaaecd8bb261eb9ad7c5a312ca8956c0809c5a4a695f5c66abce423a9f,"intervals,point",069e36694fbdf61dec0e8a7931c4a1c03de8408278245f90a224a768bc6954b4
B5/V2__element_exact/s104729/Pu(IV).json,B5,fit:B5:V2__element_exact:s104729,Pu(IV),8c64906de59b681828e98bed47cc22b05b281fd04b6dc8f7df3df00a6513e1a8,652f4a01fa7c3ae963e7f1273a5250a855bbda157225eb76d9cc35c77671bc72,"intervals,point",a60e6ea580a2143cf824ed13e85c750fed6cf5317124bbcc0e346581bf66d207
B5/V2__element_exact/s104729/Tb(III).json,B5,fit:B5:V2__element_exact:s104729,Tb(III),9fff6a286aa5d621b98b31d391972daa2f70c4a3e7e02ed22461e7859a2e4a46,7c1dc632aa39c44b54ab7b1e9d3e3a6d74dc77e4e54a0042f8d26cbdd3728c4a,"intervals,point",86b3ba03aeac878063918c5ef87157920396325c541949fa1ad95b22b0440192
B5/V2__element_exact/s104729/Th(IV).json,B5,fit:B5:V2__element_exact:s104729,Th(IV),31ea7487ab199591ddfaa91a9affd737a7f6c3f59b2e63a6e3ef50236274deac,1a225df94033bd0e8173b99eb9054afb5cea6269fdcdde7d524a2e2208d707ac,"intervals,point",0adb3cff77b180fb857ff305ba037e246c8244e5285cf7b2dd478b0bc917dcec
B5/V2__element_exact/s104729/U(VI).json,B5,fit:B5:V2__element_exact:s104729,U(VI),b2a1a12f33a5cc6ae170c2c5876d85d8372d18503110eec0249eb6167b0ab1f1,d72714893a6aeb5aff703c3e7894da73042714b313866ff22adb2344a9495272,"intervals,point",94e412e60c99949073c24c07d53532b422e95eadd253448a677d2b3d0e4203bd
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b000.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b000,51efa61d7e2620244fec63d04d1e0545d496c3d3c190ae478723c1fef2e159bd,d78867af4425a339cd4b51304d4830a6d89d025b5b10958609ac53790527120d,"intervals,point",e09a1aaa9d4a3cce3615079de58d73994dcd1e16ee2a1e1b0fdde58858ca1879
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b001.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b001,5c7d05bbfe36283aa6d57e53604e528d4936a8ea9ba4a4cf70f0de00cde58abd,9adbdf3f64dd9a9cf8e7a720676fe71cf515e71a2f4849c36e3e58bd1032b600,"intervals,point",39d0494378bd3e2f2e1bb27c9fec5cdbb39b5b856202667e78cf776d7875f57e
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b002.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b002,7659332b2d8d26bd298bd0abc6465d55e6e70846b06c130c451eada4245ee770,61a358e8f3202c14bc438095614f8dc6ce6f4cd6acc9b1d8a7029106bfda51f9,"intervals,point",b1e034d1e65c95a9202fbe95abc91747a9e03dadcbd5337cd34b5d2782730eb8
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b003.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b003,6247151930ab19c42459884b8b7244ca1c98fa1094cab3cbec5aa55f8eb5ee92,19ebd7b47687eba3e15f4b855d4d6ffcaf5621ee40d5903caa9f289f5a3cb2ae,"intervals,point",d07c9c5cfea5b0fd936cab62e1b594ef131ded5e88a886ee62392cb348089517
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b004.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b004,6ff522a27ed28aabb4a63a58fec8c198a61b02f1d197d876de85e80def5e5a5a,55f8ea49811ee235bb8eab313e2adc051dae883b33fb17dbc78da524c4928dba,"intervals,point",b48c9f245f08386379c310c93cb3eba849038f09ccc1b8c699a237828a8ed520
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b005.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b005,83926984dea899ca3dbb8a14fddcc7c128a0bae72c2ca975434130c2bfcdd397,6b6340179c269b93418ef3374296f61f0f3c87bfb17bea25ec52cc1f8dc902ad,"intervals,point",2b66a1acd808724e962687047d18f51cc8aaddd86b1cbdc3dc9a80664900b3d7
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b006.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b006,0a182a3ec650837657989f07915500156e7dbddcac83f77b81cf2320b2b243fe,4beac057e6b254e8107012b3317240d60f0a7e63ea6f1567329a40597e888eb4,"intervals,point",fee868dfaf39919ad6a9229884844ab48994ddc5defedffa56ad9638dd106141
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b007.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b007,43a818e6afc8f9f1cdb1f958eaac5757cf438098bba54738bb459031f43f8877,1037580a7b79e5102d19227c76f9160a5d6f763ef838ca96d564e0d68a7f09f3,"intervals,point",609871d8239a291aff541a55e9ca66604edfd7fe784d6fc1f657b39efae2bbaa
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b008.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b008,56917e3033453afa9668d4c3632b1097248df2775698ccc6b57031cea60cd37c,23700ec6b90110e6d534034624a8a4e01faa036e27cc52f39ab1e884737ffed2,"intervals,point",1b9f399e051cb8e5b70c81c4dd5f08c6df2689b9aaaaa445f9f6f786b36ef379
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b009.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b009,99773639a361b8db3b17dacfe34749a6f87c08fc356cc16ba575845b74e52436,1513247d7facd7e6112cee2260f63205482f22705b8f8150007d7ccfac1c7705,"intervals,point",69f5ff190f018a76005863a049528b3104bd25cecd466eeb1d820fe75acf2a78
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b010.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b010,173e0bf9892e2dadd6fe033946adbb77d3c8105399a0f8da281e11829d8b43c2,42046a9bfc3158e0a5de1216509aeb3c2a4686b511b16cc4f736aded360adff0,"intervals,point",afe100486f3bc9aa4df87145c63338d01b229e6338a8ba1d369c5b8d15144b82
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b011.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b011,db8c87a5884bf8d21ecbd4e93249c42f4ec8ac140ee50d98183b04330df331c2,3db72ec1ccb3c3b1744c5ec3e6a4cb41b20f8a2fd7a32b25ae6b68bd2a8e125b,"intervals,point",1a39ab1431723fa0afebb5132b95b19ae04c6d9b8389583526ca35abca447d2b
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b012.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b012,92f52b28f059c61b0b57027f601ec58eabebdb53b6d8a5e7f24f2bd6ecda4eb1,e716e774df303c6cb19983cc4598f896f584548f9472a2bdc5896a51788cd0cd,"intervals,point",61beb3c1444b3e4bd2b73e3022f31d45f6c303a2e93af4bc8f85533a230443e3
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b013.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b013,6bab9b9a6fad5da4ae7a754868f30fcb76a80dbcb5614bc3cedb062c209f7ca4,2e087f659836856bdc73c753e7423ae19988dabfbda276c0d0f794056981ab82,"intervals,point",e00e2d050bec771df22715fac06004072d573d1326bd8673b58c0b895e979745
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b014.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b014,329d09e547d73d1b2858da90b2ba99d63e97a7f68d02f589fa6d582f9a9314b1,0d0e85e1fae2dcfb01c30dd7b45994f03c4d04f05ae036eb1375b470fd667700,"intervals,point",67ab85cecf10f193e729472d879d1124690c5e874899ee16acb833024ad6c6fe
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b015.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b015,60ec5f52ee41d04e7286291fafd8f591f3c825a3cca21aca95269a23f4bc7db5,5959bec6897811a9c08668b4bcf71c155964dc8095b3950644701e313b1d663d,"intervals,point",f19d2a1989609793eeaae4a7445c278b0b02e0fbecbf116983bf93953917f305
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b016.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b016,9402733a65e18c9437e30fece2f8ca9efe25a670ae2b20765d2e132ddfa4c1a5,dd6c5c82eb153d5944ae9fe767341d912787368842e262b69fe6e623c0658d16,"intervals,point",c5f4028ab9ca4db18a7050d819c8364c1a6782bdfd8aebabe9ec80258578ad3f
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b017.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b017,8534b0f79b6ff9c82bdf3a5cf08e7d65df570974de649cb0ebc8cbb1bc240904,77dd85745ba533d0a77368ac4f9e9ea34bc1285ba6b37e18dbfc15b4894fa86e,"intervals,point",ae0152a7858d45861226f28ea56ae89b727d17052ffd2dae03519d5d8055c0fe
B5/V5__hno3_only_batched_max4/s104729/s104729_S_b018.json,B5,fit:B5:V5__hno3_only_batched_max4:s104729,s104729_S_b018,5351b259f055268ce850c98c5830abe48dd9ad3eca8d865bb51b74cec0df8b34,0e0f7de1e6133c37a99fb2eadf0d17e497417d0d7ed5e93238faa09fc23605a2,"intervals,point",fe8ea407233269bf1f666e6d0eb118e68226998af70969b5b3cf4f7e5942a4e4
