grouping,extractant,n_rows,baseline_mae,baseline_rmse,baseline_sign_accuracy,baseline_r2,delta3d_mae,delta3d_rmse,delta3d_sign_accuracy,delta3d_r2,mae_reduction
extractant,CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,2,0.19189050913963412,0.19355348753538634,0.5,-0.2105723291100261,0.16956716732389024,0.1766187803561062,0.5,-0.00800457552718048,0.022323341815743886
extractant,CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,2,0.11979584023125239,0.12641346890548733,0.5,0.3881206261216341,0.17832524019745882,0.19374734070045319,0.5,-0.43731055959691467,-0.05852939996620643
extractant,CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,2,0.007882728959330947,0.008770085632840851,1.0,0.9561697260783939,0.033300070185534436,0.035342414221601635,1.0,0.2881984289801304,-0.02541734122620349
extractant,CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,2,0.2724126092573723,0.2890229545284939,0.5,-0.006370338260087038,0.30705240835940417,0.326123600054631,0.5,-0.281320017476695,-0.034639799102031854
extractant,CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,2,0.21399702820632507,0.21441535268169817,1.0,-0.001910226130902748,0.22293066281226454,0.223738808780315,1.0,-0.09093705885905146,-0.008933634605939461
extractant,CC(C)CN(CC(C)C)C(=O)COCC(=O)N(CC(C)C)CC(C)C,2,0.10088833364409602,0.1162359752514762,0.5,-0.8169009546896289,0.07584669731303303,0.09984955721921143,0.5,-0.3407333494590259,0.02504163633106299
extractant,CCCCN(CCCC)C(=O)CCC(=O)N(CCCC)CCCC,1,0.010870447583592749,0.010870447583592749,1.0,,0.056810617776181814,0.056810617776181814,1.0,,-0.045940170192589065
extractant,CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.005206917100200793,0.005206917100200793,0.0,,0.003558403711604031,0.003558403711604031,0.0,,0.0016485133885967623
extractant,CC(C)CCCCCP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,1,0.011743328646094127,0.011743328646094127,1.0,,0.021494585955480393,0.021494585955480393,1.0,,-0.009751257309386266
extractant,c1cc2nc(c1)COc1ccccc1OCCOCCOc1ccccc1OC2,1,0.1355476518416099,0.1355476518416099,1.0,,0.48473310794470215,0.48473310794470215,1.0,,-0.34918545610309226
extractant,C1COCCOCCOCCOCCOCCO1,1,0.23706954744845274,0.23706954744845274,1.0,,0.21247716774895534,0.21247716774895534,1.0,,0.024592379699497402
