extractant_system_key,e_l_00,e_l_01,e_l_02,e_l_03,e_l_04,e_l_05,e_l_06,e_l_07,n_training_rows,family,fold_id,fold_ordinal
CCCCC(CC)CN(CC(CC)CCCC)C(=O)C(C)C,-1.28759,-2.13982,0.460037,0.746605,1.34855,0.847451,0.628318,-1.17116,451,monoamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC,-1.23886,-1.84446,0.743364,0.485773,1.00722,0.91333,-0.0923871,-0.812482,25,monoamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CC(C)(C)C,-1.14786,-1.70892,1.02877,0.628031,0.574015,1.0353,0.210774,-0.677902,29,monoamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCC,-1.00397,-1.42211,0.753962,-0.127885,1.25976,0.981641,0.348787,-0.766181,447,monoamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CCOCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-1.22209,-0.325929,1.72241,0.360466,-1.47416,-0.282744,1.12404,-2.86295,4,polyamide_other,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)CN(CC(=O)N(CC(CC)CCCC)CC(CC)CCCC)CC(=O)N(CC(CC)CCCC)CC(CC)CCCC,1.36171,-0.79172,0.126116,-1.04302,2.87258,-0.428756,0.840095,-0.950156,24,amino_polyamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(=O)COCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,0.681113,-0.616552,0.289826,-0.492227,-0.460704,-0.450768,0.547004,0.13517,520,diglycolamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O,-0.917429,-1.4313,0.583242,0.169158,1.13478,0.548022,-0.389132,-0.667855,27,monoamide,s104729_S_b000,0
CCCCC(CC)CN(CC(CC)CCCC)C(C)=O|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.7291,1.23376,-0.155897,0.624916,0.371692,2.66534,-0.7632,2.11098,4,diglycolamide+monoamide,s104729_S_b000,0
CCCCC(CC)CP(=O)(CC(=O)N(CC(C)C)CC(C)C)c1ccccc1,0.326634,-0.188231,-0.588391,-0.637257,0.773622,-0.352417,-0.447545,-0.842797,6,carbamoylmethylphosphine_oxide,s104729_S_b000,0
CCCCCC(=O)N(C(C)CC)C(C)CC,-0.778699,-1.03678,0.66888,0.200388,1.22999,0.568492,-0.366205,-0.765158,5,monoamide,s104729_S_b000,0
CCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.97162,-1.47678,0.887167,0.203151,0.715796,0.862144,0.183654,-0.836062,17,monoamide,s104729_S_b000,0
CCCCCC(=O)N(CCCC)CCCC,-1.21915,-0.965392,0.729935,-0.0325689,0.669106,0.979273,0.0707084,-0.633183,2,monoamide,s104729_S_b000,0
CCCCCC(C)Oc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,1.11502,1.04552,0.449306,-1.52971,-0.855849,0.448191,1.5601,-0.06002,2,diglycolamide,s104729_S_b000,0
CCCCCC(CC)C(=O)N(CC(C)C)CC(C)C,-1.31767,-1.8719,0.589842,0.457119,1.06608,0.994329,0.31604,-0.890048,14,monoamide,s104729_S_b000,0
CCCCCCC(C)N(CCCC)C(=O)COCC(=O)N(CCCC)C(C)CCCCCC,0.641676,0.356188,-0.477814,-0.743069,-0.816667,-0.690801,-0.140179,0.564209,119,diglycolamide,s104729_S_b000,0
CCCCCCC(CCCC)CCCN(C)C(=O)COCC(=O)N(C)CCCC(CCCC)CCCCCC,0.467267,-0.276451,-0.283696,-0.477657,-0.834384,-0.47646,-0.196402,0.424862,14,diglycolamide,s104729_S_b000,0
CCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.48764,-1.07764,0.604761,-0.11243,0.941367,1.18857,-0.332188,-0.546661,446,monoamide,s104729_S_b000,0
CCCCCCCC(=O)N(CCCCCC)CCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,1.8914,1.31448,-0.181246,0.43839,0.165231,2.6325,-1.02537,2.26732,46,diglycolamide+monoamide,s104729_S_b000,0
CCCCCCCCC(Br)C(=O)O|Cc1cc(C)n(-c2cncc(-n3nc(C)cc3C)n2)n1,-0.213417,1.12945,-0.15935,0.653134,3.02969,4.32902,-0.309836,-2.272,6,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CCCCCCCCC(Br)C(=O)O|Cc1ccn(-c2cccc(-n3ccc(C)n3)n2)n1,-0.357912,1.02138,-0.342339,0.697679,2.85272,3.88516,-0.325091,-2.16036,6,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CCCCCCCCC(Br)C(=O)O|c1cc(-n2cccn2)nc(-n2cccn2)c1,-0.0592274,1.2272,-0.39543,0.515665,2.70801,4.08348,-0.416624,-2.01703,6,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CCCCCCCCC(C)(C)SCC1CN(C(=O)COCC(=O)N2CC(C)C(CSC(C)(C)CCCCCCCC)C2)CC1C,1.05574,-1.2324,-2.20746,0.409612,0.00398412,-0.286717,-0.0779144,1.59299,14,diglycolamide,s104729_S_b000,0
CCCCCCCCCC(=O)N(C)C,-0.522215,-0.424387,0.541582,-0.00894541,0.303426,0.246845,-0.627856,-0.274695,5,monoamide,s104729_S_b000,0
CCCCCCCCCC(=O)N(CC)CC,-0.535616,-0.48253,0.487909,-0.00359651,0.694695,0.406929,-0.590694,-0.418705,5,monoamide,s104729_S_b000,0
CCCCCCCCCC(=O)N(CCCCCC)CCCCCC,-1.34667,-1.06025,0.734461,0.217052,0.856816,1.10017,-0.399929,-0.592958,63,monoamide,s104729_S_b000,0
CCCCCCCCCCCC(=O)N(CC(CC)CCCC)CC(CC)CCCC,-0.84059,-1.34277,0.530658,0.126315,0.702866,0.686293,0.278573,-0.439435,11,monoamide,s104729_S_b000,0
CCCCCCCCCCCC(=O)N(CC)CC,-1.29587,-1.16188,0.445377,0.379202,1.10696,1.18584,-0.566226,-0.563989,47,monoamide,s104729_S_b000,0
CCCCCCCCCCCCCCC(C(=O)N(C)CCCC)C(=O)N(C)CCCC,0.409852,-0.155921,0.193672,0.355569,-0.30735,-0.960992,1.44747,0.807005,12,malonamide,s104729_S_b000,0
CCCCCCCCCCCCN(C)C(=O)C1CC(OC)CC(C(=O)N(C)CCCCCCCCCCCC)O1,0.281346,0.674892,-0.649858,-0.538797,0.05005,-0.284769,-1.43291,0.848399,105,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCCCCCC,0.311976,0.160184,-0.447518,0.179033,-0.644913,-0.377239,-0.231607,0.615954,22,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCCCCCC,0.454215,0.324701,-0.691946,0.112954,-1.12878,-0.668443,-1.31155,0.859995,26,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCCCCCC,0.332509,0.330478,-0.698089,-0.0946138,-0.757708,-0.644529,-0.98678,0.813976,26,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCCC)C(=O)COCC(=O)N(CCCC)CCCCCCCCCCCC,0.22765,0.381523,-0.308325,-0.11175,-1.24871,-0.451875,-0.896392,0.694285,22,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCCCCCC,0.0750362,0.241065,-0.566593,-0.113541,-0.993201,-0.28945,-1.05267,0.935516,13,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COC1CCCN(CCCCCC)C1=O,-0.0879978,0.358025,-0.0311737,-0.152389,-0.491055,-0.233814,-0.844491,0.446454,14,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.0812537,0.306707,-0.567008,-0.0782295,0.730219,-0.147447,-0.0805194,0.0454353,39,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.185026,0.347189,-0.688522,0.135382,-0.621358,-0.30273,-0.235912,0.738711,368,diglycolamide,s104729_S_b000,0
CCCCCCCCCCCCN(CCCCCCCCCCCC)C(=O)COCCOCC(=O)N(CCCCCCCCCCCC)CCCCCCCCCCCC,0.532168,0.989927,-0.579481,0.297938,0.491265,-0.343323,0.331884,-0.556286,208,podand_ether,s104729_S_b000,0
CCCCCCCCCCCCNC(=O)c1cc(=O)cc(C(=O)NCCCCCCCCCCCC)o1,-1.66248,1.23395,0.936341,1.4265,-1.57163,1.52125,0.880125,-3.35687,6,polyamide_other,s104729_S_b000,0
CCCCCCCCCCCCNC(=O)c1cc(OC)ccn1,-0.842717,-0.873371,0.973514,1.12447,0.122768,1.35953,0.635219,-0.539777,4,pyridine_carboxamide,s104729_S_b000,0
CCCCCCCCCCCCNCC(=O)c1cccc(C(=O)CNCCCCCCCCCCCC)n1,-0.478413,0.795435,-2.33838,0.741107,4.33534,5.51408,-0.973524,-3.03709,2,n_heterocyclic,s104729_S_b000,0
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1,-0.00503607,0.646187,-1.11859,0.210501,1.85857,1.05747,0.0620188,-0.87959,4,n_heterocyclic,s104729_S_b000,0
CCCCCCCCCCCCOCc1cc(-n2ccc(C)n2)nc(-n2ccc(C)n2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,-0.331798,1.24903,-0.123182,0.63044,2.77451,4.11724,0.046209,-2.40732,8,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1,-0.38121,0.240304,-0.777447,0.542476,1.92213,1.81323,0.533126,-1.21383,12,n_heterocyclic,s104729_S_b000,0
CCCCCCCCCCCCOCc1cc(-n2cccn2)nc(-n2cccn2)c1|c1cc(-n2cccn2)nc(-n2cccn2)c1,0.0597264,1.77521,-0.463444,0.261972,3.57225,3.68285,0.172421,-2.46909,12,carboxylic_acid+n_heterocyclic,s104729_S_b000,0
CCCCCCCCCCCCOc1cc(CNC(=O)COCC(=O)N(CCCC)CCCC)cc(CNC(=O)COCC(=O)N(CCCC)CCCC)c1,1.02043,1.1451,0.302694,-1.52217,-0.827691,0.769856,1.71925,0.0150059,2,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.0816201,0.283277,0.614013,0.567692,-0.262466,-0.284796,0.0289379,-0.101403,68,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCC)CCCCCC,0.291483,0.491866,-0.747493,-0.35647,-0.138515,-0.649347,0.107601,0.581852,216,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)COCC(=O)N(CCCCCCCCCC)CCCCCCCCCC,0.131239,0.286981,-0.574574,0.0949384,-0.673844,-0.40298,-0.274177,0.65325,184,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.400482,-0.329471,0.943851,0.895831,-0.199926,0.473604,0.783314,-0.406097,11,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](C)O[C@H](CC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.128374,-0.0889905,0.695168,0.621093,-0.200787,0.229472,0.621807,-0.225463,34,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.286562,-0.0348706,1.22147,0.542952,0.182309,0.468249,0.73066,-0.711985,27,diglycolamide,s104729_S_b000,0
CCCCCCCCCCN(CCCCCCCCCC)C(=O)[C@H](CCC)O[C@H](CCC)C(=O)N(CCCCCCCCCC)CCCCCCCCCC,-0.38044,-0.141293,1.19338,0.757174,0.374099,0.554008,0.870461,-0.797204,25,diglycolamide,s104729_S_b000,0
CCCCCCCCN(C(=O)c1ccc2ccc3cccnc3c2n1)c1ccc(C)cc1,-0.359056,-0.162437,0.0655405,0.615055,0.0791728,-0.627355,0.0900648,-0.215559,14,pyridine_carboxamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)C(CCCCCC)(OCC)C(=O)N(C)CCCCCCCC|CCCCCCCCN(CCCCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,-0.06645,-0.257443,-2.45421,0.977449,-1.48598,0.955063,1.94097,1.54847,120,diglycolamide+malonamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)C(CCCCCC)C(=O)N(C)CCCCCCCC,0.157985,-0.281942,-0.264614,0.0931774,-0.319438,-0.991576,0.954233,1.04416,9,malonamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)C(CCOCCCCCC)C(=O)N(C)CCCCCCCC,-0.348199,-0.58857,0.00859475,0.598703,0.17554,-0.469458,1.68107,0.388279,96,malonamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)CC(=O)N(C)CCCCCCCC,-0.110713,-0.569799,-0.28512,0.528947,0.0641033,-0.845494,1.31312,0.951045,9,malonamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)COCC(=O)N(C)CCCCCCCC,0.449317,0.357873,-0.50087,-0.0368159,-0.989832,-0.77579,-0.654142,0.864444,462,diglycolamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)COCC(=O)N(C)Cc1cccc(CN(C)C(=O)COCC(=O)N(C)CCCCCCCC)c1,1.12122,0.699225,-0.692685,-0.274945,-0.500796,-0.744503,0.546835,0.766385,2,diglycolamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)COCC(=O)N(CCCCCCCC)CCCCCCCC,0.29527,0.282461,-0.510117,-0.209448,-0.73995,-0.590114,-0.633194,0.755519,14,diglycolamide,s104729_S_b000,0
CCCCCCCCN(C)C(=O)COCC(=O)NCc1cccc(CNC(=O)COCC(=O)N(C)CCCCCCCC)c1,0.973653,0.677251,-0.17322,-0.854511,-0.50028,0.125678,1.18109,0.317863,2,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.308992,-0.214961,-0.114993,-0.0658398,2.4127,0.298315,-0.852823,-0.37881,4,amino_polyamide,s104729_S_b000,0
CCCCCCCCN(CC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CC(C)C,0.475514,-0.128705,-0.350631,0.0123093,-0.349949,-0.668003,-0.179062,0.356333,8,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CC(CC)CCCC)C(=O)COCC(=O)N(CCCCCCCC)CC(CC)CCCC,0.307658,-0.284051,-0.0491114,-0.177673,-0.415979,-0.343198,0.194622,0.26329,8,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CC)C(=O)COCC(=O)N(CC)CCCCCCCC,0.490094,0.348521,-0.626031,-0.22758,-0.639507,-0.712887,-0.637665,0.812626,14,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCC(C)CC(C)(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCC(C)CC(C)(C)C,-0.0101965,-0.31419,-0.627581,0.0759145,-0.377838,-0.502329,-0.373559,0.836822,14,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCC)C(=O)COCC(=O)N(CCC)CCCCCCCC,0.323815,0.27229,-0.470923,-0.316021,-0.748162,-0.626846,-0.596402,0.760432,14,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCCC(CCCC)CCCCCC)C(=O)COCC(=O)N(CCCCCCCC)CCCC(CCCC)CCCCCC,0.130799,-0.326931,0.0597071,-0.350908,-1.20997,-0.228805,-0.451951,0.308343,14,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCCCC(C)CCCC(C)C)C(=O)COCC(=O)N(CCCCCCCC)CCCCC(C)CCCC(C)C,0.449452,-0.723698,-0.442582,-0.130797,-0.969089,-0.704449,-0.984222,0.513201,14,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)C(C)C,-1.46547,-1.50431,0.589061,0.56835,0.908835,1.04867,0.0753342,-0.686371,12,monoamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,0.0440999,0.20481,0.88962,0.416243,-0.508575,0.105373,0.341504,-0.14687,24,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)C(C)OC(C)C(=O)N(CCCCCCCC)CCCCCCCC,0.0155702,-0.126106,0.857865,0.475251,-0.631112,-0.0930959,0.521287,-0.0827475,64,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)C(CC)CCCC,-1.39847,-1.12539,-0.0944413,-0.25335,1.45364,0.871888,0.173381,-0.572581,35,monoamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)C1CCC(C(=O)N(CCCCCCCC)CCCCCCCC)O1,-0.154638,0.320757,0.350517,0.204499,-0.402797,-0.376914,-0.359277,0.1938,10,diglycolamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CC(=O)N(CCCCCCCC)CCCCCCCC,-0.153783,-0.308521,-0.319953,0.200586,-0.256135,-0.878158,0.974968,1.09831,9,malonamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CCC,-1.19046,-0.905012,-0.324577,-0.286442,0.763398,0.605566,-0.194573,-0.16827,10,monoamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CCCCCCC,-1.29837,-1.00848,-0.0345136,0.0704932,1.10416,0.858944,-0.360476,-0.507841,34,monoamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CCOCCC(=O)N(CCCCCCCC)CCCCCCCC,-2.04191,0.407292,1.33989,0.672493,-1.24199,0.0724461,0.594566,-2.54374,4,polyamide_other,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(C)CC(=O)N(CCCCCCCC)CCCCCCCC,0.393696,0.463262,-0.644132,-0.540177,2.58503,-0.52475,-0.865431,0.0763257,25,amino_polyamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)C(C)=O,-1.85686,0.674306,0.97854,0.184414,0.194914,-0.636459,0.62979,-2.32386,4,polyamide_other,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)CC(=O)N(CCCCCCCC)CCCCCCCC,0.439919,0.863462,-0.384622,-0.818683,3.81407,-0.0289068,-0.471203,-0.450671,58,amino_polyamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)Cc1ccccc1,-0.121891,-0.111494,0.148817,0.116081,2.37331,0.450915,-0.946218,-0.608201,4,amino_polyamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CN(CC(=O)N(CCCCCCCC)CCCCCCCC)c1ccccc1,-0.709806,-0.731153,-0.170292,0.956726,1.39387,0.508505,-0.269603,-1.07711,4,amino_polyamide,s104729_S_b000,0
CCCCCCCCN(CCCCCCCC)C(=O)CNCC(=O)N(CCCCCCCC)CCCCCCCC,-0.697797,-0.637563,-1.51524,-0.531575,3.43553,1.16339,-2.73345,-1.13234,4,amino_polyamide,s104729_S_b000,0
