g19_metal_state,e_m_00,e_m_01,e_m_02,e_m_03,e_m_04,e_m_05,e_m_06,e_m_07,n_training_rows,fold_id,fold_ordinal
Pa(V),-1.28601,0.0603664,-0.173616,0.463881,-1.7864,0.0236274,-1.88985,-0.577193,43,s104729_S_b000,0
Pb(II),2.53969,2.29144,-0.450087,-3.04986,4.04904,-0.186903,-4.92382,-0.799968,10,s104729_S_b000,0
Pd(II),2.95499,-2.88551,-0.63574,-0.262737,-6.1507,-2.9468,0.0105739,0.742538,18,s104729_S_b000,0
Pd(IV),1.25682,-0.00683966,0.863582,2.05915,-4.91007,-3.00552,-3.12835,-0.834755,5,s104729_S_b000,0
Pm(III),0.561328,0.242404,-0.35246,-0.264854,0.968142,0.407335,0.192905,1.58872,1,s104729_S_b000,0
Pr(III),0.217123,0.0299994,0.343876,-1.10288,1.53343,-0.366892,-0.307676,1.76261,348,s104729_S_b000,0
Pu(III),-0.413578,-1.06597,0.0770878,-0.905308,0.53671,-1.01068,-0.144448,-0.677337,118,s104729_S_b000,0
Pu(IV),-0.190128,-1.37369,-0.772754,0.000256136,-0.322089,-0.105453,-0.670309,-1.41206,566,s104729_S_b000,0
Pu(VI),-2.01908,-1.08989,0.0748969,0.0140292,-0.837408,-0.0418089,-1.18614,-1.56601,107,s104729_S_b000,0
Sm(III),0.461505,0.147913,-0.028756,-0.276037,1.2561,-0.0136481,0.222733,1.48769,323,s104729_S_b000,0
Sr(II),0.694813,1.32964,-0.0373763,-2.26406,-0.127491,1.38525,-2.64749,-0.671927,94,s104729_S_b000,0
Sr(III),-0.703806,1.20143,0.0887079,-0.676745,-3.8423,2.44746,-1.77642,-3.65335,38,s104729_S_b000,0
Tb(III),0.623769,0.452341,-0.429022,0.337768,0.734083,0.565208,0.632627,1.2724,269,s104729_S_b000,0
Tc(VII),2.2643,-1.33308,0.661308,3.47874,-3.76289,0.0370844,-0.981066,-0.93502,21,s104729_S_b000,0
Th(IV),0.0525762,-0.927885,-1.2917,-0.90761,1.05894,-0.640743,-0.785408,0.00124586,773,s104729_S_b000,0
Tm(III),0.767179,0.419651,-0.401373,1.08937,0.906262,0.522615,0.964794,0.983646,201,s104729_S_b000,0
U(IV),-0.970279,0.0365339,-0.456925,-0.321403,-0.00241795,-0.450357,-1.70731,-8.90493e-05,15,s104729_S_b000,0
U(VI),-2.515,-0.343366,0.332138,0.57006,-1.45931,0.695081,-1.65236,-1.11888,1036,s104729_S_b000,0
Y(III),-0.465123,-0.288766,-3.03176,1.59112,0.497934,-0.932827,-1.55995,-1.86453,28,s104729_S_b000,0
Yb(III),0.785991,0.483816,-0.558529,0.990264,0.630104,0.75422,0.987241,1.28676,231,s104729_S_b000,0
Zr(IV),1.67241,-0.9973,0.00677493,2.81275,-1.65322,1.06721,-0.080537,0.0313715,13,s104729_S_b000,0
